ward,precinct,total,Justin P. Oberman,Justin P. Oberman Percent,Robin Kelly,Robin Kelly Percent,precinct_id
13,29,136,66,48.53,70,51.47,13029
13,30,207,78,37.68,129,62.32,13030
13,31,200,86,43.0,114,57.0,13031
13,32,141,48,34.04,93,65.96,13032
13,33,141,54,38.3,87,61.7,13033
13,34,196,81,41.33,115,58.67,13034
13,35,175,87,49.71,88,50.29,13035
13,36,89,41,46.07,48,53.93,13036
13,37,157,74,47.13,83,52.87,13037
13,38,149,57,38.26,92,61.74,13038
13,39,137,49,35.77,88,64.23,13039
13,40,176,84,47.73,92,52.27,13040
13,41,125,61,48.8,64,51.2,13041
13,42,165,71,43.03,94,56.97,13042
13,43,176,74,42.05,102,57.95,13043
13,44,163,59,36.2,104,63.8,13044
13,45,194,82,42.27,112,57.73,13045
13,46,142,73,51.41,69,48.59,13046
13,47,142,63,44.37,79,55.63,13047
14,1,88,27,30.68,61,69.32,14001
14,2,129,62,48.06,67,51.94,14002
14,3,164,57,34.76,107,65.24,14003
14,4,102,44,43.14,58,56.86,14004
14,5,171,50,29.24,121,70.76,14005
14,6,130,61,46.92,69,53.08,14006
14,7,120,39,32.5,81,67.5,14007
14,8,84,37,44.05,47,55.95,14008
14,9,172,57,33.14,115,66.86,14009
14,10,119,58,48.74,61,51.26,14010
14,11,121,35,28.93,86,71.07,14011
14,12,105,32,30.48,73,69.52,14012
14,13,183,59,32.24,124,67.76,14013
14,14,90,32,35.56,58,64.44,14014
14,15,155,41,26.45,114,73.55,14015
14,16,110,46,41.82,64,58.18,14016
14,17,106,37,34.91,69,65.09,14017
14,18,88,51,57.95,37,42.05,14018
14,19,157,47,29.94,110,70.06,14019
14,20,90,38,42.22,52,57.78,14020
14,21,135,40,29.63,95,70.37,14021
14,22,138,56,40.58,82,59.42,14022
14,23,131,60,45.8,71,54.2,14023
14,24,96,36,37.5,60,62.5,14024
14,25,144,69,47.92,75,52.08,14025
14,26,119,52,43.7,67,56.3,14026
14,27,172,72,41.86,100,58.14,14027
14,28,138,56,40.58,82,59.42,14028
14,29,154,49,31.82,105,68.18,14029
14,30,109,37,33.94,72,66.06,14030
14,31,114,31,27.19,83,72.81,14031
14,32,115,38,33.04,77,66.96,14032
14,33,103,32,31.07,71,68.93,14033
14,34,135,31,22.96,104,77.04,14034
14,35,107,36,33.64,71,66.36,14035
15,1,80,41,51.25,39,48.75,15001
15,2,66,22,33.33,44,66.67,15002
15,3,72,29,40.28,43,59.72,15003
15,4,69,25,36.23,44,63.77,15004
15,5,68,20,29.41,48,70.59,15005
15,6,83,35,42.17,48,57.83,15006
15,7,76,31,40.79,45,59.21,15007
15,8,101,33,32.67,68,67.33,15008
15,9,99,32,32.32,67,67.68,15009
15,10,75,36,48.0,39,52.0,15010
15,11,84,31,36.9,53,63.1,15011
15,12,52,19,36.54,33,63.46,15012
15,13,54,21,38.89,33,61.11,15013
15,14,94,42,44.68,52,55.32,15014
15,15,60,17,28.33,43,71.67,15015
15,16,71,37,52.11,34,47.89,15016
15,17,71,24,33.8,47,66.2,15017
15,18,53,14,26.42,39,73.58,15018
15,19,80,31,38.75,49,61.25,15019
15,20,56,24,42.86,32,57.14,15020
15,21,91,30,32.97,61,67.03,15021
15,22,100,39,39.0,61,61.0,15022
15,23,56,15,26.79,41,73.21,15023
15,24,70,30,42.86,40,57.14,15024
15,25,74,28,37.84,46,62.16,15025
15,26,87,25,28.74,62,71.26,15026
15,27,77,23,29.87,54,70.13,15027
15,28,108,51,47.22,57,52.78,15028
15,29,33,8,24.24,25,75.76,15029
15,30,73,24,32.88,49,67.12,15030
15,31,48,14,29.17,34,70.83,15031
15,32,83,33,39.76,50,60.24,15032
15,33,40,20,50.0,20,50.0,15033
15,34,53,10,18.87,43,81.13,15034
15,35,102,37,36.27,65,63.73,15035
15,36,61,20,32.79,41,67.21,15036
15,37,64,27,42.19,37,57.81,15037
15,38,68,23,33.82,45,66.18,15038
15,39,67,16,23.88,51,76.12,15039
15,40,70,22,31.43,48,68.57,15040
15,41,115,41,35.65,74,64.35,15041
15,42,55,26,47.27,29,52.73,15042
15,43,75,24,32.0,51,68.0,15043
15,44,91,35,38.46,56,61.54,15044
15,45,38,18,47.37,20,52.63,15045
15,46,43,9,20.93,34,79.07,15046
15,47,86,31,36.05,55,63.95,15047
15,48,55,17,30.91,38,69.09,15048
15,49,58,21,36.21,37,63.79,15049
15,50,70,19,27.14,51,72.86,15050
15,51,51,21,41.18,30,58.82,15051
15,52,57,15,26.32,42,73.68,15052
16,1,46,19,41.3,27,58.7,16001
16,2,66,21,31.82,45,68.18,16002
16,3,81,27,33.33,54,66.67,16003
16,4,58,25,43.1,33,56.9,16004
16,5,71,18,25.35,53,74.65,16005
16,6,41,10,24.39,31,75.61,16006
16,7,80,26,32.5,54,67.5,16007
16,8,70,20,28.57,50,71.43,16008
16,9,122,29,23.77,93,76.23,16009
16,10,122,33,27.05,89,72.95,16010
16,11,78,37,47.44,41,52.56,16011
16,12,42,21,50.0,21,50.0,16012
16,13,60,23,38.33,37,61.67,16013
16,14,71,16,22.54,55,77.46,16014
16,15,103,29,28.16,74,71.84,16015
16,16,78,24,30.77,54,69.23,16016
16,17,91,39,42.86,52,57.14,16017
16,18,87,31,35.63,56,64.37,16018
16,19,98,34,34.69,64,65.31,16019
16,20,66,13,19.7,53,80.3,16020
16,21,70,30,42.86,40,57.14,16021
16,22,84,28,33.33,56,66.67,16022
16,23,71,31,43.66,40,56.34,16023
16,24,45,17,37.78,28,62.22,16024
16,25,55,27,49.09,28,50.91,16025
16,26,88,31,35.23,57,64.77,16026
16,27,107,20,18.69,87,81.31,16027
16,28,103,36,34.95,67,65.05,16028
16,29,55,20,36.36,35,63.64,16029
16,30,65,23,35.38,42,64.62,16030
16,31,103,37,35.92,66,64.08,16031
16,32,75,31,41.33,44,58.67,16032
16,33,77,24,31.17,53,68.83,16033
16,34,59,20,33.9,39,66.1,16034
16,35,77,29,37.66,48,62.34,16035
16,36,71,20,28.17,51,71.83,16036
16,37,43,11,25.58,32,74.42,16037
16,38,53,18,33.96,35,66.04,16038
16,39,101,50,49.5,51,50.5,16039
16,40,98,39,39.8,59,60.2,16040
16,41,47,20,42.55,27,57.45,16041
16,42,50,23,46.0,27,54.0,16042
16,43,82,21,25.61,61,74.39,16043
16,44,70,26,37.14,44,62.86,16044
17,1,61,13,21.31,48,78.69,17001
17,2,99,27,27.27,72,72.73,17002
17,3,49,16,32.65,33,67.35,17003
17,4,152,51,33.55,101,66.45,17004
17,5,88,32,36.36,56,63.64,17005
17,6,75,19,25.33,56,74.67,17006
17,7,98,29,29.59,69,70.41,17007
17,8,80,35,43.75,45,56.25,17008
17,9,80,24,30.0,56,70.0,17009
17,10,110,37,33.64,73,66.36,17010
17,11,104,36,34.62,68,65.38,17011
17,12,180,56,31.11,124,68.89,17012
17,13,68,20,29.41,48,70.59,17013
17,14,83,33,39.76,50,60.24,17014
17,15,122,44,36.07,78,63.93,17015
17,16,81,22,27.16,59,72.84,17016
17,17,63,19,30.16,44,69.84,17017
17,18,133,45,33.83,88,66.17,17018
17,19,46,13,28.26,33,71.74,17019
17,20,91,35,38.46,56,61.54,17020
17,21,174,47,27.01,127,72.99,17021
17,22,115,28,24.35,87,75.65,17022
17,23,62,28,45.16,34,54.84,17023
17,24,111,34,30.63,77,69.37,17024
17,25,68,22,32.35,46,67.65,17025
17,26,134,50,37.31,84,62.69,17026
17,27,152,45,29.61,107,70.39,17027
17,28,95,33,34.74,62,65.26,17028
17,29,121,49,40.5,72,59.5,17029
17,30,138,38,27.54,100,72.46,17030
17,31,81,23,28.4,58,71.6,17031
17,32,108,32,29.63,76,70.37,17032
17,33,78,26,33.33,52,66.67,17033
17,34,85,34,40.0,51,60.0,17034
17,35,82,23,28.05,59,71.95,17035
17,36,61,25,40.98,36,59.02,17036
17,37,85,21,24.71,64,75.29,17037
17,38,90,35,38.89,55,61.11,17038
17,39,81,32,39.51,49,60.49,17039
17,40,82,31,37.8,51,62.2,17040
17,41,87,32,36.78,55,63.22,17041
17,42,76,19,25.0,57,75.0,17042
17,43,61,23,37.7,38,62.3,17043
17,44,69,18,26.09,51,73.91,17044
17,45,47,11,23.4,36,76.6,17045
17,46,98,43,43.88,55,56.12,17046
17,47,51,23,45.1,28,54.9,17047
17,48,107,30,28.04,77,71.96,17048
17,49,65,20,30.77,45,69.23,17049
17,50,82,27,32.93,55,67.07,17050
17,51,112,43,38.39,69,61.61,17051
17,52,141,39,27.66,102,72.34,17052
17,53,123,38,30.89,85,69.11,17053
17,54,133,35,26.32,98,73.68,17054
17,55,99,30,30.3,69,69.7,17055
17,56,106,28,26.42,78,73.58,17056
17,57,115,37,32.17,78,67.83,17057
17,58,85,27,31.76,58,68.24,17058
17,59,54,21,38.89,33,61.11,17059
17,60,142,52,36.62,90,63.38,17060
17,61,93,25,26.88,68,73.12,17061
17,62,69,15,21.74,54,78.26,17062
17,63,58,25,43.1,33,56.9,17063
17,64,73,27,36.99,46,63.01,17064
18,1,71,26,36.62,45,63.38,18001
18,2,137,38,27.74,99,72.26,18002
18,3,135,75,55.56,60,44.44,18003
18,4,183,46,25.14,137,74.86,18004
18,5,115,40,34.78,75,65.22,18005
18,6,136,53,38.97,83,61.03,18006
18,7,131,50,38.17,81,61.83,18007
18,8,67,19,28.36,48,71.64,18008
18,9,193,57,29.53,136,70.47,18009
18,10,255,50,19.61,205,80.39,18010
18,11,142,54,38.03,88,61.97,18011
18,12,204,43,21.08,161,78.92,18012
18,13,176,44,25.0,132,75.0,18013
18,14,191,62,32.46,129,67.54,18014
18,15,75,31,41.33,44,58.67,18015
18,16,168,50,29.76,118,70.24,18016
18,17,131,42,32.06,89,67.94,18017
18,18,173,58,33.53,115,66.47,18018
18,19,216,64,29.63,152,70.37,18019
18,20,148,30,20.27,118,79.73,18020
18,21,225,61,27.11,164,72.89,18021
18,22,186,41,22.04,145,77.96,18022
18,23,123,34,27.64,89,72.36,18023
18,24,197,47,23.86,150,76.14,18024
18,25,174,33,18.97,141,81.03,18025
18,26,143,25,17.48,118,82.52,18026
18,27,131,38,29.01,93,70.99,18027
18,28,154,70,45.45,84,54.55,18028
18,29,150,40,26.67,110,73.33,18029
18,30,119,32,26.89,87,73.11,18030
18,31,100,33,33.0,67,67.0,18031
18,32,231,72,31.17,159,68.83,18032
18,33,125,45,36.0,80,64.0,18033
18,34,260,67,25.77,193,74.23,18034
18,35,224,57,25.45,167,74.55,18035
18,36,115,63,54.78,52,45.22,18036
18,37,139,42,30.22,97,69.78,18037
18,38,171,59,34.5,112,65.5,18038
18,39,113,37,32.74,76,67.26,18039
18,40,211,55,26.07,156,73.93,18040
18,41,151,75,49.67,76,50.33,18041
18,42,84,19,22.62,65,77.38,18042
18,43,90,39,43.33,51,56.67,18043
18,44,95,35,36.84,60,63.16,18044
18,45,195,53,27.18,142,72.82,18045
18,46,158,57,36.08,101,63.92,18046
18,47,104,30,28.85,74,71.15,18047
18,48,86,36,41.86,50,58.14,18048
18,49,91,30,32.97,61,67.03,18049
18,50,130,47,36.15,83,63.85,18050
18,51,204,59,28.92,145,71.08,18051
18,52,197,49,24.87,148,75.13,18052
18,53,113,29,25.66,84,74.34,18053
18,54,159,51,32.08,108,67.92,18054
18,55,156,78,50.0,78,50.0,18055
18,56,91,40,43.96,51,56.04,18056
18,57,99,43,43.43,56,56.57,18057
18,58,110,29,26.36,81,73.64,18058
18,59,138,44,31.88,94,68.12,18059
18,60,170,53,31.18,117,68.82,18060
18,61,145,49,33.79,96,66.21,18061
18,62,105,45,42.86,60,57.14,18062
19,1,277,194,70.04,83,29.96,19001
19,2,222,97,43.69,125,56.31,19002
19,3,170,119,70.0,51,30.0,19003
19,4,204,156,76.47,48,23.53,19004
19,5,263,108,41.06,155,58.94,19005
19,6,189,129,68.25,60,31.75,19006
19,7,256,160,62.5,96,37.5,19007
19,8,150,94,62.67,56,37.33,19008
19,9,164,105,64.02,59,35.98,19009
19,10,311,161,51.77,150,48.23,19010
19,11,241,177,73.44,64,26.56,19011
19,12,185,138,74.59,47,25.41,19012
19,13,154,50,32.47,104,67.53,19013
19,14,134,107,79.85,27,20.15,19014
19,15,155,102,65.81,53,34.19,19015
19,16,265,187,70.57,78,29.43,19016
19,17,243,148,60.91,95,39.09,19017
19,18,290,158,54.48,132,45.52,19018
19,19,234,104,44.44,130,55.56,19019
19,20,215,88,40.93,127,59.07,19020
19,21,156,96,61.54,60,38.46,19021
19,22,246,134,54.47,112,45.53,19022
19,23,270,193,71.48,77,28.52,19023
19,24,190,137,72.11,53,27.89,19024
19,25,262,150,57.25,112,42.75,19025
19,26,256,125,48.83,131,51.17,19026
19,27,158,69,43.67,89,56.33,19027
19,28,237,65,27.43,172,72.57,19028
19,29,156,98,62.82,58,37.18,19029
19,30,188,131,69.68,57,30.32,19030
19,31,225,116,51.56,109,48.44,19031
19,32,241,157,65.15,84,34.85,19032
19,33,214,156,72.9,58,27.1,19033
19,34,265,156,58.87,109,41.13,19034
19,35,248,147,59.27,101,40.73,19035
19,36,246,85,34.55,161,65.45,19036
19,37,236,97,41.1,139,58.9,19037
19,38,222,77,34.68,145,65.32,19038
19,39,78,29,37.18,49,62.82,19039
19,40,230,112,48.7,118,51.3,19040
19,41,158,106,67.09,52,32.91,19041
19,42,216,97,44.91,119,55.09,19042
19,43,227,74,32.6,153,67.4,19043
19,44,201,148,73.63,53,26.37,19044
19,45,242,152,62.81,90,37.19,19045
19,46,315,214,67.94,101,32.06,19046
19,47,182,90,49.45,92,50.55,19047
19,48,158,42,26.58,116,73.42,19048
19,49,283,109,38.52,174,61.48,19049
19,50,191,66,34.55,125,65.45,19050
19,51,169,116,68.64,53,31.36,19051
19,52,158,102,64.56,56,35.44,19052
19,53,238,145,60.92,93,39.08,19053
19,54,130,90,69.23,40,30.77,19054
19,55,164,106,64.63,58,35.37,19055
19,56,263,136,51.71,127,48.29,19056
19,57,245,112,45.71,133,54.29,19057
19,58,214,142,66.36,72,33.64,19058
19,59,187,112,59.89,75,40.11,19059
19,60,150,38,25.33,112,74.67,19060
19,61,313,214,68.37,99,31.63,19061
19,62,217,140,64.52,77,35.48,19062
19,63,162,87,53.7,75,46.3,19063
19,64,230,124,53.91,106,46.09,19064
19,65,177,66,37.29,111,62.71,19065
19,66,168,54,32.14,114,67.86,19066
20,1,102,36,35.29,66,64.71,20001
20,2,88,30,34.09,58,65.91,20002
20,3,87,24,27.59,63,72.41,20003
20,4,69,32,46.38,37,53.62,20004
20,5,80,21,26.25,59,73.75,20005
20,6,140,47,33.57,93,66.43,20006
20,7,22,8,36.36,14,63.64,20007
20,8,39,23,58.97,16,41.03,20008
20,9,156,50,32.05,106,67.95,20009
20,10,75,20,26.67,55,73.33,20010
20,11,63,16,25.4,47,74.6,20011
20,12,64,21,32.81,43,67.19,20012
20,13,98,46,46.94,52,53.06,20013
20,14,135,47,34.81,88,65.19,20014
20,15,78,39,50.0,39,50.0,20015
20,16,152,45,29.61,107,70.39,20016
20,17,80,21,26.25,59,73.75,20017
20,18,76,19,25.0,57,75.0,20018
20,19,77,29,37.66,48,62.34,20019
20,20,41,15,36.59,26,63.41,20020
20,21,48,30,62.5,18,37.5,20021
20,22,153,41,26.8,112,73.2,20022
20,23,124,40,32.26,84,67.74,20023
20,24,108,29,26.85,79,73.15,20024
20,25,83,30,36.14,53,63.86,20025
20,26,122,41,33.61,81,66.39,20026
20,27,82,19,23.17,63,76.83,20027
20,28,105,38,36.19,67,63.81,20028
20,29,106,20,18.87,86,81.13,20029
20,30,98,30,30.61,68,69.39,20030
20,31,147,53,36.05,94,63.95,20031
20,32,73,22,30.14,51,69.86,20032
20,33,108,41,37.96,67,62.04,20033
20,34,166,48,28.92,118,71.08,20034
20,35,33,8,24.24,25,75.76,20035
20,36,92,35,38.04,57,61.96,20036
20,37,116,32,27.59,84,72.41,20037
20,38,23,5,21.74,18,78.26,20038
20,39,86,40,46.51,46,53.49,20039
20,40,90,43,47.78,47,52.22,20040
20,41,36,18,50.0,18,50.0,20041
20,42,93,38,40.86,55,59.14,20042
20,43,21,8,38.1,13,61.9,20043
20,44,145,44,30.34,101,69.66,20044
20,45,48,27,56.25,21,43.75,20045
20,46,92,23,25.0,69,75.0,20046
20,47,77,30,38.96,47,61.04,20047
20,48,45,9,20.0,36,80.0,20048
20,49,67,22,32.84,45,67.16,20049
20,50,38,15,39.47,23,60.53,20050
21,1,244,65,26.64,179,73.36,21001
21,2,129,35,27.13,94,72.87,21002
21,3,131,41,31.3,90,68.7,21003
21,4,145,39,26.9,106,73.1,21004
21,5,144,40,27.78,104,72.22,21005
21,6,113,40,35.4,73,64.6,21006
21,7,161,43,26.71,118,73.29,21007
21,8,172,55,31.98,117,68.02,21008
21,9,158,42,26.58,116,73.42,21009
21,10,108,35,32.41,73,67.59,21010
21,11,138,43,31.16,95,68.84,21011
21,12,149,31,20.81,118,79.19,21012
21,13,77,23,29.87,54,70.13,21013
21,14,127,38,29.92,89,70.08,21014
21,15,117,39,33.33,78,66.67,21015
21,16,145,40,27.59,105,72.41,21016
21,17,146,40,27.4,106,72.6,21017
21,18,138,36,26.09,102,73.91,21018
21,19,129,38,29.46,91,70.54,21019
21,20,103,36,34.95,67,65.05,21020
21,21,153,48,31.37,105,68.63,21021
21,22,135,35,25.93,100,74.07,21022
21,23,124,30,24.19,94,75.81,21023
21,24,165,48,29.09,117,70.91,21024
21,25,130,33,25.38,97,74.62,21025
21,26,133,35,26.32,98,73.68,21026
21,27,165,44,26.67,121,73.33,21027
21,28,106,29,27.36,77,72.64,21028
21,29,66,25,37.88,41,62.12,21029
21,30,102,26,25.49,76,74.51,21030
21,31,177,48,27.12,129,72.88,21031
21,32,113,40,35.4,73,64.6,21032
21,33,149,36,24.16,113,75.84,21033
21,34,176,55,31.25,121,68.75,21034
21,35,76,22,28.95,54,71.05,21035
21,36,113,43,38.05,70,61.95,21036
21,37,148,42,28.38,106,71.62,21037
21,38,136,38,27.94,98,72.06,21038
21,39,120,34,28.33,86,71.67,21039
21,40,160,40,25.0,120,75.0,21040
21,41,107,23,21.5,84,78.5,21041
21,42,155,51,32.9,104,67.1,21042
21,43,130,31,23.85,99,76.15,21043
21,44,140,35,25.0,105,75.0,21044
21,45,138,30,21.74,108,78.26,21045
21,46,106,33,31.13,73,68.87,21046
21,47,208,72,34.62,136,65.38,21047
21,48,156,49,31.41,107,68.59,21048
21,49,179,62,34.64,117,65.36,21049
21,50,168,58,34.52,110,65.48,21050
21,51,167,31,18.56,136,81.44,21051
21,52,145,38,26.21,107,73.79,21052
21,53,121,37,30.58,84,69.42,21053
21,54,162,44,27.16,118,72.84,21054
21,55,133,29,21.8,104,78.2,21055
21,56,103,29,28.16,74,71.84,21056
21,57,121,35,28.93,86,71.07,21057
21,58,116,41,35.34,75,64.66,21058
21,59,171,71,41.52,100,58.48,21059
21,60,151,41,27.15,110,72.85,21060
21,61,162,56,34.57,106,65.43,21061
21,62,134,55,41.04,79,58.96,21062
21,63,135,35,25.93,100,74.07,21063
21,64,77,26,33.77,51,66.23,21064
21,65,240,67,27.92,173,72.08,21065
21,66,113,33,29.2,80,70.8,21066
21,67,137,40,29.2,97,70.8,21067
21,68,143,41,28.67,102,71.33,21068
21,69,121,37,30.58,84,69.42,21069
21,70,125,43,34.4,82,65.6,21070
21,71,122,38,31.15,84,68.85,21071
21,72,150,48,32.0,102,68.0,21072
21,73,151,50,33.11,101,66.89,21073
21,74,47,8,17.02,39,82.98,21074
22,1,76,37,48.68,39,51.32,22001
22,2,66,37,56.06,29,43.94,22002
22,3,126,61,48.41,65,51.59,22003
22,4,94,43,45.74,51,54.26,22004
22,5,114,63,55.26,51,44.74,22005
22,6,105,65,61.9,40,38.1,22006
22,7,115,50,43.48,65,56.52,22007
22,8,58,35,60.34,23,39.66,22008
22,9,102,63,61.76,39,38.24,22009
22,10,117,72,61.54,45,38.46,22010
22,11,88,51,57.95,37,42.05,22011
22,12,80,42,52.5,38,47.5,22012
22,13,126,80,63.49,46,36.51,22013
22,14,56,35,62.5,21,37.5,22014
22,15,61,34,55.74,27,44.26,22015
22,16,116,74,63.79,42,36.21,22016
22,17,115,66,57.39,49,42.61,22017
22,18,104,52,50.0,52,50.0,22018
22,19,61,18,29.51,43,70.49,22019
22,20,115,75,65.22,40,34.78,22020
22,21,112,49,43.75,63,56.25,22021
22,22,67,29,43.28,38,56.72,22022
22,23,127,78,61.42,49,38.58,22023
22,24,82,53,64.63,29,35.37,22024
22,25,93,55,59.14,38,40.86,22025
22,26,82,33,40.24,49,59.76,22026
22,27,130,73,56.15,57,43.85,22027
22,28,62,37,59.68,25,40.32,22028
22,29,58,40,68.97,18,31.03,22029
23,1,188,124,65.96,64,34.04,23001
23,2,232,146,62.93,86,37.07,23002
23,3,180,124,68.89,56,31.11,23003
23,4,167,104,62.28,63,37.72,23004
23,5,131,86,65.65,45,34.35,23005
23,6,185,109,58.92,76,41.08,23006
23,7,180,116,64.44,64,35.56,23007
23,8,157,98,62.42,59,37.58,23008
23,9,190,105,55.26,85,44.74,23009
23,10,234,164,70.09,70,29.91,23010
23,11,199,132,66.33,67,33.67,23011
23,12,166,103,62.05,63,37.95,23012
23,13,200,128,64.0,72,36.0,23013
23,14,145,101,69.66,44,30.34,23014
23,15,161,105,65.22,56,34.78,23015
23,16,203,123,60.59,80,39.41,23016
23,17,220,141,64.09,79,35.91,23017
23,18,125,80,64.0,45,36.0,23018
23,19,157,115,73.25,42,26.75,23019
23,20,167,123,73.65,44,26.35,23020
23,21,130,59,45.38,71,54.62,23021
23,22,169,105,62.13,64,37.87,23022
23,23,164,113,68.9,51,31.1,23023
23,24,110,61,55.45,49,44.55,23024
23,25,119,66,55.46,53,44.54,23025
23,26,179,116,64.8,63,35.2,23026
23,27,150,93,62.0,57,38.0,23027
23,28,201,145,72.14,56,27.86,23028
23,29,144,79,54.86,65,45.14,23029
23,30,151,101,66.89,50,33.11,23030
23,31,175,105,60.0,70,40.0,23031
23,32,210,127,60.48,83,39.52,23032
23,33,195,108,55.38,87,44.62,23033
23,34,123,71,57.72,52,42.28,23034
23,35,94,30,31.91,64,68.09,23035
23,36,219,147,67.12,72,32.88,23036
23,37,125,39,31.2,86,68.8,23037
23,38,144,89,61.81,55,38.19,23038
23,39,147,97,65.99,50,34.01,23039
23,40,166,112,67.47,54,32.53,23040
23,41,158,91,57.59,67,42.41,23041
23,42,152,100,65.79,52,34.21,23042
23,43,194,122,62.89,72,37.11,23043
23,44,198,118,59.6,80,40.4,23044
23,45,189,117,61.9,72,38.1,23045
23,46,162,108,66.67,54,33.33,23046
23,47,221,129,58.37,92,41.63,23047
23,48,150,104,69.33,46,30.67,23048
23,49,242,158,65.29,84,34.71,23049
23,50,125,73,58.4,52,41.6,23050
23,51,183,101,55.19,82,44.81,23051
23,52,215,130,60.47,85,39.53,23052
23,53,117,63,53.85,54,46.15,23053
23,54,210,136,64.76,74,35.24,23054
24,1,130,34,26.15,96,73.85,24001
24,2,65,23,35.38,42,64.62,24002
24,3,95,38,40.0,57,60.0,24003
24,4,96,30,31.25,66,68.75,24004
24,5,70,24,34.29,46,65.71,24005
24,6,117,39,33.33,78,66.67,24006
24,7,84,30,35.71,54,64.29,24007
24,8,81,33,40.74,48,59.26,24008
24,9,87,31,35.63,56,64.37,24009
24,10,92,23,25.0,69,75.0,24010
24,11,62,25,40.32,37,59.68,24011
24,12,76,24,31.58,52,68.42,24012
24,13,99,34,34.34,65,65.66,24013
24,14,117,52,44.44,65,55.56,24014
24,15,80,28,35.0,52,65.0,24015
24,16,62,20,32.26,42,67.74,24016
24,17,72,23,31.94,49,68.06,24017
24,18,66,24,36.36,42,63.64,24018
24,19,64,21,32.81,43,67.19,24019
24,20,100,37,37.0,63,63.0,24020
24,21,40,9,22.5,31,77.5,24021
24,22,99,33,33.33,66,66.67,24022
24,23,77,35,45.45,42,54.55,24023
24,24,55,16,29.09,39,70.91,24024
24,25,106,35,33.02,71,66.98,24025
24,26,94,28,29.79,66,70.21,24026
24,27,60,25,41.67,35,58.33,24027
24,28,129,45,34.88,84,65.12,24028
24,29,104,39,37.5,65,62.5,24029
24,30,79,26,32.91,53,67.09,24030
24,31,89,40,44.94,49,55.06,24031
24,32,83,33,39.76,50,60.24,24032
24,33,75,24,32.0,51,68.0,24033
24,34,115,40,34.78,75,65.22,24034
24,35,125,42,33.6,83,66.4,24035
24,36,77,29,37.66,48,62.34,24036
24,37,119,37,31.09,82,68.91,24037
24,38,125,43,34.4,82,65.6,24038
24,39,82,31,37.8,51,62.2,24039
24,40,143,42,29.37,101,70.63,24040
24,41,81,28,34.57,53,65.43,24041
24,42,62,25,40.32,37,59.68,24042
24,43,112,36,32.14,76,67.86,24043
24,44,153,57,37.25,96,62.75,24044
24,45,87,30,34.48,57,65.52,24045
24,46,125,37,29.6,88,70.4,24046
24,47,80,18,22.5,62,77.5,24047
24,48,54,17,31.48,37,68.52,24048
24,49,173,46,26.59,127,73.41,24049
24,50,150,54,36.0,96,64.0,24050
24,51,136,53,38.97,83,61.03,24051
24,52,80,20,25.0,60,75.0,24052
24,53,99,48,48.48,51,51.52,24053
24,54,110,34,30.91,76,69.09,24054
24,55,86,35,40.7,51,59.3,24055
24,56,127,42,33.07,85,66.93,24056
25,1,116,56,48.28,60,51.72,25001
25,2,150,68,45.33,82,54.67,25002
25,3,97,31,31.96,66,68.04,25003
25,4,145,69,47.59,76,52.41,25004
25,5,123,58,47.15,65,52.85,25005
25,6,72,31,43.06,41,56.94,25006
25,7,103,57,55.34,46,44.66,25007
25,8,125,59,47.2,66,52.8,25008
25,9,157,82,52.23,75,47.77,25009
25,10,64,26,40.63,38,59.38,25010
25,11,138,79,57.25,59,42.75,25011
25,12,102,41,40.2,61,59.8,25012
25,13,137,57,41.61,80,58.39,25013
25,14,73,47,64.38,26,35.62,25014
25,15,129,64,49.61,65,50.39,25015
25,16,61,31,50.82,30,49.18,25016
25,17,177,76,42.94,101,57.06,25017
25,18,135,60,44.44,75,55.56,25018
25,19,133,59,44.36,74,55.64,25019
25,20,146,65,44.52,81,55.48,25020
25,21,98,35,35.71,63,64.29,25021
25,22,60,32,53.33,28,46.67,25022
25,23,137,70,51.09,67,48.91,25023
25,24,149,67,44.97,82,55.03,25024
25,25,107,48,44.86,59,55.14,25025
25,26,77,44,57.14,33,42.86,25026
25,27,92,41,44.57,51,55.43,25027
25,28,163,83,50.92,80,49.08,25028
25,29,239,96,40.17,143,59.83,25029
25,30,128,60,46.88,68,53.13,25030
25,31,74,35,47.3,39,52.7,25031
26,1,48,22,45.83,26,54.17,26001
26,2,95,44,46.32,51,53.68,26002
26,3,62,32,51.61,30,48.39,26003
26,4,42,19,45.24,23,54.76,26004
26,5,96,47,48.96,49,51.04,26005
26,6,48,19,39.58,29,60.42,26006
26,7,42,25,59.52,17,40.48,26007
26,8,41,15,36.59,26,63.41,26008
26,9,29,13,44.83,16,55.17,26009
26,10,52,31,59.62,21,40.38,26010
26,11,68,38,55.88,30,44.12,26011
26,12,46,18,39.13,28,60.87,26012
26,13,76,28,36.84,48,63.16,26013
26,14,55,22,40.0,33,60.0,26014
26,15,56,28,50.0,28,50.0,26015
26,16,48,28,58.33,20,41.67,26016
26,17,45,22,48.89,23,51.11,26017
26,18,36,21,58.33,15,41.67,26018
26,19,131,42,32.06,89,67.94,26019
26,20,78,36,46.15,42,53.85,26020
26,21,54,23,42.59,31,57.41,26021
26,22,39,22,56.41,17,43.59,26022
26,23,51,29,56.86,22,43.14,26023
26,24,49,22,44.9,27,55.1,26024
26,25,35,22,62.86,13,37.14,26025
26,26,38,16,42.11,22,57.89,26026
26,27,71,29,40.85,42,59.15,26027
