ward,precinct,total,Mike Quigley,Mike Quigley Percent,precinct_id
46,17,192,192,100.0,46017
46,18,164,164,100.0,46018
46,24,75,75,100.0,46024
46,29,133,133,100.0,46029
46,31,147,147,100.0,46031
46,36,157,157,100.0,46036
46,37,82,82,100.0,46037
46,43,185,185,100.0,46043
46,44,94,94,100.0,46044
47,1,128,128,100.0,47001
47,2,149,149,100.0,47002
47,3,118,118,100.0,47003
47,4,213,213,100.0,47004
47,5,156,156,100.0,47005
47,6,194,194,100.0,47006
47,7,144,144,100.0,47007
47,8,176,176,100.0,47008
47,9,143,143,100.0,47009
47,10,73,73,100.0,47010
47,11,218,218,100.0,47011
47,12,137,137,100.0,47012
47,13,221,221,100.0,47013
47,14,110,110,100.0,47014
47,15,130,130,100.0,47015
47,16,151,151,100.0,47016
47,17,142,142,100.0,47017
47,18,147,147,100.0,47018
47,19,182,182,100.0,47019
47,20,159,159,100.0,47020
47,21,185,185,100.0,47021
47,22,155,155,100.0,47022
47,23,76,76,100.0,47023
47,24,125,125,100.0,47024
47,25,166,166,100.0,47025
47,26,226,226,100.0,47026
47,27,143,143,100.0,47027
47,28,200,200,100.0,47028
47,29,136,136,100.0,47029
47,30,162,162,100.0,47030
47,31,157,157,100.0,47031
47,32,149,149,100.0,47032
47,33,137,137,100.0,47033
47,34,178,178,100.0,47034
47,35,235,235,100.0,47035
47,36,197,197,100.0,47036
47,37,157,157,100.0,47037
47,38,155,155,100.0,47038
47,39,142,142,100.0,47039
47,40,127,127,100.0,47040
47,41,225,225,100.0,47041
47,42,123,123,100.0,47042
47,43,94,94,100.0,47043
47,44,156,156,100.0,47044
47,45,158,158,100.0,47045
47,46,108,108,100.0,47046
47,47,138,138,100.0,47047
47,48,43,43,100.0,47048
47,49,95,95,100.0,47049
47,50,121,121,100.0,47050
47,51,97,97,100.0,47051
47,52,132,132,100.0,47052
50,44,83,83,100.0,50044
50,45,58,58,100.0,50045
