ward,precinct,total,Darlena Williams-Burnett,Darlena Williams-Burnett Percent,Jim Ascot,Jim Ascot Percent,Danny K. Davis,Danny K. Davis Percent,Sharon Denise Dixon,Sharon Denise Dixon Percent,precinct_id
42,2,93,11,11.83,8,8.6,61,65.59,13,13.98,42002
42,3,114,14,12.28,18,15.79,60,52.63,22,19.3,42003
42,4,139,14,10.07,34,24.46,55,39.57,36,25.9,42004
42,5,121,13,10.74,17,14.05,60,49.59,31,25.62,42005
42,6,280,40,14.29,32,11.43,149,53.21,59,21.07,42006
42,7,112,14,12.5,23,20.54,48,42.86,27,24.11,42007
42,8,167,23,13.77,23,13.77,71,42.51,50,29.94,42008
42,9,264,18,6.82,38,14.39,123,46.59,85,32.2,42009
42,10,97,7,7.22,14,14.43,39,40.21,37,38.14,42010
42,11,148,20,13.51,18,12.16,81,54.73,29,19.59,42011
42,12,94,11,11.7,13,13.83,45,47.87,25,26.6,42012
42,13,252,12,4.76,44,17.46,140,55.56,56,22.22,42013
42,14,114,6,5.26,14,12.28,64,56.14,30,26.32,42014
42,15,164,21,12.8,20,12.2,72,43.9,51,31.1,42015
42,16,77,5,6.49,7,9.09,47,61.04,18,23.38,42016
42,17,248,39,15.73,17,6.85,146,58.87,46,18.55,42017
42,18,209,15,7.18,67,32.06,76,36.36,51,24.4,42018
42,19,31,2,6.45,4,12.9,17,54.84,8,25.81,42019
42,20,66,5,7.58,4,6.06,45,68.18,12,18.18,42020
42,21,88,15,17.05,14,15.91,34,38.64,25,28.41,42021
42,22,69,8,11.59,10,14.49,35,50.72,16,23.19,42022
42,23,177,12,6.78,21,11.86,78,44.07,66,37.29,42023
42,24,141,21,14.89,22,15.6,62,43.97,36,25.53,42024
42,25,108,9,8.33,12,11.11,59,54.63,28,25.93,42025
42,26,157,29,18.47,12,7.64,101,64.33,15,9.55,42026
42,27,173,23,13.29,37,21.39,85,49.13,28,16.18,42027
42,28,148,11,7.43,26,17.57,75,50.68,36,24.32,42028
42,29,139,14,10.07,17,12.23,72,51.8,36,25.9,42029
42,30,77,7,9.09,10,12.99,43,55.84,17,22.08,42030
42,31,101,4,3.96,12,11.88,55,54.46,30,29.7,42031
42,32,96,11,11.46,9,9.38,41,42.71,35,36.46,42032
42,33,206,17,8.25,29,14.08,98,47.57,62,30.1,42033
42,34,131,14,10.69,13,9.92,75,57.25,29,22.14,42034
42,35,114,11,9.65,10,8.77,64,56.14,29,25.44,42035
42,36,76,18,23.68,8,10.53,37,48.68,13,17.11,42036
42,37,92,7,7.61,10,10.87,51,55.43,24,26.09,42037
42,38,98,7,7.14,12,12.24,50,51.02,29,29.59,42038
42,39,76,20,26.32,10,13.16,39,51.32,7,9.21,42039
42,40,154,13,8.44,28,18.18,61,39.61,52,33.77,42040
42,41,145,19,13.1,32,22.07,59,40.69,35,24.14,42041
42,42,72,10,13.89,13,18.06,39,54.17,10,13.89,42042
42,43,137,10,7.3,20,14.6,64,46.72,43,31.39,42043
42,44,94,7,7.45,9,9.57,57,60.64,21,22.34,42044
42,45,132,7,5.3,10,7.58,72,54.55,43,32.58,42045
42,46,74,7,9.46,13,17.57,41,55.41,13,17.57,42046
42,47,84,2,2.38,10,11.9,45,53.57,27,32.14,42047
42,48,103,10,9.71,23,22.33,44,42.72,26,25.24,42048
42,49,42,14,33.33,3,7.14,22,52.38,3,7.14,42049
42,50,167,12,7.19,24,14.37,75,44.91,56,33.53,42050
42,51,209,23,11.0,29,13.88,96,45.93,61,29.19,42051
42,52,58,6,10.34,7,12.07,31,53.45,14,24.14,42052
42,53,166,9,5.42,29,17.47,87,52.41,41,24.7,42053
42,54,88,8,9.09,10,11.36,52,59.09,18,20.45,42054
42,55,115,9,7.83,21,18.26,63,54.78,22,19.13,42055
42,56,124,11,8.87,27,21.77,54,43.55,32,25.81,42056
42,57,75,9,12.0,8,10.67,48,64.0,10,13.33,42057
42,58,61,7,11.48,10,16.39,28,45.9,16,26.23,42058
42,59,127,13,10.24,23,18.11,56,44.09,35,27.56,42059
42,60,45,9,20.0,5,11.11,22,48.89,9,20.0,42060
42,61,65,2,3.08,4,6.15,43,66.15,16,24.62,42061
42,62,74,7,9.46,10,13.51,41,55.41,16,21.62,42062
42,63,153,6,3.92,23,15.03,88,57.52,36,23.53,42063
42,64,51,4,7.84,4,7.84,36,70.59,7,13.73,42064
42,65,116,5,4.31,11,9.48,62,53.45,38,32.76,42065
42,66,101,14,13.86,9,8.91,63,62.38,15,14.85,42066
42,67,180,18,10.0,25,13.89,80,44.44,57,31.67,42067
42,68,107,13,12.15,25,23.36,42,39.25,27,25.23,42068
42,69,72,7,9.72,11,15.28,43,59.72,11,15.28,42069
43,1,175,24,13.71,18,10.29,92,52.57,41,23.43,43001
43,3,142,10,7.04,22,15.49,67,47.18,43,30.28,43003
43,4,162,19,11.73,20,12.35,88,54.32,35,21.6,43004
43,5,133,10,7.52,21,15.79,73,54.89,29,21.8,43005
43,9,89,7,7.87,8,8.99,38,42.7,36,40.45,43009
43,10,108,10,9.26,16,14.81,57,52.78,25,23.15,43010
43,11,93,5,5.38,18,19.35,48,51.61,22,23.66,43011
43,13,61,9,14.75,8,13.11,34,55.74,10,16.39,43013
43,15,112,9,8.04,11,9.82,66,58.93,26,23.21,43015
43,16,139,20,14.39,22,15.83,59,42.45,38,27.34,43016
43,18,151,15,9.93,18,11.92,88,58.28,30,19.87,43018
43,19,87,9,10.34,13,14.94,44,50.57,21,24.14,43019
43,23,103,16,15.53,12,11.65,43,41.75,32,31.07,43023
43,24,113,17,15.04,23,20.35,52,46.02,21,18.58,43024
43,25,134,29,21.64,17,12.69,62,46.27,26,19.4,43025
43,26,106,9,8.49,19,17.92,53,50.0,25,23.58,43026
43,28,166,17,10.24,29,17.47,79,47.59,41,24.7,43028
43,30,66,9,13.64,15,22.73,31,46.97,11,16.67,43030
43,35,153,13,8.5,15,9.8,74,48.37,51,33.33,43035
43,36,107,10,9.35,15,14.02,60,56.07,22,20.56,43036
43,37,104,17,16.35,11,10.58,58,55.77,18,17.31,43037
43,39,93,11,11.83,12,12.9,50,53.76,20,21.51,43039
43,40,57,9,15.79,10,17.54,23,40.35,15,26.32,43040
43,41,73,4,5.48,8,10.96,47,64.38,14,19.18,43041
43,42,104,11,10.58,16,15.38,45,43.27,32,30.77,43042
43,46,136,13,9.56,16,11.76,73,53.68,34,25.0,43046
43,47,126,19,15.08,16,12.7,60,47.62,31,24.6,43047
43,49,122,11,9.02,24,19.67,59,48.36,28,22.95,43049
43,51,170,36,21.18,23,13.53,84,49.41,27,15.88,43051
43,52,74,7,9.46,13,17.57,38,51.35,16,21.62,43052
43,54,85,17,20.0,12,14.12,37,43.53,19,22.35,43054
43,55,138,28,20.29,8,5.8,82,59.42,20,14.49,43055
