ward,precinct,total,Stephen J. Feldman,Stephen J. Feldman Percent,Diana Rosario,Diana Rosario Percent,precinct_id
17,15,73,32,43.84,41,56.16,17015
17,16,53,21,39.62,32,60.38,17016
17,17,51,17,33.33,34,66.67,17017
17,18,102,38,37.25,64,62.75,17018
17,19,42,14,33.33,28,66.67,17019
17,20,116,62,53.45,54,46.55,17020
17,21,116,37,31.9,79,68.1,17021
17,22,88,43,48.86,45,51.14,17022
17,23,63,27,42.86,36,57.14,17023
17,24,101,48,47.52,53,52.48,17024
17,25,49,24,48.98,25,51.02,17025
17,26,80,31,38.75,49,61.25,17026
17,27,67,29,43.28,38,56.72,17027
17,28,54,21,38.89,33,61.11,17028
17,29,81,31,38.27,50,61.73,17029
17,30,23,4,17.39,19,82.61,17030
17,31,46,23,50.0,23,50.0,17031
17,32,56,20,35.71,36,64.29,17032
17,33,45,14,31.11,31,68.89,17033
17,34,57,25,43.86,32,56.14,17034
17,35,60,21,35.0,39,65.0,17035
17,36,95,42,44.21,53,55.79,17036
17,37,70,32,45.71,38,54.29,17037
17,38,74,32,43.24,42,56.76,17038
17,39,81,24,29.63,57,70.37,17039
17,40,85,34,40.0,51,60.0,17040
17,41,87,37,42.53,50,57.47,17041
18,1,54,18,33.33,36,66.67,18001
18,2,41,18,43.9,23,56.1,18002
18,3,48,17,35.42,31,64.58,18003
18,4,98,40,40.82,58,59.18,18004
18,5,50,16,32.0,34,68.0,18005
18,6,53,21,39.62,32,60.38,18006
18,7,61,27,44.26,34,55.74,18007
18,8,103,48,46.6,55,53.4,18008
18,9,100,33,33.0,67,67.0,18009
18,10,138,61,44.2,77,55.8,18010
18,11,52,21,40.38,31,59.62,18011
18,12,88,43,48.86,45,51.14,18012
18,13,60,23,38.33,37,61.67,18013
18,14,85,34,40.0,51,60.0,18014
18,15,47,16,34.04,31,65.96,18015
18,16,71,29,40.85,42,59.15,18016
18,17,59,15,25.42,44,74.58,18017
18,18,127,55,43.31,72,56.69,18018
18,19,104,49,47.12,55,52.88,18019
18,20,74,34,45.95,40,54.05,18020
18,21,112,37,33.04,75,66.96,18021
18,22,122,51,41.8,71,58.2,18022
18,23,61,29,47.54,32,52.46,18023
18,24,47,21,44.68,26,55.32,18024
18,25,44,14,31.82,30,68.18,18025
18,26,112,41,36.61,71,63.39,18026
18,27,41,21,51.22,20,48.78,18027
18,28,50,8,16.0,42,84.0,18028
18,29,58,23,39.66,35,60.34,18029
18,30,38,14,36.84,24,63.16,18030
18,31,58,20,34.48,38,65.52,18031
18,32,105,48,45.71,57,54.29,18032
18,33,75,33,44.0,42,56.0,18033
18,34,166,67,40.36,99,59.64,18034
18,35,87,25,28.74,62,71.26,18035
18,36,54,28,51.85,26,48.15,18036
18,37,102,26,25.49,76,74.51,18037
18,38,90,37,41.11,53,58.89,18038
18,39,41,15,36.59,26,63.41,18039
18,40,65,24,36.92,41,63.08,18040
18,41,79,34,43.04,45,56.96,18041
18,42,49,16,32.65,33,67.35,18042
18,43,73,24,32.88,49,67.12,18043
18,44,52,21,40.38,31,59.62,18044
18,45,66,20,30.3,46,69.7,18045
18,46,65,14,21.54,51,78.46,18046
18,47,44,11,25.0,33,75.0,18047
18,48,49,19,38.78,30,61.22,18048
18,49,50,22,44.0,28,56.0,18049
18,50,60,25,41.67,35,58.33,18050
19,1,84,28,33.33,56,66.67,19001
19,2,148,29,19.59,119,80.41,19002
19,3,50,21,42.0,29,58.0,19003
19,4,104,30,28.85,74,71.15,19004
19,5,132,34,25.76,98,74.24,19005
19,6,63,24,38.1,39,61.9,19006
19,7,120,44,36.67,76,63.33,19007
19,8,92,32,34.78,60,65.22,19008
19,9,70,23,32.86,47,67.14,19009
19,10,121,34,28.1,87,71.9,19010
19,11,76,26,34.21,50,65.79,19011
19,12,73,26,35.62,47,64.38,19012
19,13,147,56,38.1,91,61.9,19013
19,14,65,19,29.23,46,70.77,19014
19,15,90,35,38.89,55,61.11,19015
19,16,94,33,35.11,61,64.89,19016
19,17,67,19,28.36,48,71.64,19017
19,18,106,32,30.19,74,69.81,19018
19,19,129,38,29.46,91,70.54,19019
19,20,122,34,27.87,88,72.13,19020
19,21,67,25,37.31,42,62.69,19021
19,22,102,27,26.47,75,73.53,19022
19,23,89,28,31.46,61,68.54,19023
19,24,84,26,30.95,58,69.05,19024
19,25,112,34,30.36,78,69.64,19025
19,26,100,33,33.0,67,67.0,19026
19,27,71,14,19.72,57,80.28,19027
19,28,118,33,27.97,85,72.03,19028
19,29,59,25,42.37,34,57.63,19029
19,30,80,24,30.0,56,70.0,19030
19,31,81,34,41.98,47,58.02,19031
19,32,85,36,42.35,49,57.65,19032
19,33,87,35,40.23,52,59.77,19033
19,34,90,38,42.22,52,57.78,19034
19,35,117,40,34.19,77,65.81,19035
19,36,105,31,29.52,74,70.48,19036
19,37,112,35,31.25,77,68.75,19037
19,38,92,30,32.61,62,67.39,19038
19,39,29,7,24.14,22,75.86,19039
19,40,101,33,32.67,68,67.33,19040
19,41,73,27,36.99,46,63.01,19041
19,42,71,16,22.54,55,77.46,19042
19,43,141,52,36.88,89,63.12,19043
19,44,91,23,25.27,68,74.73,19044
19,45,102,33,32.35,69,67.65,19045
19,46,108,37,34.26,71,65.74,19046
19,47,158,47,29.75,111,70.25,19047
19,48,96,30,31.25,66,68.75,19048
19,49,148,51,34.46,97,65.54,19049
19,50,61,10,16.39,51,83.61,19050
19,51,128,60,46.88,68,53.13,19051
19,52,74,29,39.19,45,60.81,19052
19,53,74,38,51.35,36,48.65,19053
19,54,51,22,43.14,29,56.86,19054
19,55,52,22,42.31,30,57.69,19055
19,56,130,36,27.69,94,72.31,19056
19,57,113,32,28.32,81,71.68,19057
20,1,71,37,52.11,34,47.89,20001
20,2,23,12,52.17,11,47.83,20002
20,3,59,22,37.29,37,62.71,20003
20,4,21,11,52.38,10,47.62,20004
20,5,57,18,31.58,39,68.42,20005
20,6,19,8,42.11,11,57.89,20006
20,7,64,27,42.19,37,57.81,20007
20,8,79,36,45.57,43,54.43,20008
20,9,93,40,43.01,53,56.99,20009
20,10,70,34,48.57,36,51.43,20010
20,11,69,28,40.58,41,59.42,20011
20,12,44,17,38.64,27,61.36,20012
20,13,93,41,44.09,52,55.91,20013
20,14,60,38,63.33,22,36.67,20014
20,15,26,3,11.54,23,88.46,20015
20,16,106,42,39.62,64,60.38,20016
20,17,39,15,38.46,24,61.54,20017
20,18,66,28,42.42,38,57.58,20018
20,19,75,31,41.33,44,58.67,20019
20,20,36,10,27.78,26,72.22,20020
20,21,47,25,53.19,22,46.81,20021
20,22,117,47,40.17,70,59.83,20022
20,23,82,32,39.02,50,60.98,20023
20,24,65,22,33.85,43,66.15,20024
20,25,62,19,30.65,43,69.35,20025
20,26,61,21,34.43,40,65.57,20026
20,27,44,22,50.0,22,50.0,20027
20,28,46,17,36.96,29,63.04,20028
20,29,109,53,48.62,56,51.38,20029
20,30,29,10,34.48,19,65.52,20030
20,31,69,31,44.93,38,55.07,20031
20,32,87,42,48.28,45,51.72,20032
20,33,50,24,48.0,26,52.0,20033
20,34,62,23,37.1,39,62.9,20034
20,35,52,21,40.38,31,59.62,20035
20,36,24,12,50.0,12,50.0,20036
20,37,24,13,54.17,11,45.83,20037
20,38,22,15,68.18,7,31.82,20038
20,39,12,1,8.33,11,91.67,20039
21,1,117,37,31.62,80,68.38,21001
21,2,65,22,33.85,43,66.15,21002
21,3,95,33,34.74,62,65.26,21003
21,4,86,37,43.02,49,56.98,21004
21,5,137,48,35.04,89,64.96,21005
21,6,81,34,41.98,47,58.02,21006
21,7,125,46,36.8,79,63.2,21007
21,8,106,41,38.68,65,61.32,21008
21,9,118,43,36.44,75,63.56,21009
21,10,66,25,37.88,41,62.12,21010
21,11,117,55,47.01,62,52.99,21011
21,12,109,50,45.87,59,54.13,21012
21,13,68,31,45.59,37,54.41,21013
21,14,130,61,46.92,69,53.08,21014
21,15,68,19,27.94,49,72.06,21015
21,16,90,30,33.33,60,66.67,21016
21,17,82,39,47.56,43,52.44,21017
21,18,130,44,33.85,86,66.15,21018
21,19,105,38,36.19,67,63.81,21019
21,20,74,38,51.35,36,48.65,21020
21,21,83,29,34.94,54,65.06,21021
21,22,96,35,36.46,61,63.54,21022
21,23,106,55,51.89,51,48.11,21023
21,24,112,36,32.14,76,67.86,21024
21,25,121,42,34.71,79,65.29,21025
21,26,78,31,39.74,47,60.26,21026
21,27,88,40,45.45,48,54.55,21027
21,28,120,60,50.0,60,50.0,21028
21,29,74,25,33.78,49,66.22,21029
21,30,62,24,38.71,38,61.29,21030
21,31,97,27,27.84,70,72.16,21031
21,32,109,42,38.53,67,61.47,21032
21,33,99,42,42.42,57,57.58,21033
21,34,90,38,42.22,52,57.78,21034
21,35,120,56,46.67,64,53.33,21035
21,36,112,38,33.93,74,66.07,21036
21,37,91,43,47.25,48,52.75,21037
21,38,101,36,35.64,65,64.36,21038
21,39,65,21,32.31,44,67.69,21039
21,40,84,35,41.67,49,58.33,21040
21,41,106,46,43.4,60,56.6,21041
21,42,109,39,35.78,70,64.22,21042
21,43,99,32,32.32,67,67.68,21043
21,44,100,51,51.0,49,49.0,21044
21,45,98,32,32.65,66,67.35,21045
21,46,99,40,40.4,59,59.6,21046
21,47,77,35,45.45,42,54.55,21047
21,48,98,46,46.94,52,53.06,21048
21,49,110,43,39.09,67,60.91,21049
21,50,82,31,37.8,51,62.2,21050
21,51,116,43,37.07,73,62.93,21051
21,52,97,41,42.27,56,57.73,21052
21,53,70,25,35.71,45,64.29,21053
21,54,79,39,49.37,40,50.63,21054
22,1,76,45,59.21,31,40.79,22001
22,2,68,24,35.29,44,64.71,22002
22,3,55,12,21.82,43,78.18,22003
22,4,43,5,11.63,38,88.37,22004
22,5,40,5,12.5,35,87.5,22005
22,6,41,3,7.32,38,92.68,22006
22,7,29,3,10.34,26,89.66,22007
22,8,58,18,31.03,40,68.97,22008
22,9,45,6,13.33,39,86.67,22009
22,10,50,9,18.0,41,82.0,22010
22,11,48,8,16.67,40,83.33,22011
22,12,65,16,24.62,49,75.38,22012
22,13,35,3,8.57,32,91.43,22013
22,14,33,11,33.33,22,66.67,22014
22,15,39,9,23.08,30,76.92,22015
22,16,42,6,14.29,36,85.71,22016
22,17,36,3,8.33,33,91.67,22017
22,18,46,7,15.22,39,84.78,22018
22,19,32,13,40.63,19,59.38,22019
22,20,45,5,11.11,40,88.89,22020
22,21,95,45,47.37,50,52.63,22021
22,22,32,5,15.63,27,84.38,22022
22,23,113,60,53.1,53,46.9,22023
22,24,50,10,20.0,40,80.0,22024
22,25,39,4,10.26,35,89.74,22025
23,1,108,37,34.26,71,65.74,23001
23,2,74,29,39.19,45,60.81,23002
23,3,77,28,36.36,49,63.64,23003
23,4,95,33,34.74,62,65.26,23004
23,5,54,7,12.96,47,87.04,23005
23,6,83,34,40.96,49,59.04,23006
23,7,51,9,17.65,42,82.35,23007
23,8,76,19,25.0,57,75.0,23008
23,9,43,9,20.93,34,79.07,23009
23,10,59,17,28.81,42,71.19,23010
23,11,42,12,28.57,30,71.43,23011
23,12,71,26,36.62,45,63.38,23012
23,13,33,5,15.15,28,84.85,23013
23,14,68,24,35.29,44,64.71,23014
23,15,44,11,25.0,33,75.0,23015
23,16,57,21,36.84,36,63.16,23016
23,17,22,8,36.36,14,63.64,23017
23,18,60,14,23.33,46,76.67,23018
23,19,31,8,25.81,23,74.19,23019
23,20,25,5,20.0,20,80.0,23020
23,21,60,26,43.33,34,56.67,23021
23,22,65,23,35.38,42,64.62,23022
23,23,76,23,30.26,53,69.74,23023
23,24,42,13,30.95,29,69.05,23024
23,25,47,16,34.04,31,65.96,23025
23,26,56,23,41.07,33,58.93,23026
23,27,79,27,34.18,52,65.82,23027
23,28,71,17,23.94,54,76.06,23028
23,29,45,18,40.0,27,60.0,23029
23,30,59,20,33.9,39,66.1,23030
23,31,19,2,10.53,17,89.47,23031
23,32,54,18,33.33,36,66.67,23032
23,33,36,8,22.22,28,77.78,23033
23,34,46,15,32.61,31,67.39,23034
23,35,51,17,33.33,34,66.67,23035
23,36,99,47,47.47,52,52.53,23036
23,37,58,22,37.93,36,62.07,23037
23,38,59,22,37.29,37,62.71,23038
23,39,39,5,12.82,34,87.18,23039
24,1,69,31,44.93,38,55.07,24001
24,2,50,29,58.0,21,42.0,24002
24,3,67,32,47.76,35,52.24,24003
24,4,42,20,47.62,22,52.38,24004
24,5,37,19,51.35,18,48.65,24005
24,6,60,32,53.33,28,46.67,24006
24,7,21,6,28.57,15,71.43,24007
24,8,35,18,51.43,17,48.57,24008
24,9,47,20,42.55,27,57.45,24009
24,10,32,16,50.0,16,50.0,24010
24,11,54,24,44.44,30,55.56,24011
24,12,33,11,33.33,22,66.67,24012
24,13,34,14,41.18,20,58.82,24013
24,14,57,28,49.12,29,50.88,24014
24,15,34,15,44.12,19,55.88,24015
24,16,40,12,30.0,28,70.0,24016
24,17,54,25,46.3,29,53.7,24017
24,18,86,54,62.79,32,37.21,24018
24,19,91,39,42.86,52,57.14,24019
24,20,45,28,62.22,17,37.78,24020
24,21,38,14,36.84,24,63.16,24021
24,22,67,34,50.75,33,49.25,24022
24,23,53,20,37.74,33,62.26,24023
24,24,62,26,41.94,36,58.06,24024
24,25,50,23,46.0,27,54.0,24025
24,26,117,50,42.74,67,57.26,24026
24,27,86,33,38.37,53,61.63,24027
24,28,55,23,41.82,32,58.18,24028
24,29,56,30,53.57,26,46.43,24029
24,30,36,16,44.44,20,55.56,24030
24,31,61,29,47.54,32,52.46,24031
24,32,50,25,50.0,25,50.0,24032
24,33,26,13,50.0,13,50.0,24033
24,34,55,27,49.09,28,50.91,24034
24,35,64,23,35.94,41,64.06,24035
24,36,91,32,35.16,59,64.84,24036
24,37,19,4,21.05,15,78.95,24037
24,38,57,15,26.32,42,73.68,24038
24,39,92,33,35.87,59,64.13,24039
24,40,58,29,50.0,29,50.0,24040
24,41,55,20,36.36,35,63.64,24041
25,1,51,12,23.53,39,76.47,25001
25,2,34,6,17.65,28,82.35,25002
25,3,33,6,18.18,27,81.82,25003
25,4,36,11,30.56,25,69.44,25004
25,5,42,14,33.33,28,66.67,25005
25,6,17,5,29.41,12,70.59,25006
25,7,38,6,15.79,32,84.21,25007
25,8,30,9,30.0,21,70.0,25008
25,9,39,9,23.08,30,76.92,25009
25,10,22,4,18.18,18,81.82,25010
25,11,49,11,22.45,38,77.55,25011
25,12,46,11,23.91,35,76.09,25012
25,13,36,8,22.22,28,77.78,25013
25,14,21,6,28.57,15,71.43,25014
25,15,36,6,16.67,30,83.33,25015
25,16,30,8,26.67,22,73.33,25016
25,17,56,12,21.43,44,78.57,25017
25,18,33,15,45.45,18,54.55,25018
25,19,34,4,11.76,30,88.24,25019
25,20,23,9,39.13,14,60.87,25020
25,21,61,11,18.03,50,81.97,25021
25,22,32,5,15.63,27,84.38,25022
25,23,47,6,12.77,41,87.23,25023
25,24,25,3,12.0,22,88.0,25024
25,25,46,10,21.74,36,78.26,25025
25,26,24,3,12.5,21,87.5,25026
25,27,18,7,38.89,11,61.11,25027
25,28,39,4,10.26,35,89.74,25028
25,29,61,24,39.34,37,60.66,25029
25,30,37,7,18.92,30,81.08,25030
25,31,24,4,16.67,20,83.33,25031
25,32,42,11,26.19,31,73.81,25032
26,1,26,4,15.38,22,84.62,26001
26,2,51,17,33.33,34,66.67,26002
26,3,39,11,28.21,28,71.79,26003
26,4,44,9,20.45,35,79.55,26004
26,5,40,2,5.0,38,95.0,26005
26,6,32,4,12.5,28,87.5,26006
26,7,44,4,9.09,40,90.91,26007
26,8,27,2,7.41,25,92.59,26008
26,9,48,7,14.58,41,85.42,26009
26,10,47,8,17.02,39,82.98,26010
26,11,42,7,16.67,35,83.33,26011
26,12,47,12,25.53,35,74.47,26012
26,13,45,9,20.0,36,80.0,26013
26,14,31,3,9.68,28,90.32,26014
26,15,19,4,21.05,15,78.95,26015
26,16,25,5,20.0,20,80.0,26016
26,17,25,6,24.0,19,76.0,26017
26,18,53,4,7.55,49,92.45,26018
26,19,31,8,25.81,23,74.19,26019
26,20,29,4,13.79,25,86.21,26020
26,21,57,14,24.56,43,75.44,26021
26,22,35,7,20.0,28,80.0,26022
26,23,43,4,9.3,39,90.7,26023
26,24,53,6,11.32,47,88.68,26024
26,25,42,6,14.29,36,85.71,26025
26,26,18,6,33.33,12,66.67,26026
26,27,37,6,16.22,31,83.78,26027
26,28,47,7,14.89,40,85.11,26028
26,29,35,7,20.0,28,80.0,26029
26,30,26,5,19.23,21,80.77,26030
26,31,28,6,21.43,22,78.57,26031
26,32,29,12,41.38,17,58.62,26032
26,33,31,6,19.35,25,80.65,26033
26,34,73,14,19.18,59,80.82,26034
26,35,44,4,9.09,40,90.91,26035
26,36,25,9,36.0,16,64.0,26036
26,37,38,7,18.42,31,81.58,26037
26,38,38,6,15.79,32,84.21,26038
26,39,33,9,27.27,24,72.73,26039
26,40,18,1,5.56,17,94.44,26040
26,41,46,7,15.22,39,84.78,26041
26,42,31,6,19.35,25,80.65,26042
26,43,36,8,22.22,28,77.78,26043
26,44,23,4,17.39,19,82.61,26044
26,45,22,6,27.27,16,72.73,26045
26,46,18,10,55.56,8,44.44,26046
26,47,23,2,8.7,21,91.3,26047
26,48,18,2,11.11,16,88.89,26048
26,49,19,2,10.53,17,89.47,26049
27,1,22,5,22.73,17,77.27,27001
27,2,56,14,25.0,42,75.0,27002
27,3,38,10,26.32,28,73.68,27003
27,4,51,15,29.41,36,70.59,27004
27,5,48,18,37.5,30,62.5,27005
27,6,36,10,27.78,26,72.22,27006
27,7,44,3,6.82,41,93.18,27007
27,8,56,21,37.5,35,62.5,27008
27,9,12,3,25.0,9,75.0,27009
27,10,81,27,33.33,54,66.67,27010
27,11,24,5,20.83,19,79.17,27011
27,12,26,5,19.23,21,80.77,27012
27,13,138,48,34.78,90,65.22,27013
27,14,43,11,25.58,32,74.42,27014
27,15,56,24,42.86,32,57.14,27015
27,16,26,1,3.85,25,96.15,27016
27,17,53,18,33.96,35,66.04,27017
27,18,70,36,51.43,34,48.57,27018
27,19,56,19,33.93,37,66.07,27019
27,20,51,16,31.37,35,68.63,27020
27,21,42,11,26.19,31,73.81,27021
27,22,46,18,39.13,28,60.87,27022
27,23,84,28,33.33,56,66.67,27023
27,24,57,18,31.58,39,68.42,27024
27,25,55,16,29.09,39,70.91,27025
27,26,93,36,38.71,57,61.29,27026
27,27,63,19,30.16,44,69.84,27027
27,28,44,11,25.0,33,75.0,27028
27,29,67,22,32.84,45,67.16,27029
27,30,43,18,41.86,25,58.14,27030
27,31,68,18,26.47,50,73.53,27031
27,32,52,13,25.0,39,75.0,27032
27,33,36,15,41.67,21,58.33,27033
27,34,87,28,32.18,59,67.82,27034
27,35,25,6,24.0,19,76.0,27035
27,36,56,19,33.93,37,66.07,27036
27,37,123,32,26.02,91,73.98,27037
27,38,127,42,33.07,85,66.93,27038
27,39,82,29,35.37,53,64.63,27039
27,40,66,25,37.88,41,62.12,27040
27,41,85,41,48.24,44,51.76,27041
27,42,54,21,38.89,33,61.11,27042
27,43,45,13,28.89,32,71.11,27043
27,44,68,24,35.29,44,64.71,27044
27,45,25,10,40.0,15,60.0,27045
27,46,17,6,35.29,11,64.71,27046
27,47,91,35,38.46,56,61.54,27047
27,48,50,14,28.0,36,72.0,27048
27,49,41,16,39.02,25,60.98,27049
27,50,72,34,47.22,38,52.78,27050
28,1,60,21,35.0,39,65.0,28001
28,2,75,39,52.0,36,48.0,28002
28,3,56,20,35.71,36,64.29,28003
28,4,20,2,10.0,18,90.0,28004
28,5,51,20,39.22,31,60.78,28005
28,6,63,22,34.92,41,65.08,28006
28,7,75,25,33.33,50,66.67,28007
28,8,16,3,18.75,13,81.25,28008
28,9,75,23,30.67,52,69.33,28009
28,10,42,16,38.1,26,61.9,28010
28,11,61,18,29.51,43,70.49,28011
28,12,71,27,38.03,44,61.97,28012
28,13,75,32,42.67,43,57.33,28013
28,14,75,28,37.33,47,62.67,28014
28,15,30,8,26.67,22,73.33,28015
28,16,55,15,27.27,40,72.73,28016
28,17,64,17,26.56,47,73.44,28017
28,18,63,15,23.81,48,76.19,28018
28,19,36,9,25.0,27,75.0,28019
28,20,64,22,34.38,42,65.63,28020
28,21,77,24,31.17,53,68.83,28021
28,22,63,37,58.73,26,41.27,28022
28,23,112,31,27.68,81,72.32,28023
28,24,68,26,38.24,42,61.76,28024
28,25,126,33,26.19,93,73.81,28025
28,26,92,27,29.35,65,70.65,28026
28,27,52,17,32.69,35,67.31,28027
28,28,54,13,24.07,41,75.93,28028
28,29,27,6,22.22,21,77.78,28029
28,30,23,8,34.78,15,65.22,28030
28,31,150,75,50.0,75,50.0,28031
28,32,59,20,33.9,39,66.1,28032
28,33,98,36,36.73,62,63.27,28033
28,34,88,40,45.45,48,54.55,28034
28,35,62,21,33.87,41,66.13,28035
28,36,46,15,32.61,31,67.39,28036
28,37,99,36,36.36,63,63.64,28037
28,38,44,15,34.09,29,65.91,28038
28,39,47,20,42.55,27,57.45,28039
28,40,126,46,36.51,80,63.49,28040
28,41,66,32,48.48,34,51.52,28041
28,42,84,32,38.1,52,61.9,28042
28,43,97,40,41.24,57,58.76,28043
28,44,81,35,43.21,46,56.79,28044
28,45,16,2,12.5,14,87.5,28045
28,46,79,19,24.05,60,75.95,28046
29,1,104,32,30.77,72,69.23,29001
29,2,161,70,43.48,91,56.52,29002
29,3,116,44,37.93,72,62.07,29003
29,4,139,55,39.57,84,60.43,29004
29,5,102,44,43.14,58,56.86,29005
29,6,74,33,44.59,41,55.41,29006
29,7,97,32,32.99,65,67.01,29007
29,8,54,23,42.59,31,57.41,29008
29,9,116,35,30.17,81,69.83,29009
29,10,117,19,16.24,98,83.76,29010
29,11,53,20,37.74,33,62.26,29011
29,12,123,49,39.84,74,60.16,29012
29,13,82,28,34.15,54,65.85,29013
29,14,128,43,33.59,85,66.41,29014
29,15,146,53,36.3,93,63.7,29015
29,16,143,36,25.17,107,74.83,29016
29,17,97,18,18.56,79,81.44,29017
29,18,84,37,44.05,47,55.95,29018
29,19,132,43,32.58,89,67.42,29019
29,20,118,37,31.36,81,68.64,29020
29,21,80,31,38.75,49,61.25,29021
29,22,62,22,35.48,40,64.52,29022
29,23,72,18,25.0,54,75.0,29023
29,24,96,39,40.63,57,59.38,29024
29,25,140,48,34.29,92,65.71,29025
29,26,129,48,37.21,81,62.79,29026
29,27,82,32,39.02,50,60.98,29027
29,28,177,67,37.85,110,62.15,29028
29,29,57,16,28.07,41,71.93,29029
29,30,147,53,36.05,94,63.95,29030
29,31,39,12,30.77,27,69.23,29031
29,32,52,11,21.15,41,78.85,29032
29,33,85,42,49.41,43,50.59,29033
29,34,42,20,47.62,22,52.38,29034
29,35,62,33,53.23,29,46.77,29035
29,36,105,41,39.05,64,60.95,29036
29,37,105,39,37.14,66,62.86,29037
29,38,60,17,28.33,43,71.67,29038
29,39,56,16,28.57,40,71.43,29039
29,40,152,67,44.08,85,55.92,29040
29,41,81,31,38.27,50,61.73,29041
29,42,119,38,31.93,81,68.07,29042
29,43,97,33,34.02,64,65.98,29043
29,44,162,47,29.01,115,70.99,29044
30,1,120,35,29.17,85,70.83,30001
30,2,75,17,22.67,58,77.33,30002
30,3,62,16,25.81,46,74.19,30003
30,4,90,27,30.0,63,70.0,30004
30,5,34,12,35.29,22,64.71,30005
30,6,45,14,31.11,31,68.89,30006
30,7,98,21,21.43,77,78.57,30007
30,8,72,24,33.33,48,66.67,30008
30,9,74,19,25.68,55,74.32,30009
30,10,64,18,28.13,46,71.88,30010
30,11,50,9,18.0,41,82.0,30011
30,12,47,16,34.04,31,65.96,30012
30,13,54,16,29.63,38,70.37,30013
30,14,29,4,13.79,25,86.21,30014
30,15,77,18,23.38,59,76.62,30015
30,16,19,4,21.05,15,78.95,30016
30,17,100,23,23.0,77,77.0,30017
30,18,80,14,17.5,66,82.5,30018
30,19,47,9,19.15,38,80.85,30019
30,20,100,34,34.0,66,66.0,30020
30,21,48,12,25.0,36,75.0,30021
30,22,79,25,31.65,54,68.35,30022
30,23,59,18,30.51,41,69.49,30023
30,24,67,20,29.85,47,70.15,30024
30,25,62,23,37.1,39,62.9,30025
30,26,55,19,34.55,36,65.45,30026
30,27,51,10,19.61,41,80.39,30027
30,28,75,16,21.33,59,78.67,30028
30,29,30,6,20.0,24,80.0,30029
30,30,16,4,25.0,12,75.0,30030
30,31,52,13,25.0,39,75.0,30031
30,32,39,12,30.77,27,69.23,30032
31,1,70,15,21.43,55,78.57,31001
31,2,71,13,18.31,58,81.69,31002
31,3,42,16,38.1,26,61.9,31003
31,4,48,5,10.42,43,89.58,31004
31,5,86,19,22.09,67,77.91,31005
31,6,71,14,19.72,57,80.28,31006
31,7,73,15,20.55,58,79.45,31007
31,8,48,15,31.25,33,68.75,31008
31,9,82,15,18.29,67,81.71,31009
31,10,55,16,29.09,39,70.91,31010
31,11,62,11,17.74,51,82.26,31011
31,12,52,15,28.85,37,71.15,31012
31,13,70,10,14.29,60,85.71,31013
31,14,55,10,18.18,45,81.82,31014
31,15,35,5,14.29,30,85.71,31015
31,16,39,8,20.51,31,79.49,31016
31,17,71,17,23.94,54,76.06,31017
31,18,65,9,13.85,56,86.15,31018
31,19,38,9,23.68,29,76.32,31019
31,20,81,17,20.99,64,79.01,31020
31,21,64,14,21.88,50,78.13,31021
31,22,33,3,9.09,30,90.91,31022
31,23,65,14,21.54,51,78.46,31023
31,24,109,17,15.6,92,84.4,31024
31,25,38,9,23.68,29,76.32,31025
31,26,71,14,19.72,57,80.28,31026
31,27,73,21,28.77,52,71.23,31027
31,28,50,9,18.0,41,82.0,31028
31,29,78,15,19.23,63,80.77,31029
31,30,55,9,16.36,46,83.64,31030
31,31,42,13,30.95,29,69.05,31031
31,32,57,16,28.07,41,71.93,31032
31,33,58,17,29.31,41,70.69,31033
31,34,64,19,29.69,45,70.31,31034
31,35,84,17,20.24,67,79.76,31035
31,36,72,8,11.11,64,88.89,31036
31,37,86,15,17.44,71,82.56,31037
31,38,47,6,12.77,41,87.23,31038
31,39,24,3,12.5,21,87.5,31039
31,40,58,13,22.41,45,77.59,31040
31,41,56,9,16.07,47,83.93,31041
32,1,47,7,14.89,40,85.11,32001
32,2,29,6,20.69,23,79.31,32002
32,3,114,26,22.81,88,77.19,32003
32,4,44,12,27.27,32,72.73,32004
32,5,37,9,24.32,28,75.68,32005
32,6,30,6,20.0,24,80.0,32006
32,7,39,12,30.77,27,69.23,32007
32,8,24,8,33.33,16,66.67,32008
32,9,33,5,15.15,28,84.85,32009
32,10,48,7,14.58,41,85.42,32010
32,11,108,23,21.3,85,78.7,32011
32,12,96,20,20.83,76,79.17,32012
32,13,19,7,36.84,12,63.16,32013
32,14,101,23,22.77,78,77.23,32014
32,15,21,12,57.14,9,42.86,32015
32,16,45,7,15.56,38,84.44,32016
32,17,112,22,19.64,90,80.36,32017
32,18,29,7,24.14,22,75.86,32018
32,19,26,8,30.77,18,69.23,32019
32,20,106,23,21.7,83,78.3,32020
32,21,46,6,13.04,40,86.96,32021
32,22,118,22,18.64,96,81.36,32022
32,23,28,4,14.29,24,85.71,32023
32,24,12,2,16.67,10,83.33,32024
32,25,29,6,20.69,23,79.31,32025
32,26,119,22,18.49,97,81.51,32026
32,27,17,9,52.94,8,47.06,32027
32,28,93,12,12.9,81,87.1,32028
32,29,53,10,18.87,43,81.13,32029
32,30,24,5,20.83,19,79.17,32030
32,31,32,4,12.5,28,87.5,32031
32,32,36,6,16.67,30,83.33,32032
32,33,46,18,39.13,28,60.87,32033
32,34,23,3,13.04,20,86.96,32034
32,35,30,11,36.67,19,63.33,32035
32,36,28,4,14.29,24,85.71,32036
32,37,18,6,33.33,12,66.67,32037
