ward,precinct,total,Raymond W. Mitchell,Raymond W. Mitchell Percent,precinct_id
6,25,424,424,100.0,06025
6,26,709,709,100.0,06026
6,27,651,651,100.0,06027
7,1,487,487,100.0,07001
7,2,639,639,100.0,07002
7,3,342,342,100.0,07003
7,4,466,466,100.0,07004
7,5,547,547,100.0,07005
7,6,155,155,100.0,07006
7,7,381,381,100.0,07007
7,8,228,228,100.0,07008
7,9,350,350,100.0,07009
7,10,507,507,100.0,07010
7,11,460,460,100.0,07011
7,12,528,528,100.0,07012
7,13,364,364,100.0,07013
7,14,341,341,100.0,07014
7,15,485,485,100.0,07015
7,16,172,172,100.0,07016
7,17,136,136,100.0,07017
7,18,80,80,100.0,07018
7,19,652,652,100.0,07019
7,20,343,343,100.0,07020
7,21,267,267,100.0,07021
7,22,321,321,100.0,07022
7,23,215,215,100.0,07023
7,24,62,62,100.0,07024
7,25,347,347,100.0,07025
7,26,499,499,100.0,07026
7,27,290,290,100.0,07027
7,28,178,178,100.0,07028
7,29,253,253,100.0,07029
7,30,253,253,100.0,07030
7,31,119,119,100.0,07031
8,1,504,504,100.0,08001
8,2,252,252,100.0,08002
8,3,213,213,100.0,08003
8,4,489,489,100.0,08004
8,5,335,335,100.0,08005
8,6,588,588,100.0,08006
8,7,347,347,100.0,08007
8,8,698,698,100.0,08008
8,9,437,437,100.0,08009
8,10,502,502,100.0,08010
8,11,415,415,100.0,08011
8,12,484,484,100.0,08012
8,13,470,470,100.0,08013
8,14,502,502,100.0,08014
8,15,402,402,100.0,08015
8,16,366,366,100.0,08016
8,17,613,613,100.0,08017
8,18,834,834,100.0,08018
8,19,648,648,100.0,08019
8,20,293,293,100.0,08020
8,21,323,323,100.0,08021
8,22,222,222,100.0,08022
8,23,681,681,100.0,08023
8,24,437,437,100.0,08024
8,25,187,187,100.0,08025
8,26,346,346,100.0,08026
8,27,473,473,100.0,08027
8,28,306,306,100.0,08028
8,29,458,458,100.0,08029
8,30,399,399,100.0,08030
9,1,495,495,100.0,09001
9,2,348,348,100.0,09002
9,3,165,165,100.0,09003
9,4,355,355,100.0,09004
9,5,367,367,100.0,09005
9,6,631,631,100.0,09006
9,7,484,484,100.0,09007
9,8,464,464,100.0,09008
9,9,300,300,100.0,09009
9,10,617,617,100.0,09010
9,11,196,196,100.0,09011
9,12,556,556,100.0,09012
9,13,511,511,100.0,09013
