ward,precinct,total,Michael W. Frerichs,Michael W. Frerichs Percent,Tom Demmer,Tom Demmer Percent,Preston Nelson,Preston Nelson Percent,precinct_id
15,11,213,173,81.22,30,14.08,10,4.69,15011
15,12,285,230,80.7,45,15.79,10,3.51,15012
15,13,216,175,81.02,29,13.43,12,5.56,15013
15,14,215,190,88.37,21,9.77,4,1.86,15014
15,15,219,191,87.21,23,10.5,5,2.28,15015
15,16,345,309,89.57,23,6.67,13,3.77,15016
15,17,417,384,92.09,16,3.84,17,4.08,15017
15,18,299,276,92.31,10,3.34,13,4.35,15018
15,19,182,160,87.91,15,8.24,7,3.85,15019
15,20,241,194,80.5,40,16.6,7,2.9,15020
16,1,369,323,87.53,31,8.4,15,4.07,16001
16,2,229,209,91.27,11,4.8,9,3.93,16002
16,3,289,269,93.08,8,2.77,12,4.15,16003
16,4,197,187,94.92,3,1.52,7,3.55,16004
16,5,402,386,96.02,10,2.49,6,1.49,16005
16,6,388,371,95.62,10,2.58,7,1.8,16006
16,7,206,190,92.23,12,5.83,4,1.94,16007
16,8,163,144,88.34,13,7.98,6,3.68,16008
16,9,373,342,91.69,17,4.56,14,3.75,16009
16,10,315,295,93.65,12,3.81,8,2.54,16010
16,11,257,234,91.05,12,4.67,11,4.28,16011
16,12,109,96,88.07,10,9.17,3,2.75,16012
16,13,161,145,90.06,7,4.35,9,5.59,16013
16,14,421,378,89.79,29,6.89,14,3.33,16014
16,15,348,319,91.67,18,5.17,11,3.16,16015
16,16,268,243,90.67,15,5.6,10,3.73,16016
16,17,447,409,91.5,26,5.82,12,2.68,16017
16,18,428,393,91.82,23,5.37,12,2.8,16018
16,19,322,291,90.37,21,6.52,10,3.11,16019
16,20,337,320,94.96,13,3.86,4,1.19,16020
16,21,237,215,90.72,15,6.33,7,2.95,16021
16,22,343,302,88.05,32,9.33,9,2.62,16022
16,23,221,197,89.14,20,9.05,4,1.81,16023
16,24,278,255,91.73,13,4.68,10,3.6,16024
16,25,134,119,88.81,9,6.72,6,4.48,16025
17,1,436,371,85.09,55,12.61,10,2.29,17001
17,2,267,231,86.52,25,9.36,11,4.12,17002
17,3,328,305,92.99,12,3.66,11,3.35,17003
17,4,331,308,93.05,12,3.63,11,3.32,17004
17,5,216,196,90.74,8,3.7,12,5.56,17005
17,6,321,303,94.39,8,2.49,10,3.12,17006
17,7,184,167,90.76,8,4.35,9,4.89,17007
17,8,236,226,95.76,6,2.54,4,1.69,17008
17,9,243,237,97.53,4,1.65,2,0.82,17009
17,10,501,468,93.41,17,3.39,16,3.19,17010
17,11,298,282,94.63,9,3.02,7,2.35,17011
17,12,180,170,94.44,7,3.89,3,1.67,17012
17,13,203,195,96.06,3,1.48,5,2.46,17013
17,14,214,199,92.99,8,3.74,7,3.27,17014
17,15,603,574,95.19,15,2.49,14,2.32,17015
17,16,274,255,93.07,8,2.92,11,4.01,17016
17,17,232,215,92.67,14,6.03,3,1.29,17017
17,18,678,645,95.13,17,2.51,16,2.36,17018
17,19,457,432,94.53,12,2.63,13,2.84,17019
17,20,454,427,94.05,13,2.86,14,3.08,17020
17,21,548,522,95.26,13,2.37,13,2.37,17021
17,22,538,506,94.05,19,3.53,13,2.42,17022
17,23,351,327,93.16,13,3.7,11,3.13,17023
17,24,570,544,95.44,14,2.46,12,2.11,17024
17,25,249,235,94.38,9,3.61,5,2.01,17025
17,26,459,435,94.77,12,2.61,12,2.61,17026
17,27,551,510,92.56,22,3.99,19,3.45,17027
17,28,643,603,93.78,20,3.11,20,3.11,17028
17,29,583,546,93.65,17,2.92,20,3.43,17029
18,1,701,641,91.44,31,4.42,29,4.14,18001
18,2,749,695,92.79,33,4.41,21,2.8,18002
18,3,309,283,91.59,13,4.21,13,4.21,18003
18,4,553,512,92.59,23,4.16,18,3.25,18004
18,5,460,437,95.0,12,2.61,11,2.39,18005
18,6,791,739,93.43,28,3.54,24,3.03,18006
18,7,626,572,91.37,40,6.39,14,2.24,18007
18,8,901,843,93.56,43,4.77,15,1.66,18008
18,9,698,635,90.97,37,5.3,26,3.72,18009
18,10,804,747,92.91,38,4.73,19,2.36,18010
18,11,481,457,95.01,14,2.91,10,2.08,18011
18,12,723,659,91.15,39,5.39,25,3.46,18012
18,13,583,509,87.31,59,10.12,15,2.57,18013
18,14,460,427,92.83,17,3.7,16,3.48,18014
18,15,333,307,92.19,16,4.8,10,3.0,18015
18,16,518,484,93.44,19,3.67,15,2.9,18016
18,17,394,351,89.09,31,7.87,12,3.05,18017
18,18,500,401,80.2,89,17.8,10,2.0,18018
18,19,439,382,87.02,51,11.62,6,1.37,18019
18,20,399,332,83.21,56,14.04,11,2.76,18020
18,21,537,481,89.57,35,6.52,21,3.91,18021
18,22,563,390,69.27,162,28.77,11,1.95,18022
18,23,640,413,64.53,215,33.59,12,1.88,18023
18,24,673,509,75.63,144,21.4,20,2.97,18024
18,25,368,252,68.48,101,27.45,15,4.08,18025
18,26,612,450,73.53,137,22.39,25,4.08,18026
19,1,872,469,53.78,375,43.0,28,3.21,19001
19,2,815,679,83.31,127,15.58,9,1.1,19002
19,3,654,190,29.05,456,69.72,8,1.22,19003
19,4,616,218,35.39,385,62.5,13,2.11,19004
19,5,672,514,76.49,145,21.58,13,1.93,19005
19,6,655,262,40.0,385,58.78,8,1.22,19006
19,7,885,466,52.66,400,45.2,19,2.15,19007
19,8,606,577,95.21,17,2.81,12,1.98,19008
19,9,554,515,92.96,26,4.69,13,2.35,19009
19,10,651,508,78.03,132,20.28,11,1.69,19010
19,11,547,238,43.51,302,55.21,7,1.28,19011
19,12,861,317,36.82,533,61.9,11,1.28,19012
19,13,526,482,91.63,30,5.7,14,2.66,19013
19,14,758,627,82.72,117,15.44,14,1.85,19014
19,15,508,175,34.45,327,64.37,6,1.18,19015
19,16,612,233,38.07,370,60.46,9,1.47,19016
19,17,581,289,49.74,284,48.88,8,1.38,19017
19,18,567,181,31.92,378,66.67,8,1.41,19018
19,19,681,522,76.65,146,21.44,13,1.91,19019
19,20,506,464,91.7,37,7.31,5,0.99,19020
19,21,863,306,35.46,544,63.04,13,1.51,19021
19,22,663,463,69.83,185,27.9,15,2.26,19022
19,23,630,329,52.22,292,46.35,9,1.43,19023
19,24,605,213,35.21,386,63.8,6,0.99,19024
19,25,566,459,81.1,90,15.9,17,3.0,19025
19,26,562,397,70.64,160,28.47,5,0.89,19026
19,27,817,711,87.03,81,9.91,25,3.06,19027
19,28,1010,914,90.5,79,7.82,17,1.68,19028
19,29,729,301,41.29,411,56.38,17,2.33,19029
19,30,623,213,34.19,405,65.01,5,0.8,19030
19,31,948,694,73.21,233,24.58,21,2.22,19031
19,32,547,470,85.92,59,10.79,18,3.29,19032
19,33,464,128,27.59,326,70.26,10,2.16,19033
19,34,1008,546,54.17,447,44.35,15,1.49,19034
19,35,677,495,73.12,170,25.11,12,1.77,19035
19,36,558,394,70.61,157,28.14,7,1.25,19036
20,1,250,208,83.2,34,13.6,8,3.2,20001
20,2,145,105,72.41,33,22.76,7,4.83,20002
