ward,precinct,total,Alexi Giannoulias,Alexi Giannoulias Percent,Dan Brady,Dan Brady Percent,Jon Stewart,Jon Stewart Percent,precinct_id
26,3,516,474,91.86,33,6.4,9,1.74,26003
26,4,322,246,76.4,65,20.19,11,3.42,26004
26,5,414,366,88.41,39,9.42,9,2.17,26005
26,6,272,214,78.68,53,19.49,5,1.84,26006
26,7,408,354,86.76,42,10.29,12,2.94,26007
26,8,301,261,86.71,30,9.97,10,3.32,26008
26,9,270,216,80.0,47,17.41,7,2.59,26009
26,10,319,269,84.33,38,11.91,12,3.76,26010
26,11,300,263,87.67,30,10.0,7,2.33,26011
26,12,131,112,85.5,14,10.69,5,3.82,26012
26,13,239,201,84.1,28,11.72,10,4.18,26013
26,14,201,170,84.58,25,12.44,6,2.99,26014
26,15,229,186,81.22,34,14.85,9,3.93,26015
26,16,496,446,89.92,42,8.47,8,1.61,26016
26,17,457,402,87.96,51,11.16,4,0.88,26017
26,18,219,163,74.43,50,22.83,6,2.74,26018
26,19,519,471,90.75,37,7.13,11,2.12,26019
26,20,552,501,90.76,38,6.88,13,2.36,26020
26,21,234,182,77.78,45,19.23,7,2.99,26021
26,22,218,162,74.31,50,22.94,6,2.75,26022
26,23,434,371,85.48,57,13.13,6,1.38,26023
26,24,210,169,80.48,34,16.19,7,3.33,26024
26,25,454,407,89.65,37,8.15,10,2.2,26025
26,26,540,484,89.63,46,8.52,10,1.85,26026
26,27,556,485,87.23,57,10.25,14,2.52,26027
26,28,521,471,90.4,40,7.68,10,1.92,26028
26,29,494,421,85.22,60,12.15,13,2.63,26029
26,30,261,246,94.25,8,3.07,7,2.68,26030
26,31,299,250,83.61,40,13.38,9,3.01,26031
26,32,417,368,88.25,38,9.11,11,2.64,26032
27,1,584,473,80.99,99,16.95,12,2.05,27001
27,2,782,620,79.28,142,18.16,20,2.56,27002
27,3,394,367,93.15,22,5.58,5,1.27,27003
27,4,498,455,91.37,28,5.62,15,3.01,27004
27,5,346,319,92.2,21,6.07,6,1.73,27005
27,6,727,596,81.98,119,16.37,12,1.65,27006
27,7,926,790,85.31,114,12.31,22,2.38,27007
27,8,206,188,91.26,12,5.83,6,2.91,27008
27,9,694,582,83.86,91,13.11,21,3.03,27009
27,10,378,342,90.48,27,7.14,9,2.38,27010
