ward,precinct,total,Karen A. Yarbrough,Karen A. Yarbrough Percent,Tony Peraica,Tony Peraica Percent,Joseph Schreiner,Joseph Schreiner Percent,precinct_id
20,2,143,105,73.43,31,21.68,7,4.9,20002
20,3,168,158,94.05,9,5.36,1,0.6,20003
20,4,136,125,91.91,9,6.62,2,1.47,20004
20,5,258,241,93.41,14,5.43,3,1.16,20005
20,6,172,160,93.02,9,5.23,3,1.74,20006
20,7,216,206,95.37,7,3.24,3,1.39,20007
20,8,266,239,89.85,19,7.14,8,3.01,20008
20,9,499,474,94.99,18,3.61,7,1.4,20009
20,10,538,514,95.54,14,2.6,10,1.86,20010
20,11,431,406,94.2,16,3.71,9,2.09,20011
20,12,89,84,94.38,2,2.25,3,3.37,20012
20,13,769,731,95.06,26,3.38,12,1.56,20013
20,14,454,426,93.83,14,3.08,14,3.08,20014
20,15,420,396,94.29,14,3.33,10,2.38,20015
20,16,468,443,94.66,13,2.78,12,2.56,20016
20,17,558,526,94.27,25,4.48,7,1.25,20017
20,18,695,646,92.95,36,5.18,13,1.87,20018
20,19,372,352,94.62,18,4.84,2,0.54,20019
20,20,483,461,95.45,16,3.31,6,1.24,20020
20,21,632,607,96.04,16,2.53,9,1.42,20021
20,22,578,554,95.85,14,2.42,10,1.73,20022
20,23,225,207,92.0,14,6.22,4,1.78,20023
21,1,653,625,95.71,17,2.6,11,1.68,21001
21,2,200,195,97.5,3,1.5,2,1.0,21002
21,3,688,653,94.91,22,3.2,13,1.89,21003
21,4,582,569,97.77,7,1.2,6,1.03,21004
21,5,615,595,96.75,13,2.11,7,1.14,21005
21,6,519,489,94.22,16,3.08,14,2.7,21006
21,7,725,698,96.28,17,2.34,10,1.38,21007
21,8,612,583,95.26,25,4.08,4,0.65,21008
21,9,200,186,93.0,10,5.0,4,2.0,21009
21,10,678,655,96.61,14,2.06,9,1.33,21010
21,11,695,672,96.69,17,2.45,6,0.86,21011
21,12,316,294,93.04,13,4.11,9,2.85,21012
21,13,513,500,97.47,8,1.56,5,0.97,21013
21,14,753,716,95.09,25,3.32,12,1.59,21014
21,15,725,700,96.55,15,2.07,10,1.38,21015
21,16,652,631,96.78,17,2.61,4,0.61,21016
21,17,487,468,96.1,15,3.08,4,0.82,21017
21,18,703,680,96.73,15,2.13,8,1.14,21018
21,19,602,571,94.85,21,3.49,10,1.66,21019
21,20,496,474,95.56,14,2.82,8,1.61,21020
21,21,728,698,95.88,19,2.61,11,1.51,21021
21,22,748,716,95.72,19,2.54,13,1.74,21022
21,23,531,509,95.86,13,2.45,9,1.69,21023
21,24,541,524,96.86,12,2.22,5,0.92,21024
21,25,422,403,95.5,9,2.13,10,2.37,21025
21,26,484,468,96.69,10,2.07,6,1.24,21026
21,27,712,679,95.37,22,3.09,11,1.54,21027
21,28,629,603,95.87,16,2.54,10,1.59,21028
21,29,627,590,94.1,22,3.51,15,2.39,21029
22,1,200,190,95.0,6,3.0,4,2.0,22001
22,2,128,113,88.28,10,7.81,5,3.91,22002
22,3,273,210,76.92,54,19.78,9,3.3,22003
22,4,159,137,86.16,16,10.06,6,3.77,22004
22,5,416,334,80.29,69,16.59,13,3.13,22005
22,6,218,175,80.28,31,14.22,12,5.5,22006
22,7,239,203,84.94,31,12.97,5,2.09,22007
22,8,261,221,84.67,33,12.64,7,2.68,22008
22,9,248,218,87.9,20,8.06,10,4.03,22009
22,10,331,274,82.78,46,13.9,11,3.32,22010
22,11,375,313,83.47,51,13.6,11,2.93,22011
22,12,239,189,79.08,37,15.48,13,5.44,22012
22,13,293,246,83.96,37,12.63,10,3.41,22013
22,14,269,211,78.44,49,18.22,9,3.35,22014
22,15,155,128,82.58,20,12.9,7,4.52,22015
22,16,351,239,68.09,102,29.06,10,2.85,22016
22,17,148,140,94.59,7,4.73,1,0.68,22017
22,18,310,294,94.84,12,3.87,4,1.29,22018
22,19,505,346,68.51,135,26.73,24,4.75,22019
23,1,310,126,40.65,176,56.77,8,2.58,23001
23,2,532,226,42.48,298,56.02,8,1.5,23002
23,3,323,139,43.03,175,54.18,9,2.79,23003
23,4,252,96,38.1,149,59.13,7,2.78,23004
23,5,446,192,43.05,244,54.71,10,2.24,23005
23,6,250,101,40.4,139,55.6,10,4.0,23006
23,7,339,150,44.25,181,53.39,8,2.36,23007
23,8,329,148,44.98,174,52.89,7,2.13,23008
23,9,513,249,48.54,245,47.76,19,3.7,23009
23,10,522,288,55.17,218,41.76,16,3.07,23010
23,11,235,152,64.68,76,32.34,7,2.98,23011
23,12,320,186,58.13,125,39.06,9,2.81,23012
23,13,567,365,64.37,187,32.98,15,2.65,23013
23,14,382,246,64.4,122,31.94,14,3.66,23014
23,15,419,278,66.35,124,29.59,17,4.06,23015
23,16,209,147,70.33,52,24.88,10,4.78,23016
23,17,284,227,79.93,49,17.25,8,2.82,23017
23,18,243,178,73.25,59,24.28,6,2.47,23018
23,19,206,154,74.76,47,22.82,5,2.43,23019
23,20,190,145,76.32,39,20.53,6,3.16,23020
23,21,177,128,72.32,44,24.86,5,2.82,23021
23,22,207,151,72.95,51,24.64,5,2.42,23022
23,23,201,152,75.62,45,22.39,4,1.99,23023
23,24,191,154,80.63,31,16.23,6,3.14,23024
23,25,165,120,72.73,39,23.64,6,3.64,23025
23,26,131,109,83.21,19,14.5,3,2.29,23026
23,27,176,129,73.3,43,24.43,4,2.27,23027
23,28,244,187,76.64,50,20.49,7,2.87,23028
23,29,329,256,77.81,62,18.84,11,3.34,23029
23,30,207,163,78.74,41,19.81,3,1.45,23030
23,31,245,182,74.29,53,21.63,10,4.08,23031
23,32,204,158,77.45,43,21.08,3,1.47,23032
23,33,448,339,75.67,99,22.1,10,2.23,23033
24,1,231,223,96.54,7,3.03,1,0.43,24001
24,2,207,202,97.58,4,1.93,1,0.48,24002
24,3,425,405,95.29,18,4.24,2,0.47,24003
24,4,366,337,92.08,22,6.01,7,1.91,24004
24,5,607,578,95.22,16,2.64,13,2.14,24005
24,6,375,361,96.27,9,2.4,5,1.33,24006
24,7,188,184,97.87,2,1.06,2,1.06,24007
24,8,254,240,94.49,11,4.33,3,1.18,24008
24,9,458,434,94.76,18,3.93,6,1.31,24009
24,10,326,313,96.01,8,2.45,5,1.53,24010
24,11,432,411,95.14,14,3.24,7,1.62,24011
24,12,482,464,96.27,9,1.87,9,1.87,24012
24,13,448,423,94.42,19,4.24,6,1.34,24013
24,14,351,334,95.16,10,2.85,7,1.99,24014
24,15,388,370,95.36,12,3.09,6,1.55,24015
24,16,519,473,91.14,35,6.74,11,2.12,24016
24,17,304,284,93.42,17,5.59,3,0.99,24017
24,18,498,438,87.95,43,8.63,17,3.41,24018
24,19,1091,800,73.33,204,18.7,87,7.97,24019
25,1,357,298,83.47,50,14.01,9,2.52,25001
25,2,242,205,84.71,32,13.22,5,2.07,25002
25,3,322,275,85.4,35,10.87,12,3.73,25003
25,4,416,337,81.01,57,13.7,22,5.29,25004
25,5,537,481,89.57,34,6.33,22,4.1,25005
25,6,566,467,82.51,84,14.84,15,2.65,25006
25,7,539,443,82.19,69,12.8,27,5.01,25007
25,8,545,451,82.75,81,14.86,13,2.39,25008
25,9,556,467,83.99,63,11.33,26,4.68,25009
25,10,605,530,87.6,56,9.26,19,3.14,25010
25,11,546,467,85.53,58,10.62,21,3.85,25011
25,12,480,426,88.75,43,8.96,11,2.29,25012
25,13,735,613,83.4,105,14.29,17,2.31,25013
25,14,727,631,86.8,74,10.18,22,3.03,25014
25,15,570,434,76.14,113,19.82,23,4.04,25015
25,16,720,618,85.83,84,11.67,18,2.5,25016
25,17,307,251,81.76,47,15.31,9,2.93,25017
26,1,238,179,75.21,52,21.85,7,2.94,26001
26,2,294,252,85.71,32,10.88,10,3.4,26002
26,3,495,455,91.92,34,6.87,6,1.21,26003
26,4,312,229,73.4,74,23.72,9,2.88,26004
26,5,394,353,89.59,30,7.61,11,2.79,26005
26,6,267,204,76.4,53,19.85,10,3.75,26006
26,7,389,337,86.63,41,10.54,11,2.83,26007
26,8,292,251,85.96,34,11.64,7,2.4,26008
26,9,267,204,76.4,55,20.6,8,3.0,26009
26,10,310,263,84.84,39,12.58,8,2.58,26010
26,11,291,246,84.54,36,12.37,9,3.09,26011
26,12,118,104,88.14,12,10.17,2,1.69,26012
26,13,237,200,84.39,28,11.81,9,3.8,26013
26,14,187,157,83.96,21,11.23,9,4.81,26014
26,15,215,175,81.4,34,15.81,6,2.79,26015
26,16,477,413,86.58,52,10.9,12,2.52,26016
26,17,444,391,88.06,44,9.91,9,2.03,26017
26,18,210,155,73.81,51,24.29,4,1.9,26018
26,19,499,445,89.18,41,8.22,13,2.61,26019
26,20,533,477,89.49,43,8.07,13,2.44,26020
26,21,223,170,76.23,42,18.83,11,4.93,26021
26,22,199,147,73.87,47,23.62,5,2.51,26022
26,23,423,370,87.47,47,11.11,6,1.42,26023
26,24,199,154,77.39,40,20.1,5,2.51,26024
26,25,440,390,88.64,37,8.41,13,2.95,26025
26,26,520,465,89.42,42,8.08,13,2.5,26026
26,27,526,463,88.02,54,10.27,9,1.71,26027
26,28,499,438,87.78,50,10.02,11,2.2,26028
26,29,486,402,82.72,75,15.43,9,1.85,26029
26,30,250,238,95.2,9,3.6,3,1.2,26030
26,31,291,239,82.13,43,14.78,9,3.09,26031
26,32,411,355,86.37,41,9.98,15,3.65,26032
27,1,559,439,78.53,106,18.96,14,2.5,27001
27,2,738,582,78.86,138,18.7,18,2.44,27002
27,3,354,340,96.05,10,2.82,4,1.13,27003
27,4,488,437,89.55,32,6.56,19,3.89,27004
27,5,328,306,93.29,14,4.27,8,2.44,27005
27,6,687,541,78.75,125,18.2,21,3.06,27006
27,7,860,735,85.47,108,12.56,17,1.98,27007
27,8,196,179,91.33,11,5.61,6,3.06,27008
27,9,650,528,81.23,102,15.69,20,3.08,27009
27,10,352,319,90.63,24,6.82,9,2.56,27010
27,11,664,488,73.49,160,24.1,16,2.41,27011
27,12,452,364,80.53,72,15.93,16,3.54,27012
27,13,516,434,84.11,71,13.76,11,2.13,27013
27,14,392,360,91.84,20,5.1,12,3.06,27014
27,15,512,427,83.4,70,13.67,15,2.93,27015
27,16,727,539,74.14,161,22.15,27,3.71,27016
27,17,253,214,84.58,30,11.86,9,3.56,27017
27,18,606,556,91.75,37,6.11,13,2.15,27018
27,19,181,158,87.29,18,9.94,5,2.76,27019
27,20,351,316,90.03,29,8.26,6,1.71,27020
27,21,266,209,78.57,48,18.05,9,3.38,27021
27,22,378,346,91.53,23,6.08,9,2.38,27022
27,23,316,298,94.3,13,4.11,5,1.58,27023
27,24,180,169,93.89,5,2.78,6,3.33,27024
27,25,443,396,89.39,30,6.77,17,3.84,27025
27,26,505,463,91.68,30,5.94,12,2.38,27026
27,27,378,320,84.66,42,11.11,16,4.23,27027
27,28,465,335,72.04,111,23.87,19,4.09,27028
27,29,863,675,78.22,169,19.58,19,2.2,27029
28,1,285,278,97.54,2,0.7,5,1.75,28001
28,2,287,272,94.77,11,3.83,4,1.39,28002
28,3,87,79,90.8,2,2.3,6,6.9,28003
28,4,243,225,92.59,13,5.35,5,2.06,28004
28,5,247,235,95.14,10,4.05,2,0.81,28005
28,6,419,390,93.08,20,4.77,9,2.15,28006
28,7,189,175,92.59,9,4.76,5,2.65,28007
28,8,396,374,94.44,17,4.29,5,1.26,28008
28,9,209,201,96.17,5,2.39,3,1.44,28009
28,10,126,114,90.48,7,5.56,5,3.97,28010
28,11,555,483,87.03,59,10.63,13,2.34,28011
28,12,730,604,82.74,102,13.97,24,3.29,28012
28,13,586,442,75.43,131,22.35,13,2.22,28013
28,14,483,426,88.2,39,8.07,18,3.73,28014
28,15,278,257,92.45,17,6.12,4,1.44,28015
28,16,593,513,86.51,62,10.46,18,3.04,28016
28,17,325,296,91.08,25,7.69,4,1.23,28017
28,18,368,343,93.21,18,4.89,7,1.9,28018
28,19,358,345,96.37,8,2.23,5,1.4,28019
28,20,298,290,97.32,8,2.68,0,0.0,28020
28,21,317,298,94.01,15,4.73,4,1.26,28021
28,22,243,227,93.42,11,4.53,5,2.06,28022
28,23,343,329,95.92,8,2.33,6,1.75,28023
28,24,271,257,94.83,11,4.06,3,1.11,28024
28,25,539,521,96.66,9,1.67,9,1.67,28025
28,26,171,164,95.91,7,4.09,0,0.0,28026
29,1,614,339,55.21,259,42.18,16,2.61,29001
29,2,502,284,56.57,206,41.04,12,2.39,29002
29,3,420,283,67.38,127,30.24,10,2.38,29003
29,4,453,310,68.43,125,27.59,18,3.97,29004
29,5,441,342,77.55,94,21.32,5,1.13,29005
29,6,387,341,88.11,39,10.08,7,1.81,29006
29,7,717,555,77.41,149,20.78,13,1.81,29007
29,8,943,813,86.21,112,11.88,18,1.91,29008
29,9,371,348,93.8,17,4.58,6,1.62,29009
29,10,541,512,94.64,18,3.33,11,2.03,29010
29,11,462,425,91.99,30,6.49,7,1.52,29011
29,12,602,567,94.19,26,4.32,9,1.5,29012
29,13,598,569,95.15,17,2.84,12,2.01,29013
29,14,521,486,93.28,24,4.61,11,2.11,29014
29,15,492,460,93.5,22,4.47,10,2.03,29015
29,16,564,527,93.44,30,5.32,7,1.24,29016
29,17,377,355,94.16,16,4.24,6,1.59,29017
29,18,521,498,95.59,19,3.65,4,0.77,29018
29,19,583,566,97.08,13,2.23,4,0.69,29019
29,20,329,311,94.53,14,4.26,4,1.22,29020
29,21,424,370,87.26,43,10.14,11,2.59,29021
29,22,579,554,95.68,19,3.28,6,1.04,29022
29,23,542,515,95.02,21,3.87,6,1.11,29023
29,24,421,403,95.72,12,2.85,6,1.43,29024
30,1,558,371,66.49,166,29.75,21,3.76,30001
30,2,377,254,67.37,115,30.5,8,2.12,30002
30,3,506,439,86.76,57,11.26,10,1.98,30003
30,4,410,277,67.56,122,29.76,11,2.68,30004
30,5,439,318,72.44,109,24.83,12,2.73,30005
30,6,494,377,76.32,105,21.26,12,2.43,30006
30,7,340,263,77.35,69,20.29,8,2.35,30007
30,8,589,491,83.36,76,12.9,22,3.74,30008
30,9,512,359,70.12,140,27.34,13,2.54,30009
30,10,439,325,74.03,105,23.92,9,2.05,30010
30,11,369,270,73.17,92,24.93,7,1.9,30011
30,12,499,347,69.54,142,28.46,10,2.0,30012
30,13,425,283,66.59,128,30.12,14,3.29,30013
30,14,458,311,67.9,136,29.69,11,2.4,30014
30,15,665,553,83.16,100,15.04,12,1.8,30015
30,16,348,228,65.52,112,32.18,8,2.3,30016
30,17,499,376,75.35,105,21.04,18,3.61,30017
30,18,428,343,80.14,68,15.89,17,3.97,30018
30,19,275,214,77.82,56,20.36,5,1.82,30019
30,20,338,255,75.44,74,21.89,9,2.66,30020
30,21,591,378,63.96,198,33.5,15,2.54,30021
30,22,551,440,79.85,103,18.69,8,1.45,30022
30,23,590,471,79.83,106,17.97,13,2.2,30023
30,24,501,379,75.65,108,21.56,14,2.79,30024
30,25,354,256,72.32,88,24.86,10,2.82,30025
30,26,597,493,82.58,88,14.74,16,2.68,30026
31,1,347,282,81.27,60,17.29,5,1.44,31001
31,2,533,441,82.74,77,14.45,15,2.81,31002
31,3,309,214,69.26,87,28.16,8,2.59,31003
31,4,361,317,87.81,38,10.53,6,1.66,31004
31,5,350,279,79.71,66,18.86,5,1.43,31005
31,6,276,226,81.88,44,15.94,6,2.17,31006
31,7,335,260,77.61,61,18.21,14,4.18,31007
31,8,460,360,78.26,88,19.13,12,2.61,31008
31,9,309,219,70.87,72,23.3,18,5.83,31009
31,10,477,391,81.97,70,14.68,16,3.35,31010
31,11,452,330,73.01,110,24.34,12,2.65,31011
31,12,551,414,75.14,115,20.87,22,3.99,31012
31,13,376,309,82.18,58,15.43,9,2.39,31013
31,14,397,303,76.32,79,19.9,15,3.78,31014
31,15,184,135,73.37,45,24.46,4,2.17,31015
31,16,261,191,73.18,64,24.52,6,2.3,31016
31,17,326,241,73.93,71,21.78,14,4.29,31017
31,18,296,221,74.66,65,21.96,10,3.38,31018
31,19,336,261,77.68,62,18.45,13,3.87,31019
31,20,332,251,75.6,64,19.28,17,5.12,31020
31,21,343,264,76.97,70,20.41,9,2.62,31021
31,22,148,125,84.46,17,11.49,6,4.05,31022
31,23,194,140,72.16,43,22.16,11,5.67,31023
32,1,1229,985,80.15,222,18.06,22,1.79,32001
32,2,968,791,81.71,146,15.08,31,3.2,32002
32,3,717,567,79.08,130,18.13,20,2.79,32003
32,4,691,569,82.34,104,15.05,18,2.6,32004
32,5,546,440,80.59,89,16.3,17,3.11,32005
32,6,332,268,80.72,54,16.27,10,3.01,32006
32,7,746,554,74.26,168,22.52,24,3.22,32007
32,8,499,405,81.16,87,17.43,7,1.4,32008
32,9,504,375,74.4,116,23.02,13,2.58,32009
32,10,947,743,78.46,180,19.01,24,2.53,32010
32,11,605,440,72.73,150,24.79,15,2.48,32011
32,12,342,251,73.39,83,24.27,8,2.34,32012
32,13,233,160,68.67,68,29.18,5,2.15,32013
32,14,1041,835,80.21,177,17.0,29,2.79,32014
32,15,1070,766,71.59,279,26.07,25,2.34,32015
32,16,499,373,74.75,115,23.05,11,2.2,32016
32,17,964,722,74.9,220,22.82,22,2.28,32017
32,18,379,309,81.53,61,16.09,9,2.37,32018
32,19,439,356,81.09,72,16.4,11,2.51,32019
32,20,995,730,73.37,250,25.13,15,1.51,32020
32,21,934,792,84.8,116,12.42,26,2.78,32021
32,22,932,789,84.66,124,13.3,19,2.04,32022
32,23,609,495,81.28,99,16.26,15,2.46,32023
32,24,334,246,73.65,78,23.35,10,2.99,32024
32,25,689,559,81.13,123,17.85,7,1.02,32025
32,26,919,722,78.56,177,19.26,20,2.18,32026
32,27,917,780,85.06,119,12.98,18,1.96,32027
32,28,275,220,80.0,51,18.55,4,1.45,32028
32,29,703,578,82.22,104,14.79,21,2.99,32029
32,30,885,746,84.29,117,13.22,22,2.49,32030
33,1,947,792,83.63,123,12.99,32,3.38,33001
33,2,1006,885,87.97,94,9.34,27,2.68,33002
33,3,718,601,83.7,98,13.65,19,2.65,33003
33,4,967,809,83.66,134,13.86,24,2.48,33004
33,5,805,663,82.36,120,14.91,22,2.73,33005
33,6,851,725,85.19,105,12.34,21,2.47,33006
33,7,798,663,83.08,116,14.54,19,2.38,33007
33,8,570,483,84.74,73,12.81,14,2.46,33008
33,9,601,492,81.86,96,15.97,13,2.16,33009
33,10,581,513,88.3,59,10.15,9,1.55,33010
33,11,466,389,83.48,59,12.66,18,3.86,33011
33,12,716,623,87.01,79,11.03,14,1.96,33012
33,13,630,526,83.49,85,13.49,19,3.02,33013
33,14,839,756,90.11,63,7.51,20,2.38,33014
33,15,642,572,89.1,55,8.57,15,2.34,33015
33,16,795,697,87.67,75,9.43,23,2.89,33016
33,17,769,663,86.22,91,11.83,15,1.95,33017
34,1,637,503,78.96,115,18.05,19,2.98,34001
34,2,400,281,70.25,111,27.75,8,2.0,34002
34,3,898,712,79.29,168,18.71,18,2.0,34003
34,4,505,364,72.08,129,25.54,12,2.38,34004
34,5,834,688,82.49,126,15.11,20,2.4,34005
34,6,613,469,76.51,129,21.04,15,2.45,34006
34,7,285,213,74.74,65,22.81,7,2.46,34007
34,8,497,370,74.45,121,24.35,6,1.21,34008
34,9,934,657,70.34,253,27.09,24,2.57,34009
34,10,373,274,73.46,94,25.2,5,1.34,34010
34,11,613,466,76.02,128,20.88,19,3.1,34011
34,12,613,475,77.49,122,19.9,16,2.61,34012
34,13,711,547,76.93,150,21.1,14,1.97,34013
34,14,737,523,70.96,194,26.32,20,2.71,34014
34,15,579,461,79.62,102,17.62,16,2.76,34015
34,16,901,776,86.13,104,11.54,21,2.33,34016
34,17,816,706,86.52,91,11.15,19,2.33,34017
34,18,773,658,85.12,106,13.71,9,1.16,34018
34,19,594,470,79.12,107,18.01,17,2.86,34019
34,20,773,590,76.33,161,20.83,22,2.85,34020
35,1,206,166,80.58,35,16.99,5,2.43,35001
35,2,504,416,82.54,77,15.28,11,2.18,35002
35,3,372,325,87.37,36,9.68,11,2.96,35003
35,4,573,501,87.43,56,9.77,16,2.79,35004
35,5,790,705,89.24,63,7.97,22,2.78,35005
35,6,1167,1055,90.4,91,7.8,21,1.8,35006
35,7,774,683,88.24,78,10.08,13,1.68,35007
35,8,516,442,85.66,65,12.6,9,1.74,35008
35,9,941,853,90.65,77,8.18,11,1.17,35009
35,10,573,508,88.66,50,8.73,15,2.62,35010
35,11,770,684,88.83,69,8.96,17,2.21,35011
35,12,1009,893,88.5,89,8.82,27,2.68,35012
35,13,642,574,89.41,59,9.19,9,1.4,35013
35,14,541,481,88.91,47,8.69,13,2.4,35014
35,15,785,678,86.37,87,11.08,20,2.55,35015
35,16,1008,872,86.51,111,11.01,25,2.48,35016
35,17,658,562,85.41,79,12.01,17,2.58,35017
35,18,424,366,86.32,48,11.32,10,2.36,35018
35,19,619,524,84.65,82,13.25,13,2.1,35019
35,20,381,313,82.15,60,15.75,8,2.1,35020
35,21,604,459,75.99,126,20.86,19,3.15,35021
35,22,808,641,79.33,149,18.44,18,2.23,35022
36,1,345,193,55.94,139,40.29,13,3.77,36001
36,2,387,238,61.5,131,33.85,18,4.65,36002
36,3,320,208,65.0,100,31.25,12,3.75,36003
36,4,376,254,67.55,113,30.05,9,2.39,36004
36,5,317,234,73.82,74,23.34,9,2.84,36005
36,6,254,190,74.8,55,21.65,9,3.54,36006
36,7,215,167,77.67,44,20.47,4,1.86,36007
36,8,188,126,67.02,55,29.26,7,3.72,36008
36,9,459,359,78.21,90,19.61,10,2.18,36009
36,10,332,248,74.7,69,20.78,15,4.52,36010
36,11,247,187,75.71,49,19.84,11,4.45,36011
36,12,193,149,77.2,41,21.24,3,1.55,36012
36,13,109,85,77.98,20,18.35,4,3.67,36013
36,14,326,254,77.91,60,18.4,12,3.68,36014
36,15,158,127,80.38,25,15.82,6,3.8,36015
36,16,125,103,82.4,20,16.0,2,1.6,36016
36,17,472,411,87.08,53,11.23,8,1.69,36017
36,18,525,461,87.81,48,9.14,16,3.05,36018
36,19,703,608,86.49,73,10.38,22,3.13,36019
36,20,776,673,86.73,87,11.21,16,2.06,36020
36,21,568,420,73.94,132,23.24,16,2.82,36021
36,22,689,589,85.49,89,12.92,11,1.6,36022
36,23,605,484,80.0,104,17.19,17,2.81,36023
36,24,637,525,82.42,96,15.07,16,2.51,36024
36,25,725,594,81.93,92,12.69,39,5.38,36025
36,26,671,567,84.5,80,11.92,24,3.58,36026
36,27,754,620,82.23,117,15.52,17,2.25,36027
37,1,436,388,88.99,35,8.03,13,2.98,37001
37,2,360,315,87.5,33,9.17,12,3.33,37002
37,3,405,388,95.8,11,2.72,6,1.48,37003
37,4,451,423,93.79,23,5.1,5,1.11,37004
37,5,315,290,92.06,16,5.08,9,2.86,37005
37,6,564,534,94.68,25,4.43,5,0.89,37006
37,7,398,358,89.95,32,8.04,8,2.01,37007
37,8,531,506,95.29,13,2.45,12,2.26,37008
37,9,229,215,93.89,8,3.49,6,2.62,37009
37,10,386,341,88.34,34,8.81,11,2.85,37010
37,11,386,366,94.82,15,3.89,5,1.3,37011
37,12,516,471,91.28,33,6.4,12,2.33,37012
37,13,312,290,92.95,17,5.45,5,1.6,37013
37,14,521,502,96.35,14,2.69,5,0.96,37014
37,15,476,443,93.07,23,4.83,10,2.1,37015
37,16,527,484,91.84,34,6.45,9,1.71,37016
37,17,315,302,95.87,9,2.86,4,1.27,37017
37,18,407,365,89.68,37,9.09,5,1.23,37018
37,19,308,278,90.26,24,7.79,6,1.95,37019
37,20,541,506,93.53,26,4.81,9,1.66,37020
37,21,328,293,89.33,29,8.84,6,1.83,37021
37,22,393,340,86.51,39,9.92,14,3.56,37022
38,1,898,315,35.08,566,63.03,17,1.89,38001
38,2,459,193,42.05,262,57.08,4,0.87,38002
38,3,627,279,44.5,334,53.27,14,2.23,38003
38,4,461,201,43.6,246,53.36,14,3.04,38004
38,5,708,323,45.62,372,52.54,13,1.84,38005
38,6,489,252,51.53,227,46.42,10,2.04,38006
38,7,553,301,54.43,240,43.4,12,2.17,38007
38,8,488,228,46.72,245,50.2,15,3.07,38008
38,9,474,277,58.44,185,39.03,12,2.53,38009
38,10,462,217,46.97,222,48.05,23,4.98,38010
38,11,567,334,58.91,225,39.68,8,1.41,38011
38,12,735,416,56.6,302,41.09,17,2.31,38012
38,13,396,215,54.29,170,42.93,11,2.78,38013
38,14,505,265,52.48,228,45.15,12,2.38,38014
38,15,424,232,54.72,182,42.92,10,2.36,38015
38,16,743,426,57.34,295,39.7,22,2.96,38016
38,17,629,384,61.05,227,36.09,18,2.86,38017
38,18,716,490,68.44,206,28.77,20,2.79,38018
38,19,772,512,66.32,232,30.05,28,3.63,38019
38,20,649,413,63.64,209,32.2,27,4.16,38020
38,21,799,529,66.21,243,30.41,27,3.38,38021
38,22,529,374,70.7,145,27.41,10,1.89,38022
38,23,764,524,68.59,222,29.06,18,2.36,38023
38,24,729,486,66.67,220,30.18,23,3.16,38024
38,25,873,654,74.91,190,21.76,29,3.32,38025
39,1,628,404,64.33,210,33.44,14,2.23,39001
39,2,348,240,68.97,101,29.02,7,2.01,39002
39,3,475,367,77.26,96,20.21,12,2.53,39003
39,4,669,378,56.5,273,40.81,18,2.69,39004
39,5,444,333,75.0,101,22.75,10,2.25,39005
39,6,339,246,72.57,81,23.89,12,3.54,39006
39,7,321,250,77.88,55,17.13,16,4.98,39007
39,8,332,252,75.9,74,22.29,6,1.81,39008
39,9,311,205,65.92,94,30.23,12,3.86,39009
39,10,422,360,85.31,51,12.09,11,2.61,39010
39,11,337,228,67.66,94,27.89,15,4.45,39011
39,12,564,408,72.34,137,24.29,19,3.37,39012
39,13,780,598,76.67,163,20.9,19,2.44,39013
39,14,883,415,47.0,447,50.62,21,2.38,39014
39,15,648,483,74.54,144,22.22,21,3.24,39015
39,16,381,288,75.59,82,21.52,11,2.89,39016
39,17,930,522,56.13,387,41.61,21,2.26,39017
39,18,401,222,55.36,166,41.4,13,3.24,39018
39,19,817,661,80.91,141,17.26,15,1.84,39019
39,20,550,310,56.36,232,42.18,8,1.45,39020
39,21,725,561,77.38,138,19.03,26,3.59,39021
39,22,374,200,53.48,156,41.71,18,4.81,39022
39,23,84,45,53.57,38,45.24,1,1.19,39023
39,24,512,416,81.25,77,15.04,19,3.71,39024
39,25,375,315,84.0,47,12.53,13,3.47,39025
39,26,319,256,80.25,52,16.3,11,3.45,39026
39,27,353,230,65.16,114,32.29,9,2.55,39027
39,28,365,272,74.52,80,21.92,13,3.56,39028
39,29,167,116,69.46,47,28.14,4,2.4,39029
39,30,318,216,67.92,95,29.87,7,2.2,39030
39,31,410,243,59.27,151,36.83,16,3.9,39031
39,32,915,554,60.55,338,36.94,23,2.51,39032
39,33,350,218,62.29,120,34.29,12,3.43,39033
39,34,403,229,56.82,160,39.7,14,3.47,39034
39,35,659,482,73.14,159,24.13,18,2.73,39035
40,1,577,480,83.19,82,14.21,15,2.6,40001
40,2,654,520,79.51,104,15.9,30,4.59,40002
40,3,624,510,81.73,101,16.19,13,2.08,40003
40,4,607,442,72.82,145,23.89,20,3.29,40004
40,5,488,391,80.12,84,17.21,13,2.66,40005
40,6,551,442,80.22,92,16.7,17,3.09,40006
40,7,609,517,84.89,71,11.66,21,3.45,40007
40,8,402,316,78.61,74,18.41,12,2.99,40008
40,9,722,564,78.12,138,19.11,20,2.77,40009
40,10,1074,938,87.34,119,11.08,17,1.58,40010
40,11,712,522,73.31,168,23.6,22,3.09,40011
40,12,730,617,84.52,97,13.29,16,2.19,40012
40,13,742,675,90.97,48,6.47,19,2.56,40013
40,14,981,902,91.95,58,5.91,21,2.14,40014
40,15,722,643,89.06,65,9.0,14,1.94,40015
40,16,703,648,92.18,39,5.55,16,2.28,40016
40,17,735,633,86.12,88,11.97,14,1.9,40017
40,18,842,733,87.05,91,10.81,18,2.14,40018
