ward,precinct,total,STANLEY NIZIOLEK,STANLEY NIZIOLEK Percent,RAHM EMANUEL,RAHM EMANUEL Percent,PAUL A. RAUNER,PAUL A. RAUNER Percent,NANCY KASZAK,NANCY KASZAK Percent,PETER DAGHER,PETER DAGHER Percent,MARK A. FREDRICKSON,MARK A. FREDRICKSON Percent,JOSEPH SLOVINEC,JOSEPH SLOVINEC Percent,RAY (THE ANGEL) LEAR,RAY (THE ANGEL) LEAR Percent,precinct_id
39,46,172,8,4.65,86,50.0,5,2.91,53,30.81,12,6.98,1,0.58,4,2.33,3,1.74,39046
39,47,126,3,2.38,74,58.73,0,0.0,39,30.95,7,5.56,3,2.38,0,0.0,0,0.0,39047
39,48,151,5,3.31,77,50.99,2,1.32,49,32.45,8,5.3,3,1.99,2,1.32,5,3.31,39048
39,49,112,1,0.89,69,61.61,0,0.0,23,20.54,12,10.71,4,3.57,2,1.79,1,0.89,39049
39,50,187,2,1.07,116,62.03,2,1.07,57,30.48,7,3.74,2,1.07,0,0.0,1,0.53,39050
40,1,122,3,2.46,73,59.84,2,1.64,32,26.23,10,8.2,0,0.0,0,0.0,2,1.64,40001
40,2,121,0,0.0,65,53.72,2,1.65,44,36.36,6,4.96,0,0.0,3,2.48,1,0.83,40002
40,5,149,1,0.67,91,61.07,0,0.0,42,28.19,8,5.37,2,1.34,1,0.67,4,2.68,40005
40,6,130,0,0.0,78,60.0,0,0.0,43,33.08,8,6.15,0,0.0,1,0.77,0,0.0,40006
40,10,187,0,0.0,99,52.94,3,1.6,72,38.5,10,5.35,1,0.53,1,0.53,1,0.53,40010
40,14,123,1,0.81,72,58.54,1,0.81,40,32.52,4,3.25,0,0.0,1,0.81,4,3.25,40014
40,15,164,2,1.22,82,50.0,0,0.0,57,34.76,16,9.76,4,2.44,2,1.22,1,0.61,40015
40,17,97,4,4.12,60,61.86,0,0.0,21,21.65,7,7.22,0,0.0,5,5.15,0,0.0,40017
40,19,127,5,3.94,72,56.69,2,1.57,32,25.2,11,8.66,3,2.36,2,1.57,0,0.0,40019
40,20,121,1,0.83,60,49.59,3,2.48,46,38.02,4,3.31,2,1.65,0,0.0,5,4.13,40020
40,21,145,0,0.0,74,51.03,3,2.07,60,41.38,5,3.45,1,0.69,1,0.69,1,0.69,40021
40,23,153,3,1.96,88,57.52,0,0.0,47,30.72,5,3.27,6,3.92,3,1.96,1,0.65,40023
40,24,109,3,2.75,68,62.39,2,1.83,22,20.18,11,10.09,1,0.92,1,0.92,1,0.92,40024
40,25,124,1,0.81,69,55.65,3,2.42,37,29.84,10,8.06,1,0.81,0,0.0,3,2.42,40025
40,29,218,1,0.46,131,60.09,3,1.38,64,29.36,13,5.96,1,0.46,2,0.92,3,1.38,40029
40,30,247,3,1.21,153,61.94,0,0.0,76,30.77,12,4.86,2,0.81,1,0.4,0,0.0,40030
40,31,155,0,0.0,97,62.58,0,0.0,48,30.97,5,3.23,1,0.65,3,1.94,1,0.65,40031
40,32,99,4,4.04,55,55.56,4,4.04,23,23.23,5,5.05,1,1.01,3,3.03,4,4.04,40032
40,34,133,1,0.75,89,66.92,5,3.76,21,15.79,12,9.02,0,0.0,2,1.5,3,2.26,40034
40,36,179,1,0.56,104,58.1,2,1.12,60,33.52,8,4.47,2,1.12,0,0.0,2,1.12,40036
40,38,93,3,3.23,61,65.59,0,0.0,17,18.28,7,7.53,2,2.15,3,3.23,0,0.0,40038
40,40,99,0,0.0,51,51.52,0,0.0,43,43.43,2,2.02,3,3.03,0,0.0,0,0.0,40040
40,41,15,0,0.0,11,73.33,0,0.0,4,26.67,0,0.0,0,0.0,0,0.0,0,0.0,40041
40,44,140,4,2.86,68,48.57,4,2.86,34,24.29,24,17.14,1,0.71,3,2.14,2,1.43,40044
40,45,248,5,2.02,143,57.66,4,1.61,78,31.45,4,1.61,3,1.21,5,2.02,6,2.42,40045
41,3,197,4,2.03,74,37.56,4,2.03,90,45.69,21,10.66,1,0.51,2,1.02,1,0.51,41003
41,9,176,5,2.84,64,36.36,0,0.0,90,51.14,11,6.25,2,1.14,0,0.0,4,2.27,41009
41,10,210,2,0.95,76,36.19,1,0.48,83,39.52,43,20.48,3,1.43,2,0.95,0,0.0,41010
41,11,6,0,0.0,2,33.33,0,0.0,4,66.67,0,0.0,0,0.0,0,0.0,0,0.0,41011
41,12,200,9,4.5,98,49.0,1,0.5,81,40.5,6,3.0,5,2.5,0,0.0,0,0.0,41012
41,14,259,3,1.16,113,43.63,3,1.16,113,43.63,23,8.88,0,0.0,1,0.39,3,1.16,41014
41,16,216,7,3.24,93,43.06,1,0.46,95,43.98,16,7.41,1,0.46,1,0.46,2,0.93,41016
41,19,232,3,1.29,120,51.72,3,1.29,86,37.07,16,6.9,2,0.86,1,0.43,1,0.43,41019
41,21,142,3,2.11,59,41.55,3,2.11,60,42.25,13,9.15,1,0.7,1,0.7,2,1.41,41021
41,22,199,9,4.52,78,39.2,3,1.51,83,41.71,20,10.05,3,1.51,2,1.01,1,0.5,41022
41,23,208,2,0.96,87,41.83,3,1.44,107,51.44,9,4.33,0,0.0,0,0.0,0,0.0,41023
41,24,166,5,3.01,70,42.17,3,1.81,66,39.76,17,10.24,2,1.2,3,1.81,0,0.0,41024
41,30,174,4,2.3,77,44.25,4,2.3,68,39.08,12,6.9,4,2.3,3,1.72,2,1.15,41030
41,35,168,4,2.38,64,38.1,0,0.0,69,41.07,26,15.48,2,1.19,1,0.6,2,1.19,41035
41,43,167,3,1.8,70,41.92,3,1.8,66,39.52,14,8.38,8,4.79,3,1.8,0,0.0,41043
41,46,189,8,4.23,92,48.68,0,0.0,68,35.98,9,4.76,4,2.12,3,1.59,5,2.65,41046
41,47,194,4,2.06,88,45.36,2,1.03,83,42.78,15,7.73,2,1.03,0,0.0,0,0.0,41047
41,50,191,6,3.14,98,51.31,2,1.05,57,29.84,21,10.99,4,2.09,0,0.0,3,1.57,41050
41,51,99,3,3.03,46,46.46,0,0.0,45,45.45,4,4.04,0,0.0,1,1.01,0,0.0,41051
41,54,171,2,1.17,78,45.61,3,1.75,58,33.92,29,16.96,1,0.58,0,0.0,0,0.0,41054
41,57,182,5,2.75,60,32.97,2,1.1,92,50.55,16,8.79,2,1.1,3,1.65,2,1.1,41057
41,59,180,1,0.56,76,42.22,2,1.11,75,41.67,24,13.33,0,0.0,1,0.56,1,0.56,41059
41,62,184,6,3.26,92,50.0,4,2.17,63,34.24,16,8.7,1,0.54,0,0.0,2,1.09,41062
41,65,161,5,3.11,63,39.13,4,2.48,73,45.34,12,7.45,3,1.86,1,0.62,0,0.0,41065
41,66,209,0,0.0,92,44.02,0,0.0,86,41.15,25,11.96,1,0.48,0,0.0,5,2.39,41066
43,2,92,1,1.09,46,50.0,1,1.09,38,41.3,4,4.35,0,0.0,1,1.09,1,1.09,43002
43,6,120,3,2.5,49,40.83,2,1.67,51,42.5,9,7.5,0,0.0,4,3.33,2,1.67,43006
43,7,121,1,0.83,80,66.12,1,0.83,37,30.58,2,1.65,0,0.0,0,0.0,0,0.0,43007
43,8,138,2,1.45,80,57.97,2,1.45,44,31.88,4,2.9,4,2.9,1,0.72,1,0.72,43008
43,10,44,1,2.27,19,43.18,0,0.0,21,47.73,2,4.55,0,0.0,1,2.27,0,0.0,43010
43,11,8,0,0.0,3,37.5,0,0.0,4,50.0,1,12.5,0,0.0,0,0.0,0,0.0,43011
43,12,181,1,0.55,106,58.56,2,1.1,64,35.36,5,2.76,0,0.0,1,0.55,2,1.1,43012
43,14,150,1,0.67,100,66.67,1,0.67,46,30.67,0,0.0,1,0.67,0,0.0,1,0.67,43014
43,17,170,0,0.0,99,58.24,1,0.59,63,37.06,4,2.35,1,0.59,2,1.18,0,0.0,43017
43,19,147,5,3.4,81,55.1,1,0.68,56,38.1,0,0.0,4,2.72,0,0.0,0,0.0,43019
43,20,191,0,0.0,122,63.87,1,0.52,60,31.41,3,1.57,4,2.09,1,0.52,0,0.0,43020
43,21,5,0,0.0,2,40.0,0,0.0,2,40.0,1,20.0,0,0.0,0,0.0,0,0.0,43021
43,22,96,1,1.04,56,58.33,0,0.0,35,36.46,0,0.0,1,1.04,2,2.08,1,1.04,43022
43,27,109,0,0.0,63,57.8,0,0.0,39,35.78,3,2.75,3,2.75,0,0.0,1,0.92,43027
43,29,85,0,0.0,48,56.47,0,0.0,33,38.82,3,3.53,0,0.0,0,0.0,1,1.18,43029
43,31,133,2,1.5,73,54.89,5,3.76,39,29.32,4,3.01,5,3.76,2,1.5,3,2.26,43031
43,32,109,1,0.92,67,61.47,2,1.83,33,30.28,4,3.67,0,0.0,0,0.0,2,1.83,43032
43,33,71,0,0.0,44,61.97,2,2.82,21,29.58,1,1.41,2,2.82,0,0.0,1,1.41,43033
43,34,72,1,1.39,41,56.94,1,1.39,24,33.33,2,2.78,1,1.39,2,2.78,0,0.0,43034
43,35,151,1,0.66,75,49.67,0,0.0,68,45.03,4,2.65,1,0.66,1,0.66,1,0.66,43035
43,38,106,1,0.94,71,66.98,2,1.89,28,26.42,3,2.83,0,0.0,0,0.0,1,0.94,43038
43,39,101,0,0.0,69,68.32,0,0.0,26,25.74,1,0.99,2,1.98,1,0.99,2,1.98,43039
43,41,51,1,1.96,24,47.06,0,0.0,22,43.14,1,1.96,0,0.0,2,3.92,1,1.96,43041
43,43,107,0,0.0,58,54.21,3,2.8,36,33.64,3,2.8,2,1.87,3,2.8,2,1.87,43043
43,44,153,0,0.0,106,69.28,2,1.31,38,24.84,1,0.65,4,2.61,1,0.65,1,0.65,43044
43,45,114,0,0.0,62,54.39,1,0.88,45,39.47,2,1.75,1,0.88,0,0.0,3,2.63,43045
43,48,124,2,1.61,70,56.45,4,3.23,34,27.42,8,6.45,2,1.61,1,0.81,3,2.42,43048
43,50,116,1,0.86,75,64.66,0,0.0,34,29.31,1,0.86,4,3.45,0,0.0,1,0.86,43050
43,51,94,0,0.0,42,44.68,0,0.0,45,47.87,4,4.26,2,2.13,1,1.06,0,0.0,43051
43,53,143,2,1.4,88,61.54,2,1.4,38,26.57,3,2.1,4,2.8,0,0.0,6,4.2,43053
43,54,62,1,1.61,38,61.29,0,0.0,20,32.26,2,3.23,0,0.0,0,0.0,1,1.61,43054
43,56,112,1,0.89,61,54.46,1,0.89,41,36.61,5,4.46,2,1.79,1,0.89,0,0.0,43056
43,57,59,0,0.0,33,55.93,0,0.0,19,32.2,5,8.47,0,0.0,1,1.69,1,1.69,43057
43,58,135,1,0.74,82,60.74,0,0.0,49,36.3,2,1.48,0,0.0,1,0.74,0,0.0,43058
43,59,184,1,0.54,140,76.09,0,0.0,37,20.11,1,0.54,2,1.09,2,1.09,1,0.54,43059
43,60,108,2,1.85,70,64.81,3,2.78,25,23.15,2,1.85,2,1.85,3,2.78,1,0.93,43060
44,1,169,0,0.0,103,60.95,2,1.18,58,34.32,5,2.96,1,0.59,0,0.0,0,0.0,44001
44,2,108,1,0.93,75,69.44,0,0.0,29,26.85,1,0.93,0,0.0,2,1.85,0,0.0,44002
44,5,153,5,3.27,99,64.71,1,0.65,38,24.84,4,2.61,1,0.65,2,1.31,3,1.96,44005
44,6,125,0,0.0,73,58.4,1,0.8,47,37.6,2,1.6,0,0.0,0,0.0,2,1.6,44006
44,8,55,0,0.0,32,58.18,0,0.0,20,36.36,2,3.64,0,0.0,1,1.82,0,0.0,44008
44,9,183,1,0.55,102,55.74,0,0.0,67,36.61,9,4.92,1,0.55,2,1.09,1,0.55,44009
44,10,156,1,0.64,79,50.64,1,0.64,68,43.59,5,3.21,0,0.0,2,1.28,0,0.0,44010
44,11,143,2,1.4,78,54.55,1,0.7,53,37.06,5,3.5,2,1.4,1,0.7,1,0.7,44011
44,12,117,1,0.85,78,66.67,0,0.0,37,31.62,0,0.0,0,0.0,1,0.85,0,0.0,44012
44,13,164,0,0.0,76,46.34,1,0.61,80,48.78,5,3.05,1,0.61,1,0.61,0,0.0,44013
44,14,165,2,1.21,100,60.61,0,0.0,51,30.91,5,3.03,2,1.21,2,1.21,3,1.82,44014
44,15,181,0,0.0,119,65.75,0,0.0,53,29.28,5,2.76,2,1.1,0,0.0,2,1.1,44015
44,16,133,0,0.0,61,45.86,1,0.75,68,51.13,2,1.5,1,0.75,0,0.0,0,0.0,44016
44,17,182,1,0.55,99,54.4,0,0.0,68,37.36,12,6.59,0,0.0,1,0.55,1,0.55,44017
44,18,16,0,0.0,11,68.75,0,0.0,4,25.0,0,0.0,0,0.0,0,0.0,1,6.25,44018
44,19,89,0,0.0,69,77.53,0,0.0,20,22.47,0,0.0,0,0.0,0,0.0,0,0.0,44019
44,20,157,1,0.64,89,56.69,2,1.27,52,33.12,8,5.1,3,1.91,1,0.64,1,0.64,44020
44,21,138,0,0.0,80,57.97,0,0.0,51,36.96,2,1.45,1,0.72,1,0.72,3,2.17,44021
44,22,145,1,0.69,99,68.28,1,0.69,35,24.14,4,2.76,3,2.07,2,1.38,0,0.0,44022
44,23,132,0,0.0,74,56.06,1,0.76,51,38.64,4,3.03,0,0.0,1,0.76,1,0.76,44023
44,24,107,1,0.93,69,64.49,1,0.93,32,29.91,2,1.87,1,0.93,0,0.0,1,0.93,44024
44,25,161,1,0.62,87,54.04,3,1.86,66,40.99,4,2.48,0,0.0,0,0.0,0,0.0,44025
44,26,100,1,1.0,65,65.0,0,0.0,30,30.0,1,1.0,0,0.0,2,2.0,1,1.0,44026
44,27,165,1,0.61,88,53.33,1,0.61,64,38.79,6,3.64,3,1.82,1,0.61,1,0.61,44027
44,28,94,1,1.06,49,52.13,1,1.06,37,39.36,2,2.13,2,2.13,1,1.06,1,1.06,44028
44,29,138,0,0.0,76,55.07,3,2.17,52,37.68,2,1.45,2,1.45,2,1.45,1,0.72,44029
44,30,103,1,0.97,61,59.22,0,0.0,37,35.92,4,3.88,0,0.0,0,0.0,0,0.0,44030
44,31,187,1,0.53,106,56.68,2,1.07,65,34.76,5,2.67,1,0.53,2,1.07,5,2.67,44031
44,32,84,0,0.0,47,55.95,0,0.0,35,41.67,2,2.38,0,0.0,0,0.0,0,0.0,44032
44,33,175,2,1.14,116,66.29,1,0.57,53,30.29,2,1.14,1,0.57,0,0.0,0,0.0,44033
44,34,102,1,0.98,52,50.98,1,0.98,45,44.12,0,0.0,1,0.98,1,0.98,1,0.98,44034
44,36,142,1,0.7,83,58.45,1,0.7,53,37.32,2,1.41,0,0.0,1,0.7,1,0.7,44036
44,37,209,1,0.48,129,61.72,1,0.48,73,34.93,2,0.96,1,0.48,1,0.48,1,0.48,44037
44,38,171,0,0.0,112,65.5,0,0.0,53,30.99,2,1.17,3,1.75,1,0.58,0,0.0,44038
44,39,155,0,0.0,105,67.74,0,0.0,46,29.68,3,1.94,0,0.0,1,0.65,0,0.0,44039
44,40,144,0,0.0,89,61.81,2,1.39,48,33.33,4,2.78,1,0.69,0,0.0,0,0.0,44040
44,41,153,2,1.31,94,61.44,3,1.96,43,28.1,3,1.96,2,1.31,3,1.96,3,1.96,44041
44,42,161,2,1.24,109,67.7,1,0.62,39,24.22,5,3.11,0,0.0,2,1.24,3,1.86,44042
44,43,175,2,1.14,99,56.57,1,0.57,67,38.29,3,1.71,0,0.0,2,1.14,1,0.57,44043
44,44,201,2,1.0,109,54.23,2,1.0,72,35.82,4,1.99,2,1.0,3,1.49,7,3.48,44044
44,45,68,1,1.47,45,66.18,0,0.0,17,25.0,3,4.41,1,1.47,0,0.0,1,1.47,44045
44,46,112,1,0.89,72,64.29,0,0.0,37,33.04,0,0.0,1,0.89,1,0.89,0,0.0,44046
44,47,138,1,0.72,83,60.14,1,0.72,46,33.33,5,3.62,0,0.0,0,0.0,2,1.45,44047
44,50,148,0,0.0,73,49.32,2,1.35,63,42.57,4,2.7,2,1.35,1,0.68,3,2.03,44050
45,1,166,2,1.2,83,50.0,1,0.6,52,31.33,23,13.86,1,0.6,3,1.81,1,0.6,45001
45,2,202,2,0.99,101,50.0,2,0.99,83,41.09,10,4.95,2,0.99,0,0.0,2,0.99,45002
45,3,318,3,0.94,198,62.26,6,1.89,95,29.87,12,3.77,1,0.31,1,0.31,2,0.63,45003
45,4,186,2,1.08,87,46.77,2,1.08,73,39.25,14,7.53,6,3.23,1,0.54,1,0.54,45004
45,5,124,1,0.81,61,49.19,1,0.81,53,42.74,5,4.03,1,0.81,1,0.81,1,0.81,45005
45,6,165,4,2.42,84,50.91,1,0.61,68,41.21,8,4.85,0,0.0,0,0.0,0,0.0,45006
45,7,203,2,0.99,108,53.2,5,2.46,77,37.93,6,2.96,0,0.0,2,0.99,3,1.48,45007
45,8,172,4,2.33,75,43.6,0,0.0,82,47.67,5,2.91,2,1.16,4,2.33,0,0.0,45008
45,9,254,7,2.76,122,48.03,2,0.79,108,42.52,8,3.15,1,0.39,6,2.36,0,0.0,45009
45,10,256,5,1.95,118,46.09,0,0.0,105,41.02,15,5.86,3,1.17,4,1.56,6,2.34,45010
45,11,196,4,2.04,93,47.45,3,1.53,81,41.33,10,5.1,3,1.53,1,0.51,1,0.51,45011
45,12,214,4,1.87,95,44.39,3,1.4,93,43.46,13,6.07,3,1.4,2,0.93,1,0.47,45012
45,13,232,3,1.29,123,53.02,2,0.86,86,37.07,14,6.03,0,0.0,2,0.86,2,0.86,45013
45,14,243,6,2.47,110,45.27,1,0.41,101,41.56,10,4.12,7,2.88,5,2.06,3,1.23,45014
45,15,241,6,2.49,106,43.98,2,0.83,107,44.4,15,6.22,2,0.83,1,0.41,2,0.83,45015
45,16,216,6,2.78,106,49.07,0,0.0,91,42.13,5,2.31,2,0.93,1,0.46,5,2.31,45016
45,17,174,4,2.3,73,41.95,1,0.57,84,48.28,6,3.45,2,1.15,1,0.57,3,1.72,45017
45,18,190,2,1.05,115,60.53,1,0.53,61,32.11,8,4.21,1,0.53,1,0.53,1,0.53,45018
45,19,286,4,1.4,131,45.8,3,1.05,124,43.36,17,5.94,5,1.75,1,0.35,1,0.35,45019
45,20,203,2,0.99,89,43.84,2,0.99,89,43.84,12,5.91,4,1.97,2,0.99,3,1.48,45020
45,21,203,3,1.48,91,44.83,0,0.0,93,45.81,6,2.96,8,3.94,0,0.0,2,0.99,45021
45,22,173,5,2.89,62,35.84,2,1.16,93,53.76,8,4.62,1,0.58,1,0.58,1,0.58,45022
45,23,188,4,2.13,79,42.02,3,1.6,86,45.74,12,6.38,3,1.6,1,0.53,0,0.0,45023
45,24,262,2,0.76,112,42.75,1,0.38,120,45.8,16,6.11,4,1.53,7,2.67,0,0.0,45024
45,25,165,3,1.82,81,49.09,4,2.42,68,41.21,6,3.64,2,1.21,0,0.0,1,0.61,45025
45,26,203,4,1.97,100,49.26,1,0.49,77,37.93,14,6.9,2,0.99,3,1.48,2,0.99,45026
45,27,201,3,1.49,101,50.25,1,0.5,88,43.78,6,2.99,1,0.5,1,0.5,0,0.0,45027
45,28,226,5,2.21,128,56.64,6,2.65,74,32.74,5,2.21,1,0.44,4,1.77,3,1.33,45028
45,29,215,2,0.93,98,45.58,3,1.4,99,46.05,10,4.65,1,0.47,1,0.47,1,0.47,45029
45,30,240,3,1.25,87,36.25,2,0.83,127,52.92,12,5.0,6,2.5,1,0.42,2,0.83,45030
45,31,194,3,1.55,91,46.91,3,1.55,79,40.72,9,4.64,3,1.55,3,1.55,3,1.55,45031
45,32,167,3,1.8,74,44.31,2,1.2,76,45.51,7,4.19,3,1.8,0,0.0,2,1.2,45032
45,33,243,4,1.65,110,45.27,7,2.88,98,40.33,15,6.17,6,2.47,1,0.41,2,0.82,45033
45,34,190,2,1.05,68,35.79,0,0.0,106,55.79,8,4.21,2,1.05,1,0.53,3,1.58,45034
45,35,187,6,3.21,74,39.57,3,1.6,81,43.32,15,8.02,3,1.6,2,1.07,3,1.6,45035
45,36,263,4,1.52,118,44.87,3,1.14,116,44.11,14,5.32,5,1.9,2,0.76,1,0.38,45036
45,37,184,0,0.0,83,45.11,1,0.54,82,44.57,11,5.98,1,0.54,2,1.09,4,2.17,45037
45,38,287,10,3.48,143,49.83,1,0.35,116,40.42,11,3.83,0,0.0,1,0.35,5,1.74,45038
45,39,253,7,2.77,123,48.62,5,1.98,104,41.11,8,3.16,4,1.58,1,0.4,1,0.4,45039
45,40,219,3,1.37,116,52.97,0,0.0,84,38.36,8,3.65,1,0.46,2,0.91,5,2.28,45040
45,41,172,5,2.91,89,51.74,1,0.58,51,29.65,18,10.47,4,2.33,3,1.74,1,0.58,45041
45,42,224,7,3.13,106,47.32,0,0.0,93,41.52,14,6.25,2,0.89,1,0.45,1,0.45,45042
45,43,195,7,3.59,87,44.62,2,1.03,84,43.08,11,5.64,1,0.51,2,1.03,1,0.51,45043
45,44,237,8,3.38,123,51.9,2,0.84,85,35.86,15,6.33,2,0.84,1,0.42,1,0.42,45044
45,45,162,4,2.47,77,47.53,0,0.0,72,44.44,2,1.23,2,1.23,1,0.62,4,2.47,45045
45,46,224,4,1.79,107,47.77,3,1.34,84,37.5,16,7.14,2,0.89,5,2.23,3,1.34,45046
45,47,209,3,1.44,95,45.45,1,0.48,96,45.93,8,3.83,1,0.48,0,0.0,5,2.39,45047
45,48,179,1,0.56,79,44.13,4,2.23,80,44.69,10,5.59,1,0.56,2,1.12,2,1.12,45048
45,49,199,6,3.02,97,48.74,3,1.51,69,34.67,19,9.55,1,0.5,3,1.51,1,0.5,45049
45,50,171,2,1.17,63,36.84,0,0.0,77,45.03,19,11.11,3,1.75,4,2.34,3,1.75,45050
45,51,220,3,1.36,101,45.91,2,0.91,95,43.18,15,6.82,2,0.91,0,0.0,2,0.91,45051
45,52,191,2,1.05,77,40.31,0,0.0,93,48.69,13,6.81,3,1.57,0,0.0,3,1.57,45052
45,53,223,2,0.9,90,40.36,4,1.79,94,42.15,25,11.21,1,0.45,2,0.9,5,2.24,45053
45,54,222,4,1.8,91,40.99,1,0.45,113,50.9,11,4.95,1,0.45,0,0.0,1,0.45,45054
45,55,176,2,1.14,80,45.45,2,1.14,75,42.61,10,5.68,1,0.57,1,0.57,5,2.84,45055
45,56,168,4,2.38,76,45.24,1,0.6,77,45.83,6,3.57,2,1.19,2,1.19,0,0.0,45056
45,57,201,1,0.5,111,55.22,1,0.5,73,36.32,13,6.47,0,0.0,1,0.5,1,0.5,45057
45,58,120,3,2.5,51,42.5,1,0.83,52,43.33,11,9.17,1,0.83,1,0.83,0,0.0,45058
46,3,181,4,2.21,97,53.59,5,2.76,62,34.25,4,2.21,2,1.1,2,1.1,5,2.76,46003
46,5,127,1,0.79,73,57.48,1,0.79,44,34.65,2,1.57,3,2.36,1,0.79,2,1.57,46005
46,10,56,0,0.0,29,51.79,0,0.0,20,35.71,2,3.57,0,0.0,1,1.79,4,7.14,46010
46,13,198,1,0.51,127,64.14,0,0.0,53,26.77,7,3.54,4,2.02,3,1.52,3,1.52,46013
46,17,152,2,1.32,91,59.87,1,0.66,55,36.18,1,0.66,0,0.0,0,0.0,2,1.32,46017
46,18,224,4,1.79,134,59.82,2,0.89,75,33.48,3,1.34,2,0.89,3,1.34,1,0.45,46018
46,24,136,0,0.0,75,55.15,0,0.0,56,41.18,3,2.21,2,1.47,0,0.0,0,0.0,46024
46,29,190,0,0.0,125,65.79,4,2.11,52,27.37,4,2.11,1,0.53,3,1.58,1,0.53,46029
46,31,197,0,0.0,125,63.45,0,0.0,66,33.5,4,2.03,1,0.51,0,0.0,1,0.51,46031
46,36,206,4,1.94,126,61.17,1,0.49,64,31.07,6,2.91,0,0.0,2,0.97,3,1.46,46036
46,37,206,3,1.46,125,60.68,2,0.97,61,29.61,4,1.94,4,1.94,4,1.94,3,1.46,46037
47,1,114,1,0.88,64,56.14,3,2.63,41,35.96,4,3.51,0,0.0,0,0.0,1,0.88,47001
47,2,288,8,2.78,113,39.24,3,1.04,145,50.35,11,3.82,3,1.04,2,0.69,3,1.04,47002
47,3,194,1,0.52,76,39.18,2,1.03,103,53.09,9,4.64,0,0.0,1,0.52,2,1.03,47003
47,4,281,2,0.71,118,41.99,3,1.07,143,50.89,10,3.56,1,0.36,1,0.36,3,1.07,47004
47,5,196,0,0.0,109,55.61,0,0.0,75,38.27,5,2.55,1,0.51,0,0.0,6,3.06,47005
47,6,283,3,1.06,140,49.47,3,1.06,124,43.82,7,2.47,2,0.71,2,0.71,2,0.71,47006
47,7,206,2,0.97,106,51.46,0,0.0,83,40.29,6,2.91,3,1.46,4,1.94,2,0.97,47007
47,8,289,5,1.73,135,46.71,1,0.35,130,44.98,11,3.81,0,0.0,3,1.04,4,1.38,47008
47,9,248,2,0.81,102,41.13,0,0.0,130,52.42,9,3.63,1,0.4,3,1.21,1,0.4,47009
47,10,207,1,0.48,88,42.51,1,0.48,106,51.21,6,2.9,1,0.48,1,0.48,3,1.45,47010
47,11,343,1,0.29,204,59.48,1,0.29,121,35.28,9,2.62,2,0.58,2,0.58,3,0.87,47011
47,12,248,4,1.61,113,45.56,4,1.61,117,47.18,4,1.61,1,0.4,2,0.81,3,1.21,47012
47,13,353,1,0.28,173,49.01,3,0.85,164,46.46,6,1.7,2,0.57,3,0.85,1,0.28,47013
47,14,287,3,1.05,114,39.72,2,0.7,152,52.96,10,3.48,1,0.35,3,1.05,2,0.7,47014
47,15,167,2,1.2,84,50.3,2,1.2,71,42.51,6,3.59,0,0.0,2,1.2,0,0.0,47015
47,16,157,1,0.64,67,42.68,2,1.27,78,49.68,6,3.82,0,0.0,3,1.91,0,0.0,47016
47,17,232,4,1.72,103,44.4,5,2.16,110,47.41,7,3.02,1,0.43,1,0.43,1,0.43,47017
47,18,210,2,0.95,86,40.95,0,0.0,115,54.76,3,1.43,0,0.0,3,1.43,1,0.48,47018
47,19,270,2,0.74,161,59.63,1,0.37,97,35.93,6,2.22,1,0.37,1,0.37,1,0.37,47019
47,20,220,2,0.91,128,58.18,1,0.45,76,34.55,6,2.73,2,0.91,3,1.36,2,0.91,47020
47,21,140,0,0.0,71,50.71,1,0.71,61,43.57,4,2.86,1,0.71,0,0.0,2,1.43,47021
47,22,166,1,0.6,85,51.2,0,0.0,69,41.57,6,3.61,1,0.6,2,1.2,2,1.2,47022
47,23,83,0,0.0,47,56.63,0,0.0,30,36.14,4,4.82,1,1.2,0,0.0,1,1.2,47023
47,24,142,0,0.0,76,53.52,1,0.7,62,43.66,2,1.41,0,0.0,1,0.7,0,0.0,47024
47,25,195,1,0.51,98,50.26,0,0.0,82,42.05,4,2.05,3,1.54,2,1.03,5,2.56,47025
47,26,288,1,0.35,156,54.17,1,0.35,116,40.28,11,3.82,0,0.0,1,0.35,2,0.69,47026
47,27,184,2,1.09,83,45.11,1,0.54,93,50.54,3,1.63,1,0.54,0,0.0,1,0.54,47027
47,28,276,2,0.72,106,38.41,2,0.72,157,56.88,6,2.17,1,0.36,2,0.72,0,0.0,47028
47,29,202,1,0.5,88,43.56,2,0.99,96,47.52,5,2.48,2,0.99,4,1.98,4,1.98,47029
47,30,118,2,1.69,68,57.63,3,2.54,37,31.36,4,3.39,2,1.69,2,1.69,0,0.0,47030
47,31,221,3,1.36,116,52.49,1,0.45,94,42.53,5,2.26,0,0.0,1,0.45,1,0.45,47031
47,32,274,2,0.73,143,52.19,2,0.73,116,42.34,8,2.92,0,0.0,2,0.73,1,0.36,47032
47,33,197,0,0.0,97,49.24,2,1.02,92,46.7,4,2.03,0,0.0,2,1.02,0,0.0,47033
47,34,224,1,0.45,134,59.82,1,0.45,78,34.82,6,2.68,1,0.45,1,0.45,2,0.89,47034
47,35,268,1,0.37,131,48.88,2,0.75,110,41.04,7,2.61,4,1.49,5,1.87,8,2.99,47035
47,36,226,2,0.88,143,63.27,1,0.44,72,31.86,4,1.77,1,0.44,1,0.44,2,0.88,47036
47,37,226,2,0.88,107,47.35,0,0.0,106,46.9,9,3.98,2,0.88,0,0.0,0,0.0,47037
