ward,precinct,total,ROBERT R. EGAN,ROBERT R. EGAN Percent,MARY ANNE MASON,MARY ANNE MASON Percent,precinct_id
13,2,172,69,40.12,103,59.88,13002
13,3,219,87,39.73,132,60.27,13003
13,4,242,71,29.34,171,70.66,13004
13,5,170,61,35.88,109,64.12,13005
13,6,181,82,45.3,99,54.7,13006
13,7,243,63,25.93,180,74.07,13007
13,8,209,78,37.32,131,62.68,13008
13,9,241,73,30.29,168,69.71,13009
13,10,200,85,42.5,115,57.5,13010
13,11,174,72,41.38,102,58.62,13011
13,12,238,69,28.99,169,71.01,13012
13,13,310,52,16.77,258,83.23,13013
13,14,171,43,25.15,128,74.85,13014
13,15,263,57,21.67,206,78.33,13015
13,16,206,66,32.04,140,67.96,13016
13,17,146,44,30.14,102,69.86,13017
13,18,185,68,36.76,117,63.24,13018
13,19,193,59,30.57,134,69.43,13019
13,20,206,72,34.95,134,65.05,13020
13,21,193,50,25.91,143,74.09,13021
13,22,234,92,39.32,142,60.68,13022
13,23,226,47,20.8,179,79.2,13023
13,24,285,117,41.05,168,58.95,13024
13,25,180,58,32.22,122,67.78,13025
13,26,184,71,38.59,113,61.41,13026
13,27,225,76,33.78,149,66.22,13027
13,28,183,75,40.98,108,59.02,13028
13,29,223,73,32.74,150,67.26,13029
13,30,201,86,42.79,115,57.21,13030
13,31,197,51,25.89,146,74.11,13031
13,32,165,60,36.36,105,63.64,13032
13,33,179,55,30.73,124,69.27,13033
13,34,222,71,31.98,151,68.02,13034
13,35,255,66,25.88,189,74.12,13035
13,36,149,51,34.23,98,65.77,13036
13,37,166,48,28.92,118,71.08,13037
13,38,102,37,36.27,65,63.73,13038
13,39,201,68,33.83,133,66.17,13039
13,40,172,62,36.05,110,63.95,13040
13,41,172,56,32.56,116,67.44,13041
13,42,298,89,29.87,209,70.13,13042
13,43,237,77,32.49,160,67.51,13043
