ward,precinct,total,WILLIAM B. RAINES,WILLIAM B. RAINES Percent,KERRY M. KENNEDY,KERRY M. KENNEDY Percent,PENELOPE MORRIS,PENELOPE MORRIS Percent,precinct_id
8,1,233,73,31.33,86,36.91,74,31.76,08001
8,2,124,51,41.13,46,37.1,27,21.77,08002
8,3,294,107,36.39,96,32.65,91,30.95,08003
8,4,208,52,25.0,106,50.96,50,24.04,08004
8,5,250,67,26.8,92,36.8,91,36.4,08005
8,6,227,60,26.43,101,44.49,66,29.07,08006
8,7,155,46,29.68,59,38.06,50,32.26,08007
8,8,233,83,35.62,86,36.91,64,27.47,08008
8,9,266,91,34.21,97,36.47,78,29.32,08009
8,10,263,76,28.9,105,39.92,82,31.18,08010
8,11,154,60,38.96,54,35.06,40,25.97,08011
8,12,191,56,29.32,86,45.03,49,25.65,08012
8,13,156,39,25.0,83,53.21,34,21.79,08013
8,14,165,47,28.48,64,38.79,54,32.73,08014
8,15,173,67,38.73,53,30.64,53,30.64,08015
8,16,230,69,30.0,85,36.96,76,33.04,08016
8,17,167,46,27.54,72,43.11,49,29.34,08017
8,18,139,45,32.37,70,50.36,24,17.27,08018
8,19,239,84,35.15,80,33.47,75,31.38,08019
8,20,155,61,39.35,55,35.48,39,25.16,08020
8,21,162,36,22.22,59,36.42,67,41.36,08021
8,22,187,71,37.97,74,39.57,42,22.46,08022
8,23,168,45,26.79,69,41.07,54,32.14,08023
8,24,215,70,32.56,83,38.6,62,28.84,08024
8,25,203,58,28.57,95,46.8,50,24.63,08025
8,26,123,38,30.89,53,43.09,32,26.02,08026
8,27,238,57,23.95,99,41.6,82,34.45,08027
8,28,168,44,26.19,82,48.81,42,25.0,08028
8,29,205,48,23.41,89,43.41,68,33.17,08029
8,30,186,65,34.95,60,32.26,61,32.8,08030
8,31,174,55,31.61,71,40.8,48,27.59,08031
8,32,322,84,26.09,95,29.5,143,44.41,08032
8,33,201,46,22.89,119,59.2,36,17.91,08033
8,34,237,67,28.27,94,39.66,76,32.07,08034
8,35,257,81,31.52,83,32.3,93,36.19,08035
8,36,199,56,28.14,86,43.22,57,28.64,08036
8,37,179,71,39.66,61,34.08,47,26.26,08037
8,38,186,57,30.65,83,44.62,46,24.73,08038
8,39,236,59,25.0,83,35.17,94,39.83,08039
8,40,204,79,38.73,70,34.31,55,26.96,08040
8,41,190,55,28.95,83,43.68,52,27.37,08041
8,42,194,75,38.66,64,32.99,55,28.35,08042
8,43,154,56,36.36,61,39.61,37,24.03,08043
8,44,247,60,24.29,116,46.96,71,28.74,08044
8,45,173,50,28.9,87,50.29,36,20.81,08045
8,46,144,52,36.11,54,37.5,38,26.39,08046
8,47,203,71,34.98,88,43.35,44,21.67,08047
8,48,195,52,26.67,103,52.82,40,20.51,08048
8,49,218,78,35.78,73,33.49,67,30.73,08049
8,50,197,75,38.07,53,26.9,69,35.03,08050
8,51,190,66,34.74,65,34.21,59,31.05,08051
8,52,239,69,28.87,93,38.91,77,32.22,08052
8,53,232,64,27.59,100,43.1,68,29.31,08053
8,54,191,67,35.08,77,40.31,47,24.61,08054
8,55,168,63,37.5,50,29.76,55,32.74,08055
8,56,156,36,23.08,78,50.0,42,26.92,08056
8,57,231,76,32.9,98,42.42,57,24.68,08057
