ward,precinct,total,DARLENA WILLIAMS-BURNETT,DARLENA WILLIAMS-BURNETT Percent,MARY RUSSELL GARDNER,MARY RUSSELL GARDNER Percent,GEORGIA CLAYTON,GEORGIA CLAYTON Percent,precinct_id
42,67,181,101,55.8,57,31.49,23,12.71,42067
42,68,70,21,30.0,34,48.57,15,21.43,42068
43,1,68,29,42.65,31,45.59,8,11.76,43001
43,3,72,22,30.56,37,51.39,13,18.06,43003
43,4,75,17,22.67,46,61.33,12,16.0,43004
43,5,84,30,35.71,40,47.62,14,16.67,43005
43,7,3,1,33.33,2,66.67,0,0.0,43007
43,9,52,15,28.85,27,51.92,10,19.23,43009
43,10,3,0,0.0,3,100.0,0,0.0,43010
43,11,52,13,25.0,26,50.0,13,25.0,43011
43,13,51,16,31.37,24,47.06,11,21.57,43013
43,15,82,29,35.37,36,43.9,17,20.73,43015
43,16,75,23,30.67,43,57.33,9,12.0,43016
43,18,118,37,31.36,58,49.15,23,19.49,43018
43,21,31,6,19.35,20,64.52,5,16.13,43021
43,23,95,38,40.0,46,48.42,11,11.58,43023
43,24,76,32,42.11,37,48.68,7,9.21,43024
43,25,110,57,51.82,36,32.73,17,15.45,43025
43,26,86,27,31.4,52,60.47,7,8.14,43026
43,28,57,20,35.09,28,49.12,9,15.79,43028
43,30,48,11,22.92,27,56.25,10,20.83,43030
43,36,70,20,28.57,41,58.57,9,12.86,43036
43,37,69,21,30.43,36,52.17,12,17.39,43037
43,40,129,52,40.31,58,44.96,19,14.73,43040
43,41,38,8,21.05,26,68.42,4,10.53,43041
43,42,96,36,37.5,44,45.83,16,16.67,43042
43,46,109,37,33.94,61,55.96,11,10.09,43046
43,47,108,42,38.89,51,47.22,15,13.89,43047
43,49,63,18,28.57,32,50.79,13,20.63,43049
43,52,118,40,33.9,65,55.08,13,11.02,43052
43,55,102,64,62.75,26,25.49,12,11.76,43055
