ward,precinct,total,ROBERT E. GORDON,ROBERT E. GORDON Percent,THOMAS O'BRIEN,THOMAS O'BRIEN Percent,DEBORAH JEAN GUBIN,DEBORAH JEAN GUBIN Percent,STEPHEN JAFFE,STEPHEN JAFFE Percent,JENNIFER C. DOUGHTY DAVENPORT,JENNIFER C. DOUGHTY DAVENPORT Percent,KATHLEEN MARIE BURKE,KATHLEEN MARIE BURKE Percent,precinct_id
48,19,140,35,25.0,24,17.14,37,26.43,10,7.14,8,5.71,26,18.57,48019
48,20,124,32,25.81,20,16.13,29,23.39,14,11.29,13,10.48,16,12.9,48020
48,21,177,52,29.38,30,16.95,16,9.04,9,5.08,28,15.82,42,23.73,48021
48,23,125,33,26.4,23,18.4,19,15.2,9,7.2,11,8.8,30,24.0,48023
48,24,130,31,23.85,20,15.38,21,16.15,17,13.08,21,16.15,20,15.38,48024
48,25,113,24,21.24,13,11.5,25,22.12,13,11.5,16,14.16,22,19.47,48025
48,26,142,41,28.87,10,7.04,34,23.94,17,11.97,16,11.27,24,16.9,48026
48,27,79,22,27.85,11,13.92,9,11.39,10,12.66,12,15.19,15,18.99,48027
48,28,117,30,25.64,17,14.53,21,17.95,14,11.97,8,6.84,27,23.08,48028
48,29,148,83,56.08,7,4.73,30,20.27,12,8.11,3,2.03,13,8.78,48029
48,30,85,21,24.71,14,16.47,25,29.41,3,3.53,10,11.76,12,14.12,48030
48,31,117,33,28.21,23,19.66,15,12.82,6,5.13,20,17.09,20,17.09,48031
48,34,142,42,29.58,18,12.68,30,21.13,9,6.34,7,4.93,36,25.35,48034
48,35,133,53,39.85,14,10.53,20,15.04,5,3.76,16,12.03,25,18.8,48035
48,36,110,28,25.45,20,18.18,20,18.18,8,7.27,10,9.09,24,21.82,48036
48,37,117,24,20.51,22,18.8,28,23.93,8,6.84,12,10.26,23,19.66,48037
48,38,174,42,24.14,69,39.66,26,14.94,5,2.87,11,6.32,21,12.07,48038
48,39,104,26,25.0,15,14.42,19,18.27,11,10.58,10,9.62,23,22.12,48039
48,40,130,33,25.38,25,19.23,26,20.0,8,6.15,9,6.92,29,22.31,48040
48,42,151,39,25.83,16,10.6,33,21.85,11,7.28,22,14.57,30,19.87,48042
48,43,85,22,25.88,14,16.47,22,25.88,2,2.35,9,10.59,16,18.82,48043
48,44,114,26,22.81,15,13.16,20,17.54,9,7.89,16,14.04,28,24.56,48044
48,45,103,38,36.89,13,12.62,17,16.5,5,4.85,10,9.71,20,19.42,48045
48,46,75,18,24.0,10,13.33,18,24.0,6,8.0,12,16.0,11,14.67,48046
48,47,94,19,20.21,23,24.47,7,7.45,7,7.45,12,12.77,26,27.66,48047
48,48,95,30,31.58,12,12.63,16,16.84,11,11.58,14,14.74,12,12.63,48048
49,17,34,12,35.29,4,11.76,6,17.65,3,8.82,2,5.88,7,20.59,49017
