ward,precinct,total,LEWIS NIXON,LEWIS NIXON Percent,DOMENICA ANN STEPHENSON,DOMENICA ANN STEPHENSON Percent,precinct_id
30,31,119,67,56.3,52,43.7,30031
30,32,145,78,53.79,67,46.21,30032
30,33,98,50,51.02,48,48.98,30033
30,34,255,137,53.73,118,46.27,30034
30,35,104,56,53.85,48,46.15,30035
30,36,109,63,57.8,46,42.2,30036
30,37,104,56,53.85,48,46.15,30037
30,38,156,77,49.36,79,50.64,30038
30,39,124,61,49.19,63,50.81,30039
30,40,122,52,42.62,70,57.38,30040
30,41,50,30,60.0,20,40.0,30041
30,42,146,71,48.63,75,51.37,30042
30,43,105,60,57.14,45,42.86,30043
30,44,164,84,51.22,80,48.78,30044
30,45,113,59,52.21,54,47.79,30045
31,1,81,44,54.32,37,45.68,31001
31,2,103,51,49.51,52,50.49,31002
31,3,91,44,48.35,47,51.65,31003
31,4,144,69,47.92,75,52.08,31004
31,5,84,41,48.81,43,51.19,31005
31,6,37,22,59.46,15,40.54,31006
31,7,80,35,43.75,45,56.25,31007
31,8,59,29,49.15,30,50.85,31008
31,9,77,46,59.74,31,40.26,31009
31,10,86,51,59.3,35,40.7,31010
31,11,75,38,50.67,37,49.33,31011
31,12,123,67,54.47,56,45.53,31012
31,13,82,47,57.32,35,42.68,31013
31,14,107,51,47.66,56,52.34,31014
31,15,95,50,52.63,45,47.37,31015
31,16,72,33,45.83,39,54.17,31016
31,17,133,70,52.63,63,47.37,31017
31,18,27,14,51.85,13,48.15,31018
31,19,16,9,56.25,7,43.75,31019
31,20,67,37,55.22,30,44.78,31020
31,21,82,38,46.34,44,53.66,31021
31,22,98,49,50.0,49,50.0,31022
31,23,99,56,56.57,43,43.43,31023
31,24,137,74,54.01,63,45.99,31024
31,25,108,66,61.11,42,38.89,31025
31,26,67,42,62.69,25,37.31,31026
31,27,78,44,56.41,34,43.59,31027
31,28,95,47,49.47,48,50.53,31028
31,29,57,36,63.16,21,36.84,31029
31,30,96,54,56.25,42,43.75,31030
31,31,141,75,53.19,66,46.81,31031
31,32,75,45,60.0,30,40.0,31032
31,33,141,72,51.06,69,48.94,31033
31,34,112,56,50.0,56,50.0,31034
31,35,71,40,56.34,31,43.66,31035
31,36,138,82,59.42,56,40.58,31036
31,37,98,58,59.18,40,40.82,31037
31,38,92,52,56.52,40,43.48,31038
31,39,67,42,62.69,25,37.31,31039
31,40,93,52,55.91,41,44.09,31040
