ward,precinct,total,MICHAEL FRANCIS LEFKOW,MICHAEL FRANCIS LEFKOW Percent,RHODA DAVIS SWEENEY,RHODA DAVIS SWEENEY Percent,BRIAN M. COLLINS,BRIAN M. COLLINS Percent,THOMAS J. LIPSCOMB,THOMAS J. LIPSCOMB Percent,COLLEEN M. GLASS,COLLEEN M. GLASS Percent,ROBERT RONALD TEPPER,ROBERT RONALD TEPPER Percent,precinct_id
48,19,147,16,10.88,25,17.01,31,21.09,34,23.13,12,8.16,5,3.4,48019
48,20,137,40,29.2,14,10.22,15,10.95,37,27.01,11,8.03,6,4.38,48020
48,21,178,15,8.43,39,21.91,27,15.17,41,23.03,30,16.85,7,3.93,48021
48,23,120,5,4.17,21,17.5,28,23.33,29,24.17,18,15.0,4,3.33,48023
48,24,120,17,14.17,15,12.5,20,16.67,14,11.67,18,15.0,17,14.17,48024
48,25,110,16,14.55,16,14.55,20,18.18,11,10.0,22,20.0,8,7.27,48025
48,26,141,10,7.09,18,12.77,23,16.31,32,22.7,22,15.6,14,9.93,48026
48,27,79,12,15.19,13,16.46,14,17.72,12,15.19,12,15.19,5,6.33,48027
48,28,119,8,6.72,13,10.92,20,16.81,23,19.33,17,14.29,9,7.56,48028
48,29,136,10,7.35,18,13.24,9,6.62,28,20.59,16,11.76,30,22.06,48029
48,30,84,3,3.57,6,7.14,24,28.57,30,35.71,10,11.9,2,2.38,48030
48,31,115,10,8.7,21,18.26,23,20.0,21,18.26,21,18.26,5,4.35,48031
48,34,145,8,5.52,28,19.31,24,16.55,42,28.97,10,6.9,10,6.9,48034
48,35,133,17,12.78,20,15.04,25,18.8,29,21.8,13,9.77,6,4.51,48035
48,36,111,11,9.91,13,11.71,23,20.72,24,21.62,20,18.02,8,7.21,48036
48,37,122,12,9.84,20,16.39,20,16.39,30,24.59,11,9.02,7,5.74,48037
48,38,159,12,7.55,30,18.87,22,13.84,64,40.25,14,8.81,6,3.77,48038
48,39,99,6,6.06,25,25.25,19,19.19,16,16.16,15,15.15,5,5.05,48039
48,40,125,11,8.8,25,20.0,17,13.6,31,24.8,18,14.4,9,7.2,48040
48,42,153,12,7.84,27,17.65,24,15.69,37,24.18,15,9.8,7,4.58,48042
48,43,87,13,14.94,16,18.39,10,11.49,15,17.24,17,19.54,4,4.6,48043
48,44,110,6,5.45,17,15.45,18,16.36,25,22.73,20,18.18,5,4.55,48044
48,45,100,12,12.0,9,9.0,25,25.0,22,22.0,9,9.0,9,9.0,48045
48,46,74,11,14.86,12,16.22,14,18.92,8,10.81,20,27.03,1,1.35,48046
48,47,94,8,8.51,19,20.21,17,18.09,19,20.21,12,12.77,8,8.51,48047
48,48,89,11,12.36,15,16.85,10,11.24,24,26.97,10,11.24,4,4.49,48048
49,17,36,5,13.89,2,5.56,7,19.44,7,19.44,3,8.33,5,13.89,49017
