ward,precinct,total,Kristyna Colleen Ryan,Kristyna Colleen Ryan Percent,Paula M. Lingo,Paula M. Lingo Percent,Frank James Ryan,Frank James Ryan Percent,precinct_id
7,17,140,48,34.29,53,37.86,39,27.86,07017
7,18,145,49,33.79,62,42.76,34,23.45,07018
7,19,338,107,31.66,140,41.42,91,26.92,07019
7,20,96,39,40.63,36,37.5,21,21.88,07020
7,21,196,63,32.14,83,42.35,50,25.51,07021
7,22,175,58,33.14,85,48.57,32,18.29,07022
7,23,165,60,36.36,67,40.61,38,23.03,07023
7,24,220,85,38.64,88,40.0,47,21.36,07024
7,25,277,95,34.3,134,48.38,48,17.33,07025
7,26,262,86,32.82,116,44.27,60,22.9,07026
7,27,292,107,36.64,120,41.1,65,22.26,07027
7,28,225,79,35.11,97,43.11,49,21.78,07028
7,29,140,47,33.57,56,40.0,37,26.43,07029
7,30,245,88,35.92,103,42.04,54,22.04,07030
7,31,237,83,35.02,110,46.41,44,18.57,07031
7,32,164,67,40.85,65,39.63,32,19.51,07032
7,33,176,64,36.36,68,38.64,44,25.0,07033
7,34,219,71,32.42,98,44.75,50,22.83,07034
7,35,123,50,40.65,52,42.28,21,17.07,07035
7,36,260,95,36.54,107,41.15,58,22.31,07036
7,37,123,43,34.96,41,33.33,39,31.71,07037
7,38,169,70,41.42,66,39.05,33,19.53,07038
7,39,188,65,34.57,81,43.09,42,22.34,07039
7,40,251,96,38.25,101,40.24,54,21.51,07040
7,41,175,63,36.0,67,38.29,45,25.71,07041
7,42,310,101,32.58,134,43.23,75,24.19,07042
7,43,218,85,38.99,87,39.91,46,21.1,07043
7,44,300,103,34.33,137,45.67,60,20.0,07044
7,45,300,95,31.67,144,48.0,61,20.33,07045
7,46,79,22,27.85,38,48.1,19,24.05,07046
7,47,172,70,40.7,65,37.79,37,21.51,07047
7,48,86,28,32.56,33,38.37,25,29.07,07048
7,49,133,36,27.07,64,48.12,33,24.81,07049
7,50,136,39,28.68,70,51.47,27,19.85,07050
7,51,191,58,30.37,97,50.79,36,18.85,07051
7,52,171,60,35.09,80,46.78,31,18.13,07052
7,53,184,69,37.5,78,42.39,37,20.11,07053
7,54,94,39,41.49,28,29.79,27,28.72,07054
7,55,181,70,38.67,71,39.23,40,22.1,07055
7,56,197,76,38.58,81,41.12,40,20.3,07056
7,57,173,60,34.68,86,49.71,27,15.61,07057
7,58,268,90,33.58,121,45.15,57,21.27,07058
7,59,120,46,38.33,49,40.83,25,20.83,07059
7,60,120,51,42.5,43,35.83,26,21.67,07060
7,61,185,61,32.97,77,41.62,47,25.41,07061
7,62,192,68,35.42,96,50.0,28,14.58,07062
7,63,185,62,33.51,80,43.24,43,23.24,07063
7,64,201,56,27.86,112,55.72,33,16.42,07064
7,65,209,78,37.32,77,36.84,54,25.84,07065
8,1,248,82,33.06,120,48.39,46,18.55,08001
8,2,147,62,42.18,60,40.82,25,17.01,08002
8,3,307,93,30.29,159,51.79,55,17.92,08003
8,4,230,95,41.3,90,39.13,45,19.57,08004
8,5,284,93,32.75,138,48.59,53,18.66,08005
8,6,288,98,34.03,144,50.0,46,15.97,08006
8,7,231,57,24.68,141,61.04,33,14.29,08007
8,8,274,83,30.29,134,48.91,57,20.8,08008
8,9,315,106,33.65,151,47.94,58,18.41,08009
8,10,337,90,26.71,186,55.19,61,18.1,08010
8,11,238,65,27.31,133,55.88,40,16.81,08011
8,12,250,74,29.6,128,51.2,48,19.2,08012
8,13,185,66,35.68,81,43.78,38,20.54,08013
8,14,197,74,37.56,83,42.13,40,20.3,08014
8,15,188,62,32.98,82,43.62,44,23.4,08015
8,16,272,72,26.47,147,54.04,53,19.49,08016
8,17,224,71,31.7,109,48.66,44,19.64,08017
8,18,181,58,32.04,90,49.72,33,18.23,08018
8,19,310,122,39.35,131,42.26,57,18.39,08019
8,20,175,62,35.43,74,42.29,39,22.29,08020
8,21,180,57,31.67,90,50.0,33,18.33,08021
8,22,214,71,33.18,100,46.73,43,20.09,08022
8,23,221,75,33.94,96,43.44,50,22.62,08023
8,24,260,82,31.54,123,47.31,55,21.15,08024
8,25,251,88,35.06,116,46.22,47,18.73,08025
8,26,184,69,37.5,66,35.87,49,26.63,08026
8,27,280,78,27.86,154,55.0,48,17.14,08027
8,28,205,66,32.2,104,50.73,35,17.07,08028
8,29,308,66,21.43,211,68.51,31,10.06,08029
8,30,193,73,37.82,76,39.38,44,22.8,08030
8,31,176,56,31.82,91,51.7,29,16.48,08031
8,32,354,150,42.37,137,38.7,67,18.93,08032
8,33,251,62,24.7,156,62.15,33,13.15,08033
8,34,304,127,41.78,109,35.86,68,22.37,08034
8,35,288,102,35.42,118,40.97,68,23.61,08035
8,36,246,96,39.02,110,44.72,40,16.26,08036
8,37,254,83,32.68,113,44.49,58,22.83,08037
8,38,257,106,41.25,82,31.91,69,26.85,08038
8,39,264,95,35.98,99,37.5,70,26.52,08039
8,40,236,67,28.39,118,50.0,51,21.61,08040
8,41,184,76,41.3,63,34.24,45,24.46,08041
8,42,238,82,34.45,118,49.58,38,15.97,08042
8,43,189,62,32.8,90,47.62,37,19.58,08043
8,44,205,57,27.8,106,51.71,42,20.49,08044
8,45,178,77,43.26,67,37.64,34,19.1,08045
8,46,193,73,37.82,70,36.27,50,25.91,08046
8,47,234,86,36.75,92,39.32,56,23.93,08047
8,48,217,72,33.18,105,48.39,40,18.43,08048
8,49,295,71,24.07,170,57.63,54,18.31,08049
8,50,264,75,28.41,154,58.33,35,13.26,08050
8,51,314,120,38.22,138,43.95,56,17.83,08051
8,52,267,91,34.08,118,44.19,58,21.72,08052
8,53,247,85,34.41,106,42.91,56,22.67,08053
8,54,250,72,28.8,125,50.0,53,21.2,08054
8,55,229,71,31.0,111,48.47,47,20.52,08055
8,56,273,91,33.33,128,46.89,54,19.78,08056
8,57,223,78,34.98,91,40.81,54,24.22,08057
8,58,241,69,28.63,132,54.77,40,16.6,08058
8,59,166,64,38.55,53,31.93,49,29.52,08059
8,60,191,71,37.17,74,38.74,46,24.08,08060
8,61,199,62,31.16,81,40.7,56,28.14,08061
8,62,200,63,31.5,94,47.0,43,21.5,08062
8,63,268,82,30.6,146,54.48,40,14.93,08063
8,64,218,84,38.53,97,44.5,37,16.97,08064
8,65,161,53,32.92,77,47.83,31,19.25,08065
8,66,381,163,42.78,146,38.32,72,18.9,08066
8,67,134,50,37.31,50,37.31,34,25.37,08067
8,68,131,45,34.35,67,51.15,19,14.5,08068
8,69,167,45,26.95,102,61.08,20,11.98,08069
8,70,296,116,39.19,105,35.47,75,25.34,08070
9,1,266,98,36.84,111,41.73,57,21.43,09001
9,2,230,91,39.57,74,32.17,65,28.26,09002
9,3,106,30,28.3,38,35.85,38,35.85,09003
9,4,228,74,32.46,91,39.91,63,27.63,09004
9,5,248,85,34.27,91,36.69,72,29.03,09005
9,6,274,104,37.96,110,40.15,60,21.9,09006
9,7,209,89,42.58,58,27.75,62,29.67,09007
