ward,precinct,total,Ann Collins Dole,Ann Collins Dole Percent,James A. Shapiro,James A. Shapiro Percent,Debra Kramer Marcus,Debra Kramer Marcus Percent,Daniel Thomas Gillespie,Daniel Thomas Gillespie Percent,James Byrne,James Byrne Percent,Aaron J. Weiss,Aaron J. Weiss Percent,precinct_id
46,46,167,39,23.35,45,26.95,22,13.17,22,13.17,30,17.96,3,1.8,46046
46,47,98,28,28.57,14,14.29,17,17.35,6,6.12,16,16.33,8,8.16,46047
47,18,247,72,29.15,51,20.65,31,12.55,22,8.91,51,20.65,7,2.83,47018
47,23,116,39,33.62,21,18.1,8,6.9,9,7.76,33,28.45,1,0.86,47023
47,24,223,60,26.91,41,18.39,31,13.9,28,12.56,41,18.39,4,1.79,47024
47,41,365,100,27.4,52,14.25,35,9.59,25,6.85,119,32.6,15,4.11,47041
47,44,231,64,27.71,61,26.41,27,11.69,25,10.82,28,12.12,16,6.93,47044
48,1,205,48,23.41,52,25.37,20,9.76,9,4.39,39,19.02,21,10.24,48001
48,3,220,59,26.82,34,15.45,31,14.09,20,9.09,40,18.18,26,11.82,48003
48,4,194,56,28.87,54,27.84,18,9.28,19,9.79,29,14.95,11,5.67,48004
48,5,173,55,31.79,45,26.01,12,6.94,16,9.25,30,17.34,5,2.89,48005
48,6,222,59,26.58,53,23.87,26,11.71,21,9.46,37,16.67,17,7.66,48006
48,7,151,54,35.76,31,20.53,13,8.61,19,12.58,19,12.58,6,3.97,48007
48,8,152,62,40.79,30,19.74,14,9.21,14,9.21,18,11.84,7,4.61,48008
48,9,183,50,27.32,47,25.68,20,10.93,17,9.29,29,15.85,7,3.83,48009
48,10,114,35,30.7,19,16.67,12,10.53,19,16.67,15,13.16,8,7.02,48010
48,11,228,94,41.23,48,21.05,21,9.21,17,7.46,27,11.84,12,5.26,48011
48,12,191,56,29.32,39,20.42,33,17.28,17,8.9,26,13.61,12,6.28,48012
48,14,213,49,23.0,73,34.27,23,10.8,13,6.1,23,10.8,25,11.74,48014
48,15,45,10,22.22,10,22.22,6,13.33,7,15.56,6,13.33,1,2.22,48015
48,16,164,39,23.78,29,17.68,22,13.41,15,9.15,38,23.17,15,9.15,48016
48,17,212,71,33.49,47,22.17,32,15.09,13,6.13,23,10.85,13,6.13,48017
48,18,150,40,26.67,32,21.33,28,18.67,10,6.67,27,18.0,9,6.0,48018
48,19,165,57,34.55,39,23.64,13,7.88,16,9.7,24,14.55,6,3.64,48019
48,20,134,51,38.06,28,20.9,13,9.7,9,6.72,23,17.16,7,5.22,48020
48,21,203,58,28.57,38,18.72,22,10.84,27,13.3,36,17.73,11,5.42,48021
48,23,163,51,31.29,44,26.99,19,11.66,13,7.98,20,12.27,6,3.68,48023
48,24,151,36,23.84,42,27.81,27,17.88,11,7.28,12,7.95,14,9.27,48024
48,25,235,79,33.62,43,18.3,24,10.21,22,9.36,39,16.6,15,6.38,48025
48,26,202,58,28.71,48,23.76,26,12.87,8,3.96,36,17.82,15,7.43,48026
48,27,123,33,26.83,27,21.95,12,9.76,9,7.32,33,26.83,1,0.81,48027
48,28,160,49,30.63,48,30.0,15,9.38,12,7.5,16,10.0,16,10.0,48028
48,29,152,45,29.61,52,34.21,15,9.87,6,3.95,15,9.87,12,7.89,48029
48,30,190,76,40.0,32,16.84,21,11.05,21,11.05,19,10.0,13,6.84,48030
48,31,163,32,19.63,31,19.02,31,19.02,19,11.66,33,20.25,11,6.75,48031
48,32,143,40,27.97,29,20.28,12,8.39,13,9.09,29,20.28,11,7.69,48032
48,34,202,53,26.24,45,22.28,31,15.35,11,5.45,31,15.35,20,9.9,48034
48,35,75,15,20.0,16,21.33,16,21.33,10,13.33,8,10.67,5,6.67,48035
48,36,184,52,28.26,46,25.0,28,15.22,18,9.78,24,13.04,11,5.98,48036
48,37,158,42,26.58,27,17.09,26,16.46,20,12.66,22,13.92,10,6.33,48037
48,38,239,124,51.88,43,17.99,15,6.28,9,3.77,36,15.06,5,2.09,48038
48,39,150,45,30.0,37,24.67,16,10.67,19,12.67,19,12.67,7,4.67,48039
48,40,143,60,41.96,32,22.38,18,12.59,6,4.2,15,10.49,9,6.29,48040
48,42,152,47,30.92,29,19.08,15,9.87,12,7.89,25,16.45,15,9.87,48042
48,43,243,79,32.51,58,23.87,22,9.05,27,11.11,38,15.64,15,6.17,48043
48,44,210,66,31.43,45,21.43,34,16.19,14,6.67,28,13.33,12,5.71,48044
48,45,139,56,40.29,34,24.46,20,14.39,9,6.47,9,6.47,7,5.04,48045
48,46,141,35,24.82,28,19.86,22,15.6,13,9.22,28,19.86,8,5.67,48046
48,47,189,49,25.93,57,30.16,21,11.11,13,6.88,31,16.4,7,3.7,48047
48,48,199,62,31.16,44,22.11,23,11.56,19,9.55,30,15.08,11,5.53,48048
48,49,64,19,29.69,16,25.0,11,17.19,6,9.38,6,9.38,2,3.13,48049
48,50,232,86,37.07,41,17.67,28,12.07,24,10.34,26,11.21,23,9.91,48050
48,51,269,108,40.15,49,18.22,30,11.15,23,8.55,40,14.87,5,1.86,48051
48,52,126,41,32.54,21,16.67,21,16.67,15,11.9,12,9.52,7,5.56,48052
48,53,104,23,22.12,22,21.15,12,11.54,6,5.77,24,23.08,11,10.58,48053
49,17,22,6,27.27,5,22.73,3,13.64,4,18.18,1,4.55,2,9.09,49017
