ward,precinct,total,Marilyn F. Johnson,Marilyn F. Johnson Percent,Joseph Robert Papavero,Joseph Robert Papavero Percent,precinct_id
13,24,223,190,85.2,33,14.8,13024
13,25,175,124,70.86,51,29.14,13025
13,26,237,198,83.54,39,16.46,13026
13,27,221,158,71.49,63,28.51,13027
13,28,193,137,70.98,56,29.02,13028
13,29,212,158,74.53,54,25.47,13029
13,30,345,242,70.14,103,29.86,13030
13,31,277,203,73.29,74,26.71,13031
13,32,243,219,90.12,24,9.88,13032
13,33,221,159,71.95,62,28.05,13033
13,34,331,281,84.89,50,15.11,13034
13,35,263,212,80.61,51,19.39,13035
13,36,130,98,75.38,32,24.62,13036
13,37,198,138,69.7,60,30.3,13037
13,38,238,178,74.79,60,25.21,13038
13,39,210,166,79.05,44,20.95,13039
13,40,253,172,67.98,81,32.02,13040
13,41,193,149,77.2,44,22.8,13041
13,42,221,178,80.54,43,19.46,13042
13,43,226,169,74.78,57,25.22,13043
13,44,329,307,93.31,22,6.69,13044
13,45,274,220,80.29,54,19.71,13045
13,46,240,159,66.25,81,33.75,13046
13,47,244,169,69.26,75,30.74,13047
14,1,104,68,65.38,36,34.62,14001
14,2,147,100,68.03,47,31.97,14002
14,3,211,130,61.61,81,38.39,14003
14,4,137,83,60.58,54,39.42,14004
14,5,217,163,75.12,54,24.88,14005
14,6,144,89,61.81,55,38.19,14006
14,7,146,102,69.86,44,30.14,14007
14,8,118,75,63.56,43,36.44,14008
14,9,180,116,64.44,64,35.56,14009
14,10,176,111,63.07,65,36.93,14010
14,11,141,115,81.56,26,18.44,14011
14,12,146,110,75.34,36,24.66,14012
14,13,178,141,79.21,37,20.79,14013
14,14,153,108,70.59,45,29.41,14014
14,15,207,158,76.33,49,23.67,14015
14,16,174,128,73.56,46,26.44,14016
14,17,159,112,70.44,47,29.56,14017
14,18,195,115,58.97,80,41.03,14018
14,19,225,167,74.22,58,25.78,14019
14,20,136,92,67.65,44,32.35,14020
14,21,171,142,83.04,29,16.96,14021
14,22,191,144,75.39,47,24.61,14022
14,23,222,136,61.26,86,38.74,14023
14,24,109,82,75.23,27,24.77,14024
14,25,178,121,67.98,57,32.02,14025
14,26,191,114,59.69,77,40.31,14026
14,27,206,147,71.36,59,28.64,14027
14,28,165,106,64.24,59,35.76,14028
14,29,193,140,72.54,53,27.46,14029
14,30,145,101,69.66,44,30.34,14030
14,31,152,118,77.63,34,22.37,14031
14,32,128,76,59.38,52,40.63,14032
14,33,140,101,72.14,39,27.86,14033
14,34,152,126,82.89,26,17.11,14034
14,35,160,111,69.38,49,30.63,14035
15,1,123,90,73.17,33,26.83,15001
15,2,139,124,89.21,15,10.79,15002
15,3,151,135,89.4,16,10.6,15003
15,4,150,131,87.33,19,12.67,15004
15,5,147,126,85.71,21,14.29,15005
15,6,177,135,76.27,42,23.73,15006
15,7,152,139,91.45,13,8.55,15007
15,8,217,188,86.64,29,13.36,15008
15,9,177,139,78.53,38,21.47,15009
15,10,122,61,50.0,61,50.0,15010
15,11,184,162,88.04,22,11.96,15011
15,12,105,96,91.43,9,8.57,15012
15,13,122,84,68.85,38,31.15,15013
15,14,172,97,56.4,75,43.6,15014
15,15,147,110,74.83,37,25.17,15015
15,16,110,64,58.18,46,41.82,15016
15,17,179,155,86.59,24,13.41,15017
15,18,110,94,85.45,16,14.55,15018
15,19,142,122,85.92,20,14.08,15019
15,20,127,112,88.19,15,11.81,15020
15,21,159,139,87.42,20,12.58,15021
15,22,231,186,80.52,45,19.48,15022
15,23,141,125,88.65,16,11.35,15023
15,24,159,122,76.73,37,23.27,15024
15,25,161,114,70.81,47,29.19,15025
15,26,161,144,89.44,17,10.56,15026
15,27,134,118,88.06,16,11.94,15027
15,28,209,124,59.33,85,40.67,15028
15,29,84,70,83.33,14,16.67,15029
15,30,173,149,86.13,24,13.87,15030
15,31,144,126,87.5,18,12.5,15031
15,32,181,127,70.17,54,29.83,15032
15,33,105,95,90.48,10,9.52,15033
15,34,112,95,84.82,17,15.18,15034
15,35,156,139,89.1,17,10.9,15035
15,36,140,117,83.57,23,16.43,15036
15,37,119,104,87.39,15,12.61,15037
15,38,156,132,84.62,24,15.38,15038
15,39,180,161,89.44,19,10.56,15039
15,40,151,130,86.09,21,13.91,15040
15,41,226,198,87.61,28,12.39,15041
15,42,103,90,87.38,13,12.62,15042
15,43,134,120,89.55,14,10.45,15043
15,44,182,135,74.18,47,25.82,15044
15,45,100,77,77.0,23,23.0,15045
15,46,118,99,83.9,19,16.1,15046
15,47,168,150,89.29,18,10.71,15047
15,48,123,106,86.18,17,13.82,15048
15,49,124,89,71.77,35,28.23,15049
15,50,155,138,89.03,17,10.97,15050
15,51,107,92,85.98,15,14.02,15051
15,52,78,69,88.46,9,11.54,15052
16,1,130,102,78.46,28,21.54,16001
16,2,123,105,85.37,18,14.63,16002
16,3,119,102,85.71,17,14.29,16003
16,4,82,49,59.76,33,40.24,16004
16,5,158,132,83.54,26,16.46,16005
16,6,76,69,90.79,7,9.21,16006
16,7,164,134,81.71,30,18.29,16007
16,8,164,132,80.49,32,19.51,16008
16,9,215,198,92.09,17,7.91,16009
16,10,256,224,87.5,32,12.5,16010
16,11,201,166,82.59,35,17.41,16011
16,12,126,112,88.89,14,11.11,16012
16,13,121,89,73.55,32,26.45,16013
16,14,162,131,80.86,31,19.14,16014
16,15,208,191,91.83,17,8.17,16015
16,16,157,144,91.72,13,8.28,16016
16,17,136,74,54.41,62,45.59,16017
16,18,180,161,89.44,19,10.56,16018
16,19,196,165,84.18,31,15.82,16019
16,20,143,130,90.91,13,9.09,16020
16,21,130,71,54.62,59,45.38,16021
16,22,124,112,90.32,12,9.68,16022
16,23,154,105,68.18,49,31.82,16023
16,24,57,51,89.47,6,10.53,16024
16,25,122,109,89.34,13,10.66,16025
16,26,139,120,86.33,19,13.67,16026
16,27,177,164,92.66,13,7.34,16027
16,28,179,167,93.3,12,6.7,16028
16,29,142,116,81.69,26,18.31,16029
16,30,160,140,87.5,20,12.5,16030
16,31,160,137,85.63,23,14.38,16031
16,32,147,88,59.86,59,40.14,16032
16,33,129,112,86.82,17,13.18,16033
16,34,141,128,90.78,13,9.22,16034
16,35,171,97,56.73,74,43.27,16035
16,36,147,125,85.03,22,14.97,16036
16,37,103,82,79.61,21,20.39,16037
16,38,102,95,93.14,7,6.86,16038
16,39,142,90,63.38,52,36.62,16039
16,40,186,166,89.25,20,10.75,16040
16,41,88,78,88.64,10,11.36,16041
16,42,150,83,55.33,67,44.67,16042
16,43,179,161,89.94,18,10.06,16043
16,44,162,130,80.25,32,19.75,16044
17,1,107,90,84.11,17,15.89,17001
17,2,202,185,91.58,17,8.42,17002
17,3,119,108,90.76,11,9.24,17003
17,4,276,249,90.22,27,9.78,17004
17,5,151,138,91.39,13,8.61,17005
17,6,147,117,79.59,30,20.41,17006
17,7,226,207,91.59,19,8.41,17007
17,8,148,128,86.49,20,13.51,17008
17,9,130,116,89.23,14,10.77,17009
17,10,196,176,89.8,20,10.2,17010
17,11,203,181,89.16,22,10.84,17011
17,12,257,232,90.27,25,9.73,17012
17,13,123,103,83.74,20,16.26,17013
17,14,164,144,87.8,20,12.2,17014
17,15,190,179,94.21,11,5.79,17015
17,16,154,140,90.91,14,9.09,17016
17,17,142,124,87.32,18,12.68,17017
17,18,207,182,87.92,25,12.08,17018
17,19,73,66,90.41,7,9.59,17019
17,20,176,158,89.77,18,10.23,17020
17,21,246,231,93.9,15,6.1,17021
17,22,183,160,87.43,23,12.57,17022
17,23,134,120,89.55,14,10.45,17023
17,24,179,162,90.5,17,9.5,17024
17,25,127,114,89.76,13,10.24,17025
17,26,206,193,93.69,13,6.31,17026
17,27,261,228,87.36,33,12.64,17027
17,28,167,149,89.22,18,10.78,17028
17,29,197,172,87.31,25,12.69,17029
17,30,203,184,90.64,19,9.36,17030
17,31,161,144,89.44,17,10.56,17031
17,32,219,200,91.32,19,8.68,17032
17,33,169,149,88.17,20,11.83,17033
17,34,135,115,85.19,20,14.81,17034
17,35,127,111,87.4,16,12.6,17035
17,36,107,91,85.05,16,14.95,17036
17,37,169,146,86.39,23,13.61,17037
17,38,183,166,90.71,17,9.29,17038
17,39,142,127,89.44,15,10.56,17039
17,40,173,155,89.6,18,10.4,17040
17,41,145,128,88.28,17,11.72,17041
17,42,151,132,87.42,19,12.58,17042
17,43,144,130,90.28,14,9.72,17043
17,44,131,118,90.08,13,9.92,17044
17,45,137,123,89.78,14,10.22,17045
17,46,193,170,88.08,23,11.92,17046
17,47,107,91,85.05,16,14.95,17047
17,48,224,200,89.29,24,10.71,17048
17,49,92,84,91.3,8,8.7,17049
17,50,182,164,90.11,18,9.89,17050
17,51,213,188,88.26,25,11.74,17051
17,52,245,219,89.39,26,10.61,17052
17,53,186,165,88.71,21,11.29,17053
17,54,226,215,95.13,11,4.87,17054
17,55,171,142,83.04,29,16.96,17055
17,56,208,187,89.9,21,10.1,17056
17,57,190,172,90.53,18,9.47,17057
17,58,136,119,87.5,17,12.5,17058
17,59,107,96,89.72,11,10.28,17059
17,60,259,236,91.12,23,8.88,17060
17,61,180,166,92.22,14,7.78,17061
17,62,136,117,86.03,19,13.97,17062
17,63,157,130,82.8,27,17.2,17063
17,64,133,120,90.23,13,9.77,17064
18,1,127,114,89.76,13,10.24,18001
18,2,248,209,84.27,39,15.73,18002
18,3,152,100,65.79,52,34.21,18003
18,4,278,257,92.45,21,7.55,18004
18,5,260,239,91.92,21,8.08,18005
18,6,186,129,69.35,57,30.65,18006
18,7,208,166,79.81,42,20.19,18007
18,8,109,89,81.65,20,18.35,18008
18,9,252,231,91.67,21,8.33,18009
18,10,387,362,93.54,25,6.46,18010
18,11,223,175,78.48,48,21.52,18011
18,12,317,293,92.43,24,7.57,18012
18,13,290,247,85.17,43,14.83,18013
18,14,324,299,92.28,25,7.72,18014
18,15,130,91,70.0,39,30.0,18015
18,16,286,265,92.66,21,7.34,18016
18,17,208,174,83.65,34,16.35,18017
18,18,228,212,92.98,16,7.02,18018
18,19,345,317,91.88,28,8.12,18019
18,20,248,229,92.34,19,7.66,18020
18,21,356,319,89.61,37,10.39,18021
18,22,304,282,92.76,22,7.24,18022
18,23,233,208,89.27,25,10.73,18023
18,24,297,266,89.56,31,10.44,18024
18,25,270,246,91.11,24,8.89,18025
18,26,202,187,92.57,15,7.43,18026
18,27,243,216,88.89,27,11.11,18027
18,28,194,122,62.89,72,37.11,18028
18,29,261,218,83.52,43,16.48,18029
18,30,207,194,93.72,13,6.28,18030
18,31,254,210,82.68,44,17.32,18031
18,32,332,306,92.17,26,7.83,18032
18,33,205,190,92.68,15,7.32,18033
18,34,332,307,92.47,25,7.53,18034
18,35,342,310,90.64,32,9.36,18035
18,36,188,157,83.51,31,16.49,18036
18,37,219,196,89.5,23,10.5,18037
18,38,286,269,94.06,17,5.94,18038
18,39,237,198,83.54,39,16.46,18039
18,40,331,302,91.24,29,8.76,18040
18,41,216,148,68.52,68,31.48,18041
18,42,185,160,86.49,25,13.51,18042
18,43,180,130,72.22,50,27.78,18043
18,44,148,123,83.11,25,16.89,18044
18,45,267,244,91.39,23,8.61,18045
18,46,254,237,93.31,17,6.69,18046
18,47,205,185,90.24,20,9.76,18047
18,48,135,92,68.15,43,31.85,18048
18,49,218,191,87.61,27,12.39,18049
18,50,237,209,88.19,28,11.81,18050
18,51,324,295,91.05,29,8.95,18051
18,52,278,255,91.73,23,8.27,18052
18,53,204,193,94.61,11,5.39,18053
18,54,263,239,90.87,24,9.13,18054
18,55,200,126,63.0,74,37.0,18055
18,56,215,156,72.56,59,27.44,18056
18,57,211,154,72.99,57,27.01,18057
18,58,261,241,92.34,20,7.66,18058
18,59,186,168,90.32,18,9.68,18059
18,60,298,275,92.28,23,7.72,18060
18,61,274,249,90.88,25,9.12,18061
18,62,183,125,68.31,58,31.69,18062
19,1,262,199,75.95,63,24.05,19001
19,2,268,242,90.3,26,9.7,19002
19,3,156,111,71.15,45,28.85,19003
19,4,213,167,78.4,46,21.6,19004
19,5,305,268,87.87,37,12.13,19005
19,6,178,124,69.66,54,30.34,19006
19,7,248,205,82.66,43,17.34,19007
19,8,166,112,67.47,54,32.53,19008
19,9,157,116,73.89,41,26.11,19009
19,10,363,308,84.85,55,15.15,19010
19,11,265,194,73.21,71,26.79,19011
19,12,216,153,70.83,63,29.17,19012
19,13,253,235,92.89,18,7.11,19013
19,14,131,97,74.05,34,25.95,19014
19,15,207,148,71.5,59,28.5,19015
19,16,287,227,79.09,60,20.91,19016
19,17,249,193,77.51,56,22.49,19017
19,18,284,233,82.04,51,17.96,19018
19,19,275,232,84.36,43,15.64,19019
19,20,272,242,88.97,30,11.03,19020
19,21,162,103,63.58,59,36.42,19021
19,22,292,241,82.53,51,17.47,19022
19,23,280,208,74.29,72,25.71,19023
19,24,207,155,74.88,52,25.12,19024
19,25,296,244,82.43,52,17.57,19025
19,26,263,204,77.57,59,22.43,19026
19,27,188,158,84.04,30,15.96,19027
19,28,324,286,88.27,38,11.73,19028
19,29,182,123,67.58,59,32.42,19029
19,30,218,166,76.15,52,23.85,19030
19,31,240,194,80.83,46,19.17,19031
19,32,259,200,77.22,59,22.78,19032
19,33,235,182,77.45,53,22.55,19033
19,34,250,210,84.0,40,16.0,19034
19,35,265,217,81.89,48,18.11,19035
19,36,359,323,89.97,36,10.03,19036
19,37,280,237,84.64,43,15.36,19037
19,38,293,270,92.15,23,7.85,19038
19,39,159,152,95.6,7,4.4,19039
19,40,298,234,78.52,64,21.48,19040
19,41,160,106,66.25,54,33.75,19041
19,42,307,267,86.97,40,13.03,19042
19,43,328,301,91.77,27,8.23,19043
19,44,193,138,71.5,55,28.5,19044
19,45,267,195,73.03,72,26.97,19045
19,46,287,230,80.14,57,19.86,19046
19,47,209,185,88.52,24,11.48,19047
19,48,247,226,91.5,21,8.5,19048
19,49,344,301,87.5,43,12.5,19049
19,50,293,262,89.42,31,10.58,19050
19,51,200,148,74.0,52,26.0,19051
19,52,158,116,73.42,42,26.58,19052
19,53,238,171,71.85,67,28.15,19053
19,54,168,121,72.02,47,27.98,19054
19,55,214,154,71.96,60,28.04,19055
19,56,319,262,82.13,57,17.87,19056
19,57,310,243,78.39,67,21.61,19057
19,58,232,174,75.0,58,25.0,19058
19,59,216,142,65.74,74,34.26,19059
19,60,288,253,87.85,35,12.15,19060
19,61,332,259,78.01,73,21.99,19061
19,62,265,214,80.75,51,19.25,19062
19,63,220,190,86.36,30,13.64,19063
19,64,277,247,89.17,30,10.83,19064
19,65,212,193,91.04,19,8.96,19065
19,66,325,300,92.31,25,7.69,19066
20,1,197,172,87.31,25,12.69,20001
20,2,173,159,91.91,14,8.09,20002
20,3,166,155,93.37,11,6.63,20003
20,4,139,86,61.87,53,38.13,20004
20,5,128,114,89.06,14,10.94,20005
20,6,226,200,88.5,26,11.5,20006
20,7,65,52,80.0,13,20.0,20007
20,8,59,38,64.41,21,35.59,20008
20,9,216,188,87.04,28,12.96,20009
20,10,166,148,89.16,18,10.84,20010
20,11,154,135,87.66,19,12.34,20011
20,12,95,82,86.32,13,13.68,20012
20,13,127,109,85.83,18,14.17,20013
20,14,274,253,92.34,21,7.66,20014
20,15,166,90,54.22,76,45.78,20015
20,16,269,235,87.36,34,12.64,20016
20,17,137,126,91.97,11,8.03,20017
20,18,144,129,89.58,15,10.42,20018
20,19,147,127,86.39,20,13.61,20019
20,20,127,114,89.76,13,10.24,20020
20,21,93,61,65.59,32,34.41,20021
20,22,260,237,91.15,23,8.85,20022
20,23,210,188,89.52,22,10.48,20023
20,24,211,189,89.57,22,10.43,20024
20,25,151,124,82.12,27,17.88,20025
20,26,197,171,86.8,26,13.2,20026
20,27,117,104,88.89,13,11.11,20027
20,28,190,166,87.37,24,12.63,20028
20,29,210,191,90.95,19,9.05,20029
20,30,180,161,89.44,19,10.56,20030
20,31,203,182,89.66,21,10.34,20031
20,32,167,145,86.83,22,13.17,20032
20,33,191,168,87.96,23,12.04,20033
20,34,253,229,90.51,24,9.49,20034
20,35,91,79,86.81,12,13.19,20035
20,36,153,131,85.62,22,14.38,20036
20,37,193,174,90.16,19,9.84,20037
20,38,26,25,96.15,1,3.85,20038
20,39,161,138,85.71,23,14.29,20039
20,40,140,122,87.14,18,12.86,20040
20,41,73,40,54.79,33,45.21,20041
20,42,164,144,87.8,20,12.2,20042
20,43,38,33,86.84,5,13.16,20043
20,44,159,142,89.31,17,10.69,20044
20,45,124,108,87.1,16,12.9,20045
20,46,162,149,91.98,13,8.02,20046
20,47,164,145,88.41,19,11.59,20047
20,48,82,67,81.71,15,18.29,20048
20,49,143,123,86.01,20,13.99,20049
20,50,105,91,86.67,14,13.33,20050
21,1,358,336,93.85,22,6.15,21001
21,2,265,242,91.32,23,8.68,21002
21,3,225,202,89.78,23,10.22,21003
21,4,262,243,92.75,19,7.25,21004
21,5,259,239,92.28,20,7.72,21005
21,6,219,204,93.15,15,6.85,21006
21,7,256,228,89.06,28,10.94,21007
21,8,273,251,91.94,22,8.06,21008
21,9,281,245,87.19,36,12.81,21009
21,10,195,180,92.31,15,7.69,21010
21,11,247,223,90.28,24,9.72,21011
21,12,277,253,91.34,24,8.66,21012
21,13,140,128,91.43,12,8.57,21013
21,14,268,244,91.04,24,8.96,21014
21,15,205,187,91.22,18,8.78,21015
21,16,227,212,93.39,15,6.61,21016
21,17,244,225,92.21,19,7.79,21017
21,18,224,216,96.43,8,3.57,21018
21,19,227,208,91.63,19,8.37,21019
21,20,139,122,87.77,17,12.23,21020
21,21,261,241,92.34,20,7.66,21021
21,22,252,227,90.08,25,9.92,21022
21,23,203,181,89.16,22,10.84,21023
21,24,280,263,93.93,17,6.07,21024
21,25,212,195,91.98,17,8.02,21025
21,26,190,174,91.58,16,8.42,21026
21,27,272,251,92.28,21,7.72,21027
21,28,195,175,89.74,20,10.26,21028
21,29,137,124,90.51,13,9.49,21029
21,30,168,151,89.88,17,10.12,21030
21,31,333,301,90.39,32,9.61,21031
21,32,237,212,89.45,25,10.55,21032
21,33,246,222,90.24,24,9.76,21033
21,34,279,261,93.55,18,6.45,21034
21,35,131,115,87.79,16,12.21,21035
21,36,212,184,86.79,28,13.21,21036
21,37,229,215,93.89,14,6.11,21037
21,38,254,228,89.76,26,10.24,21038
21,39,214,191,89.25,23,10.75,21039
21,40,238,224,94.12,14,5.88,21040
21,41,194,179,92.27,15,7.73,21041
21,42,253,239,94.47,14,5.53,21042
21,43,226,210,92.92,16,7.08,21043
21,44,248,226,91.13,22,8.87,21044
21,45,202,183,90.59,19,9.41,21045
21,46,190,174,91.58,16,8.42,21046
21,47,278,257,92.45,21,7.55,21047
21,48,307,282,91.86,25,8.14,21048
21,49,291,268,92.1,23,7.9,21049
21,50,211,198,93.84,13,6.16,21050
21,51,293,266,90.78,27,9.22,21051
21,52,256,233,91.02,23,8.98,21052
21,53,210,198,94.29,12,5.71,21053
21,54,222,209,94.14,13,5.86,21054
21,55,267,234,87.64,33,12.36,21055
21,56,168,153,91.07,15,8.93,21056
21,57,222,206,92.79,16,7.21,21057
21,58,189,168,88.89,21,11.11,21058
21,59,290,267,92.07,23,7.93,21059
21,60,252,226,89.68,26,10.32,21060
21,61,277,246,88.81,31,11.19,21061
21,62,256,241,94.14,15,5.86,21062
21,63,266,239,89.85,27,10.15,21063
21,64,131,120,91.6,11,8.4,21064
21,65,326,299,91.72,27,8.28,21065
21,66,206,188,91.26,18,8.74,21066
21,67,233,213,91.42,20,8.58,21067
21,68,251,232,92.43,19,7.57,21068
21,69,201,184,91.54,17,8.46,21069
21,70,233,210,90.13,23,9.87,21070
21,71,186,170,91.4,16,8.6,21071
21,72,247,222,89.88,25,10.12,21072
21,73,307,279,90.88,28,9.12,21073
21,74,99,92,92.93,7,7.07,21074
22,1,127,80,62.99,47,37.01,22001
22,2,102,61,59.8,41,40.2,22002
22,3,179,103,57.54,76,42.46,22003
22,4,129,82,63.57,47,36.43,22004
22,5,152,93,61.18,59,38.82,22005
22,6,140,98,70.0,42,30.0,22006
22,7,210,187,89.05,23,10.95,22007
22,8,133,77,57.89,56,42.11,22008
22,9,186,108,58.06,78,41.94,22009
22,10,147,83,56.46,64,43.54,22010
22,11,146,95,65.07,51,34.93,22011
22,12,99,49,49.49,50,50.51,22012
22,13,137,87,63.5,50,36.5,22013
22,14,101,76,75.25,25,24.75,22014
22,15,104,67,64.42,37,35.58,22015
22,16,155,95,61.29,60,38.71,22016
22,17,144,85,59.03,59,40.97,22017
22,18,149,88,59.06,61,40.94,22018
22,19,161,148,91.93,13,8.07,22019
22,20,170,102,60.0,68,40.0,22020
22,21,197,180,91.37,17,8.63,22021
22,22,125,74,59.2,51,40.8,22022
22,23,151,86,56.95,65,43.05,22023
22,24,111,65,58.56,46,41.44,22024
22,25,124,75,60.48,49,39.52,22025
22,26,120,71,59.17,49,40.83,22026
22,27,177,111,62.71,66,37.29,22027
22,28,90,50,55.56,40,44.44,22028
22,29,97,60,61.86,37,38.14,22029
23,1,204,121,59.31,83,40.69,23001
23,2,256,203,79.3,53,20.7,23002
23,3,174,113,64.94,61,35.06,23003
23,4,223,138,61.88,85,38.12,23004
23,5,186,104,55.91,82,44.09,23005
23,6,180,107,59.44,73,40.56,23006
23,7,89,78,87.64,11,12.36,23007
23,8,214,136,63.55,78,36.45,23008
23,9,218,142,65.14,76,34.86,23009
23,10,258,170,65.89,88,34.11,23010
23,11,215,130,60.47,85,39.53,23011
23,12,225,153,68.0,72,32.0,23012
23,13,262,184,70.23,78,29.77,23013
23,14,82,71,86.59,11,13.41,23014
23,15,188,106,56.38,82,43.62,23015
23,16,228,146,64.04,82,35.96,23016
23,17,239,153,64.02,86,35.98,23017
23,18,162,106,65.43,56,34.57,23018
23,19,178,109,61.24,69,38.76,23019
23,20,179,110,61.45,69,38.55,23020
23,21,210,188,89.52,22,10.48,23021
23,22,213,128,60.09,85,39.91,23022
23,23,175,105,60.0,70,40.0,23023
23,24,184,112,60.87,72,39.13,23024
23,25,158,101,63.92,57,36.08,23025
23,26,207,128,61.84,79,38.16,23026
23,27,175,117,66.86,58,33.14,23027
23,28,218,142,65.14,76,34.86,23028
23,29,178,94,52.81,84,47.19,23029
23,30,184,107,58.15,77,41.85,23030
23,31,213,142,66.67,71,33.33,23031
23,32,236,155,65.68,81,34.32,23032
23,33,216,132,61.11,84,38.89,23033
23,34,182,112,61.54,70,38.46,23034
23,35,178,156,87.64,22,12.36,23035
23,36,273,177,64.84,96,35.16,23036
23,37,180,160,88.89,20,11.11,23037
23,38,198,141,71.21,57,28.79,23038
23,39,191,126,65.97,65,34.03,23039
23,40,189,119,62.96,70,37.04,23040
23,41,203,132,65.02,71,34.98,23041
23,42,159,114,71.7,45,28.3,23042
23,43,226,147,65.04,79,34.96,23043
23,44,229,161,70.31,68,29.69,23044
23,45,253,161,63.64,92,36.36,23045
23,46,214,130,60.75,84,39.25,23046
23,47,212,125,58.96,87,41.04,23047
23,48,185,127,68.65,58,31.35,23048
23,49,241,163,67.63,78,32.37,23049
23,50,133,68,51.13,65,48.87,23050
23,51,197,139,70.56,58,29.44,23051
23,52,230,155,67.39,75,32.61,23052
23,53,136,88,64.71,48,35.29,23053
23,54,249,156,62.65,93,37.35,23054
23,55,206,124,60.19,82,39.81,23055
23,56,163,104,63.8,59,36.2,23056
24,1,267,233,87.27,34,12.73,24001
24,2,126,111,88.1,15,11.9,24002
24,3,174,154,88.51,20,11.49,24003
24,4,190,162,85.26,28,14.74,24004
24,5,139,114,82.01,25,17.99,24005
24,6,203,182,89.66,21,10.34,24006
24,7,141,124,87.94,17,12.06,24007
24,8,146,135,92.47,11,7.53,24008
24,9,180,164,91.11,16,8.89,24009
24,10,133,122,91.73,11,8.27,24010
24,11,108,91,84.26,17,15.74,24011
24,12,145,127,87.59,18,12.41,24012
24,13,170,144,84.71,26,15.29,24013
24,14,254,227,89.37,27,10.63,24014
24,15,145,127,87.59,18,12.41,24015
24,16,140,122,87.14,18,12.86,24016
24,17,138,126,91.3,12,8.7,24017
24,18,120,102,85.0,18,15.0,24018
24,19,133,115,86.47,18,13.53,24019
24,20,173,158,91.33,15,8.67,24020
24,21,99,90,90.91,9,9.09,24021
24,22,173,148,85.55,25,14.45,24022
24,23,131,113,86.26,18,13.74,24023
24,24,79,72,91.14,7,8.86,24024
24,25,164,147,89.63,17,10.37,24025
24,26,232,207,89.22,25,10.78,24026
24,27,80,65,81.25,15,18.75,24027
24,28,200,181,90.5,19,9.5,24028
24,29,205,178,86.83,27,13.17,24029
24,30,132,114,86.36,18,13.64,24030
24,31,180,160,88.89,20,11.11,24031
24,32,153,138,90.2,15,9.8,24032
24,33,123,109,88.62,14,11.38,24033
24,34,177,155,87.57,22,12.43,24034
24,35,225,198,88.0,27,12.0,24035
24,36,135,122,90.37,13,9.63,24036
24,37,215,196,91.16,19,8.84,24037
24,38,177,161,90.96,16,9.04,24038
24,39,157,142,90.45,15,9.55,24039
24,40,206,182,88.35,24,11.65,24040
24,41,142,126,88.73,16,11.27,24041
24,42,124,110,88.71,14,11.29,24042
24,43,214,196,91.59,18,8.41,24043
24,44,235,191,81.28,44,18.72,24044
24,45,149,142,95.3,7,4.7,24045
24,46,219,202,92.24,17,7.76,24046
24,47,159,138,86.79,21,13.21,24047
24,48,103,90,87.38,13,12.62,24048
24,49,278,258,92.81,20,7.19,24049
24,50,300,266,88.67,34,11.33,24050
24,51,259,235,90.73,24,9.27,24051
24,52,153,144,94.12,9,5.88,24052
24,53,179,105,58.66,74,41.34,24053
24,54,205,191,93.17,14,6.83,24054
24,55,190,173,91.05,17,8.95,24055
24,56,206,185,89.81,21,10.19,24056
25,1,180,116,64.44,64,35.56,25001
25,2,225,134,59.56,91,40.44,25002
25,3,160,133,83.13,27,16.88,25003
25,4,201,131,65.17,70,34.83,25004
25,5,196,117,59.69,79,40.31,25005
25,6,113,75,66.37,38,33.63,25006
25,7,157,102,64.97,55,35.03,25007
25,8,216,129,59.72,87,40.28,25008
25,9,269,174,64.68,95,35.32,25009
25,10,114,81,71.05,33,28.95,25010
25,11,223,124,55.61,99,44.39,25011
25,12,179,118,65.92,61,34.08,25012
25,13,222,147,66.22,75,33.78,25013
25,14,79,54,68.35,25,31.65,25014
25,15,191,116,60.73,75,39.27,25015
25,16,79,64,81.01,15,18.99,25016
25,17,298,183,61.41,115,38.59,25017
25,18,142,113,79.58,29,20.42,25018
25,19,228,133,58.33,95,41.67,25019
25,20,230,132,57.39,98,42.61,25020
25,21,142,112,78.87,30,21.13,25021
25,22,117,69,58.97,48,41.03,25022
25,23,221,147,66.52,74,33.48,25023
25,24,232,138,59.48,94,40.52,25024
25,25,143,96,67.13,47,32.87,25025
25,26,122,80,65.57,42,34.43,25026
25,27,149,99,66.44,50,33.56,25027
25,28,201,144,71.64,57,28.36,25028
25,29,293,240,81.91,53,18.09,25029
25,30,200,125,62.5,75,37.5,25030
25,31,102,71,69.61,31,30.39,25031
26,1,94,75,79.79,19,20.21,26001
26,2,150,108,72.0,42,28.0,26002
26,3,131,88,67.18,43,32.82,26003
26,4,94,74,78.72,20,21.28,26004
26,5,148,101,68.24,47,31.76,26005
26,6,64,42,65.63,22,34.38,26006
26,7,80,54,67.5,26,32.5,26007
26,8,84,57,67.86,27,32.14,26008
26,9,89,56,62.92,33,37.08,26009
26,10,86,53,61.63,33,38.37,26010
26,11,121,81,66.94,40,33.06,26011
26,12,84,57,67.86,27,32.14,26012
26,13,115,89,77.39,26,22.61,26013
26,14,110,70,63.64,40,36.36,26014
26,15,107,69,64.49,38,35.51,26015
26,16,98,57,58.16,41,41.84,26016
26,17,54,35,64.81,19,35.19,26017
26,18,70,45,64.29,25,35.71,26018
26,19,189,146,77.25,43,22.75,26019
26,20,142,110,77.46,32,22.54,26020
