ward,precinct,total,Enoch Clarke-Bey (Clinton),Enoch Clarke-Bey (Clinton) Percent,Alice J. Palmer (Clinton),Alice J. Palmer (Clinton) Percent,Dante Sawyer (Clinton),Dante Sawyer (Clinton) Percent,Mercedes Mallette (Clinton),Mercedes Mallette (Clinton) Percent,"William Payton, Sr. (Clinton)","William Payton, Sr. (Clinton) Percent",Lupe M. Perez (Clinton),Lupe M. Perez (Clinton) Percent,Bernard McCann (Clinton),Bernard McCann (Clinton) Percent,Malissa Rainey (Clinton),Malissa Rainey (Clinton) Percent,Carrie Austin (Obama),Carrie Austin (Obama) Percent,Anthony A. Beale (Obama),Anthony A. Beale (Obama) Percent,Michael Eaddy (Obama),Michael Eaddy (Obama) Percent,Leslie A. Hairston (Obama),Leslie A. Hairston (Obama) Percent,Cheryle Jackson (Obama),Cheryle Jackson (Obama) Percent,Sandi Jackson (Obama),Sandi Jackson (Obama) Percent,James T. Meeks (Obama),James T. Meeks (Obama) Percent,"Willie ''Bill'' Williams, Jr. (Obama)","Willie ''Bill'' Williams, Jr. (Obama) Percent",Adam Avrushin (Richardson),Adam Avrushin (Richardson) Percent,Joan Donahue (Richardson),Joan Donahue (Richardson) Percent,precinct_id
9,30,1946,11,0.57,16,0.82,13,0.67,7,0.36,14,0.72,7,0.36,6,0.31,15,0.77,221,11.36,239,12.28,224,11.51,228,11.72,234,12.02,233,11.97,237,12.18,229,11.77,6,0.31,6,0.31,09030
9,31,1772,15,0.85,16,0.9,12,0.68,10,0.56,17,0.96,13,0.73,10,0.56,13,0.73,193,10.89,219,12.36,200,11.29,203,11.46,204,11.51,212,11.96,215,12.13,198,11.17,12,0.68,10,0.56,09031
9,32,2155,20,0.93,25,1.16,18,0.84,20,0.93,17,0.79,15,0.7,15,0.7,15,0.7,238,11.04,270,12.53,232,10.77,235,10.9,246,11.42,257,11.93,261,12.11,240,11.14,13,0.6,18,0.84,09032
9,33,1221,9,0.74,12,0.98,7,0.57,5,0.41,12,0.98,7,0.57,6,0.49,7,0.57,128,10.48,169,13.84,136,11.14,138,11.3,142,11.63,138,11.3,151,12.37,144,11.79,6,0.49,4,0.33,09033
9,34,1560,10,0.64,17,1.09,14,0.9,7,0.45,12,0.77,10,0.64,9,0.58,9,0.58,177,11.35,185,11.86,174,11.15,174,11.15,181,11.6,186,11.92,196,12.56,175,11.22,8,0.51,16,1.03,09034
9,35,2440,14,0.57,29,1.19,15,0.61,16,0.66,27,1.11,15,0.61,13,0.53,16,0.66,262,10.74,309,12.66,275,11.27,275,11.27,291,11.93,284,11.64,299,12.25,261,10.7,22,0.9,17,0.7,09035
9,37,1529,49,3.2,51,3.34,50,3.27,47,3.07,52,3.4,55,3.6,43,2.81,45,2.94,138,9.03,152,9.94,134,8.76,140,9.16,142,9.29,140,9.16,134,8.76,135,8.83,10,0.65,12,0.78,09037
9,38,1923,21,1.09,21,1.09,16,0.83,14,0.73,21,1.09,14,0.73,14,0.73,14,0.73,210,10.92,244,12.69,209,10.87,211,10.97,217,11.28,224,11.65,248,12.9,206,10.71,8,0.42,11,0.57,09038
9,39,2516,16,0.64,24,0.95,20,0.79,17,0.68,23,0.91,14,0.56,19,0.76,20,0.79,282,11.21,304,12.08,283,11.25,287,11.41,291,11.57,295,11.72,308,12.24,286,11.37,16,0.64,11,0.44,09039
9,40,2176,12,0.55,24,1.1,22,1.01,15,0.69,16,0.74,12,0.55,12,0.55,16,0.74,232,10.66,276,12.68,245,11.26,252,11.58,254,11.67,251,11.53,262,12.04,249,11.44,18,0.83,8,0.37,09040
9,41,2383,20,0.84,26,1.09,27,1.13,16,0.67,23,0.97,22,0.92,15,0.63,17,0.71,262,10.99,293,12.3,266,11.16,268,11.25,274,11.5,272,11.41,300,12.59,263,11.04,10,0.42,9,0.38,09041
9,42,706,6,0.85,4,0.57,4,0.57,3,0.42,4,0.57,5,0.71,5,0.71,5,0.71,77,10.91,103,14.59,79,11.19,79,11.19,81,11.47,85,12.04,84,11.9,80,11.33,1,0.14,1,0.14,09042
9,43,1100,2,0.18,6,0.55,6,0.55,4,0.36,7,0.64,5,0.45,4,0.36,6,0.55,121,11.0,133,12.09,129,11.73,128,11.64,126,11.45,131,11.91,137,12.45,126,11.45,18,1.64,11,1.0,09043
9,44,1572,21,1.34,29,1.84,25,1.59,14,0.89,22,1.4,23,1.46,17,1.08,18,1.15,170,10.81,183,11.64,168,10.69,165,10.5,170,10.81,184,11.7,182,11.58,169,10.75,4,0.25,8,0.51,09044
9,45,1801,17,0.94,16,0.89,17,0.94,15,0.83,16,0.89,13,0.72,13,0.72,14,0.78,193,10.72,221,12.27,202,11.22,204,11.33,210,11.66,215,11.94,214,11.88,197,10.94,12,0.67,12,0.67,09045
9,46,1685,11,0.65,11,0.65,16,0.95,10,0.59,14,0.83,12,0.71,10,0.59,7,0.42,185,10.98,218,12.94,185,10.98,190,11.28,195,11.57,206,12.23,207,12.28,191,11.34,9,0.53,8,0.47,09046
9,48,2254,21,0.93,31,1.38,22,0.98,23,1.02,20,0.89,22,0.98,15,0.67,20,0.89,254,11.27,274,12.16,246,10.91,248,11.0,262,11.62,260,11.54,259,11.49,255,11.31,10,0.44,12,0.53,09048
9,49,1322,6,0.45,4,0.3,8,0.61,3,0.23,8,0.61,7,0.53,7,0.53,3,0.23,148,11.2,170,12.86,153,11.57,154,11.65,163,12.33,158,11.95,172,13.01,151,11.42,4,0.3,3,0.23,09049
9,50,2128,22,1.03,19,0.89,21,0.99,17,0.8,25,1.17,17,0.8,14,0.66,20,0.94,234,11.0,255,11.98,232,10.9,242,11.37,250,11.75,245,11.51,250,11.75,239,11.23,15,0.7,11,0.52,09050
9,51,1104,12,1.09,19,1.72,17,1.54,14,1.27,18,1.63,13,1.18,17,1.54,15,1.36,111,10.05,127,11.5,114,10.33,115,10.42,122,11.05,122,11.05,130,11.78,114,10.33,10,0.91,14,1.27,09051
9,52,2273,19,0.84,21,0.92,24,1.06,16,0.7,25,1.1,23,1.01,17,0.75,19,0.84,242,10.65,271,11.92,250,11.0,255,11.22,266,11.7,265,11.66,274,12.05,249,10.95,18,0.79,19,0.84,09052
