ward,precinct,total,E. Madeline O'Neill,E. Madeline O'Neill Percent,Joan Powell,Joan Powell Percent,Patrick Dennis Riley,Patrick Dennis Riley Percent,precinct_id
9,51,135,44,32.59,57,42.22,26,19.26,09051
9,52,261,68,26.05,152,58.24,37,14.18,09052
9,53,127,35,27.56,68,53.54,16,12.6,09053
10,1,147,46,31.29,63,42.86,29,19.73,10001
10,2,111,35,31.53,43,38.74,25,22.52,10002
10,3,145,40,27.59,63,43.45,32,22.07,10003
10,4,135,41,30.37,64,47.41,25,18.52,10004
10,5,125,45,36.0,47,37.6,27,21.6,10005
10,6,182,28,15.38,125,68.68,20,10.99,10006
10,7,46,18,39.13,17,36.96,8,17.39,10007
10,8,121,39,32.23,41,33.88,34,28.1,10008
10,9,129,39,30.23,49,37.98,30,23.26,10009
10,10,137,44,32.12,41,29.93,37,27.01,10010
10,11,152,54,35.53,51,33.55,36,23.68,10011
10,12,128,38,29.69,51,39.84,32,25.0,10012
10,13,119,48,40.34,35,29.41,27,22.69,10013
10,14,163,57,34.97,58,35.58,39,23.93,10014
10,15,79,23,29.11,27,34.18,23,29.11,10015
10,16,145,43,29.66,67,46.21,25,17.24,10016
10,17,108,25,23.15,45,41.67,34,31.48,10017
10,18,154,39,25.32,79,51.3,26,16.88,10018
10,19,167,51,30.54,68,40.72,40,23.95,10019
10,20,128,34,26.56,52,40.63,37,28.91,10020
10,21,112,34,30.36,49,43.75,21,18.75,10021
10,22,115,37,32.17,46,40.0,26,22.61,10022
10,23,131,47,35.88,51,38.93,22,16.79,10023
10,24,127,43,33.86,49,38.58,29,22.83,10024
10,25,208,70,33.65,78,37.5,36,17.31,10025
10,26,129,39,30.23,45,34.88,31,24.03,10026
10,27,180,54,30.0,77,42.78,34,18.89,10027
10,28,117,38,32.48,56,47.86,18,15.38,10028
10,29,167,34,20.36,106,63.47,21,12.57,10029
10,30,171,43,25.15,68,39.77,42,24.56,10030
10,31,145,50,34.48,43,29.66,38,26.21,10031
10,32,168,61,36.31,52,30.95,40,23.81,10032
10,33,135,45,33.33,51,37.78,27,20.0,10033
10,34,181,61,33.7,58,32.04,46,25.41,10034
10,35,144,43,29.86,61,42.36,31,21.53,10035
10,36,176,46,26.14,89,50.57,32,18.18,10036
10,37,137,41,29.93,58,42.34,31,22.63,10037
10,38,174,52,29.89,69,39.66,40,22.99,10038
10,39,152,57,37.5,52,34.21,34,22.37,10039
10,40,126,41,32.54,59,46.83,23,18.25,10040
10,41,185,55,29.73,68,36.76,48,25.95,10041
10,42,140,43,30.71,43,30.71,46,32.86,10042
10,43,80,26,32.5,28,35.0,21,26.25,10043
10,44,167,43,25.75,79,47.31,35,20.96,10044
10,45,99,25,25.25,42,42.42,23,23.23,10045
10,46,139,55,39.57,50,35.97,27,19.42,10046
10,47,132,52,39.39,43,32.58,27,20.45,10047
10,48,155,63,40.65,56,36.13,27,17.42,10048
11,1,189,39,20.63,98,51.85,37,19.58,11001
11,2,165,58,35.15,67,40.61,29,17.58,11002
11,3,150,27,18.0,90,60.0,24,16.0,11003
11,4,197,47,23.86,104,52.79,35,17.77,11004
11,5,104,24,23.08,48,46.15,22,21.15,11005
11,6,260,77,29.62,85,32.69,70,26.92,11006
11,7,169,46,27.22,91,53.85,16,9.47,11007
11,8,180,49,27.22,92,51.11,33,18.33,11008
11,9,130,39,30.0,51,39.23,27,20.77,11009
11,10,124,40,32.26,60,48.39,18,14.52,11010
11,11,244,64,26.23,123,50.41,43,17.62,11011
11,12,199,30,15.08,127,63.82,33,16.58,11012
11,13,158,25,15.82,109,68.99,22,13.92,11013
11,14,145,28,19.31,74,51.03,38,26.21,11014
11,15,171,27,15.79,102,59.65,32,18.71,11015
11,16,203,55,27.09,100,49.26,32,15.76,11016
11,17,245,63,25.71,115,46.94,47,19.18,11017
11,18,111,28,25.23,51,45.95,23,20.72,11018
11,19,139,40,28.78,75,53.96,16,11.51,11019
11,20,146,18,12.33,102,69.86,23,15.75,11020
11,21,186,39,20.97,104,55.91,35,18.82,11021
11,22,142,24,16.9,84,59.15,27,19.01,11022
11,23,153,24,15.69,86,56.21,31,20.26,11023
11,24,354,33,9.32,257,72.6,43,12.15,11024
11,25,168,24,14.29,109,64.88,25,14.88,11025
11,26,274,59,21.53,152,55.47,49,17.88,11026
11,27,128,37,28.91,61,47.66,23,17.97,11027
11,28,156,32,20.51,90,57.69,29,18.59,11028
11,29,176,59,33.52,65,36.93,40,22.73,11029
11,30,157,49,31.21,52,33.12,37,23.57,11030
11,31,114,15,13.16,63,55.26,28,24.56,11031
11,32,149,23,15.44,88,59.06,29,19.46,11032
11,33,112,22,19.64,64,57.14,17,15.18,11033
11,34,105,22,20.95,49,46.67,29,27.62,11034
11,35,265,27,10.19,185,69.81,44,16.6,11035
11,36,48,11,22.92,27,56.25,8,16.67,11036
11,37,217,26,11.98,156,71.89,31,14.29,11037
11,38,289,52,17.99,175,60.55,46,15.92,11038
11,39,238,53,22.27,121,50.84,44,18.49,11039
11,40,120,13,10.83,83,69.17,21,17.5,11040
11,41,111,25,22.52,61,54.95,16,14.41,11041
11,42,139,43,30.94,56,40.29,27,19.42,11042
11,43,181,47,25.97,61,33.7,54,29.83,11043
11,44,187,43,22.99,111,59.36,24,12.83,11044
11,45,76,21,27.63,28,36.84,13,17.11,11045
11,46,103,22,21.36,73,70.87,6,5.83,11046
11,47,149,39,26.17,61,40.94,40,26.85,11047
11,48,69,11,15.94,31,44.93,21,30.43,11048
11,49,173,28,16.18,105,60.69,31,17.92,11049
11,50,98,26,26.53,53,54.08,15,15.31,11050
12,1,76,30,39.47,24,31.58,11,14.47,12001
12,2,107,41,38.32,34,31.78,19,17.76,12002
12,3,115,34,29.57,47,40.87,24,20.87,12003
12,4,97,28,28.87,36,37.11,23,23.71,12004
12,5,120,40,33.33,42,35.0,26,21.67,12005
12,6,102,43,42.16,25,24.51,20,19.61,12006
12,7,138,61,44.2,47,34.06,21,15.22,12007
12,8,172,51,29.65,81,47.09,33,19.19,12008
12,9,99,32,32.32,28,28.28,28,28.28,12009
12,10,129,33,25.58,48,37.21,35,27.13,12010
12,11,185,83,44.86,50,27.03,32,17.3,12011
12,12,107,30,28.04,39,36.45,26,24.3,12012
12,13,152,57,37.5,41,26.97,40,26.32,12013
12,14,133,48,36.09,37,27.82,31,23.31,12014
12,15,105,43,40.95,33,31.43,18,17.14,12015
12,16,117,27,23.08,48,41.03,24,20.51,12016
12,17,141,54,38.3,56,39.72,20,14.18,12017
12,18,153,48,31.37,51,33.33,45,29.41,12018
12,19,169,66,39.05,51,30.18,40,23.67,12019
12,20,134,53,39.55,33,24.63,31,23.13,12020
12,21,134,58,43.28,34,25.37,33,24.63,12021
12,22,109,41,37.61,41,37.61,19,17.43,12022
12,23,135,48,35.56,50,37.04,21,15.56,12023
12,24,169,56,33.14,56,33.14,37,21.89,12024
13,1,228,52,22.81,124,54.39,32,14.04,13001
13,2,183,35,19.13,115,62.84,25,13.66,13002
13,3,234,62,26.5,108,46.15,52,22.22,13003
13,4,283,68,24.03,118,41.7,72,25.44,13004
13,5,255,64,25.1,114,44.71,55,21.57,13005
13,6,216,62,28.7,90,41.67,42,19.44,13006
13,7,199,38,19.1,122,61.31,31,15.58,13007
13,8,234,47,20.09,121,51.71,54,23.08,13008
13,9,259,61,23.55,119,45.95,67,25.87,13009
13,10,195,37,18.97,108,55.38,40,20.51,13010
13,11,227,41,18.06,133,58.59,44,19.38,13011
13,12,181,44,24.31,80,44.2,41,22.65,13012
13,13,244,29,11.89,182,74.59,27,11.07,13013
13,14,202,48,23.76,117,57.92,26,12.87,13014
13,15,341,54,15.84,212,62.17,54,15.84,13015
13,16,279,65,23.3,145,51.97,50,17.92,13016
13,17,207,43,20.77,112,54.11,35,16.91,13017
13,18,171,50,29.24,86,50.29,22,12.87,13018
13,19,300,57,19.0,177,59.0,45,15.0,13019
13,20,218,47,21.56,112,51.38,47,21.56,13020
13,21,250,40,16.0,162,64.8,34,13.6,13021
13,22,199,31,15.58,135,67.84,23,11.56,13022
13,23,201,48,23.88,119,59.2,26,12.94,13023
13,24,219,38,17.35,148,67.58,22,10.05,13024
13,25,172,54,31.4,57,33.14,43,25.0,13025
13,26,217,22,10.14,156,71.89,26,11.98,13026
13,27,214,49,22.9,116,54.21,37,17.29,13027
13,28,181,51,28.18,83,45.86,35,19.34,13028
13,29,213,43,20.19,106,49.77,47,22.07,13029
13,30,328,91,27.74,157,47.87,61,18.6,13030
13,31,262,56,21.37,155,59.16,41,15.65,13031
13,32,231,49,21.21,142,61.47,27,11.69,13032
13,33,211,55,26.07,106,50.24,39,18.48,13033
13,34,325,33,10.15,245,75.38,36,11.08,13034
13,35,265,33,12.45,170,64.15,48,18.11,13035
13,36,121,31,25.62,62,51.24,25,20.66,13036
13,37,196,36,18.37,106,54.08,43,21.94,13037
13,38,229,45,19.65,116,50.66,45,19.65,13038
13,39,207,39,18.84,121,58.45,42,20.29,13039
13,40,246,63,25.61,108,43.9,54,21.95,13040
13,41,178,29,16.29,119,66.85,25,14.04,13041
13,42,219,31,14.16,138,63.01,33,15.07,13042
13,43,224,48,21.43,116,51.79,41,18.3,13043
13,44,328,22,6.71,293,89.33,10,3.05,13044
13,45,257,36,14.01,155,60.31,46,17.9,13045
13,46,233,63,27.04,98,42.06,57,24.46,13046
13,47,241,79,32.78,102,42.32,42,17.43,13047
14,1,101,26,25.74,48,47.52,22,21.78,14001
14,2,139,44,31.65,54,38.85,32,23.02,14002
14,3,204,51,25.0,91,44.61,44,21.57,14003
14,4,132,40,30.3,51,38.64,28,21.21,14004
14,5,209,47,22.49,123,58.85,30,14.35,14005
14,6,135,48,35.56,52,38.52,27,20.0,14006
14,7,146,36,24.66,72,49.32,28,19.18,14007
14,8,108,39,36.11,47,43.52,18,16.67,14008
14,9,166,61,36.75,76,45.78,23,13.86,14009
14,10,161,42,26.09,76,47.2,34,21.12,14010
14,11,136,23,16.91,94,69.12,16,11.76,14011
14,12,137,30,21.9,76,55.47,23,16.79,14012
14,13,168,39,23.21,96,57.14,26,15.48,14013
14,14,147,44,29.93,68,46.26,26,17.69,14014
14,15,203,40,19.7,125,61.58,28,13.79,14015
14,16,163,52,31.9,79,48.47,24,14.72,14016
14,17,155,45,29.03,77,49.68,20,12.9,14017
14,18,194,61,31.44,79,40.72,41,21.13,14018
14,19,216,56,25.93,119,55.09,29,13.43,14019
14,20,126,35,27.78,59,46.83,23,18.25,14020
14,21,176,31,17.61,116,65.91,16,9.09,14021
14,22,179,36,20.11,116,64.8,15,8.38,14022
14,23,213,66,30.99,83,38.97,49,23.0,14023
14,24,104,28,26.92,47,45.19,21,20.19,14024
14,25,172,48,27.91,79,45.93,31,18.02,14025
14,26,173,46,26.59,84,48.55,31,17.92,14026
14,27,195,53,27.18,90,46.15,37,18.97,14027
14,28,156,49,31.41,59,37.82,39,25.0,14028
14,29,188,44,23.4,102,54.26,26,13.83,14029
14,30,143,38,26.57,76,53.15,24,16.78,14030
14,31,149,26,17.45,98,65.77,16,10.74,14031
14,32,123,35,28.46,53,43.09,23,18.7,14032
14,33,136,38,27.94,71,52.21,16,11.76,14033
14,34,149,24,16.11,107,71.81,12,8.05,14034
14,35,157,44,28.03,75,47.77,26,16.56,14035
15,1,125,40,32.0,49,39.2,27,21.6,15001
15,2,130,40,30.77,60,46.15,22,16.92,15002
15,3,150,43,28.67,71,47.33,27,18.0,15003
15,4,132,44,33.33,51,38.64,26,19.7,15004
15,5,145,48,33.1,64,44.14,27,18.62,15005
15,6,161,53,32.92,60,37.27,37,22.98,15006
15,7,138,50,36.23,57,41.3,28,20.29,15007
15,8,204,57,27.94,85,41.67,42,20.59,15008
15,9,167,40,23.95,73,43.71,43,25.75,15009
15,10,112,40,35.71,38,33.93,24,21.43,15010
15,11,177,47,26.55,82,46.33,36,20.34,15011
15,12,94,29,30.85,42,44.68,17,18.09,15012
15,13,113,25,22.12,47,41.59,28,24.78,15013
15,14,158,52,32.91,48,30.38,46,29.11,15014
15,15,138,50,36.23,49,35.51,32,23.19,15015
15,16,103,39,37.86,23,22.33,34,33.01,15016
15,17,164,50,30.49,69,42.07,38,23.17,15017
15,18,97,32,32.99,36,37.11,21,21.65,15018
15,19,129,37,28.68,59,45.74,28,21.71,15019
15,20,127,39,30.71,52,40.94,34,26.77,15020
15,21,156,47,30.13,71,45.51,28,17.95,15021
15,22,198,53,26.77,81,40.91,47,23.74,15022
15,23,129,51,39.53,54,41.86,22,17.05,15023
15,24,136,45,33.09,61,44.85,26,19.12,15024
15,25,150,47,31.33,49,32.67,43,28.67,15025
15,26,156,41,26.28,59,37.82,42,26.92,15026
15,27,136,33,24.26,65,47.79,28,20.59,15027
15,28,192,63,32.81,66,34.38,52,27.08,15028
15,29,77,26,33.77,26,33.77,19,24.68,15029
15,30,164,47,28.66,67,40.85,39,23.78,15030
15,31,130,28,21.54,70,53.85,28,21.54,15031
15,32,161,49,30.43,59,36.65,41,25.47,15032
15,33,96,31,32.29,42,43.75,18,18.75,15033
15,34,104,29,27.88,47,45.19,21,20.19,15034
15,35,146,38,26.03,74,50.68,25,17.12,15035
15,36,140,41,29.29,66,47.14,23,16.43,15036
15,37,114,35,30.7,57,50.0,19,16.67,15037
15,38,144,38,26.39,56,38.89,39,27.08,15038
15,39,171,44,25.73,71,41.52,45,26.32,15039
15,40,131,35,26.72,59,45.04,27,20.61,15040
15,41,214,56,26.17,96,44.86,51,23.83,15041
15,42,104,27,25.96,52,50.0,18,17.31,15042
15,43,114,33,28.95,48,42.11,24,21.05,15043
15,44,172,50,29.07,75,43.6,35,20.35,15044
15,45,88,29,32.95,33,37.5,21,23.86,15045
15,46,118,26,22.03,56,47.46,25,21.19,15046
15,47,157,51,32.48,74,47.13,22,14.01,15047
15,48,115,39,33.91,44,38.26,24,20.87,15048
15,49,122,44,36.07,38,31.15,31,25.41,15049
15,50,147,46,31.29,70,47.62,24,16.33,15050
15,51,103,28,27.18,48,46.6,21,20.39,15051
15,52,72,18,25.0,34,47.22,13,18.06,15052
16,1,121,29,23.97,60,49.59,24,19.83,16001
16,2,121,27,22.31,65,53.72,24,19.83,16002
16,3,112,24,21.43,66,58.93,17,15.18,16003
16,4,77,27,35.06,24,31.17,18,23.38,16004
16,5,143,35,24.48,71,49.65,28,19.58,16005
16,6,75,26,34.67,33,44.0,11,14.67,16006
16,7,152,35,23.03,86,56.58,20,13.16,16007
16,8,148,43,29.05,66,44.59,31,20.95,16008
16,9,202,54,26.73,102,50.5,36,17.82,16009
16,10,243,64,26.34,126,51.85,42,17.28,16010
16,11,188,57,30.32,87,46.28,30,15.96,16011
16,12,110,29,26.36,56,50.91,21,19.09,16012
16,13,109,32,29.36,44,40.37,28,25.69,16013
16,14,161,52,32.3,70,43.48,26,16.15,16014
16,15,193,48,24.87,99,51.3,40,20.73,16015
16,16,145,32,22.07,86,59.31,23,15.86,16016
16,17,128,33,25.78,43,33.59,37,28.91,16017
16,18,170,58,34.12,76,44.71,29,17.06,16018
16,19,192,37,19.27,94,48.96,41,21.35,16019
16,20,137,27,19.71,78,56.93,26,18.98,16020
16,21,117,38,32.48,46,39.32,28,23.93,16021
16,22,115,30,26.09,62,53.91,16,13.91,16022
16,23,143,45,31.47,55,38.46,33,23.08,16023
16,24,47,11,23.4,20,42.55,7,14.89,16024
16,25,112,30,26.79,56,50.0,19,16.96,16025
16,26,134,51,38.06,56,41.79,20,14.93,16026
16,27,165,54,32.73,79,47.88,28,16.97,16027
16,28,168,54,32.14,82,48.81,22,13.1,16028
16,29,126,36,28.57,57,45.24,25,19.84,16029
16,30,150,37,24.67,82,54.67,23,15.33,16030
16,31,151,35,23.18,87,57.62,27,17.88,16031
16,32,137,38,27.74,55,40.15,30,21.9,16032
16,33,121,33,27.27,61,50.41,24,19.83,16033
16,34,125,29,23.2,65,52.0,25,20.0,16034
16,35,155,51,32.9,50,32.26,35,22.58,16035
16,36,142,31,21.83,78,54.93,26,18.31,16036
16,37,105,22,20.95,53,50.48,20,19.05,16037
16,38,92,22,23.91,56,60.87,8,8.7,16038
16,39,124,51,41.13,41,33.06,27,21.77,16039
16,40,184,44,23.91,88,47.83,42,22.83,16040
16,41,88,28,31.82,43,48.86,11,12.5,16041
16,42,146,36,24.66,65,44.52,30,20.55,16042
16,43,168,54,32.14,73,43.45,33,19.64,16043
16,44,152,45,29.61,66,43.42,32,21.05,16044
17,1,102,28,27.45,52,50.98,17,16.67,17001
17,2,190,47,24.74,98,51.58,32,16.84,17002
17,3,119,30,25.21,58,48.74,22,18.49,17003
17,4,258,67,25.97,128,49.61,51,19.77,17004
17,5,137,38,27.74,70,51.09,22,16.06,17005
17,6,134,32,23.88,67,50.0,26,19.4,17006
17,7,203,57,28.08,106,52.22,28,13.79,17007
17,8,144,48,33.33,66,45.83,22,15.28,17008
17,9,125,34,27.2,63,50.4,19,15.2,17009
17,10,180,42,23.33,95,52.78,33,18.33,17010
17,11,196,41,20.92,106,54.08,40,20.41,17011
17,12,242,62,25.62,137,56.61,37,15.29,17012
17,13,118,34,28.81,64,54.24,15,12.71,17013
17,14,158,45,28.48,77,48.73,27,17.09,17014
17,15,165,56,33.94,81,49.09,23,13.94,17015
17,16,134,34,25.37,68,50.75,25,18.66,17016
17,17,131,33,25.19,59,45.04,30,22.9,17017
17,18,190,59,31.05,86,45.26,37,19.47,17018
17,19,71,17,23.94,28,39.44,23,32.39,17019
17,20,156,45,28.85,71,45.51,25,16.03,17020
17,21,231,44,19.05,142,61.47,36,15.58,17021
17,22,177,48,27.12,97,54.8,23,12.99,17022
17,23,121,32,26.45,68,56.2,17,14.05,17023
17,24,177,44,24.86,99,55.93,30,16.95,17024
17,25,120,31,25.83,59,49.17,25,20.83,17025
17,26,183,47,25.68,91,49.73,30,16.39,17026
17,27,238,74,31.09,106,44.54,43,18.07,17027
17,28,155,44,28.39,85,54.84,23,14.84,17028
17,29,195,51,26.15,98,50.26,36,18.46,17029
17,30,192,45,23.44,103,53.65,32,16.67,17030
17,31,141,34,24.11,79,56.03,21,14.89,17031
17,32,205,50,24.39,111,54.15,37,18.05,17032
17,33,152,30,19.74,79,51.97,30,19.74,17033
17,34,127,35,27.56,57,44.88,30,23.62,17034
17,35,117,25,21.37,66,56.41,18,15.38,17035
17,36,93,31,33.33,31,33.33,25,26.88,17036
17,37,152,40,26.32,80,52.63,28,18.42,17037
17,38,181,47,25.97,88,48.62,38,20.99,17038
17,39,139,36,25.9,66,47.48,23,16.55,17039
17,40,154,39,25.32,73,47.4,32,20.78,17040
17,41,139,33,23.74,73,52.52,23,16.55,17041
17,42,145,39,26.9,72,49.66,32,22.07,17042
17,43,136,36,26.47,68,50.0,25,18.38,17043
17,44,120,37,30.83,61,50.83,15,12.5,17044
17,45,127,40,31.5,62,48.82,21,16.54,17045
17,46,184,51,27.72,83,45.11,32,17.39,17046
17,47,105,23,21.9,58,55.24,18,17.14,17047
17,48,205,64,31.22,101,49.27,32,15.61,17048
17,49,88,27,30.68,36,40.91,18,20.45,17049
17,50,166,38,22.89,82,49.4,34,20.48,17050
17,51,201,69,34.33,81,40.3,49,24.38,17051
17,52,210,49,23.33,118,56.19,38,18.1,17052
17,53,165,40,24.24,80,48.48,37,22.42,17053
17,54,216,48,22.22,135,62.5,27,12.5,17054
17,55,166,53,31.93,69,41.57,30,18.07,17055
17,56,196,48,24.49,99,50.51,40,20.41,17056
17,57,182,49,26.92,94,51.65,32,17.58,17057
17,58,133,27,20.3,70,52.63,31,23.31,17058
17,59,102,22,21.57,60,58.82,18,17.65,17059
17,60,245,68,27.76,130,53.06,35,14.29,17060
17,61,171,36,21.05,96,56.14,29,16.96,17061
17,62,127,27,21.26,74,58.27,17,13.39,17062
17,63,142,34,23.94,79,55.63,18,12.68,17063
17,64,122,18,14.75,78,63.93,21,17.21,17064
18,1,126,29,23.02,71,56.35,18,14.29,18001
18,2,228,55,24.12,121,53.07,40,17.54,18002
18,3,153,37,24.18,60,39.22,38,24.84,18003
18,4,265,55,20.75,163,61.51,40,15.09,18004
18,5,241,55,22.82,134,55.6,43,17.84,18005
18,6,180,48,26.67,70,38.89,49,27.22,18006
18,7,201,48,23.88,88,43.78,55,27.36,18007
18,8,110,32,29.09,49,44.55,21,19.09,18008
18,9,237,60,25.32,124,52.32,47,19.83,18009
18,10,378,70,18.52,238,62.96,57,15.08,18010
18,11,209,47,22.49,102,48.8,51,24.4,18011
18,12,308,69,22.4,183,59.42,42,13.64,18012
18,13,275,50,18.18,159,57.82,53,19.27,18013
18,14,307,65,21.17,193,62.87,43,14.01,18014
18,15,127,32,25.2,59,46.46,28,22.05,18015
18,16,265,52,19.62,178,67.17,27,10.19,18016
18,17,197,49,24.87,97,49.24,47,23.86,18017
18,18,213,53,24.88,128,60.09,27,12.68,18018
18,19,339,84,24.78,190,56.05,50,14.75,18019
18,20,233,53,22.75,140,60.09,32,13.73,18020
18,21,339,63,18.58,209,61.65,52,15.34,18021
18,22,292,63,21.58,189,64.73,34,11.64,18022
18,23,217,55,25.35,114,52.53,38,17.51,18023
18,24,280,64,22.86,155,55.36,46,16.43,18024
18,25,251,54,21.51,151,60.16,38,15.14,18025
18,26,184,38,20.65,117,63.59,24,13.04,18026
18,27,230,57,24.78,129,56.09,38,16.52,18027
18,28,194,28,14.43,73,37.63,68,35.05,18028
18,29,237,41,17.3,139,58.65,49,20.68,18029
18,30,199,53,26.63,102,51.26,35,17.59,18030
18,31,242,63,26.03,115,47.52,50,20.66,18031
18,32,330,77,23.33,179,54.24,67,20.3,18032
18,33,208,64,30.77,88,42.31,46,22.12,18033
18,34,327,76,23.24,192,58.72,44,13.46,18034
18,35,331,62,18.73,194,58.61,55,16.62,18035
18,36,181,45,24.86,93,51.38,35,19.34,18036
18,37,212,57,26.89,116,54.72,31,14.62,18037
18,38,277,51,18.41,162,58.48,49,17.69,18038
18,39,219,57,26.03,110,50.23,44,20.09,18039
18,40,315,66,20.95,197,62.54,39,12.38,18040
18,41,208,41,19.71,90,43.27,60,28.85,18041
18,42,178,52,29.21,81,45.51,41,23.03,18042
18,43,159,44,27.67,66,41.51,33,20.75,18043
18,44,143,43,30.07,69,48.25,25,17.48,18044
18,45,269,59,21.93,170,63.2,32,11.9,18045
18,46,241,60,24.9,127,52.7,47,19.5,18046
18,47,194,50,25.77,106,54.64,35,18.04,18047
18,48,128,43,33.59,45,35.16,27,21.09,18048
18,49,208,68,32.69,94,45.19,39,18.75,18049
18,50,223,49,21.97,126,56.5,37,16.59,18050
18,51,305,84,27.54,162,53.11,51,16.72,18051
18,52,257,59,22.96,138,53.7,49,19.07,18052
18,53,202,56,27.72,104,51.49,36,17.82,18053
18,54,251,66,26.29,136,54.18,33,13.15,18054
18,55,198,42,21.21,62,31.31,74,37.37,18055
18,56,195,55,28.21,78,40.0,54,27.69,18056
18,57,210,51,24.29,111,52.86,35,16.67,18057
18,58,242,71,29.34,119,49.17,43,17.77,18058
18,59,175,42,24.0,106,60.57,24,13.71,18059
18,60,287,68,23.69,164,57.14,47,16.38,18060
18,61,270,76,28.15,136,50.37,46,17.04,18061
18,62,175,47,26.86,58,33.14,49,28.0,18062
19,1,263,48,18.25,104,39.54,91,34.6,19001
19,2,256,38,14.84,156,60.94,48,18.75,19002
19,3,158,26,16.46,50,31.65,62,39.24,19003
19,4,217,27,12.44,121,55.76,55,25.35,19004
19,5,293,66,22.53,168,57.34,49,16.72,19005
19,6,178,44,24.72,61,34.27,57,32.02,19006
19,7,244,55,22.54,102,41.8,76,31.15,19007
19,8,164,36,21.95,49,29.88,59,35.98,19008
19,9,157,31,19.75,55,35.03,58,36.94,19009
19,10,335,60,17.91,180,53.73,74,22.09,19010
19,11,267,41,15.36,136,50.94,62,23.22,19011
19,12,216,36,16.67,90,41.67,79,36.57,19012
19,13,242,51,21.07,145,59.92,32,13.22,19013
19,14,136,21,15.44,51,37.5,56,41.18,19014
19,15,203,38,18.72,81,39.9,67,33.0,19015
19,16,293,41,13.99,158,53.92,75,25.6,19016
19,17,255,33,12.94,120,47.06,89,34.9,19017
19,18,283,37,13.07,154,54.42,70,24.73,19018
19,19,278,65,23.38,138,49.64,56,20.14,19019
19,20,257,52,20.23,147,57.2,47,18.29,19020
19,21,162,40,24.69,52,32.1,62,38.27,19021
19,22,281,43,15.3,155,55.16,72,25.62,19022
19,23,276,39,14.13,121,43.84,97,35.14,19023
19,24,211,35,16.59,98,46.45,64,30.33,19024
19,25,289,53,18.34,150,51.9,69,23.88,19025
19,26,266,49,18.42,114,42.86,81,30.45,19026
19,27,179,39,21.79,97,54.19,40,22.35,19027
19,28,299,75,25.08,149,49.83,60,20.07,19028
19,29,175,39,22.29,55,31.43,67,38.29,19029
19,30,220,37,16.82,89,40.45,86,39.09,19030
19,31,239,42,17.57,127,53.14,58,24.27,19031
19,32,246,40,16.26,116,47.15,78,31.71,19032
19,33,226,51,22.57,92,40.71,64,28.32,19033
19,34,255,41,16.08,115,45.1,81,31.76,19034
19,35,268,39,14.55,129,48.13,92,34.33,19035
19,36,343,104,30.32,172,50.15,56,16.33,19036
19,37,282,61,21.63,154,54.61,52,18.44,19037
19,38,269,60,22.3,149,55.39,44,16.36,19038
19,39,146,34,23.29,82,56.16,24,16.44,19039
19,40,291,67,23.02,143,49.14,71,24.4,19040
19,41,154,34,22.08,51,33.12,55,35.71,19041
19,42,291,77,26.46,151,51.89,55,18.9,19042
19,43,303,80,26.4,169,55.78,29,9.57,19043
19,44,200,39,19.5,62,31.0,82,41.0,19044
19,45,270,51,18.89,108,40.0,91,33.7,19045
19,46,301,51,16.94,137,45.51,101,33.55,19046
19,47,198,31,15.66,118,59.6,41,20.71,19047
19,48,235,62,26.38,121,51.49,44,18.72,19048
19,49,312,60,19.23,193,61.86,49,15.71,19049
19,50,269,59,21.93,146,54.28,49,18.22,19050
19,51,196,38,19.39,74,37.76,67,34.18,19051
19,52,161,40,24.84,51,31.68,55,34.16,19052
19,53,239,42,17.57,78,32.64,100,41.84,19053
19,54,174,42,24.14,59,33.91,61,35.06,19054
19,55,216,44,20.37,80,37.04,74,34.26,19055
19,56,311,66,21.22,168,54.02,61,19.61,19056
19,57,304,55,18.09,151,49.67,75,24.67,19057
19,58,231,34,14.72,114,49.35,67,29.0,19058
19,59,223,39,17.49,83,37.22,83,37.22,19059
19,60,268,55,20.52,153,57.09,38,14.18,19060
19,61,331,56,16.92,148,44.71,105,31.72,19061
19,62,261,39,14.94,133,50.96,78,29.89,19062
19,63,214,37,17.29,133,62.15,37,17.29,19063
19,64,271,51,18.82,156,57.56,53,19.56,19064
19,65,199,61,30.65,87,43.72,44,22.11,19065
19,66,309,65,21.04,184,59.55,43,13.92,19066
20,1,186,58,31.18,74,39.78,39,20.97,20001
20,2,169,56,33.14,73,43.2,31,18.34,20002
20,3,147,38,25.85,68,46.26,32,21.77,20003
20,4,136,58,42.65,40,29.41,23,16.91,20004
20,5,113,32,28.32,52,46.02,25,22.12,20005
20,6,210,62,29.52,103,49.05,34,16.19,20006
20,7,59,20,33.9,25,42.37,10,16.95,20007
20,8,52,18,34.62,17,32.69,9,17.31,20008
20,9,205,58,28.29,90,43.9,43,20.98,20009
20,10,159,44,27.67,80,50.31,27,16.98,20010
20,11,148,64,43.24,55,37.16,21,14.19,20011
20,12,93,28,30.11,52,55.91,12,12.9,20012
20,13,113,43,38.05,44,38.94,19,16.81,20013
20,14,264,75,28.41,134,50.76,46,17.42,20014
20,15,149,57,38.26,42,28.19,42,28.19,20015
20,16,249,84,33.73,106,42.57,48,19.28,20016
20,17,131,28,21.37,72,54.96,21,16.03,20017
20,18,140,54,38.57,55,39.29,24,17.14,20018
20,19,140,37,26.43,73,52.14,23,16.43,20019
20,20,118,34,28.81,46,38.98,29,24.58,20020
