ward,precinct,total,Martin A. Sandoval (Clinton),Martin A. Sandoval (Clinton) Percent,Diana E. Lopez (Clinton),Diana E. Lopez (Clinton) Percent,George A. Cardenas (Clinton),George A. Cardenas (Clinton) Percent,Leticia Delgadillo (Obama),Leticia Delgadillo (Obama) Percent,Miguel del Valle (Obama),Miguel del Valle (Obama) Percent,Jesse H. Ruiz (Obama),Jesse H. Ruiz (Obama) Percent,Cuahutemoc Morfin (Richardson),Cuahutemoc Morfin (Richardson) Percent,Rosa D. Reyes (Richardson),Rosa D. Reyes (Richardson) Percent,Elizabeth Hernandez (Richardson),Elizabeth Hernandez (Richardson) Percent,precinct_id
26,46,114,8,7.02,13,11.4,7,6.14,20,17.54,21,18.42,18,15.79,1,0.88,0,0.0,0,0.0,26046
26,47,261,32,12.26,32,12.26,25,9.58,32,12.26,46,17.62,32,12.26,1,0.38,3,1.15,1,0.38,26047
26,48,439,29,6.61,42,9.57,28,6.38,68,15.49,94,21.41,66,15.03,1,0.23,13,2.96,7,1.59,26048
26,49,316,26,8.23,29,9.18,23,7.28,52,16.46,75,23.73,49,15.51,0,0.0,0,0.0,1,0.32,26049
26,50,328,15,4.57,19,5.79,10,3.05,59,17.99,75,22.87,61,18.6,2,0.61,6,1.83,10,3.05,26050
26,51,460,46,10.0,47,10.22,41,8.91,68,14.78,87,18.91,64,13.91,2,0.43,2,0.43,1,0.22,26051
26,52,191,19,9.95,19,9.95,17,8.9,29,15.18,32,16.75,30,15.71,1,0.52,0,0.0,0,0.0,26052
26,53,303,16,5.28,21,6.93,15,4.95,56,18.48,66,21.78,50,16.5,2,0.66,6,1.98,2,0.66,26053
26,54,348,41,11.78,49,14.08,40,11.49,40,11.49,63,18.1,39,11.21,0,0.0,1,0.29,3,0.86,26054
26,55,333,35,10.51,41,12.31,27,8.11,49,14.71,59,17.72,39,11.71,3,0.9,2,0.6,6,1.8,26055
26,56,367,27,7.36,28,7.63,24,6.54,63,17.17,75,20.44,66,17.98,0,0.0,3,0.82,1,0.27,26056
26,57,389,33,8.48,45,11.57,35,9.0,51,13.11,80,20.57,50,12.85,1,0.26,2,0.51,4,1.03,26057
26,58,356,25,7.02,29,8.15,23,6.46,55,15.45,83,23.31,51,14.33,1,0.28,4,1.12,3,0.84,26058
26,59,376,29,7.71,36,9.57,26,6.91,61,16.22,80,21.28,49,13.03,4,1.06,5,1.33,2,0.53,26059
26,60,461,40,8.68,39,8.46,42,9.11,72,15.62,93,20.17,68,14.75,1,0.22,4,0.87,0,0.0,26060
26,61,273,24,8.79,25,9.16,22,8.06,43,15.75,52,19.05,40,14.65,0,0.0,1,0.37,2,0.73,26061
26,62,557,50,8.98,55,9.87,47,8.44,75,13.46,108,19.39,77,13.82,5,0.9,8,1.44,6,1.08,26062
26,63,192,28,14.58,28,14.58,24,12.5,19,9.9,30,15.63,18,9.38,1,0.52,0,0.0,4,2.08,26063
27,13,558,38,6.81,40,7.17,33,5.91,103,18.46,110,19.71,95,17.03,2,0.36,4,0.72,2,0.36,27013
27,18,20,2,10.0,2,10.0,2,10.0,3,15.0,3,15.0,3,15.0,0,0.0,0,0.0,0,0.0,27018
27,32,608,46,7.57,58,9.54,40,6.58,96,15.79,115,18.91,88,14.47,8,1.32,10,1.64,9,1.48,27032
27,35,627,55,8.77,60,9.57,51,8.13,94,14.99,112,17.86,97,15.47,3,0.48,6,0.96,2,0.32,27035
27,38,539,37,6.86,39,7.24,32,5.94,94,17.44,100,18.55,88,16.33,4,0.74,9,1.67,8,1.48,27038
27,41,777,57,7.34,65,8.37,59,7.59,132,16.99,143,18.4,122,15.7,4,0.51,8,1.03,6,0.77,27041
27,56,520,35,6.73,32,6.15,26,5.0,96,18.46,106,20.38,95,18.27,3,0.58,3,0.58,5,0.96,27056
27,59,691,58,8.39,62,8.97,53,7.67,105,15.2,138,19.97,108,15.63,2,0.29,7,1.01,7,1.01,27059
28,29,586,103,17.58,89,15.19,94,16.04,48,8.19,75,12.8,46,7.85,8,1.37,7,1.19,7,1.19,28029
28,34,151,28,18.54,24,15.89,23,15.23,10,6.62,21,13.91,10,6.62,1,0.66,3,1.99,3,1.99,28034
28,38,225,35,15.56,29,12.89,31,13.78,22,9.78,33,14.67,20,8.89,2,0.89,4,1.78,1,0.44,28038
29,6,333,46,13.81,41,12.31,35,10.51,43,12.91,64,19.22,38,11.41,2,0.6,3,0.9,3,0.9,29006
29,7,488,58,11.89,68,13.93,49,10.04,56,11.48,85,17.42,54,11.07,3,0.61,5,1.02,6,1.23,29007
29,10,372,61,16.4,61,16.4,50,13.44,28,7.53,45,12.1,27,7.26,5,1.34,7,1.88,8,2.15,29010
29,24,269,43,15.99,43,15.99,36,13.38,22,8.18,38,14.13,22,8.18,2,0.74,5,1.86,2,0.74,29024
29,39,601,78,12.98,71,11.81,60,9.98,77,12.81,101,16.81,66,10.98,6,1.0,7,1.16,11,1.83,29039
30,4,578,71,12.28,88,15.22,64,11.07,61,10.55,92,15.92,58,10.03,5,0.87,7,1.21,8,1.38,30004
30,5,292,42,14.38,42,14.38,33,11.3,31,10.62,50,17.12,28,9.59,0,0.0,7,2.4,3,1.03,30005
30,17,58,8,13.79,9,15.52,8,13.79,6,10.34,11,18.97,5,8.62,0,0.0,0,0.0,0,0.0,30017
30,18,316,42,13.29,43,13.61,35,11.08,35,11.08,47,14.87,35,11.08,4,1.27,6,1.9,4,1.27,30018
30,19,378,43,11.38,48,12.7,41,10.85,46,12.17,67,17.72,43,11.38,3,0.79,4,1.06,4,1.06,30019
30,20,431,56,12.99,56,12.99,50,11.6,46,10.67,72,16.71,40,9.28,2,0.46,6,1.39,5,1.16,30020
30,21,692,88,12.72,94,13.58,83,11.99,75,10.84,102,14.74,72,10.4,4,0.58,7,1.01,13,1.88,30021
30,22,500,70,14.0,84,16.8,60,12.0,39,7.8,81,16.2,42,8.4,6,1.2,9,1.8,7,1.4,30022
30,23,531,56,10.55,63,11.86,51,9.6,65,12.24,104,19.59,61,11.49,4,0.75,8,1.51,7,1.32,30023
30,24,459,64,13.94,76,16.56,59,12.85,40,8.71,84,18.3,35,7.63,5,1.09,6,1.31,3,0.65,30024
30,25,36,6,16.67,6,16.67,4,11.11,2,5.56,4,11.11,2,5.56,2,5.56,2,5.56,1,2.78,30025
30,26,351,35,9.97,38,10.83,27,7.69,49,13.96,76,21.65,43,12.25,3,0.85,3,0.85,0,0.0,30026
30,27,689,78,11.32,91,13.21,69,10.01,82,11.9,135,19.59,79,11.47,5,0.73,8,1.16,6,0.87,30027
30,29,362,50,13.81,57,15.75,49,13.54,32,8.84,61,16.85,32,8.84,0,0.0,4,1.1,3,0.83,30029
30,31,477,56,11.74,57,11.95,47,9.85,60,12.58,85,17.82,53,11.11,3,0.63,3,0.63,8,1.68,30031
30,32,216,23,10.65,23,10.65,19,8.8,27,12.5,42,19.44,27,12.5,2,0.93,3,1.39,4,1.85,30032
30,33,496,60,12.1,62,12.5,53,10.69,60,12.1,93,18.75,50,10.08,1,0.2,9,1.81,9,1.81,30033
30,35,518,81,15.64,74,14.29,68,13.13,50,9.65,78,15.06,44,8.49,3,0.58,7,1.35,12,2.32,30035
30,36,472,60,12.71,51,10.81,50,10.59,63,13.35,77,16.31,55,11.65,2,0.42,4,0.85,9,1.91,30036
30,41,590,82,13.9,96,16.27,69,11.69,56,9.49,104,17.63,54,9.15,1,0.17,5,0.85,6,1.02,30041
31,1,268,28,10.45,32,11.94,29,10.82,37,13.81,53,19.78,32,11.94,2,0.75,1,0.37,0,0.0,31001
31,2,372,53,14.25,52,13.98,47,12.63,32,8.6,56,15.05,37,9.95,4,1.08,5,1.34,4,1.08,31002
31,4,440,62,14.09,70,15.91,55,12.5,40,9.09,58,13.18,40,9.09,4,0.91,6,1.36,3,0.68,31004
31,5,518,70,13.51,77,14.86,62,11.97,60,11.58,77,14.86,50,9.65,1,0.19,2,0.39,3,0.58,31005
31,6,463,65,14.04,69,14.9,61,13.17,47,10.15,69,14.9,38,8.21,4,0.86,5,1.08,8,1.73,31006
31,7,452,53,11.73,64,14.16,51,11.28,52,11.5,76,16.81,46,10.18,0,0.0,4,0.88,4,0.88,31007
31,10,206,32,15.53,35,16.99,26,12.62,19,9.22,32,15.53,12,5.83,2,0.97,2,0.97,2,0.97,31010
31,11,336,56,16.67,47,13.99,41,12.2,31,9.23,45,13.39,30,8.93,5,1.49,4,1.19,6,1.79,31011
31,12,454,56,12.33,52,11.45,52,11.45,53,11.67,82,18.06,51,11.23,1,0.22,6,1.32,5,1.1,31012
31,13,379,63,16.62,67,17.68,49,12.93,36,9.5,52,13.72,24,6.33,1,0.26,7,1.85,4,1.06,31013
31,14,361,47,13.02,47,13.02,38,10.53,44,12.19,68,18.84,35,9.7,3,0.83,2,0.55,4,1.11,31014
31,16,110,19,17.27,18,16.36,16,14.55,8,7.27,15,13.64,8,7.27,1,0.91,0,0.0,1,0.91,31016
31,17,366,43,11.75,43,11.75,36,9.84,36,9.84,81,22.13,37,10.11,4,1.09,8,2.19,6,1.64,31017
31,18,359,48,13.37,52,14.48,36,10.03,31,8.64,64,17.83,38,10.58,3,0.84,4,1.11,12,3.34,31018
31,20,386,56,14.51,52,13.47,49,12.69,41,10.62,61,15.8,33,8.55,4,1.04,6,1.55,10,2.59,31020
31,21,521,64,12.28,67,12.86,56,10.75,61,11.71,96,18.43,57,10.94,4,0.77,9,1.73,7,1.34,31021
31,22,361,47,13.02,47,13.02,46,12.74,41,11.36,52,14.4,41,11.36,1,0.28,5,1.39,1,0.28,31022
31,23,263,31,11.79,26,9.89,28,10.65,31,11.79,45,17.11,35,13.31,2,0.76,4,1.52,2,0.76,31023
31,24,369,48,13.01,48,13.01,41,11.11,36,9.76,65,17.62,36,9.76,4,1.08,4,1.08,3,0.81,31024
31,25,416,43,10.34,34,8.17,32,7.69,54,12.98,102,24.52,52,12.5,3,0.72,5,1.2,7,1.68,31025
31,27,380,53,13.95,52,13.68,46,12.11,35,9.21,74,19.47,32,8.42,1,0.26,3,0.79,8,2.11,31027
31,30,554,69,12.45,71,12.82,58,10.47,63,11.37,94,16.97,63,11.37,4,0.72,6,1.08,3,0.54,31030
31,31,639,84,13.15,85,13.3,84,13.15,62,9.7,94,14.71,73,11.42,4,0.63,9,1.41,9,1.41,31031
31,34,298,40,13.42,44,14.77,29,9.73,29,9.73,64,21.48,29,9.73,1,0.34,1,0.34,3,1.01,31034
31,35,311,35,11.25,42,13.5,36,11.58,35,11.25,48,15.43,36,11.58,1,0.32,5,1.61,4,1.29,31035
31,36,490,69,14.08,70,14.29,58,11.84,57,11.63,71,14.49,50,10.2,3,0.61,6,1.22,6,1.22,31036
31,37,364,47,12.91,48,13.19,43,11.81,38,10.44,67,18.41,35,9.62,0,0.0,8,2.2,5,1.37,31037
31,39,226,32,14.16,38,16.81,32,14.16,15,6.64,35,15.49,21,9.29,1,0.44,2,0.88,4,1.77,31039
31,40,256,31,12.11,36,14.06,30,11.72,25,9.77,51,19.92,23,8.98,4,1.56,4,1.56,2,0.78,31040
31,42,649,82,12.63,85,13.1,78,12.02,74,11.4,94,14.48,68,10.48,3,0.46,6,0.92,7,1.08,31042
31,44,375,44,11.73,48,12.8,44,11.73,44,11.73,62,16.53,37,9.87,1,0.27,10,2.67,7,1.87,31044
31,49,212,18,8.49,21,9.91,13,6.13,31,14.62,41,19.34,28,13.21,4,1.89,5,2.36,4,1.89,31049
31,51,297,44,14.81,54,18.18,39,13.13,19,6.4,52,17.51,17,5.72,3,1.01,7,2.36,4,1.35,31051
32,1,179,10,5.59,14,7.82,12,6.7,32,17.88,32,17.88,30,16.76,2,1.12,4,2.23,2,1.12,32001
32,2,934,52,5.57,64,6.85,57,6.1,177,18.95,179,19.16,171,18.31,4,0.43,2,0.21,4,0.43,32002
32,3,697,31,4.45,43,6.17,33,4.73,135,19.37,147,21.09,129,18.51,4,0.57,4,0.57,4,0.57,32003
32,4,956,66,6.9,73,7.64,58,6.07,175,18.31,173,18.1,163,17.05,5,0.52,4,0.42,5,0.52,32004
32,5,628,47,7.48,53,8.44,44,7.01,113,17.99,112,17.83,108,17.2,1,0.16,3,0.48,1,0.16,32005
32,11,701,55,7.85,53,7.56,43,6.13,122,17.4,135,19.26,117,16.69,1,0.14,6,0.86,5,0.71,32011
32,12,124,5,4.03,4,3.23,5,4.03,25,20.16,26,20.97,24,19.35,0,0.0,1,0.81,3,2.42,32012
32,14,740,56,7.57,63,8.51,52,7.03,123,16.62,138,18.65,120,16.22,4,0.54,7,0.95,4,0.54,32014
32,16,763,66,8.65,69,9.04,60,7.86,129,16.91,135,17.69,122,15.99,4,0.52,4,0.52,2,0.26,32016
32,17,558,40,7.17,44,7.89,35,6.27,102,18.28,109,19.53,93,16.67,2,0.36,4,0.72,5,0.9,32017
32,28,749,60,8.01,71,9.48,56,7.48,133,17.76,123,16.42,122,16.29,0,0.0,6,0.8,3,0.4,32028
32,29,819,70,8.55,74,9.04,68,8.3,133,16.24,139,16.97,126,15.38,2,0.24,4,0.49,4,0.49,32029
32,31,1088,72,6.62,65,5.97,62,5.7,211,19.39,208,19.12,193,17.74,4,0.37,7,0.64,5,0.46,32031
32,33,554,57,10.29,56,10.11,52,9.39,80,14.44,84,15.16,76,13.72,5,0.9,4,0.72,10,1.81,32033
32,34,854,69,8.08,68,7.96,59,6.91,148,17.33,152,17.8,144,16.86,3,0.35,4,0.47,4,0.47,32034
32,35,1021,83,8.13,85,8.33,72,7.05,178,17.43,182,17.83,161,15.77,4,0.39,4,0.39,8,0.78,32035
32,36,999,58,5.81,63,6.31,61,6.11,192,19.22,181,18.12,183,18.32,2,0.2,3,0.3,6,0.6,32036
32,46,144,12,8.33,15,10.42,11,7.64,21,14.58,28,19.44,19,13.19,1,0.69,1,0.69,1,0.69,32046
32,52,549,41,7.47,51,9.29,35,6.38,92,16.76,101,18.4,93,16.94,1,0.18,2,0.36,2,0.36,32052
33,1,1008,130,12.9,126,12.5,119,11.81,125,12.4,140,13.89,123,12.2,3,0.3,6,0.6,8,0.79,33001
33,2,1109,117,10.55,123,11.09,112,10.1,157,14.16,176,15.87,149,13.44,4,0.36,12,1.08,10,0.9,33002
33,3,1009,101,10.01,102,10.11,95,9.42,158,15.66,164,16.25,140,13.88,6,0.59,6,0.59,7,0.69,33003
33,4,1103,157,14.23,153,13.87,138,12.51,114,10.34,151,13.69,107,9.7,14,1.27,10,0.91,17,1.54,33004
33,6,964,133,13.8,137,14.21,125,12.97,108,11.2,122,12.66,97,10.06,7,0.73,4,0.41,12,1.24,33006
33,8,884,64,7.24,69,7.81,60,6.79,159,17.99,158,17.87,148,16.74,4,0.45,5,0.57,4,0.45,33008
33,11,930,96,10.32,107,11.51,84,9.03,136,14.62,140,15.05,126,13.55,8,0.86,15,1.61,12,1.29,33011
33,12,982,134,13.65,131,13.34,131,13.34,110,11.2,125,12.73,97,9.88,7,0.71,11,1.12,11,1.12,33012
33,13,997,118,11.84,123,12.34,98,9.83,132,13.24,153,15.35,122,12.24,8,0.8,17,1.71,12,1.2,33013
33,15,891,109,12.23,105,11.78,96,10.77,120,13.47,125,14.03,107,12.01,3,0.34,11,1.23,9,1.01,33015
33,16,895,117,13.07,113,12.63,106,11.84,104,11.62,123,13.74,102,11.4,10,1.12,12,1.34,4,0.45,33016
33,17,1093,121,11.07,111,10.16,104,9.52,160,14.64,176,16.1,147,13.45,3,0.27,6,0.55,10,0.91,33017
33,19,1010,135,13.37,128,12.67,120,11.88,114,11.29,138,13.66,111,10.99,12,1.19,15,1.49,13,1.29,33019
33,20,1012,116,11.46,114,11.26,115,11.36,135,13.34,147,14.53,131,12.94,5,0.49,7,0.69,5,0.49,33020
33,21,927,108,11.65,113,12.19,108,11.65,111,11.97,134,14.46,111,11.97,11,1.19,17,1.83,11,1.19,33021
33,22,493,59,11.97,50,10.14,48,9.74,68,13.79,82,16.63,70,14.2,1,0.2,2,0.41,2,0.41,33022
33,26,966,111,11.49,107,11.08,99,10.25,131,13.56,140,14.49,125,12.94,6,0.62,14,1.45,9,0.93,33026
33,27,831,75,9.03,85,10.23,69,8.3,125,15.04,145,17.45,123,14.8,4,0.48,8,0.96,9,1.08,33027
35,1,900,97,10.78,92,10.22,80,8.89,127,14.11,171,19.0,122,13.56,4,0.44,7,0.78,5,0.56,35001
35,2,639,62,9.7,67,10.49,53,8.29,100,15.65,123,19.25,87,13.62,2,0.31,1,0.16,4,0.63,35002
35,3,565,45,7.96,51,9.03,43,7.61,82,14.51,117,20.71,84,14.87,3,0.53,7,1.24,6,1.06,35003
35,4,908,115,12.67,113,12.44,105,11.56,108,11.89,133,14.65,111,12.22,10,1.1,5,0.55,4,0.44,35004
35,5,793,81,10.21,92,11.6,79,9.96,102,12.86,138,17.4,100,12.61,6,0.76,11,1.39,15,1.89,35005
35,6,770,114,14.81,113,14.68,101,13.12,76,9.87,112,14.55,69,8.96,5,0.65,6,0.78,9,1.17,35006
35,7,1070,88,8.22,97,9.07,78,7.29,168,15.7,201,18.79,167,15.61,10,0.93,8,0.75,10,0.93,35007
35,8,744,54,7.26,56,7.53,47,6.32,134,18.01,148,19.89,122,16.4,4,0.54,5,0.67,2,0.27,35008
35,9,775,67,8.65,77,9.94,70,9.03,122,15.74,136,17.55,112,14.45,2,0.26,9,1.16,7,0.9,35009
35,10,804,71,8.83,80,9.95,69,8.58,124,15.42,145,18.03,113,14.05,6,0.75,9,1.12,8,1.0,35010
35,11,820,103,12.56,105,12.8,97,11.83,98,11.95,121,14.76,84,10.24,7,0.85,10,1.22,15,1.83,35011
35,12,1089,78,7.16,86,7.9,72,6.61,186,17.08,207,19.01,177,16.25,7,0.64,17,1.56,9,0.83,35012
35,13,242,44,18.18,35,14.46,34,14.05,19,7.85,33,13.64,20,8.26,1,0.41,6,2.48,2,0.83,35013
35,14,841,68,8.09,93,11.06,67,7.97,124,14.74,175,20.81,116,13.79,3,0.36,6,0.71,5,0.59,35014
35,15,766,93,12.14,94,12.27,87,11.36,95,12.4,136,17.75,83,10.84,9,1.17,9,1.17,4,0.52,35015
35,16,835,52,6.23,68,8.14,49,5.87,149,17.84,172,20.6,138,16.53,2,0.24,3,0.36,4,0.48,35016
35,17,906,65,7.17,68,7.51,69,7.62,150,16.56,183,20.2,140,15.45,8,0.88,13,1.43,8,0.88,35017
35,18,844,73,8.65,79,9.36,67,7.94,128,15.17,163,19.31,121,14.34,4,0.47,3,0.36,8,0.95,35018
35,19,805,57,7.08,62,7.7,52,6.46,141,17.52,167,20.75,131,16.27,6,0.75,3,0.37,3,0.37,35019
35,20,698,71,10.17,75,10.74,62,8.88,100,14.33,134,19.2,90,12.89,0,0.0,5,0.72,6,0.86,35020
35,21,787,85,10.8,95,12.07,76,9.66,103,13.09,140,17.79,92,11.69,6,0.76,11,1.4,9,1.14,35021
35,23,504,54,10.71,51,10.12,47,9.33,70,13.89,87,17.26,70,13.89,2,0.4,3,0.6,2,0.4,35023
35,24,517,68,13.15,68,13.15,65,12.57,60,11.61,75,14.51,59,11.41,3,0.58,9,1.74,8,1.55,35024
35,25,823,41,4.98,55,6.68,43,5.22,157,19.08,165,20.05,150,18.23,3,0.36,9,1.09,6,0.73,35025
35,26,973,118,12.13,120,12.33,106,10.89,123,12.64,136,13.98,119,12.23,7,0.72,12,1.23,13,1.34,35026
35,27,1008,78,7.74,82,8.13,68,6.75,166,16.47,193,19.15,169,16.77,7,0.69,9,0.89,9,0.89,35027
35,28,821,67,8.16,70,8.53,53,6.46,137,16.69,161,19.61,131,15.96,4,0.49,9,1.1,2,0.24,35028
35,29,1064,92,8.65,109,10.24,94,8.83,157,14.76,188,17.67,157,14.76,4,0.38,7,0.66,7,0.66,35029
35,30,1166,77,6.6,78,6.69,69,5.92,206,17.67,240,20.58,197,16.9,7,0.6,14,1.2,10,0.86,35030
35,31,474,36,7.59,48,10.13,28,5.91,81,17.09,83,17.51,74,15.61,3,0.63,4,0.84,6,1.27,35031
35,32,456,32,7.02,42,9.21,33,7.24,61,13.38,100,21.93,65,14.25,3,0.66,5,1.1,6,1.32,35032
35,34,835,57,6.83,55,6.59,54,6.47,147,17.6,165,19.76,142,17.01,3,0.36,6,0.72,6,0.72,35034
35,35,710,76,10.7,78,10.99,70,9.86,91,12.82,132,18.59,83,11.69,8,1.13,12,1.69,9,1.27,35035
35,36,601,37,6.16,47,7.82,37,6.16,112,18.64,118,19.63,108,17.97,3,0.5,4,0.67,5,0.83,35036
36,4,538,62,11.52,63,11.71,51,9.48,74,13.75,95,17.66,70,13.01,2,0.37,2,0.37,3,0.56,36004
36,33,576,49,8.51,50,8.68,45,7.81,98,17.01,98,17.01,91,15.8,0,0.0,4,0.69,2,0.35,36033
36,44,181,15,8.29,16,8.84,15,8.29,28,15.47,28,15.47,30,16.57,1,0.55,3,1.66,4,2.21,36044
36,54,182,15,8.24,15,8.24,14,7.69,30,16.48,31,17.03,31,17.03,1,0.55,1,0.55,3,1.65,36054
36,55,64,6,9.38,6,9.38,6,9.38,10,15.63,9,14.06,10,15.63,1,1.56,1,1.56,1,1.56,36055
37,1,527,74,14.04,78,14.8,70,13.28,55,10.44,74,14.04,47,8.92,6,1.14,8,1.52,6,1.14,37001
37,11,299,42,14.05,42,14.05,33,11.04,30,10.03,44,14.72,29,9.7,3,1.0,4,1.34,7,2.34,37011
37,19,638,93,14.58,97,15.2,82,12.85,68,10.66,90,14.11,56,8.78,3,0.47,9,1.41,7,1.1,37019
37,39,699,96,13.73,103,14.74,87,12.45,71,10.16,102,14.59,61,8.73,8,1.14,10,1.43,12,1.72,37039
