ward,precinct,total,Jacqueline ''Jackie'' Kaplan (Obama),Jacqueline ''Jackie'' Kaplan (Obama) Percent,Jane E. Hearrin (Clinton),Jane E. Hearrin (Clinton) Percent,precinct_id
47,23,133,106,79.7,27,20.3,47023
47,24,294,236,80.27,58,19.73,47024
47,25,285,204,71.58,81,28.42,47025
47,26,410,302,73.66,108,26.34,47026
47,27,235,165,70.21,70,29.79,47027
47,28,371,253,68.19,118,31.81,47028
47,29,274,192,70.07,82,29.93,47029
47,30,288,192,66.67,96,33.33,47030
47,31,267,179,67.04,88,32.96,47031
47,32,308,214,69.48,94,30.52,47032
47,33,260,175,67.31,85,32.69,47033
47,34,340,249,73.24,91,26.76,47034
47,35,356,249,69.94,107,30.06,47035
47,36,385,280,72.73,105,27.27,47036
47,37,318,224,70.44,94,29.56,47037
47,38,303,196,64.69,107,35.31,47038
47,39,274,198,72.26,76,27.74,47039
47,40,264,190,71.97,74,28.03,47040
47,41,425,315,74.12,110,25.88,47041
47,42,225,166,73.78,59,26.22,47042
47,43,170,119,70.0,51,30.0,47043
47,44,299,193,64.55,106,35.45,47044
47,45,276,192,69.57,84,30.43,47045
47,46,194,127,65.46,67,34.54,47046
47,47,235,153,65.11,82,34.89,47047
47,48,36,16,44.44,20,55.56,47048
47,49,139,96,69.06,43,30.94,47049
47,50,170,113,66.47,57,33.53,47050
47,51,165,113,68.48,52,31.52,47051
47,52,111,45,40.54,66,59.46,47052
50,44,133,52,39.1,81,60.9,50044
50,45,86,43,50.0,43,50.0,50045
