ward,precinct,total,Sheila M. Murphy (Clinton),Sheila M. Murphy (Clinton) Percent,Fred G. Lebed (Clinton),Fred G. Lebed (Clinton) Percent,Mary Morrissey-Kochanny (Clinton),Mary Morrissey-Kochanny (Clinton) Percent,Ghassan Abboud (Clinton),Ghassan Abboud (Clinton) Percent,Colleen Burns (Clinton),Colleen Burns (Clinton) Percent,Martin Arteaga (Clinton),Martin Arteaga (Clinton) Percent,John P. Daley (Obama),John P. Daley (Obama) Percent,Elizabeth ''Lisa'' Hernandez (Obama),Elizabeth ''Lisa'' Hernandez (Obama) Percent,Shirley Roumagoux-Madigan (Obama),Shirley Roumagoux-Madigan (Obama) Percent,"Albert D. Tyson, III (Obama)","Albert D. Tyson, III (Obama) Percent",Arthur Velasquez (Obama),Arthur Velasquez (Obama) Percent,Diane M. Viverito (Obama),Diane M. Viverito (Obama) Percent,Mike Erickson (Richardson),Mike Erickson (Richardson) Percent,Guillermo GÃ³mez (Richardson),Guillermo GÃ³mez (Richardson) Percent,precinct_id
19,12,1260,135,10.71,101,8.02,112,8.89,91,7.22,117,9.29,99,7.86,114,9.05,91,7.22,93,7.38,91,7.22,88,6.98,90,7.14,22,1.75,16,1.27,19012
19,13,1435,36,2.51,20,1.39,20,1.39,17,1.18,32,2.23,18,1.25,219,15.26,211,14.7,203,14.15,223,15.54,209,14.56,208,14.49,13,0.91,6,0.42,19013
19,14,841,94,11.18,70,8.32,85,10.11,66,7.85,91,10.82,69,8.2,72,8.56,59,7.02,53,6.3,50,5.95,56,6.66,56,6.66,13,1.55,7,0.83,19014
19,15,1135,133,11.72,99,8.72,104,9.16,87,7.67,118,10.4,86,7.58,102,8.99,75,6.61,79,6.96,69,6.08,69,6.08,76,6.7,27,2.38,11,0.97,19015
19,16,1704,134,7.86,109,6.4,117,6.87,98,5.75,129,7.57,102,5.99,184,10.8,166,9.74,165,9.68,149,8.74,158,9.27,155,9.1,27,1.58,11,0.65,19016
19,17,1592,131,8.23,95,5.97,97,6.09,85,5.34,112,7.04,89,5.59,179,11.24,161,10.11,163,10.24,148,9.3,148,9.3,152,9.55,20,1.26,12,0.75,19017
19,18,1869,93,4.98,62,3.32,65,3.48,52,2.78,78,4.17,56,3.0,260,13.91,239,12.79,232,12.41,231,12.36,235,12.57,234,12.52,19,1.02,13,0.7,19018
19,19,1763,119,6.75,76,4.31,98,5.56,75,4.25,98,5.56,80,4.54,215,12.2,202,11.46,202,11.46,192,10.89,191,10.83,194,11.0,12,0.68,9,0.51,19019
19,20,1753,70,3.99,53,3.02,54,3.08,48,2.74,62,3.54,50,2.85,236,13.46,225,12.84,226,12.89,234,13.35,232,13.23,228,13.01,12,0.68,23,1.31,19020
19,21,963,88,9.14,71,7.37,77,8.0,62,6.44,86,8.93,64,6.65,96,9.97,85,8.83,82,8.52,67,6.96,72,7.48,75,7.79,21,2.18,17,1.77,19021
19,22,1952,115,5.89,78,4.0,94,4.82,75,3.84,99,5.07,80,4.1,244,12.5,237,12.14,221,11.32,223,11.42,221,11.32,223,11.42,22,1.13,20,1.02,19022
19,23,1760,149,8.47,111,6.31,123,6.99,101,5.74,133,7.56,105,5.97,201,11.42,160,9.09,166,9.43,151,8.58,163,9.26,153,8.69,29,1.65,15,0.85,19023
19,24,1230,114,9.27,73,5.93,85,6.91,70,5.69,104,8.46,69,5.61,131,10.65,115,9.35,111,9.02,95,7.72,102,8.29,108,8.78,35,2.85,18,1.46,19024
19,25,1918,142,7.4,102,5.32,119,6.2,92,4.8,125,6.52,91,4.74,218,11.37,193,10.06,206,10.74,196,10.22,195,10.17,193,10.06,26,1.36,20,1.04,19025
19,26,1827,131,7.17,87,4.76,103,5.64,82,4.49,118,6.46,80,4.38,224,12.26,199,10.89,190,10.4,192,10.51,188,10.29,194,10.62,23,1.26,16,0.88,19026
19,27,1256,59,4.7,43,3.42,48,3.82,38,3.03,59,4.7,43,3.42,155,12.34,164,13.06,155,12.34,158,12.58,158,12.58,161,12.82,12,0.96,3,0.24,19027
19,29,1054,112,10.63,84,7.97,92,8.73,69,6.55,100,9.49,79,7.5,110,10.44,75,7.12,75,7.12,69,6.55,75,7.12,74,7.02,26,2.47,14,1.33,19029
19,30,1281,132,10.3,98,7.65,115,8.98,86,6.71,116,9.06,93,7.26,129,10.07,93,7.26,101,7.88,91,7.1,94,7.34,99,7.73,21,1.64,13,1.01,19030
19,31,1527,100,6.55,61,3.99,79,5.17,57,3.73,81,5.3,66,4.32,195,12.77,176,11.53,171,11.2,168,11.0,174,11.39,171,11.2,17,1.11,11,0.72,19031
19,32,1569,139,8.86,100,6.37,122,7.78,96,6.12,124,7.9,104,6.63,171,10.9,142,9.05,138,8.8,132,8.41,132,8.41,137,8.73,19,1.21,13,0.83,19032
19,33,1396,158,11.32,115,8.24,125,8.95,100,7.16,143,10.24,111,7.95,128,9.17,102,7.31,101,7.23,91,6.52,91,6.52,93,6.66,24,1.72,14,1.0,19033
19,34,1652,114,6.9,80,4.84,99,5.99,68,4.12,99,5.99,65,3.93,204,12.35,187,11.32,181,10.96,169,10.23,180,10.9,171,10.35,22,1.33,13,0.79,19034
19,35,1678,106,6.32,65,3.87,90,5.36,62,3.69,90,5.36,64,3.81,218,12.99,200,11.92,180,10.73,187,11.14,189,11.26,196,11.68,20,1.19,11,0.66,19035
19,36,2261,82,3.63,49,2.17,63,2.79,47,2.08,69,3.05,47,2.08,319,14.11,322,14.24,315,13.93,323,14.29,310,13.71,298,13.18,11,0.49,6,0.27,19036
19,37,1807,97,5.37,74,4.1,82,4.54,70,3.87,83,4.59,65,3.6,232,12.84,218,12.06,217,12.01,215,11.9,209,11.57,214,11.84,18,1.0,13,0.72,19037
19,38,1759,80,4.55,56,3.18,60,3.41,55,3.13,66,3.75,58,3.3,236,13.42,232,13.19,216,12.28,222,12.62,224,12.73,225,12.79,16,0.91,13,0.74,19038
19,39,950,23,2.42,14,1.47,15,1.58,16,1.68,18,1.89,15,1.58,148,15.58,139,14.63,141,14.84,142,14.95,133,14.0,137,14.42,5,0.53,4,0.42,19039
19,40,1934,116,6.0,79,4.08,90,4.65,70,3.62,100,5.17,83,4.29,259,13.39,230,11.89,219,11.32,213,11.01,221,11.43,214,11.07,20,1.03,20,1.03,19040
19,41,975,100,10.26,84,8.62,91,9.33,80,8.21,103,10.56,83,8.51,84,8.62,61,6.26,69,7.08,64,6.56,65,6.67,66,6.77,15,1.54,10,1.03,19041
19,42,1847,74,4.01,45,2.44,54,2.92,44,2.38,59,3.19,44,2.38,259,14.02,256,13.86,247,13.37,253,13.7,241,13.05,242,13.1,18,0.97,11,0.6,19042
19,44,1170,120,10.26,87,7.44,96,8.21,79,6.75,114,9.74,82,7.01,118,10.09,88,7.52,99,8.46,79,6.75,89,7.61,87,7.44,18,1.54,14,1.2,19044
19,45,1615,147,9.1,105,6.5,119,7.37,103,6.38,132,8.17,101,6.25,164,10.15,146,9.04,142,8.79,138,8.54,130,8.05,143,8.85,29,1.8,16,0.99,19045
19,46,1849,145,7.84,106,5.73,110,5.95,100,5.41,126,6.81,96,5.19,218,11.79,187,10.11,177,9.57,170,9.19,178,9.63,182,9.84,32,1.73,22,1.19,19046
19,47,1360,42,3.09,33,2.43,32,2.35,32,2.35,37,2.72,30,2.21,193,14.19,188,13.82,189,13.9,194,14.26,187,13.75,193,14.19,5,0.37,5,0.37,19047
19,49,2046,69,3.37,47,2.3,54,2.64,49,2.39,65,3.18,49,2.39,290,14.17,280,13.69,271,13.25,291,14.22,277,13.54,276,13.49,16,0.78,12,0.59,19049
19,51,1236,119,9.63,81,6.55,93,7.52,77,6.23,101,8.17,82,6.63,126,10.19,104,8.41,108,8.74,95,7.69,99,8.01,98,7.93,30,2.43,23,1.86,19051
19,52,921,89,9.66,67,7.27,66,7.17,62,6.73,80,8.69,65,7.06,95,10.31,82,8.9,76,8.25,63,6.84,71,7.71,77,8.36,16,1.74,12,1.3,19052
19,53,1572,134,8.52,106,6.74,114,7.25,97,6.17,124,7.89,98,6.23,157,9.99,143,9.1,144,9.16,126,8.02,139,8.84,142,9.03,29,1.84,19,1.21,19053
19,54,1053,98,9.31,75,7.12,88,8.36,71,6.74,95,9.02,71,6.74,102,9.69,84,7.98,81,7.69,74,7.03,83,7.88,87,8.26,27,2.56,17,1.61,19054
19,55,1227,133,10.84,102,8.31,115,9.37,89,7.25,124,10.11,94,7.66,108,8.8,87,7.09,89,7.25,82,6.68,85,6.93,87,7.09,19,1.55,13,1.06,19055
19,56,2060,109,5.29,78,3.79,80,3.88,74,3.59,93,4.51,74,3.59,273,13.25,258,12.52,246,11.94,252,12.23,259,12.57,245,11.89,11,0.53,8,0.39,19056
19,57,1997,99,4.96,67,3.36,82,4.11,69,3.46,96,4.81,67,3.36,258,12.92,257,12.87,237,11.87,237,11.87,247,12.37,239,11.97,23,1.15,19,0.95,19057
19,58,1371,144,10.5,109,7.95,121,8.83,104,7.59,128,9.34,116,8.46,128,9.34,100,7.29,97,7.08,88,6.42,92,6.71,98,7.15,25,1.82,21,1.53,19058
19,59,1269,134,10.56,101,7.96,115,9.06,98,7.72,127,10.01,101,7.96,113,8.9,95,7.49,98,7.72,82,6.46,88,6.93,81,6.38,21,1.65,15,1.18,19059
19,61,1960,151,7.7,89,4.54,109,5.56,76,3.88,123,6.28,84,4.29,246,12.55,218,11.12,218,11.12,193,9.85,203,10.36,208,10.61,28,1.43,14,0.71,19061
19,62,1543,108,7.0,81,5.25,88,5.7,77,4.99,92,5.96,75,4.86,189,12.25,167,10.82,164,10.63,161,10.43,160,10.37,156,10.11,17,1.1,8,0.52,19062
19,63,1338,59,4.41,42,3.14,50,3.74,38,2.84,54,4.04,41,3.06,185,13.83,172,12.86,171,12.78,178,13.3,165,12.33,172,12.86,7,0.52,4,0.3,19063
19,64,1693,90,5.32,52,3.07,63,3.72,55,3.25,65,3.84,54,3.19,236,13.94,216,12.76,212,12.52,211,12.46,209,12.34,210,12.4,12,0.71,8,0.47,19064
19,65,1407,72,5.12,57,4.05,57,4.05,50,3.55,69,4.9,51,3.62,182,12.94,171,12.15,170,12.08,170,12.08,170,12.08,169,12.01,12,0.85,7,0.5,19065
20,41,420,48,11.43,38,9.05,31,7.38,34,8.1,40,9.52,47,11.19,29,6.9,35,8.33,19,4.52,24,5.71,31,7.38,21,5.0,9,2.14,14,3.33,20041
23,1,1203,129,10.72,107,8.89,115,9.56,89,7.4,114,9.48,101,8.4,107,8.89,75,6.23,93,7.73,59,4.9,71,5.9,93,7.73,29,2.41,21,1.75,23001
23,2,1526,145,9.5,119,7.8,131,8.58,108,7.08,131,8.58,128,8.39,157,10.29,102,6.68,150,9.83,83,5.44,90,5.9,141,9.24,24,1.57,17,1.11,23002
23,3,1058,113,10.68,91,8.6,104,9.83,85,8.03,104,9.83,90,8.51,95,8.98,66,6.24,75,7.09,63,5.95,64,6.05,80,7.56,17,1.61,11,1.04,23003
23,4,1202,129,10.73,116,9.65,117,9.73,106,8.82,122,10.15,115,9.57,90,7.49,81,6.74,79,6.57,55,4.58,73,6.07,79,6.57,20,1.66,20,1.66,23004
23,5,1021,109,10.68,93,9.11,91,8.91,87,8.52,96,9.4,109,10.68,70,6.86,83,8.13,58,5.68,58,5.68,73,7.15,59,5.78,12,1.18,23,2.25,23005
23,6,1082,108,9.98,92,8.5,102,9.43,96,8.87,100,9.24,107,9.89,82,7.58,77,7.12,77,7.12,63,5.82,67,6.19,72,6.65,16,1.48,23,2.13,23006
23,7,473,8,1.69,3,0.63,7,1.48,3,0.63,8,1.69,3,0.63,81,17.12,74,15.64,72,15.22,69,14.59,72,15.22,64,13.53,6,1.27,3,0.63,23007
23,8,1246,120,9.63,111,8.91,109,8.75,100,8.03,110,8.83,110,8.83,115,9.23,87,6.98,95,7.62,72,5.78,88,7.06,94,7.54,15,1.2,20,1.61,23008
23,10,1211,112,9.25,92,7.6,105,8.67,92,7.6,101,8.34,110,9.08,145,11.97,68,5.62,123,10.16,47,3.88,56,4.62,130,10.73,12,0.99,18,1.49,23010
23,11,1276,156,12.23,128,10.03,135,10.58,105,8.23,139,10.89,118,9.25,103,8.07,76,5.96,80,6.27,63,4.94,59,4.62,77,6.03,26,2.04,11,0.86,23011
23,12,1302,134,10.29,110,8.45,117,8.99,101,7.76,128,9.83,111,8.53,114,8.76,86,6.61,102,7.83,75,5.76,77,5.91,103,7.91,24,1.84,20,1.54,23012
23,13,1572,179,11.39,141,8.97,156,9.92,124,7.89,170,10.81,144,9.16,128,8.14,100,6.36,100,6.36,81,5.15,90,5.73,99,6.3,35,2.23,25,1.59,23013
23,14,501,17,3.39,10,2.0,8,1.6,11,2.2,10,2.0,12,2.4,73,14.57,74,14.77,64,12.77,72,14.37,69,13.77,68,13.57,8,1.6,5,1.0,23014
23,15,1128,134,11.88,113,10.02,114,10.11,101,8.95,129,11.44,117,10.37,79,7.0,67,5.94,60,5.32,54,4.79,60,5.32,59,5.23,22,1.95,19,1.68,23015
23,16,1358,153,11.27,117,8.62,124,9.13,105,7.73,137,10.09,122,8.98,120,8.84,95,7.0,98,7.22,71,5.23,82,6.04,90,6.63,22,1.62,22,1.62,23016
23,17,1400,162,11.57,137,9.79,141,10.07,114,8.14,149,10.64,123,8.79,126,9.0,72,5.14,94,6.71,70,5.0,74,5.29,98,7.0,30,2.14,10,0.71,23017
23,18,966,111,11.49,87,9.01,90,9.32,80,8.28,102,10.56,86,8.9,75,7.76,58,6.0,67,6.94,48,4.97,53,5.49,71,7.35,19,1.97,19,1.97,23018
23,19,1043,103,9.88,80,7.67,93,8.92,69,6.62,97,9.3,80,7.67,105,10.07,79,7.57,85,8.15,58,5.56,66,6.33,89,8.53,20,1.92,19,1.82,23019
23,20,1127,126,11.18,103,9.14,118,10.47,96,8.52,116,10.29,101,8.96,96,8.52,72,6.39,80,7.1,62,5.5,61,5.41,78,6.92,11,0.98,7,0.62,23020
23,21,1125,36,3.2,12,1.07,18,1.6,14,1.24,20,1.78,15,1.33,178,15.82,170,15.11,154,13.69,180,16.0,154,13.69,152,13.51,15,1.33,7,0.62,23021
23,22,1308,141,10.78,121,9.25,125,9.56,113,8.64,134,10.24,120,9.17,104,7.95,85,6.5,93,7.11,79,6.04,72,5.5,87,6.65,18,1.38,16,1.22,23022
23,23,1050,131,12.48,111,10.57,114,10.86,104,9.9,120,11.43,103,9.81,69,6.57,54,5.14,60,5.71,48,4.57,45,4.29,60,5.71,19,1.81,12,1.14,23023
23,25,839,91,10.85,70,8.34,73,8.7,67,7.99,76,9.06,85,10.13,64,7.63,66,7.87,54,6.44,50,5.96,60,7.15,48,5.72,15,1.79,20,2.38,23025
23,26,1183,127,10.74,108,9.13,122,10.31,98,8.28,123,10.4,114,9.64,96,8.11,70,5.92,80,6.76,53,4.48,62,5.24,81,6.85,24,2.03,25,2.11,23026
23,27,1048,116,11.07,94,8.97,100,9.54,87,8.3,116,11.07,102,9.73,84,8.02,67,6.39,61,5.82,54,5.15,69,6.58,68,6.49,14,1.34,16,1.53,23027
23,28,1330,162,12.18,140,10.53,146,10.98,123,9.25,156,11.73,130,9.77,97,7.29,65,4.89,76,5.71,59,4.44,60,4.51,76,5.71,22,1.65,18,1.35,23028
23,30,1098,121,11.02,100,9.11,111,10.11,89,8.11,116,10.56,98,8.93,87,7.92,67,6.1,78,7.1,61,5.56,66,6.01,74,6.74,18,1.64,12,1.09,23030
23,31,1125,108,9.6,83,7.38,89,7.91,79,7.02,95,8.44,98,8.71,107,9.51,105,9.33,85,7.56,75,6.67,87,7.73,83,7.38,12,1.07,19,1.69,23031
23,32,1351,138,10.21,107,7.92,122,9.03,108,7.99,123,9.1,126,9.33,108,7.99,110,8.14,86,6.37,86,6.37,95,7.03,87,6.44,22,1.63,33,2.44,23032
23,33,1141,119,10.43,90,7.89,95,8.33,84,7.36,105,9.2,113,9.9,105,9.2,83,7.27,90,7.89,58,5.08,75,6.57,90,7.89,14,1.23,20,1.75,23033
23,34,1023,113,11.05,98,9.58,103,10.07,89,8.7,101,9.87,97,9.48,78,7.62,69,6.74,67,6.55,58,5.67,62,6.06,66,6.45,9,0.88,13,1.27,23034
23,35,1174,23,1.96,17,1.45,14,1.19,15,1.28,15,1.28,11,0.94,188,16.01,170,14.48,165,14.05,185,15.76,180,15.33,179,15.25,8,0.68,4,0.34,23035
23,36,1573,168,10.68,139,8.84,155,9.85,135,8.58,159,10.11,147,9.35,138,8.77,90,5.72,110,6.99,80,5.09,91,5.79,110,6.99,29,1.84,22,1.4,23036
23,37,932,30,3.22,6,0.64,14,1.5,6,0.64,26,2.79,9,0.97,143,15.34,132,14.16,127,13.63,151,16.2,133,14.27,132,14.16,17,1.82,6,0.64,23037
23,38,1070,113,10.56,90,8.41,102,9.53,84,7.85,105,9.81,98,9.16,96,8.97,71,6.64,87,8.13,57,5.33,60,5.61,81,7.57,11,1.03,15,1.4,23038
23,39,1147,119,10.37,98,8.54,110,9.59,89,7.76,109,9.5,96,8.37,105,9.15,70,6.1,90,7.85,69,6.02,69,6.02,92,8.02,19,1.66,12,1.05,23039
23,40,1090,108,9.91,88,8.07,92,8.44,75,6.88,98,8.99,83,7.61,106,9.72,73,6.7,87,7.98,60,5.5,75,6.88,97,8.9,26,2.39,22,2.02,23040
23,41,1065,108,10.14,84,7.89,93,8.73,83,7.79,97,9.11,102,9.58,95,8.92,85,7.98,76,7.14,67,6.29,78,7.32,68,6.38,8,0.75,21,1.97,23041
23,42,957,84,8.78,67,7.0,77,8.05,64,6.69,78,8.15,72,7.52,91,9.51,85,8.88,84,8.78,68,7.11,79,8.25,82,8.57,13,1.36,13,1.36,23042
23,43,1397,158,11.31,142,10.16,132,9.45,128,9.16,143,10.24,142,10.16,110,7.87,80,5.73,90,6.44,67,4.8,78,5.58,90,6.44,23,1.65,14,1.0,23043
23,44,1326,145,10.94,119,8.97,134,10.11,112,8.45,144,10.86,127,9.58,114,8.6,76,5.73,93,7.01,63,4.75,69,5.2,91,6.86,18,1.36,21,1.58,23044
23,45,1565,161,10.29,140,8.95,153,9.78,130,8.31,155,9.9,147,9.39,123,7.86,106,6.77,102,6.52,85,5.43,111,7.09,102,6.52,19,1.21,31,1.98,23045
23,46,1242,129,10.39,101,8.13,115,9.26,94,7.57,124,9.98,103,8.29,103,8.29,85,6.84,89,7.17,83,6.68,77,6.2,89,7.17,30,2.42,20,1.61,23046
23,47,1321,146,11.05,118,8.93,123,9.31,105,7.95,133,10.07,118,8.93,110,8.33,87,6.59,95,7.19,74,5.6,83,6.28,96,7.27,22,1.67,11,0.83,23047
23,48,1084,118,10.89,108,9.96,106,9.78,108,9.96,114,10.52,117,10.79,70,6.46,66,6.09,66,6.09,48,4.43,62,5.72,63,5.81,16,1.48,22,2.03,23048
23,49,1324,143,10.8,118,8.91,129,9.74,104,7.85,138,10.42,110,8.31,131,9.89,75,5.66,102,7.7,66,4.98,64,4.83,106,8.01,23,1.74,15,1.13,23049
23,50,722,83,11.5,69,9.56,69,9.56,67,9.28,79,10.94,84,11.63,52,7.2,43,5.96,31,4.29,36,4.99,42,5.82,32,4.43,11,1.52,24,3.32,23050
23,51,1071,98,9.15,84,7.84,88,8.22,79,7.38,83,7.75,102,9.52,95,8.87,83,7.75,83,7.75,65,6.07,79,7.38,88,8.22,17,1.59,27,2.52,23051
23,52,1415,143,10.11,117,8.27,119,8.41,111,7.84,133,9.4,115,8.13,123,8.69,105,7.42,111,7.84,95,6.71,98,6.93,114,8.06,15,1.06,16,1.13,23052
23,53,695,71,10.22,52,7.48,58,8.35,50,7.19,54,7.77,62,8.92,71,10.22,53,7.63,57,8.2,43,6.19,48,6.91,58,8.35,7,1.01,11,1.58,23053
23,54,1419,147,10.36,121,8.53,137,9.65,110,7.75,134,9.44,126,8.88,111,7.82,90,6.34,99,6.98,88,6.2,94,6.62,103,7.26,36,2.54,23,1.62,23054
23,55,1178,129,10.95,99,8.4,112,9.51,87,7.39,117,9.93,99,8.4,102,8.66,79,6.71,88,7.47,68,5.77,75,6.37,86,7.3,21,1.78,16,1.36,23055
23,56,1079,118,10.94,101,9.36,106,9.82,91,8.43,106,9.82,98,9.08,89,8.25,62,5.75,74,6.86,58,5.38,61,5.65,82,7.6,15,1.39,18,1.67,23056
