ward,precinct,total,Rahm Emanuel,Rahm Emanuel Percent,precinct_id
36,50,154,154,100.0,36050
36,51,187,187,100.0,36051
36,52,160,160,100.0,36052
36,53,117,117,100.0,36053
36,55,233,233,100.0,36055
37,39,6,6,100.0,37039
38,1,181,181,100.0,38001
38,2,141,141,100.0,38002
38,3,116,116,100.0,38003
38,4,85,85,100.0,38004
38,5,288,288,100.0,38005
38,6,159,159,100.0,38006
38,7,209,209,100.0,38007
38,8,98,98,100.0,38008
38,9,163,163,100.0,38009
38,10,210,210,100.0,38010
38,11,112,112,100.0,38011
38,12,159,159,100.0,38012
38,13,130,130,100.0,38013
38,14,127,127,100.0,38014
38,15,105,105,100.0,38015
38,16,164,164,100.0,38016
38,17,138,138,100.0,38017
38,18,158,158,100.0,38018
38,19,167,167,100.0,38019
38,20,218,218,100.0,38020
38,21,139,139,100.0,38021
38,22,155,155,100.0,38022
38,23,121,121,100.0,38023
38,24,104,104,100.0,38024
38,25,163,163,100.0,38025
38,26,118,118,100.0,38026
38,27,98,98,100.0,38027
38,28,114,114,100.0,38028
38,29,145,145,100.0,38029
38,30,168,168,100.0,38030
38,31,186,186,100.0,38031
38,32,152,152,100.0,38032
38,33,139,139,100.0,38033
38,34,106,106,100.0,38034
38,35,183,183,100.0,38035
38,36,168,168,100.0,38036
38,37,160,160,100.0,38037
38,38,179,179,100.0,38038
38,39,155,155,100.0,38039
38,40,116,116,100.0,38040
38,41,238,238,100.0,38041
38,42,209,209,100.0,38042
38,43,169,169,100.0,38043
38,44,163,163,100.0,38044
38,45,173,173,100.0,38045
38,46,131,131,100.0,38046
38,47,162,162,100.0,38047
38,48,154,154,100.0,38048
38,49,142,142,100.0,38049
38,50,155,155,100.0,38050
38,51,120,120,100.0,38051
38,52,176,176,100.0,38052
38,53,34,34,100.0,38053
39,1,159,159,100.0,39001
39,2,261,261,100.0,39002
39,3,173,173,100.0,39003
39,4,125,125,100.0,39004
39,5,138,138,100.0,39005
39,6,145,145,100.0,39006
39,7,131,131,100.0,39007
39,8,180,180,100.0,39008
39,9,207,207,100.0,39009
39,10,157,157,100.0,39010
39,11,198,198,100.0,39011
39,12,167,167,100.0,39012
39,13,121,121,100.0,39013
39,14,176,176,100.0,39014
39,15,140,140,100.0,39015
39,16,121,121,100.0,39016
39,17,142,142,100.0,39017
39,18,186,186,100.0,39018
39,19,114,114,100.0,39019
39,20,145,145,100.0,39020
39,21,135,135,100.0,39021
39,22,163,163,100.0,39022
39,23,120,120,100.0,39023
39,24,172,172,100.0,39024
39,25,166,166,100.0,39025
39,26,175,175,100.0,39026
39,27,207,207,100.0,39027
39,28,194,194,100.0,39028
39,29,183,183,100.0,39029
39,30,97,97,100.0,39030
39,31,94,94,100.0,39031
39,32,191,191,100.0,39032
39,33,213,213,100.0,39033
39,34,231,231,100.0,39034
39,35,206,206,100.0,39035
39,36,185,185,100.0,39036
39,37,252,252,100.0,39037
39,38,207,207,100.0,39038
39,39,83,83,100.0,39039
39,40,99,99,100.0,39040
39,41,62,62,100.0,39041
39,42,137,137,100.0,39042
39,43,193,193,100.0,39043
39,44,220,220,100.0,39044
39,45,110,110,100.0,39045
39,46,150,150,100.0,39046
39,47,94,94,100.0,39047
40,1,116,116,100.0,40001
40,2,126,126,100.0,40002
40,5,198,198,100.0,40005
40,6,206,206,100.0,40006
40,10,188,188,100.0,40010
40,14,168,168,100.0,40014
40,15,176,176,100.0,40015
40,17,80,80,100.0,40017
40,19,129,129,100.0,40019
40,20,164,164,100.0,40020
40,21,175,175,100.0,40021
40,23,239,239,100.0,40023
40,24,100,100,100.0,40024
40,25,136,136,100.0,40025
40,29,199,199,100.0,40029
40,30,206,206,100.0,40030
40,31,140,140,100.0,40031
40,32,84,84,100.0,40032
40,34,125,125,100.0,40034
40,36,170,170,100.0,40036
40,38,93,93,100.0,40038
40,40,122,122,100.0,40040
40,41,32,32,100.0,40041
40,44,125,125,100.0,40044
40,45,267,267,100.0,40045
40,48,118,118,100.0,40048
40,49,106,106,100.0,40049
41,3,197,197,100.0,41003
41,6,205,205,100.0,41006
41,9,202,202,100.0,41009
41,10,180,180,100.0,41010
41,12,191,191,100.0,41012
41,14,224,224,100.0,41014
41,16,197,197,100.0,41016
41,19,257,257,100.0,41019
41,21,195,195,100.0,41021
41,22,192,192,100.0,41022
41,23,185,185,100.0,41023
41,24,169,169,100.0,41024
41,30,239,239,100.0,41030
41,35,207,207,100.0,41035
41,38,215,215,100.0,41038
41,39,140,140,100.0,41039
41,44,196,196,100.0,41044
41,46,160,160,100.0,41046
41,47,178,178,100.0,41047
41,50,196,196,100.0,41050
41,51,144,144,100.0,41051
41,53,193,193,100.0,41053
41,54,171,171,100.0,41054
41,57,157,157,100.0,41057
43,2,229,229,100.0,43002
43,6,148,148,100.0,43006
43,7,199,199,100.0,43007
43,8,259,259,100.0,43008
43,12,245,245,100.0,43012
43,14,191,191,100.0,43014
43,17,241,241,100.0,43017
43,20,241,241,100.0,43020
43,21,240,240,100.0,43021
43,22,169,169,100.0,43022
43,27,182,182,100.0,43027
43,29,196,196,100.0,43029
43,31,249,249,100.0,43031
43,32,208,208,100.0,43032
43,33,124,124,100.0,43033
43,34,129,129,100.0,43034
43,38,189,189,100.0,43038
43,43,152,152,100.0,43043
43,44,206,206,100.0,43044
43,45,63,63,100.0,43045
43,48,206,206,100.0,43048
43,50,154,154,100.0,43050
43,53,228,228,100.0,43053
43,56,131,131,100.0,43056
43,57,177,177,100.0,43057
43,58,182,182,100.0,43058
43,59,196,196,100.0,43059
44,1,200,200,100.0,44001
44,2,184,184,100.0,44002
44,5,286,286,100.0,44005
44,6,266,266,100.0,44006
44,8,115,115,100.0,44008
44,9,165,165,100.0,44009
44,10,172,172,100.0,44010
44,11,218,218,100.0,44011
44,12,180,180,100.0,44012
44,13,172,172,100.0,44013
44,14,206,206,100.0,44014
44,15,258,258,100.0,44015
44,16,258,258,100.0,44016
44,17,243,243,100.0,44017
44,18,154,154,100.0,44018
44,19,132,132,100.0,44019
44,20,197,197,100.0,44020
44,21,281,281,100.0,44021
44,22,276,276,100.0,44022
44,23,218,218,100.0,44023
44,24,149,149,100.0,44024
44,25,230,230,100.0,44025
44,26,196,196,100.0,44026
44,27,273,273,100.0,44027
44,28,170,170,100.0,44028
44,29,246,246,100.0,44029
44,30,220,220,100.0,44030
44,31,240,240,100.0,44031
44,32,181,181,100.0,44032
44,33,321,321,100.0,44033
44,34,164,164,100.0,44034
44,36,207,207,100.0,44036
44,37,310,310,100.0,44037
44,38,196,196,100.0,44038
44,39,232,232,100.0,44039
44,40,225,225,100.0,44040
44,41,187,187,100.0,44041
44,42,277,277,100.0,44042
44,43,243,243,100.0,44043
44,44,275,275,100.0,44044
44,45,259,259,100.0,44045
44,46,174,174,100.0,44046
44,47,261,261,100.0,44047
44,50,188,188,100.0,44050
44,51,187,187,100.0,44051
45,1,165,165,100.0,45001
45,2,207,207,100.0,45002
45,3,253,253,100.0,45003
45,4,216,216,100.0,45004
45,5,198,198,100.0,45005
45,6,185,185,100.0,45006
45,7,168,168,100.0,45007
45,8,145,145,100.0,45008
45,9,180,180,100.0,45009
45,10,227,227,100.0,45010
45,11,158,158,100.0,45011
45,12,215,215,100.0,45012
45,13,210,210,100.0,45013
45,14,217,217,100.0,45014
45,15,204,204,100.0,45015
45,16,213,213,100.0,45016
45,17,159,159,100.0,45017
45,18,204,204,100.0,45018
45,19,194,194,100.0,45019
45,20,162,162,100.0,45020
45,21,168,168,100.0,45021
45,22,136,136,100.0,45022
45,23,203,203,100.0,45023
45,24,234,234,100.0,45024
45,25,196,196,100.0,45025
45,26,240,240,100.0,45026
45,27,171,171,100.0,45027
45,28,176,176,100.0,45028
45,29,184,184,100.0,45029
45,30,176,176,100.0,45030
45,31,203,203,100.0,45031
45,32,108,108,100.0,45032
45,33,176,176,100.0,45033
45,34,147,147,100.0,45034
45,35,174,174,100.0,45035
45,36,166,166,100.0,45036
45,37,215,215,100.0,45037
45,38,221,221,100.0,45038
45,39,207,207,100.0,45039
45,40,232,232,100.0,45040
45,41,131,131,100.0,45041
45,42,185,185,100.0,45042
45,43,166,166,100.0,45043
45,44,196,196,100.0,45044
45,45,139,139,100.0,45045
45,46,205,205,100.0,45046
45,47,209,209,100.0,45047
45,48,197,197,100.0,45048
45,49,200,200,100.0,45049
45,50,149,149,100.0,45050
45,51,171,171,100.0,45051
45,52,193,193,100.0,45052
45,53,150,150,100.0,45053
46,3,262,262,100.0,46003
46,5,177,177,100.0,46005
46,13,210,210,100.0,46013
46,17,314,314,100.0,46017
46,18,245,245,100.0,46018
46,24,190,190,100.0,46024
46,29,211,211,100.0,46029
46,31,273,273,100.0,46031
46,36,229,229,100.0,46036
46,37,190,190,100.0,46037
46,43,309,309,100.0,46043
46,44,172,172,100.0,46044
47,1,253,253,100.0,47001
47,2,175,175,100.0,47002
47,3,180,180,100.0,47003
47,4,249,249,100.0,47004
47,5,243,243,100.0,47005
47,6,280,280,100.0,47006
47,7,234,234,100.0,47007
47,8,306,306,100.0,47008
47,9,196,196,100.0,47009
47,10,194,194,100.0,47010
47,11,410,410,100.0,47011
47,12,206,206,100.0,47012
47,13,337,337,100.0,47013
47,14,186,186,100.0,47014
47,15,263,263,100.0,47015
47,16,217,217,100.0,47016
47,17,223,223,100.0,47017
47,18,276,276,100.0,47018
47,19,270,270,100.0,47019
47,20,256,256,100.0,47020
47,21,243,243,100.0,47021
47,22,246,246,100.0,47022
47,23,132,132,100.0,47023
47,24,266,266,100.0,47024
47,25,269,269,100.0,47025
47,26,403,403,100.0,47026
47,27,228,228,100.0,47027
47,28,354,354,100.0,47028
47,29,266,266,100.0,47029
