ward,precinct,total,Anita Rivkin-Carothers,Anita Rivkin-Carothers Percent,Melanie Rose Nuby,Melanie Rose Nuby Percent,Kevin Kenneth Pechous,Kevin Kenneth Pechous Percent,T. Lee Boyd Jr.,T. Lee Boyd Jr. Percent,precinct_id
29,20,246,195,79.27,19,7.72,4,1.63,22,8.94,29020
29,21,199,131,65.83,32,16.08,7,3.52,15,7.54,29021
29,22,167,107,64.07,21,12.57,13,7.78,16,9.58,29022
29,23,267,215,80.52,21,7.87,6,2.25,16,5.99,29023
29,26,220,173,78.64,19,8.64,10,4.55,8,3.64,29026
29,27,224,165,73.66,21,9.38,7,3.13,18,8.04,29027
29,28,316,230,72.78,24,7.59,10,3.16,32,10.13,29028
29,29,355,309,87.04,23,6.48,8,2.25,11,3.1,29029
29,31,243,181,74.49,27,11.11,7,2.88,20,8.23,29031
29,33,184,133,72.28,20,10.87,4,2.17,16,8.7,29033
29,34,160,110,68.75,21,13.13,10,6.25,13,8.13,29034
29,35,180,107,59.44,24,13.33,10,5.56,25,13.89,29035
29,37,239,167,69.87,29,12.13,2,0.84,29,12.13,29037
29,38,211,151,71.56,32,15.17,6,2.84,16,7.58,29038
29,40,352,284,80.68,33,9.38,5,1.42,20,5.68,29040
29,41,326,264,80.98,20,6.13,5,1.53,23,7.06,29041
29,42,278,185,66.55,50,17.99,10,3.6,23,8.27,29042
29,43,324,262,80.86,27,8.33,5,1.54,16,4.94,29043
29,44,217,159,73.27,20,9.22,9,4.15,16,7.37,29044
29,45,224,167,74.55,29,12.95,5,2.23,13,5.8,29045
29,46,252,167,66.27,41,16.27,10,3.97,20,7.94,29046
29,47,307,240,78.18,29,9.45,7,2.28,13,4.23,29047
29,48,244,171,70.08,32,13.11,11,4.51,16,6.56,29048
37,4,263,150,57.03,38,14.45,19,7.22,35,13.31,37004
37,5,278,188,67.63,33,11.87,8,2.88,27,9.71,37005
37,6,248,137,55.24,53,21.37,9,3.63,26,10.48,37006
37,7,268,179,66.79,29,10.82,8,2.99,26,9.7,37007
37,8,200,96,48.0,39,19.5,14,7.0,30,15.0,37008
37,9,210,114,54.29,41,19.52,10,4.76,32,15.24,37009
37,13,202,89,44.06,37,18.32,21,10.4,35,17.33,37013
37,14,243,163,67.08,31,12.76,10,4.12,27,11.11,37014
37,15,230,101,43.91,63,27.39,16,6.96,34,14.78,37015
37,17,194,135,69.59,26,13.4,9,4.64,17,8.76,37017
37,18,272,166,61.03,65,23.9,11,4.04,23,8.46,37018
37,20,243,134,55.14,39,16.05,13,5.35,34,13.99,37020
37,21,234,119,50.85,37,15.81,21,8.97,47,20.09,37021
37,23,192,87,45.31,51,26.56,12,6.25,30,15.63,37023
37,25,242,143,59.09,42,17.36,9,3.72,33,13.64,37025
37,27,213,112,52.58,48,22.54,15,7.04,25,11.74,37027
37,28,206,111,53.88,42,20.39,11,5.34,33,16.02,37028
37,29,273,181,66.3,54,19.78,8,2.93,20,7.33,37029
37,30,160,84,52.5,26,16.25,8,5.0,28,17.5,37030
37,31,250,158,63.2,29,11.6,12,4.8,32,12.8,37031
37,32,252,156,61.9,31,12.3,10,3.97,38,15.08,37032
37,33,185,102,55.14,21,11.35,14,7.57,34,18.38,37033
37,34,232,134,57.76,28,12.07,9,3.88,35,15.09,37034
37,35,263,157,59.7,61,23.19,6,2.28,25,9.51,37035
37,36,232,117,50.43,43,18.53,12,5.17,38,16.38,37036
37,37,235,133,56.6,43,18.3,7,2.98,34,14.47,37037
37,38,274,173,63.14,40,14.6,12,4.38,36,13.14,37038
37,40,233,157,67.38,36,15.45,4,1.72,20,8.58,37040
37,41,277,159,57.4,51,18.41,19,6.86,34,12.27,37041
37,43,204,106,51.96,30,14.71,9,4.41,40,19.61,37043
42,18,229,105,45.85,58,25.33,11,4.8,18,7.86,42018
42,21,109,49,44.95,26,23.85,6,5.5,10,9.17,42021
42,69,144,66,45.83,32,22.22,9,6.25,20,13.89,42069
