ward,precinct,total,Margaret Laurino (Obama),Margaret Laurino (Obama) Percent,Sylvia Martinez (Obama),Sylvia Martinez (Obama) Percent,Renae Ogletree (Obama),Renae Ogletree (Obama) Percent,Mike Quigley (Obama),Mike Quigley (Obama) Percent,Henry Tamarin (Obama),Henry Tamarin (Obama) Percent,Stella Black (Clinton),Stella Black (Clinton) Percent,Darryl L. DePriest (Clinton),Darryl L. DePriest (Clinton) Percent,Aimee A. Pine (Clinton),Aimee A. Pine (Clinton) Percent,Matthew W. Beaudet (Clinton),Matthew W. Beaudet (Clinton) Percent,Linda Murphy (Clinton),Linda Murphy (Clinton) Percent,Aaron G. Harkin (Clinton),Aaron G. Harkin (Clinton) Percent,Michael Fourcher (Richardson),Michael Fourcher (Richardson) Percent,William L. ''Bill'' Phillips (Richards,William L. ''Bill'' Phillips (Richards Percent,Angel Del Rivero (Richardson),Angel Del Rivero (Richardson) Percent,Betsy Schonitzer (Richardson),Betsy Schonitzer (Richardson) Percent,precinct_id
36,41,966,60,6.21,66,6.83,50,5.18,51,5.28,45,4.66,108,11.18,93,9.63,109,11.28,96,9.94,115,11.9,95,9.83,5,0.52,4,0.41,10,1.04,4,0.41,36041
36,42,837,69,8.24,67,8.0,59,7.05,66,7.89,57,6.81,70,8.36,64,7.65,78,9.32,68,8.12,82,9.8,70,8.36,8,0.96,12,1.43,6,0.72,7,0.84,36042
36,43,849,66,7.77,70,8.24,57,6.71,68,8.01,56,6.6,79,9.31,70,8.24,70,8.24,76,8.95,80,9.42,70,8.24,4,0.47,7,0.82,10,1.18,7,0.82,36043
36,45,1062,114,10.73,114,10.73,101,9.51,106,9.98,94,8.85,76,7.16,70,6.59,69,6.5,67,6.31,71,6.69,64,6.03,4,0.38,6,0.56,4,0.38,5,0.47,36045
36,46,871,74,8.5,78,8.96,67,7.69,75,8.61,61,7.0,69,7.92,70,8.04,72,8.27,64,7.35,76,8.73,64,7.35,8,0.92,7,0.8,7,0.8,8,0.92,36046
36,47,724,51,7.04,53,7.32,43,5.94,48,6.63,42,5.8,73,10.08,67,9.25,71,9.81,65,8.98,78,10.77,64,8.84,6,0.83,11,1.52,4,0.55,5,0.69,36047
36,48,804,61,7.59,58,7.21,55,6.84,59,7.34,51,6.34,76,9.45,72,8.96,73,9.08,73,9.08,80,9.95,70,8.71,8,1.0,8,1.0,5,0.62,5,0.62,36048
36,49,1182,112,9.48,98,8.29,91,7.7,96,8.12,83,7.02,97,8.21,89,7.53,96,8.12,89,7.53,104,8.8,85,7.19,12,1.02,13,1.1,14,1.18,14,1.18,36049
36,50,811,63,7.77,63,7.77,52,6.41,54,6.66,48,5.92,76,9.37,71,8.75,80,9.86,70,8.63,81,9.99,65,8.01,10,1.23,7,0.86,9,1.11,9,1.11,36050
36,51,1051,93,8.85,109,10.37,81,7.71,87,8.28,75,7.14,87,8.28,82,7.8,74,7.04,79,7.52,88,8.37,77,7.33,6,0.57,6,0.57,16,1.52,7,0.67,36051
36,52,1013,87,8.59,115,11.35,77,7.6,83,8.19,74,7.31,80,7.9,75,7.4,80,7.9,75,7.4,85,8.39,76,7.5,4,0.39,6,0.59,12,1.18,7,0.69,36052
36,53,806,62,7.69,71,8.81,61,7.57,59,7.32,55,6.82,76,9.43,69,8.56,68,8.44,66,8.19,69,8.56,57,7.07,8,0.99,7,0.87,10,1.24,5,0.62,36053
36,55,1482,160,10.8,158,10.66,144,9.72,153,10.32,137,9.24,92,6.21,88,5.94,91,6.14,86,5.8,97,6.55,83,5.6,8,0.54,14,0.94,11,0.74,14,0.94,36055
37,39,46,7,15.22,7,15.22,6,13.04,6,13.04,7,15.22,2,4.35,1,2.17,1,2.17,1,2.17,1,2.17,1,2.17,0,0.0,0,0.0,0,0.0,0,0.0,37039
38,1,1232,128,10.39,129,10.47,111,9.01,113,9.17,109,8.85,84,6.82,76,6.17,86,6.98,82,6.66,97,7.87,75,6.09,9,0.73,7,0.57,11,0.89,8,0.65,38001
38,2,810,74,9.14,83,10.25,61,7.53,71,8.77,66,8.15,67,8.27,49,6.05,59,7.28,55,6.79,63,7.78,57,7.04,6,0.74,9,1.11,18,2.22,3,0.37,38002
38,3,710,47,6.62,47,6.62,35,4.93,38,5.35,38,5.35,74,10.42,73,10.28,78,10.99,69,9.72,80,11.27,74,10.42,5,0.7,9,1.27,6,0.85,3,0.42,38003
38,4,540,58,10.74,59,10.93,51,9.44,52,9.63,47,8.7,32,5.93,27,5.0,37,6.85,31,5.74,40,7.41,31,5.74,7,1.3,8,1.48,5,0.93,3,0.56,38004
38,5,1847,206,11.15,200,10.83,181,9.8,197,10.67,176,9.53,115,6.23,98,5.31,119,6.44,118,6.39,118,6.39,97,5.25,8,0.43,8,0.43,10,0.54,12,0.65,38005
38,6,982,82,8.35,90,9.16,67,6.82,67,6.82,68,6.92,89,9.06,80,8.15,92,9.37,76,7.74,95,9.67,72,7.33,9,0.92,5,0.51,17,1.73,9,0.92,38006
38,7,1315,148,11.25,139,10.57,135,10.27,142,10.8,130,9.89,80,6.08,71,5.4,81,6.16,78,5.93,84,6.39,76,5.78,4,0.3,3,0.23,4,0.3,9,0.68,38007
38,8,657,55,8.37,56,8.52,48,7.31,52,7.91,41,6.24,57,8.68,56,8.52,57,8.68,51,7.76,61,9.28,57,8.68,6,0.91,1,0.15,5,0.76,6,0.91,38008
38,9,1018,117,11.49,115,11.3,110,10.81,114,11.2,108,10.61,50,4.91,53,5.21,57,5.6,52,5.11,61,5.99,51,5.01,7,0.69,8,0.79,5,0.49,7,0.69,38009
38,10,1334,148,11.09,149,11.17,141,10.57,145,10.87,129,9.67,83,6.22,77,5.77,83,6.22,72,5.4,83,6.22,71,5.32,7,0.52,5,0.37,3,0.22,5,0.37,38010
38,11,755,52,6.89,57,7.55,48,6.36,56,7.42,46,6.09,70,9.27,67,8.87,78,10.33,64,8.48,77,10.2,63,8.34,7,0.93,5,0.66,9,1.19,5,0.66,38011
38,12,995,80,8.04,66,6.63,62,6.23,68,6.83,56,5.63,91,9.15,95,9.55,91,9.15,93,9.35,101,10.15,87,8.74,15,1.51,11,1.11,6,0.6,14,1.41,38012
38,13,821,64,7.8,64,7.8,57,6.94,62,7.55,54,6.58,72,8.77,73,8.89,76,9.26,71,8.65,74,9.01,68,8.28,11,1.34,8,0.97,7,0.85,7,0.85,38013
38,14,905,67,7.4,67,7.4,62,6.85,64,7.07,64,7.07,89,9.83,81,8.95,86,9.5,79,8.73,90,9.94,76,8.4,2,0.22,4,0.44,6,0.66,4,0.44,38014
38,15,736,56,7.61,51,6.93,42,5.71,50,6.79,48,6.52,70,9.51,68,9.24,72,9.78,70,9.51,76,10.33,68,9.24,4,0.54,6,0.82,5,0.68,3,0.41,38015
38,16,1073,98,9.13,99,9.23,82,7.64,88,8.2,78,7.27,90,8.39,79,7.36,97,9.04,81,7.55,91,8.48,79,7.36,2,0.19,2,0.19,12,1.12,3,0.28,38016
38,17,965,75,7.77,81,8.39,73,7.56,80,8.29,69,7.15,84,8.7,80,8.29,85,8.81,76,7.88,86,8.91,76,7.88,5,0.52,3,0.31,8,0.83,5,0.52,38017
38,18,1040,81,7.79,78,7.5,70,6.73,82,7.88,62,5.96,95,9.13,87,8.37,94,9.04,91,8.75,104,10.0,91,8.75,10,0.96,13,1.25,6,0.58,10,0.96,38018
38,19,1176,102,8.67,86,7.31,80,6.8,86,7.31,81,6.89,94,7.99,99,8.42,105,8.93,96,8.16,114,9.69,91,7.74,12,1.02,15,1.28,16,1.36,19,1.62,38019
38,20,1414,153,10.82,146,10.33,143,10.11,149,10.54,137,9.69,89,6.29,79,5.59,91,6.44,87,6.15,91,6.44,82,5.8,5,0.35,12,0.85,4,0.28,10,0.71,38020
38,21,911,70,7.68,71,7.79,53,5.82,67,7.35,57,6.26,89,9.77,79,8.67,86,9.44,80,8.78,87,9.55,77,8.45,7,0.77,8,0.88,14,1.54,6,0.66,38021
38,22,1102,94,8.53,92,8.35,80,7.26,85,7.71,78,7.08,96,8.71,86,7.8,94,8.53,89,8.08,103,9.35,86,7.8,11,1.0,12,1.09,7,0.64,13,1.18,38022
38,23,843,69,8.19,70,8.3,62,7.35,63,7.47,62,7.35,69,8.19,72,8.54,70,8.3,72,8.54,75,8.9,74,8.78,3,0.36,8,0.95,5,0.59,6,0.71,38023
38,24,674,65,9.64,79,11.72,59,8.75,57,8.46,55,8.16,48,7.12,47,6.97,46,6.82,42,6.23,56,8.31,40,5.93,4,0.59,8,1.19,7,1.04,5,0.74,38024
38,25,1039,93,8.95,100,9.62,82,7.89,86,8.28,74,7.12,84,8.08,80,7.7,83,7.99,81,7.8,90,8.66,74,7.12,8,0.77,7,0.67,13,1.25,5,0.48,38025
38,26,826,74,8.96,64,7.75,55,6.66,61,7.38,55,6.66,69,8.35,72,8.72,76,9.2,73,8.84,79,9.56,64,7.75,6,0.73,7,0.85,7,0.85,7,0.85,38026
38,27,691,71,10.27,66,9.55,57,8.25,55,7.96,53,7.67,50,7.24,47,6.8,54,7.81,49,7.09,61,8.83,46,6.66,6,0.87,6,0.87,7,1.01,6,0.87,38027
38,28,802,55,6.86,59,7.36,48,5.99,54,6.73,46,5.74,76,9.48,73,9.1,81,10.1,74,9.23,85,10.6,74,9.23,4,0.5,7,0.87,10,1.25,7,0.87,38028
38,29,952,85,8.93,89,9.35,75,7.88,80,8.4,71,7.46,79,8.3,76,7.98,76,7.98,73,7.67,79,8.3,72,7.56,5,0.53,5,0.53,6,0.63,7,0.74,38029
38,30,978,96,9.82,98,10.02,79,8.08,88,9.0,79,8.08,72,7.36,69,7.06,75,7.67,70,7.16,78,7.98,61,6.24,7,0.72,8,0.82,7,0.72,12,1.23,38030
38,31,1274,103,8.08,106,8.32,75,5.89,89,6.99,72,5.65,123,9.65,111,8.71,121,9.5,115,9.03,128,10.05,103,8.08,8,0.63,9,0.71,18,1.41,11,0.86,38031
38,32,1085,91,8.39,85,7.83,76,7.0,85,7.83,78,7.19,98,9.03,92,8.48,94,8.66,90,8.29,105,9.68,80,7.37,9,0.83,10,0.92,9,0.83,9,0.83,38032
38,33,809,75,9.27,80,9.89,71,8.78,71,8.78,68,8.41,62,7.66,58,7.17,61,7.54,56,6.92,68,8.41,58,7.17,2,0.25,2,0.25,3,0.37,3,0.37,38033
38,34,672,55,8.18,60,8.93,49,7.29,48,7.14,49,7.29,56,8.33,57,8.48,57,8.48,56,8.33,63,9.38,56,8.33,4,0.6,3,0.45,7,1.04,4,0.6,38034
38,35,1215,100,8.23,107,8.81,88,7.24,108,8.89,93,7.65,96,7.9,95,7.82,95,7.82,98,8.07,107,8.81,87,7.16,10,0.82,12,0.99,13,1.07,8,0.66,38035
38,36,1070,96,8.97,93,8.69,81,7.57,89,8.32,76,7.1,90,8.41,85,7.94,93,8.69,84,7.85,95,8.88,80,7.48,7,0.65,4,0.37,7,0.65,6,0.56,38036
38,37,1071,87,8.12,99,9.24,82,7.66,81,7.56,83,7.75,93,8.68,89,8.31,95,8.87,80,7.47,101,9.43,80,7.47,4,0.37,4,0.37,8,0.75,3,0.28,38037
38,38,1105,82,7.42,84,7.6,69,6.24,78,7.06,66,5.97,106,9.59,100,9.05,106,9.59,100,9.05,111,10.05,92,8.33,11,1.0,10,0.9,9,0.81,10,0.9,38038
38,39,994,80,8.05,89,8.95,69,6.94,68,6.84,64,6.44,91,9.15,89,8.95,94,9.46,85,8.55,98,9.86,78,7.85,7,0.7,4,0.4,9,0.91,6,0.6,38039
38,40,817,72,8.81,74,9.06,67,8.2,69,8.45,62,7.59,65,7.96,61,7.47,64,7.83,56,6.85,71,8.69,61,7.47,10,1.22,8,0.98,4,0.49,9,1.1,38040
38,41,1518,168,11.07,153,10.08,140,9.22,155,10.21,134,8.83,98,6.46,92,6.06,104,6.85,98,6.46,102,6.72,90,5.93,10,0.66,8,0.53,10,0.66,9,0.59,38041
38,42,1292,126,9.75,116,8.98,105,8.13,111,8.59,100,7.74,101,7.82,89,6.89,97,7.51,92,7.12,107,8.28,88,6.81,13,1.01,15,1.16,10,0.77,10,0.77,38042
38,43,1093,88,8.05,88,8.05,78,7.14,88,8.05,79,7.23,96,8.78,91,8.33,99,9.06,87,7.96,105,9.61,88,8.05,10,0.91,8,0.73,6,0.55,6,0.55,38043
38,44,1048,104,9.92,103,9.83,92,8.78,93,8.87,85,8.11,73,6.97,66,6.3,73,6.97,68,6.49,81,7.73,69,6.58,14,1.34,14,1.34,11,1.05,8,0.76,38044
38,45,1105,108,9.77,98,8.87,89,8.05,97,8.78,82,7.42,88,7.96,85,7.69,89,8.05,83,7.51,96,8.69,79,7.15,5,0.45,5,0.45,6,0.54,5,0.45,38045
38,46,857,65,7.58,63,7.35,50,5.83,59,6.88,50,5.83,76,8.87,67,7.82,78,9.1,82,9.57,83,9.68,75,8.75,15,1.75,12,1.4,14,1.63,13,1.52,38046
38,47,1067,107,10.03,97,9.09,88,8.25,98,9.18,89,8.34,77,7.22,71,6.65,79,7.4,72,6.75,83,7.78,67,6.28,11,1.03,13,1.22,17,1.59,12,1.12,38047
38,48,1004,89,8.86,89,8.86,77,7.67,87,8.67,77,7.67,81,8.07,78,7.77,86,8.57,80,7.97,87,8.67,73,7.27,6,0.6,7,0.7,4,0.4,7,0.7,38048
38,49,868,73,8.41,63,7.26,56,6.45,59,6.8,56,6.45,86,9.91,75,8.64,86,9.91,79,9.1,90,10.37,69,7.95,4,0.46,7,0.81,4,0.46,5,0.58,38049
38,50,973,81,8.32,84,8.63,67,6.89,76,7.81,66,6.78,82,8.43,75,7.71,80,8.22,76,7.81,103,10.59,74,7.61,9,0.92,12,1.23,9,0.92,10,1.03,38050
38,51,756,61,8.07,59,7.8,52,6.88,57,7.54,51,6.75,66,8.73,67,8.86,64,8.47,62,8.2,69,9.13,63,8.33,9,1.19,7,0.93,8,1.06,4,0.53,38051
38,52,1072,92,8.58,86,8.02,80,7.46,80,7.46,79,7.37,96,8.96,80,7.46,93,8.68,84,7.84,99,9.24,87,8.12,6,0.56,10,0.93,10,0.93,10,0.93,38052
38,53,239,15,6.28,20,8.37,11,4.6,17,7.11,13,5.44,22,9.21,26,10.88,24,10.04,21,8.79,23,9.62,20,8.37,2,0.84,2,0.84,6,2.51,3,1.26,38053
39,1,1086,129,11.88,100,9.21,92,8.47,101,9.3,85,7.83,80,7.37,78,7.18,79,7.27,75,6.91,90,8.29,72,6.63,5,0.46,2,0.18,4,0.37,4,0.37,39001
39,2,1378,186,13.5,94,6.82,82,5.95,103,7.47,79,5.73,122,8.85,113,8.2,117,8.49,113,8.2,130,9.43,113,8.2,7,0.51,13,0.94,8,0.58,14,1.02,39002
39,3,1057,162,15.33,110,10.41,109,10.31,121,11.45,105,9.93,55,5.2,53,5.01,54,5.11,49,4.64,64,6.05,41,3.88,5,0.47,7,0.66,4,0.38,9,0.85,39003
39,4,833,90,10.8,78,9.36,75,9.0,83,9.96,72,8.64,62,7.44,52,6.24,51,6.12,49,5.88,60,7.2,50,6.0,10,1.2,9,1.08,7,0.84,9,1.08,39004
39,5,908,134,14.76,96,10.57,87,9.58,91,10.02,80,8.81,58,6.39,48,5.29,57,6.28,51,5.62,59,6.5,45,4.96,2,0.22,1,0.11,4,0.44,8,0.88,39005
39,6,991,125,12.61,95,9.59,83,8.38,85,8.58,75,7.57,81,8.17,61,6.16,75,7.57,63,6.36,76,7.67,56,5.65,5,0.5,9,0.91,9,0.91,12,1.21,39006
39,7,822,122,14.84,84,10.22,78,9.49,87,10.58,78,9.49,47,5.72,47,5.72,47,5.72,45,5.47,51,6.2,43,5.23,1,0.12,7,0.85,4,0.49,3,0.36,39007
39,8,1140,177,15.53,104,9.12,84,7.37,95,8.33,81,7.11,84,7.37,72,6.32,89,7.81,70,6.14,92,8.07,66,5.79,8,0.7,6,0.53,9,0.79,9,0.79,39008
39,9,1275,198,15.53,122,9.57,108,8.47,111,8.71,97,7.61,96,7.53,76,5.96,86,6.75,81,6.35,95,7.45,63,4.94,6,0.47,7,0.55,8,0.63,10,0.78,39009
39,10,1030,140,13.59,105,10.19,93,9.03,106,10.29,92,8.93,66,6.41,62,6.02,61,5.92,59,5.73,72,6.99,46,4.47,7,0.68,7,0.68,7,0.68,7,0.68,39010
39,11,1182,180,15.23,110,9.31,94,7.95,108,9.14,86,7.28,87,7.36,71,6.01,78,6.6,77,6.51,94,7.95,68,5.75,8,0.68,11,0.93,12,1.02,9,0.76,39011
39,12,987,146,14.79,107,10.84,81,8.21,85,8.61,80,8.11,69,6.99,54,5.47,61,6.18,58,5.88,70,7.09,49,4.96,4,0.41,10,1.01,20,2.03,7,0.71,39012
39,13,748,97,12.97,88,11.76,73,9.76,78,10.43,74,9.89,41,5.48,35,4.68,45,6.02,39,5.21,43,5.75,39,5.21,5,0.67,5,0.67,11,1.47,4,0.53,39013
39,14,1135,147,12.95,126,11.1,113,9.96,118,10.4,106,9.34,71,6.26,62,5.46,71,6.26,62,5.46,66,5.81,55,4.85,5,0.44,6,0.53,8,0.7,4,0.35,39014
39,15,910,117,12.86,73,8.02,70,7.69,82,9.01,67,7.36,72,7.91,63,6.92,69,7.58,62,6.81,71,7.8,59,6.48,8,0.88,9,0.99,6,0.66,11,1.21,39015
39,16,791,103,13.02,82,10.37,78,9.86,75,9.48,74,9.36,51,6.45,42,5.31,55,6.95,45,5.69,52,6.57,43,5.44,2,0.25,3,0.38,2,0.25,3,0.38,39016
39,17,937,119,12.7,86,9.18,75,8.0,82,8.75,70,7.47,70,7.47,68,7.26,70,7.47,67,7.15,70,7.47,64,6.83,3,0.32,2,0.21,7,0.75,6,0.64,39017
39,18,1260,167,13.25,136,10.79,121,9.6,130,10.32,120,9.52,87,6.9,71,5.63,75,5.95,67,5.32,77,6.11,68,5.4,4,0.32,4,0.32,4,0.32,5,0.4,39018
39,19,845,96,11.36,71,8.4,61,7.22,70,8.28,60,7.1,65,7.69,65,7.69,65,7.69,61,7.22,78,9.23,60,7.1,7,0.83,11,1.3,8,0.95,5,0.59,39019
39,20,945,120,12.7,99,10.48,90,9.52,101,10.69,89,9.42,58,6.14,54,5.71,56,5.93,56,5.93,59,6.24,48,5.08,5,0.53,7,0.74,5,0.53,7,0.74,39020
39,21,800,124,15.5,86,10.75,75,9.38,74,9.25,73,9.13,48,6.0,43,5.38,50,6.25,38,4.75,53,6.63,38,4.75,4,0.5,4,0.5,6,0.75,4,0.5,39021
39,22,1067,190,17.81,106,9.93,90,8.43,94,8.81,85,7.97,63,5.9,60,5.62,71,6.65,57,5.34,77,7.22,47,4.4,4,0.37,8,0.75,16,1.5,5,0.47,39022
39,23,709,101,14.25,80,11.28,72,10.16,77,10.86,68,9.59,44,6.21,35,4.94,38,5.36,35,4.94,43,6.06,32,4.51,4,0.56,4,0.56,3,0.42,3,0.42,39023
39,24,1181,166,14.06,125,10.58,95,8.04,91,7.71,88,7.45,84,7.11,80,6.77,75,6.35,71,6.01,95,8.04,77,6.52,6,0.51,10,0.85,13,1.1,5,0.42,39024
39,25,1059,137,12.94,109,10.29,95,8.97,104,9.82,94,8.88,69,6.52,64,6.04,71,6.7,63,5.95,75,7.08,59,5.57,2,0.19,10,0.94,2,0.19,7,0.66,39025
39,26,1131,143,12.64,103,9.11,100,8.84,112,9.9,101,8.93,67,5.92,61,5.39,67,5.92,68,6.01,77,6.81,62,5.48,24,2.12,15,1.33,16,1.41,13,1.15,39026
39,27,1315,166,12.62,155,11.79,138,10.49,148,11.25,133,10.11,67,5.1,60,4.56,67,5.1,60,4.56,77,5.86,57,4.33,7,0.53,15,1.14,11,0.84,10,0.76,39027
39,28,1285,166,12.92,148,11.52,124,9.65,136,10.58,128,9.96,74,5.76,68,5.29,69,5.37,68,5.29,82,6.38,67,5.21,6,0.47,5,0.39,12,0.93,6,0.47,39028
39,29,1164,155,13.32,128,11.0,110,9.45,118,10.14,111,9.54,71,6.1,59,5.07,61,5.24,65,5.58,75,6.44,61,5.24,4,0.34,10,0.86,12,1.03,9,0.77,39029
39,30,605,78,12.89,61,10.08,45,7.44,45,7.44,44,7.27,47,7.77,39,6.45,48,7.93,42,6.94,48,7.93,41,6.78,4,0.66,5,0.83,7,1.16,5,0.83,39030
39,31,654,91,13.91,56,8.56,44,6.73,47,7.19,41,6.27,62,9.48,53,8.1,55,8.41,43,6.57,58,8.87,44,6.73,2,0.31,3,0.46,6,0.92,3,0.46,39031
39,32,757,168,22.19,66,8.72,56,7.4,62,8.19,56,7.4,51,6.74,44,5.81,51,6.74,45,5.94,52,6.87,41,5.42,4,0.53,2,0.26,2,0.26,1,0.13,39032
39,33,1334,170,12.74,122,9.15,109,8.17,108,8.1,106,7.95,98,7.35,88,6.6,103,7.72,92,6.9,106,7.95,85,6.37,9,0.67,11,0.82,7,0.52,9,0.67,39033
39,34,1381,161,11.66,150,10.86,137,9.92,134,9.7,135,9.78,97,7.02,81,5.87,93,6.73,73,5.29,89,6.44,68,4.92,7,0.51,5,0.36,7,0.51,6,0.43,39034
39,35,1291,169,13.09,141,10.92,128,9.91,133,10.3,120,9.3,74,5.73,60,4.65,73,5.65,67,5.19,79,6.12,65,5.03,14,1.08,13,1.01,9,0.7,10,0.77,39035
39,36,1064,137,12.88,86,8.08,79,7.42,85,7.99,77,7.24,80,7.52,84,7.89,82,7.71,76,7.14,93,8.74,74,6.95,9,0.85,5,0.47,9,0.85,8,0.75,39036
39,37,1621,217,13.39,171,10.55,160,9.87,177,10.92,153,9.44,91,5.61,89,5.49,92,5.68,86,5.31,102,6.29,82,5.06,9,0.56,12,0.74,6,0.37,12,0.74,39037
39,38,1260,148,11.75,118,9.37,107,8.49,114,9.05,101,8.02,92,7.3,79,6.27,90,7.14,83,6.59,102,8.1,86,6.83,8,0.63,8,0.63,9,0.71,9,0.71,39038
39,39,545,58,10.64,58,10.64,47,8.62,50,9.17,45,8.26,38,6.97,36,6.61,40,7.34,37,6.79,43,7.89,35,6.42,1,0.18,4,0.73,2,0.37,1,0.18,39039
39,40,641,83,12.95,46,7.18,40,6.24,41,6.4,40,6.24,56,8.74,54,8.42,53,8.27,50,7.8,54,8.42,50,7.8,7,1.09,8,1.25,9,1.4,7,1.09,39040
39,41,446,55,12.33,33,7.4,31,6.95,34,7.62,28,6.28,38,8.52,36,8.07,38,8.52,36,8.07,37,8.3,34,7.62,3,0.67,4,0.9,3,0.67,2,0.45,39041
39,42,962,122,12.68,86,8.94,79,8.21,87,9.04,73,7.59,68,7.07,65,6.76,72,7.48,66,6.86,78,8.11,60,6.24,6,0.62,5,0.52,7,0.73,10,1.04,39042
39,43,1268,182,14.35,160,12.62,145,11.44,144,11.36,142,11.2,55,4.34,45,3.55,58,4.57,47,3.71,57,4.5,49,3.86,8,0.63,8,0.63,9,0.71,8,0.63,39043
39,44,1413,199,14.08,156,11.04,134,9.48,133,9.41,129,9.13,99,7.01,77,5.45,83,5.87,69,4.88,89,6.3,71,5.02,5,0.35,11,0.78,15,1.06,8,0.57,39044
39,45,578,81,14.01,58,10.03,57,9.86,54,9.34,52,9.0,35,6.06,34,5.88,33,5.71,32,5.54,42,7.27,28,4.84,6,1.04,2,0.35,6,1.04,5,0.87,39045
39,46,990,141,14.24,89,8.99,81,8.18,92,9.29,80,8.08,68,6.87,59,5.96,67,6.77,59,5.96,77,7.78,58,5.86,13,1.31,9,0.91,13,1.31,8,0.81,39046
39,47,587,81,13.8,52,8.86,45,7.67,57,9.71,46,7.84,48,8.18,35,5.96,41,6.98,38,6.47,45,7.67,37,6.3,4,0.68,3,0.51,2,0.34,4,0.68,39047
40,1,698,60,8.6,68,9.74,52,7.45,55,7.88,50,7.16,62,8.88,54,7.74,58,8.31,57,8.17,61,8.74,55,7.88,2,0.29,3,0.43,4,0.57,4,0.57,40001
40,2,729,71,9.74,75,10.29,72,9.88,72,9.88,71,9.74,50,6.86,48,6.58,48,6.58,46,6.31,50,6.86,47,6.45,2,0.27,3,0.41,2,0.27,3,0.41,40002
40,5,1279,141,11.02,141,11.02,135,10.56,143,11.18,129,10.09,69,5.39,69,5.39,74,5.79,67,5.24,79,6.18,71,5.55,7,0.55,7,0.55,8,0.63,5,0.39,40005
40,6,1327,161,12.13,164,12.36,153,11.53,157,11.83,146,11.0,75,5.65,64,4.82,63,4.75,52,3.92,64,4.82,54,4.07,6,0.45,7,0.53,7,0.53,5,0.38,40006
40,10,1095,114,10.41,118,10.78,102,9.32,108,9.86,99,9.04,72,6.58,67,6.12,71,6.48,64,5.84,81,7.4,68,6.21,6,0.55,8,0.73,10,0.91,6,0.55,40010
40,14,1107,130,11.74,134,12.1,123,11.11,126,11.38,120,10.84,56,5.06,48,4.34,58,5.24,54,4.88,65,5.87,51,4.61,4,0.36,4,0.36,5,0.45,2,0.18,40014
40,15,1106,100,9.04,97,8.77,87,7.87,90,8.14,91,8.23,85,7.69,83,7.5,86,7.78,80,7.23,96,8.68,81,7.32,11,0.99,11,0.99,6,0.54,10,0.9,40015
40,17,494,52,10.53,51,10.32,45,9.11,47,9.51,43,8.7,38,7.69,31,6.28,34,6.88,31,6.28,34,6.88,27,5.47,4,0.81,1,0.2,3,0.61,6,1.21,40017
40,19,788,87,11.04,90,11.42,79,10.03,86,10.91,76,9.64,52,6.6,45,5.71,48,6.09,45,5.71,51,6.47,42,5.33,3,0.38,2,0.25,2,0.25,1,0.13,40019
40,20,980,110,11.22,116,11.84,102,10.41,109,11.12,99,10.1,56,5.71,52,5.31,50,5.1,52,5.31,54,5.51,47,4.8,7,0.71,7,0.71,6,0.61,10,1.02,40020
40,21,1092,109,9.98,109,9.98,101,9.25,105,9.62,91,8.33,85,7.78,68,6.23,82,7.51,70,6.41,83,7.6,69,6.32,4,0.37,4,0.37,8,0.73,5,0.46,40021
40,23,1631,192,11.77,204,12.51,186,11.4,182,11.16,176,10.79,89,5.46,77,4.72,84,5.15,72,4.41,82,5.03,66,4.05,6,0.37,6,0.37,15,0.92,13,0.8,40023
40,24,611,51,8.35,51,8.35,47,7.69,49,8.02,42,6.87,53,8.67,46,7.53,52,8.51,49,8.02,53,8.67,48,7.86,5,0.82,8,1.31,4,0.65,3,0.49,40024
40,25,886,85,9.59,84,9.48,72,8.13,78,8.8,69,7.79,72,8.13,61,6.88,70,7.9,58,6.55,70,7.9,62,7.0,7,0.79,9,1.02,8,0.9,7,0.79,40025
40,29,1223,126,10.3,120,9.81,114,9.32,124,10.14,114,9.32,82,6.7,80,6.54,86,7.03,81,6.62,85,6.95,73,5.97,6,0.49,4,0.33,4,0.33,3,0.25,40029
40,30,1254,118,9.41,111,8.85,105,8.37,112,8.93,99,7.89,97,7.74,95,7.58,101,8.05,95,7.58,102,8.13,92,7.34,5,0.4,7,0.56,5,0.4,7,0.56,40030
40,31,882,95,10.77,90,10.2,83,9.41,88,9.98,81,9.18,55,6.24,57,6.46,56,6.35,52,5.9,61,6.92,53,6.01,6,0.68,7,0.79,7,0.79,10,1.13,40031
40,32,653,60,9.19,59,9.04,56,8.58,61,9.34,58,8.88,53,8.12,50,7.66,45,6.89,49,7.5,46,7.04,40,6.13,4,0.61,3,0.46,5,0.77,4,0.61,40032
40,34,815,74,9.08,70,8.59,70,8.59,73,8.96,69,8.47,63,7.73,61,7.48,62,7.61,61,7.48,63,7.73,60,7.36,6,0.74,5,0.61,5,0.61,3,0.37,40034
40,36,1131,121,10.7,124,10.96,113,9.99,113,9.99,115,10.17,74,6.54,68,6.01,70,6.19,68,6.01,70,6.19,64,5.66,6,0.53,4,0.35,8,0.71,1,0.09,40036
40,38,642,56,8.72,51,7.94,50,7.79,51,7.94,44,6.85,57,8.88,49,7.63,51,7.94,51,7.94,59,9.19,51,7.94,5,0.78,8,1.25,5,0.78,5,0.78,40038
