ward,precinct,total,Abigail Schultz (Bernie Sanders),Abigail Schultz (Bernie Sanders) Percent,Mary Colleran (Bernie Sanders),Mary Colleran (Bernie Sanders) Percent,William Bianchi (Bernie Sanders),William Bianchi (Bernie Sanders) Percent,Santos Moreno (Bernie Sanders),Santos Moreno (Bernie Sanders) Percent,Patrick Mulchrone (Bernie Sanders),Patrick Mulchrone (Bernie Sanders) Percent,Dave Temkin (Bernie Sanders),Dave Temkin (Bernie Sanders) Percent,Jared Zingsheim (Andrew Yang),Jared Zingsheim (Andrew Yang) Percent,Amber Fudacz (Andrew Yang),Amber Fudacz (Andrew Yang) Percent,Patrick Maloney (Andrew Yang),Patrick Maloney (Andrew Yang) Percent,William Rudnick (Andrew Yang),William Rudnick (Andrew Yang) Percent,Noah Brant (Andrew Yang),Noah Brant (Andrew Yang) Percent,Rio Diaz (Pete Buttigieg),Rio Diaz (Pete Buttigieg) Percent,Diana Helt (Pete Buttigieg),Diana Helt (Pete Buttigieg) Percent,Kevin Johnson (Pete Buttigieg),Kevin Johnson (Pete Buttigieg) Percent,Brad Lippitz (Pete Buttigieg),Brad Lippitz (Pete Buttigieg) Percent,Jonathan Pizer (Pete Buttigieg),Jonathan Pizer (Pete Buttigieg) Percent,Amanda Penabad (Pete Buttigieg),Amanda Penabad (Pete Buttigieg) Percent,Lee Greenhouse (Pete Buttigieg),Lee Greenhouse (Pete Buttigieg) Percent,Matthew Martin (Elizabeth Warren),Matthew Martin (Elizabeth Warren) Percent,Andrea McPike (Elizabeth Warren),Andrea McPike (Elizabeth Warren) Percent,Zach Koutsky (Elizabeth Warren),Zach Koutsky (Elizabeth Warren) Percent,Kaitlin ''Kady'' McFadden (Elizabeth W,Kaitlin ''Kady'' McFadden (Elizabeth W Percent,Michael Negron (Elizabeth Warren),Michael Negron (Elizabeth Warren) Percent,Eileen Dordek (Elizabeth Warren),Eileen Dordek (Elizabeth Warren) Percent,Carter Harms (Elizabeth Warren),Carter Harms (Elizabeth Warren) Percent,Eduardo Fernandez de Garayalde Gonzale,Eduardo Fernandez de Garayalde Gonzale Percent,Ross D. Secler (Amy J. Klobuchar),Ross D. Secler (Amy J. Klobuchar) Percent,Colette Holt (Amy J. Klobuchar),Colette Holt (Amy J. Klobuchar) Percent,Denise K. Marx (Amy J. Klobuchar),Denise K. Marx (Amy J. Klobuchar) Percent,Ryan O'Donnell (Amy J. Klobuchar),Ryan O'Donnell (Amy J. Klobuchar) Percent,precinct_id
29,39,583,45,7.72,45,7.72,45,7.72,44,7.55,38,6.52,38,6.52,1,0.17,1,0.17,1,0.17,1,0.17,3,0.51,1,0.17,3,0.51,7,1.2,3,0.51,1,0.17,3,0.51,4,0.69,2,0.34,3,0.51,1,0.17,2,0.34,4,0.69,4,0.69,1,0.17,0,0.0,2,0.34,0,0.0,1,0.17,0,0.0,29039
30,15,1437,89,6.19,88,6.12,82,5.71,88,6.12,77,5.36,72,5.01,3,0.21,5,0.35,2,0.14,2,0.14,2,0.14,6,0.42,8,0.56,3,0.21,4,0.28,3,0.21,8,0.56,1,0.07,9,0.63,10,0.7,9,0.63,11,0.77,7,0.49,12,0.84,6,0.42,4,0.28,1,0.07,6,0.42,2,0.14,3,0.21,30015
30,17,722,54,7.48,51,7.06,47,6.51,52,7.2,46,6.37,46,6.37,2,0.28,3,0.42,4,0.55,2,0.28,3,0.42,2,0.28,1,0.14,1,0.14,1,0.14,3,0.42,1,0.14,2,0.28,5,0.69,6,0.83,3,0.42,5,0.69,6,0.83,3,0.42,2,0.28,3,0.42,1,0.14,1,0.14,1,0.14,1,0.14,30017
30,21,954,80,8.39,75,7.86,71,7.44,84,8.81,62,6.5,56,5.87,5,0.52,3,0.31,6,0.63,1,0.1,2,0.21,7,0.73,5,0.52,4,0.42,6,0.63,6,0.63,6,0.63,5,0.52,4,0.42,3,0.31,5,0.52,2,0.21,7,0.73,1,0.1,1,0.1,5,0.52,1,0.1,2,0.21,1,0.1,4,0.42,30021
32,1,2100,140,6.67,134,6.38,123,5.86,137,6.52,114,5.43,112,5.33,4,0.19,7,0.33,8,0.38,5,0.24,3,0.14,18,0.86,11,0.52,5,0.24,7,0.33,7,0.33,10,0.48,2,0.1,17,0.81,25,1.19,13,0.62,20,0.95,18,0.86,19,0.9,12,0.57,9,0.43,4,0.19,4,0.19,7,0.33,5,0.24,32001
32,2,2148,122,5.68,112,5.21,102,4.75,110,5.12,97,4.52,92,4.28,4,0.19,6,0.28,8,0.37,5,0.23,3,0.14,3,0.14,17,0.79,5,0.23,4,0.19,2,0.09,11,0.51,2,0.09,27,1.26,29,1.35,20,0.93,25,1.16,22,1.02,24,1.12,14,0.65,1,0.05,2,0.09,6,0.28,3,0.14,1,0.05,32002
32,4,1951,115,5.89,106,5.43,98,5.02,102,5.23,96,4.92,90,4.61,5,0.26,5,0.26,7,0.36,5,0.26,5,0.26,5,0.26,12,0.62,4,0.21,3,0.15,3,0.15,5,0.26,3,0.15,15,0.77,15,0.77,12,0.62,19,0.97,13,0.67,14,0.72,9,0.46,3,0.15,1,0.05,2,0.1,3,0.15,0,0.0,32004
32,5,2117,136,6.42,142,6.71,139,6.57,141,6.66,130,6.14,129,6.09,8,0.38,5,0.24,4,0.19,3,0.14,2,0.09,8,0.38,7,0.33,7,0.33,10,0.47,9,0.43,8,0.38,3,0.14,19,0.9,19,0.9,15,0.71,24,1.13,17,0.8,16,0.76,13,0.61,3,0.14,1,0.05,2,0.09,1,0.05,4,0.19,32005
32,6,2450,147,6.0,146,5.96,137,5.59,130,5.31,120,4.9,119,4.86,6,0.24,7,0.29,9,0.37,6,0.24,5,0.2,5,0.2,11,0.45,5,0.2,5,0.2,4,0.16,11,0.45,7,0.29,25,1.02,36,1.47,26,1.06,37,1.51,19,0.78,22,0.9,9,0.37,2,0.08,1,0.04,6,0.24,3,0.12,2,0.08,32006
32,7,2238,139,6.21,128,5.72,112,5.0,115,5.14,102,4.56,100,4.47,3,0.13,6,0.27,6,0.27,2,0.09,2,0.09,5,0.22,10,0.45,6,0.27,9,0.4,8,0.36,11,0.49,4,0.18,17,0.76,23,1.03,16,0.71,26,1.16,10,0.45,18,0.8,12,0.54,5,0.22,0,0.0,4,0.18,7,0.31,1,0.04,32007
32,8,2203,124,5.63,123,5.58,109,4.95,113,5.13,108,4.9,104,4.72,3,0.14,6,0.27,5,0.23,3,0.14,2,0.09,3,0.14,9,0.41,5,0.23,7,0.32,5,0.23,8,0.36,0,0.0,18,0.82,24,1.09,13,0.59,22,1.0,12,0.54,21,0.95,12,0.54,3,0.14,2,0.09,5,0.23,3,0.14,4,0.18,32008
32,9,1841,124,6.74,119,6.46,109,5.92,112,6.08,107,5.81,103,5.59,4,0.22,5,0.27,5,0.27,4,0.22,5,0.27,4,0.22,10,0.54,3,0.16,1,0.05,1,0.05,9,0.49,7,0.38,9,0.49,16,0.87,7,0.38,11,0.6,8,0.43,11,0.6,4,0.22,5,0.27,4,0.22,7,0.38,5,0.27,3,0.16,32009
32,10,2034,125,6.15,123,6.05,108,5.31,113,5.56,106,5.21,100,4.92,5,0.25,5,0.25,6,0.29,1,0.05,1,0.05,4,0.2,12,0.59,9,0.44,9,0.44,7,0.34,10,0.49,5,0.25,11,0.54,18,0.88,12,0.59,18,0.88,9,0.44,18,0.88,8,0.39,2,0.1,2,0.1,4,0.2,5,0.25,5,0.25,32010
32,13,1895,123,6.49,117,6.17,110,5.8,116,6.12,105,5.54,100,5.28,3,0.16,8,0.42,9,0.47,4,0.21,3,0.16,4,0.21,9,0.47,6,0.32,9,0.47,11,0.58,11,0.58,6,0.32,10,0.53,19,1.0,10,0.53,20,1.06,15,0.79,21,1.11,14,0.74,2,0.11,1,0.05,2,0.11,1,0.05,1,0.05,32013
32,15,1882,116,6.16,113,6.0,100,5.31,105,5.58,98,5.21,94,4.99,5,0.27,7,0.37,5,0.27,3,0.16,4,0.21,7,0.37,9,0.48,3,0.16,8,0.43,6,0.32,7,0.37,5,0.27,27,1.43,28,1.49,18,0.96,26,1.38,22,1.17,24,1.28,14,0.74,3,0.16,3,0.16,4,0.21,5,0.27,5,0.27,32015
32,16,1900,165,8.68,154,8.11,146,7.68,151,7.95,139,7.32,135,7.11,4,0.21,4,0.21,7,0.37,3,0.16,2,0.11,9,0.47,12,0.63,4,0.21,6,0.32,7,0.37,10,0.53,1,0.05,11,0.58,13,0.68,10,0.53,19,1.0,12,0.63,13,0.68,10,0.53,4,0.21,1,0.05,3,0.16,3,0.16,6,0.32,32016
32,18,1787,81,4.53,78,4.36,73,4.09,73,4.09,73,4.09,69,3.86,4,0.22,4,0.22,4,0.22,2,0.11,2,0.11,9,0.5,7,0.39,5,0.28,7,0.39,7,0.39,8,0.45,4,0.22,11,0.62,10,0.56,6,0.34,8,0.45,6,0.34,10,0.56,5,0.28,4,0.22,1,0.06,3,0.17,2,0.11,2,0.11,32018
32,19,1759,112,6.37,113,6.42,101,5.74,108,6.14,97,5.51,98,5.57,6,0.34,9,0.51,5,0.28,4,0.23,2,0.11,5,0.28,7,0.4,6,0.34,6,0.34,4,0.23,9,0.51,4,0.23,11,0.63,10,0.57,8,0.45,14,0.8,7,0.4,11,0.63,6,0.34,3,0.17,1,0.06,5,0.28,2,0.11,1,0.06,32019
32,21,2297,132,5.75,131,5.7,119,5.18,121,5.27,112,4.88,103,4.48,6,0.26,9,0.39,5,0.22,4,0.17,4,0.17,7,0.3,12,0.52,6,0.26,7,0.3,5,0.22,14,0.61,3,0.13,29,1.26,34,1.48,27,1.18,28,1.22,23,1.0,33,1.44,21,0.91,7,0.3,7,0.3,9,0.39,9,0.39,5,0.22,32021
32,23,2171,127,5.85,121,5.57,116,5.34,114,5.25,110,5.07,108,4.97,5,0.23,8,0.37,7,0.32,4,0.18,2,0.09,2,0.09,9,0.41,6,0.28,3,0.14,4,0.18,4,0.18,4,0.18,12,0.55,19,0.88,11,0.51,18,0.83,11,0.51,15,0.69,7,0.32,3,0.14,4,0.18,4,0.18,3,0.14,4,0.18,32023
32,24,1305,79,6.05,77,5.9,72,5.52,72,5.52,67,5.13,62,4.75,3,0.23,1,0.08,6,0.46,1,0.08,3,0.23,4,0.31,2,0.15,5,0.38,2,0.15,2,0.15,2,0.15,1,0.08,8,0.61,10,0.77,6,0.46,11,0.84,6,0.46,9,0.69,6,0.46,1,0.08,0,0.0,2,0.15,3,0.23,1,0.08,32024
32,25,1877,108,5.75,107,5.7,105,5.59,105,5.59,101,5.38,95,5.06,3,0.16,5,0.27,4,0.21,4,0.21,3,0.16,5,0.27,8,0.43,5,0.27,5,0.27,5,0.27,9,0.48,6,0.32,15,0.8,22,1.17,9,0.48,21,1.12,12,0.64,18,0.96,11,0.59,4,0.21,4,0.21,6,0.32,5,0.27,7,0.37,32025
32,27,1697,80,4.71,73,4.3,68,4.01,74,4.36,67,3.95,65,3.83,4,0.24,5,0.29,2,0.12,2,0.12,2,0.12,1,0.06,6,0.35,1,0.06,4,0.24,4,0.24,6,0.35,2,0.12,12,0.71,18,1.06,10,0.59,15,0.88,10,0.59,14,0.82,12,0.71,0,0.0,4,0.24,5,0.29,6,0.35,3,0.18,32027
32,29,2338,175,7.49,170,7.27,152,6.5,156,6.67,147,6.29,144,6.16,4,0.17,8,0.34,5,0.21,6,0.26,7,0.3,5,0.21,11,0.47,6,0.26,5,0.21,6,0.26,7,0.3,6,0.26,20,0.86,29,1.24,16,0.68,26,1.11,15,0.64,20,0.86,13,0.56,6,0.26,3,0.13,6,0.26,4,0.17,4,0.17,32029
32,30,1642,49,2.98,46,2.8,45,2.74,45,2.74,43,2.62,39,2.38,1,0.06,1,0.06,2,0.12,2,0.12,2,0.12,4,0.24,7,0.43,6,0.37,7,0.43,8,0.49,7,0.43,6,0.37,4,0.24,8,0.49,7,0.43,6,0.37,4,0.24,4,0.24,4,0.24,1,0.06,1,0.06,3,0.18,2,0.12,1,0.06,32030
32,31,2000,124,6.2,121,6.05,108,5.4,112,5.6,96,4.8,91,4.55,5,0.25,8,0.4,3,0.15,2,0.1,2,0.1,10,0.5,13,0.65,2,0.1,5,0.25,3,0.15,12,0.6,2,0.1,15,0.75,21,1.05,13,0.65,21,1.05,8,0.4,15,0.75,8,0.4,2,0.1,0,0.0,4,0.2,3,0.15,1,0.05,32031
32,32,2241,122,5.44,115,5.13,103,4.6,113,5.04,94,4.19,91,4.06,4,0.18,5,0.22,5,0.22,4,0.18,3,0.13,6,0.27,12,0.54,8,0.36,8,0.36,8,0.36,14,0.62,3,0.13,18,0.8,28,1.25,18,0.8,33,1.47,18,0.8,16,0.71,12,0.54,4,0.18,1,0.04,6,0.27,4,0.18,1,0.04,32032
32,33,1933,112,5.79,108,5.59,101,5.23,102,5.28,98,5.07,100,5.17,7,0.36,5,0.26,5,0.26,5,0.26,4,0.21,4,0.21,8,0.41,1,0.05,8,0.41,6,0.31,5,0.26,1,0.05,10,0.52,16,0.83,7,0.36,15,0.78,8,0.41,9,0.47,9,0.47,3,0.16,0,0.0,8,0.41,3,0.16,1,0.05,32033
32,34,2098,148,7.05,142,6.77,131,6.24,136,6.48,121,5.77,119,5.67,5,0.24,7,0.33,3,0.14,3,0.14,4,0.19,2,0.1,13,0.62,4,0.19,5,0.24,5,0.24,11,0.52,5,0.24,21,1.0,34,1.62,19,0.91,30,1.43,18,0.86,22,1.05,15,0.71,3,0.14,2,0.1,5,0.24,3,0.14,1,0.05,32034
32,35,1707,97,5.68,98,5.74,94,5.51,101,5.92,92,5.39,86,5.04,1,0.06,1,0.06,3,0.18,0,0.0,0,0.0,4,0.23,7,0.41,6,0.35,2,0.12,4,0.23,8,0.47,1,0.06,8,0.47,12,0.7,8,0.47,16,0.94,7,0.41,11,0.64,4,0.23,8,0.47,4,0.23,6,0.35,5,0.29,3,0.18,32035
32,36,2077,112,5.39,111,5.34,100,4.81,105,5.06,95,4.57,97,4.67,6,0.29,4,0.19,8,0.39,8,0.39,3,0.14,5,0.24,9,0.43,6,0.29,8,0.39,7,0.34,7,0.34,3,0.14,20,0.96,25,1.2,22,1.06,29,1.4,21,1.01,25,1.2,16,0.77,1,0.05,1,0.05,1,0.05,1,0.05,2,0.1,32036
32,37,2040,165,8.09,162,7.94,149,7.3,156,7.65,142,6.96,139,6.81,8,0.39,12,0.59,7,0.34,7,0.34,4,0.2,6,0.29,5,0.25,5,0.25,5,0.25,5,0.25,8,0.39,1,0.05,13,0.64,22,1.08,11,0.54,26,1.27,11,0.54,19,0.93,11,0.54,4,0.2,1,0.05,3,0.15,1,0.05,2,0.1,32037
32,38,1762,134,7.6,129,7.32,117,6.64,132,7.49,116,6.58,116,6.58,2,0.11,5,0.28,5,0.28,1,0.06,2,0.11,7,0.4,9,0.51,5,0.28,6,0.34,6,0.34,9,0.51,2,0.11,9,0.51,14,0.79,5,0.28,9,0.51,4,0.23,7,0.4,2,0.11,4,0.23,2,0.11,5,0.28,3,0.17,2,0.11,32038
32,39,1979,62,3.13,57,2.88,56,2.83,56,2.83,54,2.73,49,2.48,2,0.1,1,0.05,3,0.15,1,0.05,2,0.1,1,0.05,3,0.15,4,0.2,8,0.4,4,0.2,2,0.1,1,0.05,5,0.25,8,0.4,6,0.3,9,0.45,6,0.3,11,0.56,3,0.15,4,0.2,4,0.2,3,0.15,2,0.1,3,0.15,32039
32,40,2113,116,5.49,117,5.54,108,5.11,111,5.25,107,5.06,106,5.02,1,0.05,5,0.24,3,0.14,2,0.09,1,0.05,2,0.09,6,0.28,4,0.19,6,0.28,7,0.33,5,0.24,3,0.14,9,0.43,14,0.66,10,0.47,17,0.8,7,0.33,15,0.71,9,0.43,3,0.14,0,0.0,4,0.19,2,0.09,2,0.09,32040
32,41,2094,113,5.4,107,5.11,92,4.39,97,4.63,87,4.15,83,3.96,2,0.1,5,0.24,6,0.29,3,0.14,2,0.1,5,0.24,7,0.33,5,0.24,7,0.33,4,0.19,11,0.53,4,0.19,10,0.48,19,0.91,12,0.57,19,0.91,14,0.67,14,0.67,6,0.29,4,0.19,3,0.14,9,0.43,6,0.29,2,0.1,32041
32,42,1692,94,5.56,93,5.5,86,5.08,90,5.32,83,4.91,80,4.73,6,0.35,6,0.35,7,0.41,5,0.3,4,0.24,6,0.35,5,0.3,5,0.3,6,0.35,7,0.41,8,0.47,3,0.18,9,0.53,14,0.83,7,0.41,12,0.71,7,0.41,13,0.77,6,0.35,2,0.12,2,0.12,5,0.3,4,0.24,1,0.06,32042
33,2,2701,247,9.14,249,9.22,234,8.66,261,9.66,227,8.4,212,7.85,8,0.3,8,0.3,8,0.3,2,0.07,2,0.07,10,0.37,5,0.19,3,0.11,3,0.11,4,0.15,4,0.15,2,0.07,22,0.81,26,0.96,16,0.59,24,0.89,14,0.52,19,0.7,13,0.48,8,0.3,4,0.15,2,0.07,3,0.11,5,0.19,33002
33,3,245,22,8.98,20,8.16,21,8.57,21,8.57,22,8.98,20,8.16,0,0.0,0,0.0,2,0.82,0,0.0,0,0.0,0,0.0,2,0.82,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,2.04,4,1.63,5,2.04,5,2.04,4,1.63,4,1.63,4,1.63,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,33003
33,5,1909,173,9.06,174,9.11,156,8.17,177,9.27,152,7.96,150,7.86,6,0.31,5,0.26,5,0.26,2,0.1,0,0.0,15,0.79,7,0.37,6,0.31,4,0.21,4,0.21,3,0.16,3,0.16,18,0.94,14,0.73,12,0.63,15,0.79,21,1.1,13,0.68,9,0.47,10,0.52,5,0.26,6,0.31,3,0.16,4,0.21,33005
33,7,1480,128,8.65,122,8.24,112,7.57,121,8.18,107,7.23,101,6.82,4,0.27,7,0.47,7,0.47,1,0.07,3,0.2,7,0.47,5,0.34,4,0.27,3,0.2,5,0.34,8,0.54,2,0.14,15,1.01,13,0.88,10,0.68,12,0.81,16,1.08,11,0.74,4,0.27,2,0.14,2,0.14,6,0.41,5,0.34,5,0.34,33007
33,8,2294,101,4.4,104,4.53,91,3.97,92,4.01,88,3.84,86,3.75,4,0.17,4,0.17,6,0.26,2,0.09,2,0.09,6,0.26,11,0.48,6,0.26,11,0.48,4,0.17,10,0.44,2,0.09,18,0.78,20,0.87,14,0.61,20,0.87,13,0.57,19,0.83,13,0.57,3,0.13,1,0.04,7,0.31,5,0.22,3,0.13,33008
33,10,269,17,6.32,16,5.95,16,5.95,16,5.95,16,5.95,16,5.95,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.74,1,0.37,2,0.74,2,0.74,1,0.37,1,0.37,1,0.37,2,0.74,2,0.74,2,0.74,2,0.74,1,0.37,2,0.74,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,33010
33,18,2767,294,10.63,290,10.48,273,9.87,300,10.84,266,9.61,257,9.29,5,0.18,9,0.33,11,0.4,7,0.25,3,0.11,9,0.33,4,0.14,2,0.07,0,0.0,0,0.0,4,0.14,3,0.11,20,0.72,28,1.01,21,0.76,30,1.08,19,0.69,33,1.19,17,0.61,3,0.11,2,0.07,0,0.0,4,0.14,2,0.07,33018
33,19,1192,103,8.64,99,8.31,94,7.89,99,8.31,95,7.97,87,7.3,2,0.17,4,0.34,8,0.67,2,0.17,1,0.08,4,0.34,9,0.76,5,0.42,5,0.42,4,0.34,7,0.59,3,0.25,10,0.84,14,1.17,10,0.84,17,1.43,12,1.01,11,0.92,8,0.67,4,0.34,1,0.08,4,0.34,5,0.42,1,0.08,33019
33,23,178,8,4.49,7,3.93,5,2.81,6,3.37,3,1.69,3,1.69,1,0.56,0,0.0,0,0.0,0,0.0,0,0.0,1,0.56,2,1.12,1,0.56,1,0.56,1,0.56,1,0.56,1,0.56,0,0.0,3,1.69,0,0.0,5,2.81,2,1.12,3,1.69,0,0.0,1,0.56,0,0.0,0,0.0,1,0.56,0,0.0,33023
33,24,3379,196,5.8,196,5.8,183,5.42,189,5.59,173,5.12,168,4.97,4,0.12,5,0.15,3,0.09,3,0.09,2,0.06,8,0.24,15,0.44,8,0.24,7,0.21,6,0.18,8,0.24,9,0.27,52,1.54,57,1.69,46,1.36,56,1.66,39,1.15,46,1.36,36,1.07,6,0.18,9,0.27,15,0.44,10,0.3,4,0.12,33024
33,27,63,8,12.7,8,12.7,8,12.7,7,11.11,6,9.52,6,9.52,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.59,0,0.0,0,0.0,1,1.59,0,0.0,0,0.0,1,1.59,1,1.59,1,1.59,0,0.0,1,1.59,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,33027
36,7,1531,83,5.42,73,4.77,67,4.38,80,5.23,65,4.25,62,4.05,3,0.2,3,0.2,7,0.46,4,0.26,4,0.26,14,0.91,12,0.78,11,0.72,8,0.52,8,0.52,4,0.26,5,0.33,13,0.85,18,1.18,11,0.72,19,1.24,17,1.11,15,0.98,11,0.72,7,0.46,0,0.0,1,0.07,0,0.0,6,0.39,36007
36,14,1249,92,7.37,84,6.73,85,6.81,90,7.21,80,6.41,71,5.68,3,0.24,3,0.24,2,0.16,0,0.0,2,0.16,13,1.04,10,0.8,6,0.48,5,0.4,6,0.48,5,0.4,1,0.08,8,0.64,14,1.12,6,0.48,15,1.2,7,0.56,9,0.72,4,0.32,4,0.32,0,0.0,3,0.24,1,0.08,4,0.32,36014
36,15,1322,85,6.43,81,6.13,74,5.6,89,6.73,72,5.45,61,4.61,6,0.45,4,0.3,5,0.38,4,0.3,1,0.08,6,0.45,3,0.23,0,0.0,2,0.15,3,0.23,5,0.38,0,0.0,9,0.68,10,0.76,9,0.68,10,0.76,13,0.98,9,0.68,9,0.68,6,0.45,3,0.23,5,0.38,6,0.45,3,0.23,36015
36,16,845,73,8.64,74,8.76,68,8.05,75,8.88,59,6.98,58,6.86,8,0.95,6,0.71,6,0.71,3,0.36,2,0.24,5,0.59,2,0.24,1,0.12,0,0.0,1,0.12,3,0.36,1,0.12,1,0.12,5,0.59,3,0.36,4,0.47,6,0.71,3,0.36,0,0.0,2,0.24,0,0.0,3,0.36,2,0.24,1,0.12,36016
36,17,1512,88,5.82,94,6.22,86,5.69,100,6.61,80,5.29,73,4.83,5,0.33,4,0.26,5,0.33,5,0.33,6,0.4,6,0.4,3,0.2,7,0.46,3,0.2,3,0.2,4,0.26,1,0.07,14,0.93,12,0.79,10,0.66,10,0.66,9,0.6,9,0.6,7,0.46,3,0.2,5,0.33,3,0.2,5,0.33,6,0.4,36017
36,18,1257,100,7.96,99,7.88,90,7.16,98,7.8,85,6.76,80,6.36,1,0.08,1,0.08,6,0.48,3,0.24,4,0.32,5,0.4,7,0.56,4,0.32,3,0.24,2,0.16,7,0.56,5,0.4,5,0.4,9,0.72,7,0.56,12,0.95,9,0.72,6,0.48,4,0.32,4,0.32,3,0.24,6,0.48,6,0.48,6,0.48,36018
36,20,496,40,8.06,35,7.06,36,7.26,44,8.87,30,6.05,32,6.45,1,0.2,2,0.4,2,0.4,1,0.2,1,0.2,6,1.21,0,0.0,1,0.2,3,0.6,2,0.4,2,0.4,2,0.4,3,0.6,2,0.4,5,1.01,4,0.81,6,1.21,4,0.81,2,0.4,2,0.4,0,0.0,0,0.0,1,0.2,1,0.2,36020
36,24,1205,97,8.05,92,7.63,92,7.63,106,8.8,81,6.72,80,6.64,4,0.33,2,0.17,3,0.25,3,0.25,0,0.0,11,0.91,5,0.41,2,0.17,3,0.25,3,0.25,3,0.25,2,0.17,6,0.5,5,0.41,10,0.83,4,0.33,7,0.58,3,0.25,3,0.25,8,0.66,3,0.25,3,0.25,2,0.17,3,0.25,36024
36,26,1071,77,7.19,76,7.1,73,6.82,80,7.47,64,5.98,67,6.26,6,0.56,3,0.28,3,0.28,3,0.28,2,0.19,4,0.37,7,0.65,7,0.65,5,0.47,11,1.03,4,0.37,3,0.28,9,0.84,8,0.75,6,0.56,8,0.75,12,1.12,5,0.47,4,0.37,3,0.28,0,0.0,0,0.0,2,0.19,3,0.28,36026
36,28,1085,75,6.91,76,7.0,71,6.54,85,7.83,63,5.81,59,5.44,3,0.28,3,0.28,3,0.28,3,0.28,0,0.0,12,1.11,9,0.83,5,0.46,3,0.28,4,0.37,7,0.65,2,0.18,5,0.46,7,0.65,4,0.37,5,0.46,8,0.74,7,0.65,3,0.28,10,0.92,3,0.28,6,0.55,5,0.46,5,0.46,36028
36,29,609,33,5.42,33,5.42,31,5.09,43,7.06,31,5.09,29,4.76,3,0.49,5,0.82,2,0.33,1,0.16,1,0.16,4,0.66,2,0.33,1,0.16,2,0.33,1,0.16,3,0.49,2,0.33,2,0.33,5,0.82,2,0.33,4,0.66,2,0.33,4,0.66,1,0.16,3,0.49,1,0.16,2,0.33,2,0.33,1,0.16,36029
36,30,1217,71,5.83,75,6.16,67,5.51,83,6.82,66,5.42,64,5.26,4,0.33,5,0.41,5,0.41,2,0.16,2,0.16,9,0.74,9,0.74,5,0.41,5,0.41,2,0.16,7,0.58,4,0.33,3,0.25,3,0.25,3,0.25,6,0.49,6,0.49,6,0.49,4,0.33,6,0.49,1,0.08,1,0.08,3,0.25,4,0.33,36030
38,2,1047,46,4.39,49,4.68,51,4.87,41,3.92,46,4.39,38,3.63,7,0.67,8,0.76,13,1.24,5,0.48,6,0.57,5,0.48,5,0.48,7,0.67,4,0.38,5,0.48,6,0.57,3,0.29,9,0.86,10,0.96,8,0.76,9,0.86,8,0.76,3,0.29,4,0.38,1,0.1,1,0.1,3,0.29,0,0.0,9,0.86,38002
38,3,1071,66,6.16,69,6.44,59,5.51,70,6.54,53,4.95,52,4.86,4,0.37,6,0.56,7,0.65,5,0.47,4,0.37,7,0.65,4,0.37,3,0.28,3,0.28,1,0.09,3,0.28,3,0.28,5,0.47,9,0.84,5,0.47,8,0.75,7,0.65,8,0.75,3,0.28,5,0.47,5,0.47,4,0.37,5,0.47,7,0.65,38003
38,4,1237,64,5.17,72,5.82,66,5.34,72,5.82,59,4.77,52,4.2,3,0.24,4,0.32,11,0.89,5,0.4,4,0.32,11,0.89,4,0.32,7,0.57,2,0.16,3,0.24,6,0.49,3,0.24,7,0.57,4,0.32,5,0.4,6,0.49,8,0.65,8,0.65,4,0.32,7,0.57,2,0.16,4,0.32,4,0.32,6,0.49,38004
38,5,1083,67,6.19,64,5.91,61,5.63,71,6.56,58,5.36,43,3.97,7,0.65,7,0.65,5,0.46,9,0.83,6,0.55,12,1.11,8,0.74,11,1.02,7,0.65,6,0.55,12,1.11,4,0.37,11,1.02,8,0.74,3,0.28,8,0.74,9,0.83,4,0.37,1,0.09,6,0.55,3,0.28,1,0.09,2,0.18,4,0.37,38005
38,6,967,63,6.51,65,6.72,56,5.79,68,7.03,54,5.58,48,4.96,2,0.21,2,0.21,5,0.52,3,0.31,1,0.1,6,0.62,3,0.31,2,0.21,1,0.1,1,0.1,9,0.93,2,0.21,5,0.52,6,0.62,3,0.31,4,0.41,5,0.52,5,0.52,2,0.21,8,0.83,2,0.21,4,0.41,2,0.21,2,0.21,38006
38,7,1029,48,4.66,46,4.47,49,4.76,45,4.37,43,4.18,43,4.18,3,0.29,5,0.49,7,0.68,5,0.49,4,0.39,4,0.39,4,0.39,5,0.49,2,0.19,6,0.58,5,0.49,6,0.58,5,0.49,5,0.49,3,0.29,5,0.49,5,0.49,4,0.39,1,0.1,5,0.49,5,0.49,5,0.49,3,0.29,7,0.68,38007
38,8,1180,81,6.86,75,6.36,72,6.1,83,7.03,67,5.68,63,5.34,2,0.17,3,0.25,2,0.17,1,0.08,0,0.0,7,0.59,4,0.34,2,0.17,2,0.17,4,0.34,5,0.42,5,0.42,8,0.68,8,0.68,7,0.59,9,0.76,10,0.85,2,0.17,2,0.17,7,0.59,4,0.34,2,0.17,2,0.17,3,0.25,38008
