ward,precinct,total,Steve Hagerty (Pete Buttigieg),Steve Hagerty (Pete Buttigieg) Percent,Markus Pitchford (Pete Buttigieg),Markus Pitchford (Pete Buttigieg) Percent,Greg Schweizer (Pete Buttigieg),Greg Schweizer (Pete Buttigieg) Percent,Debra Shore (Pete Buttigieg),Debra Shore (Pete Buttigieg) Percent,Carolyn Townsend (Bernie Sanders),Carolyn Townsend (Bernie Sanders) Percent,Cortney Ritsema (Bernie Sanders),Cortney Ritsema (Bernie Sanders) Percent,Margaret ''Meg'' Welch (Bernie Sanders,Margaret ''Meg'' Welch (Bernie Sanders Percent,Michelle L. Oxman (Bernie Sanders),Michelle L. Oxman (Bernie Sanders) Percent,Amarzaya Makhbal (Bernie Sanders),Amarzaya Makhbal (Bernie Sanders) Percent,Anub Abraham (Bernie Sanders),Anub Abraham (Bernie Sanders) Percent,Michael J. Harrington (Bernie Sanders),Michael J. Harrington (Bernie Sanders) Percent,Ryan McIntyre (Bernie Sanders),Ryan McIntyre (Bernie Sanders) Percent,Janice Berman-Krautwald (Andrew Yang),Janice Berman-Krautwald (Andrew Yang) Percent,John Lee Bingham (Andrew Yang),John Lee Bingham (Andrew Yang) Percent,Molly Bosi (Andrew Yang),Molly Bosi (Andrew Yang) Percent,Chase Rawlins (Andrew Yang),Chase Rawlins (Andrew Yang) Percent,Vasilios Stefanis (Andrew Yang),Vasilios Stefanis (Andrew Yang) Percent,Daniel Biss (Elizabeth Warren),Daniel Biss (Elizabeth Warren) Percent,Josina Morita (Elizabeth Warren),Josina Morita (Elizabeth Warren) Percent,Daniel J. Montgomery (Elizabeth Warren,Daniel J. Montgomery (Elizabeth Warren Percent,Ilya Sheyman (Elizabeth Warren),Ilya Sheyman (Elizabeth Warren) Percent,Miguel Moreno (Elizabeth Warren),Miguel Moreno (Elizabeth Warren) Percent,Leo Smith (Elizabeth Warren),Leo Smith (Elizabeth Warren) Percent,Leni Manaa-Hoppenworth (Elizabeth Warr,Leni Manaa-Hoppenworth (Elizabeth Warr Percent,Marcia Blumenthal Fields (Joseph R. Bi,Marcia Blumenthal Fields (Joseph R. Bi Percent,Jane Hannemann (Amy J. Klobuchar),Jane Hannemann (Amy J. Klobuchar) Percent,Joe Shepherd (Amy J. Klobuchar),Joe Shepherd (Amy J. Klobuchar) Percent,John Fitzgerald (Amy J. Klobuchar),John Fitzgerald (Amy J. Klobuchar) Percent,Hope R. Green (Amy J. Klobuchar),Hope R. Green (Amy J. Klobuchar) Percent,Catherine Marquis (Amy J. Klobuchar),Catherine Marquis (Amy J. Klobuchar) Percent,Christie Ann Hefner (Amy J. Klobuchar),Christie Ann Hefner (Amy J. Klobuchar) Percent,Jacob (Jake) Riley (Amy J. Klobuchar),Jacob (Jake) Riley (Amy J. Klobuchar) Percent,precinct_id
46,9,3081,35,1.14,36,1.17,22,0.71,36,1.17,215,6.98,208,6.75,212,6.88,207,6.72,200,6.49,200,6.49,194,6.3,188,6.1,16,0.52,10,0.32,15,0.49,5,0.16,5,0.16,44,1.43,45,1.46,35,1.14,42,1.36,35,1.14,33,1.07,35,1.14,143,4.64,16,0.52,4,0.13,4,0.13,7,0.23,6,0.19,6,0.19,4,0.13,46009
46,11,2052,19,0.93,13,0.63,10,0.49,24,1.17,131,6.38,129,6.29,136,6.63,130,6.34,128,6.24,124,6.04,126,6.14,122,5.95,5,0.24,2,0.1,3,0.15,2,0.1,3,0.15,27,1.32,23,1.12,19,0.93,27,1.32,25,1.22,24,1.17,26,1.27,110,5.36,18,0.88,1,0.05,7,0.34,4,0.19,4,0.19,6,0.29,4,0.19,46011
46,12,2677,25,0.93,19,0.71,22,0.82,25,0.93,183,6.84,172,6.43,181,6.76,183,6.84,175,6.54,174,6.5,171,6.39,162,6.05,10,0.37,8,0.3,7,0.26,9,0.34,5,0.19,41,1.53,41,1.53,42,1.57,49,1.83,46,1.72,38,1.42,48,1.79,106,3.96,17,0.64,10,0.37,8,0.3,10,0.37,13,0.49,9,0.34,7,0.26,46012
46,13,2384,38,1.59,35,1.47,21,0.88,38,1.59,124,5.2,114,4.78,125,5.24,116,4.87,118,4.95,114,4.78,109,4.57,104,4.36,13,0.55,9,0.38,14,0.59,8,0.34,11,0.46,25,1.05,25,1.05,22,0.92,20,0.84,19,0.8,16,0.67,23,0.96,154,6.46,34,1.43,2,0.08,3,0.13,12,0.5,12,0.5,13,0.55,4,0.17,46013
46,14,1496,22,1.47,9,0.6,9,0.6,16,1.07,106,7.09,96,6.42,106,7.09,92,6.15,88,5.88,100,6.68,101,6.75,78,5.21,4,0.27,12,0.8,7,0.47,4,0.27,5,0.33,17,1.14,13,0.87,17,1.14,14,0.94,17,1.14,9,0.6,12,0.8,66,4.41,15,1.0,4,0.27,6,0.4,3,0.2,4,0.27,4,0.27,5,0.33,46014
46,15,2587,37,1.43,28,1.08,27,1.04,40,1.55,120,4.64,120,4.64,128,4.95,126,4.87,115,4.45,110,4.25,108,4.17,106,4.1,15,0.58,6,0.23,12,0.46,9,0.35,6,0.23,27,1.04,33,1.28,26,1.01,32,1.24,29,1.12,23,0.89,32,1.24,182,7.04,22,0.85,3,0.12,5,0.19,6,0.23,2,0.08,10,0.39,5,0.19,46015
46,16,1926,15,0.78,9,0.47,5,0.26,14,0.73,152,7.89,143,7.42,146,7.58,140,7.27,138,7.17,128,6.65,129,6.7,121,6.28,3,0.16,1,0.05,2,0.1,0,0.0,1,0.05,28,1.45,34,1.77,29,1.51,35,1.82,30,1.56,28,1.45,30,1.56,71,3.69,11,0.57,0,0.0,1,0.05,4,0.21,7,0.36,7,0.36,1,0.05,46016
46,17,2855,44,1.54,40,1.4,20,0.7,35,1.23,161,5.64,152,5.32,159,5.57,157,5.5,148,5.18,140,4.9,140,4.9,133,4.66,10,0.35,6,0.21,7,0.25,7,0.25,7,0.25,32,1.12,35,1.23,19,0.67,22,0.77,26,0.91,23,0.81,25,0.88,186,6.51,29,1.02,1,0.04,3,0.11,7,0.25,5,0.18,5,0.18,5,0.18,46017
46,18,2679,30,1.12,25,0.93,12,0.45,29,1.08,168,6.27,158,5.9,172,6.42,159,5.94,152,5.67,150,5.6,140,5.23,141,5.26,14,0.52,8,0.3,13,0.49,4,0.15,5,0.19,36,1.34,38,1.42,23,0.86,27,1.01,24,0.9,19,0.71,23,0.86,159,5.94,19,0.71,5,0.19,4,0.15,7,0.26,5,0.19,6,0.22,2,0.07,46018
46,20,1786,34,1.9,22,1.23,17,0.95,28,1.57,102,5.71,102,5.71,104,5.82,100,5.6,93,5.21,88,4.93,91,5.1,78,4.37,3,0.17,4,0.22,2,0.11,3,0.17,3,0.17,14,0.78,16,0.9,22,1.23,24,1.34,28,1.57,21,1.18,20,1.12,102,5.71,18,1.01,2,0.11,2,0.11,4,0.22,2,0.11,4,0.22,2,0.11,46020
46,21,1313,15,1.14,14,1.07,9,0.69,12,0.91,100,7.62,94,7.16,103,7.84,100,7.62,98,7.46,97,7.39,82,6.25,79,6.02,7,0.53,6,0.46,6,0.46,4,0.3,6,0.46,10,0.76,18,1.37,11,0.84,17,1.29,15,1.14,15,1.14,13,0.99,50,3.81,5,0.38,2,0.15,3,0.23,5,0.38,3,0.23,3,0.23,5,0.38,46021
46,22,2035,9,0.44,7,0.34,8,0.39,16,0.79,178,8.75,171,8.4,180,8.85,177,8.7,173,8.5,168,8.26,167,8.21,157,7.71,4,0.2,2,0.1,4,0.2,3,0.15,4,0.2,14,0.69,16,0.79,11,0.54,18,0.88,16,0.79,16,0.79,18,0.88,66,3.24,10,0.49,2,0.1,1,0.05,9,0.44,4,0.2,6,0.29,2,0.1,46022
46,23,2117,20,0.94,13,0.61,21,0.99,17,0.8,165,7.79,160,7.56,166,7.84,161,7.61,148,6.99,154,7.27,158,7.46,145,6.85,5,0.24,1,0.05,4,0.19,3,0.14,1,0.05,32,1.51,27,1.28,27,1.28,32,1.51,28,1.32,27,1.28,31,1.46,78,3.68,12,0.57,2,0.09,3,0.14,4,0.19,4,0.19,4,0.19,1,0.05,46023
46,24,2351,46,1.96,31,1.32,19,0.81,37,1.57,119,5.06,110,4.68,115,4.89,116,4.93,107,4.55,102,4.34,106,4.51,99,4.21,12,0.51,11,0.47,10,0.43,6,0.26,4,0.17,26,1.11,30,1.28,18,0.77,21,0.89,22,0.94,18,0.77,21,0.89,162,6.89,24,1.02,4,0.17,4,0.17,6,0.26,7,0.3,6,0.26,3,0.13,46024
46,25,2301,20,0.87,19,0.83,20,0.87,22,0.96,171,7.43,167,7.26,169,7.34,158,6.87,162,7.04,161,7.0,162,7.04,148,6.43,4,0.17,3,0.13,4,0.17,3,0.13,4,0.17,20,0.87,26,1.13,31,1.35,33,1.43,34,1.48,33,1.43,37,1.61,89,3.87,12,0.52,3,0.13,4,0.17,5,0.22,5,0.22,11,0.48,6,0.26,46025
46,26,3281,28,0.85,18,0.55,20,0.61,29,0.88,245,7.47,238,7.25,245,7.47,241,7.35,236,7.19,233,7.1,231,7.04,218,6.64,11,0.34,3,0.09,10,0.3,3,0.09,2,0.06,45,1.37,39,1.19,34,1.04,44,1.34,41,1.25,26,0.79,37,1.13,137,4.18,21,0.64,4,0.12,6,0.18,6,0.18,8,0.24,7,0.21,1,0.03,46026
46,27,3212,19,0.59,17,0.53,10,0.31,22,0.68,257,8.0,244,7.6,256,7.97,242,7.53,244,7.6,236,7.35,228,7.1,215,6.69,7,0.22,6,0.19,8,0.25,4,0.12,4,0.12,32,1.0,44,1.37,30,0.93,35,1.09,35,1.09,29,0.9,34,1.06,135,4.2,15,0.47,3,0.09,4,0.12,6,0.19,6,0.19,5,0.16,4,0.12,46027
46,29,1712,27,1.58,22,1.29,23,1.34,22,1.29,89,5.2,86,5.02,88,5.14,89,5.2,89,5.2,86,5.02,80,4.67,74,4.32,5,0.29,4,0.23,5,0.29,5,0.29,5,0.29,11,0.64,16,0.93,10,0.58,17,0.99,14,0.82,11,0.64,16,0.93,108,6.31,20,1.17,3,0.18,5,0.29,11,0.64,4,0.23,7,0.41,4,0.23,46029
46,32,2188,33,1.51,22,1.01,19,0.87,27,1.23,154,7.04,147,6.72,139,6.35,141,6.44,144,6.58,137,6.26,145,6.63,130,5.94,12,0.55,10,0.46,13,0.59,9,0.41,12,0.55,22,1.01,27,1.23,17,0.78,25,1.14,24,1.1,17,0.78,23,1.05,95,4.34,12,0.55,5,0.23,8,0.37,5,0.23,5,0.23,8,0.37,5,0.23,46032
46,34,2727,31,1.14,24,0.88,16,0.59,25,0.92,187,6.86,182,6.67,187,6.86,187,6.86,184,6.75,177,6.49,174,6.38,165,6.05,8,0.29,5,0.18,8,0.29,3,0.11,3,0.11,40,1.47,37,1.36,24,0.88,31,1.14,34,1.25,24,0.88,30,1.1,130,4.77,18,0.66,2,0.07,5,0.18,5,0.18,7,0.26,7,0.26,3,0.11,46034
46,35,1988,27,1.36,19,0.96,12,0.6,23,1.16,128,6.44,121,6.09,125,6.29,117,5.89,118,5.94,114,5.73,109,5.48,102,5.13,4,0.2,2,0.1,2,0.1,2,0.1,1,0.05,24,1.21,29,1.46,25,1.26,34,1.71,33,1.66,21,1.06,25,1.26,104,5.23,17,0.86,2,0.1,6,0.3,12,0.6,5,0.25,13,0.65,3,0.15,46035
46,37,1684,31,1.84,27,1.6,15,0.89,21,1.25,126,7.48,122,7.24,119,7.07,119,7.07,119,7.07,109,6.47,114,6.77,103,6.12,4,0.24,2,0.12,6,0.36,2,0.12,4,0.24,22,1.31,17,1.01,13,0.77,18,1.07,20,1.19,18,1.07,18,1.07,72,4.28,4,0.24,0,0.0,1,0.06,2,0.12,2,0.12,1,0.06,2,0.12,46037
46,38,1130,9,0.8,6,0.53,7,0.62,11,0.97,81,7.17,78,6.9,85,7.52,85,7.52,80,7.08,76,6.73,71,6.28,69,6.11,5,0.44,1,0.09,6,0.53,1,0.09,1,0.09,13,1.15,17,1.5,13,1.15,16,1.42,12,1.06,9,0.8,14,1.24,50,4.42,9,0.8,0,0.0,0,0.0,2,0.18,1,0.09,1,0.09,0,0.0,46038
46,40,2360,40,1.69,31,1.31,23,0.97,44,1.86,115,4.87,109,4.62,114,4.83,109,4.62,106,4.49,106,4.49,99,4.19,97,4.11,9,0.38,4,0.17,8,0.34,8,0.34,9,0.38,21,0.89,22,0.93,21,0.89,25,1.06,31,1.31,19,0.81,22,0.93,153,6.48,32,1.36,7,0.3,10,0.42,15,0.64,12,0.51,16,0.68,6,0.25,46040
47,15,3771,30,0.8,21,0.56,16,0.42,32,0.85,327,8.67,315,8.35,325,8.62,318,8.43,311,8.25,308,8.17,306,8.11,291,7.72,12,0.32,6,0.16,8,0.21,6,0.16,9,0.24,60,1.59,49,1.3,50,1.33,51,1.35,47,1.25,46,1.22,58,1.54,98,2.6,18,0.48,0,0.0,2,0.05,4,0.11,4,0.11,9,0.24,2,0.05,47015
47,19,4143,46,1.11,40,0.97,24,0.58,41,0.99,293,7.07,286,6.9,295,7.12,283,6.83,286,6.9,277,6.69,265,6.4,256,6.18,11,0.27,10,0.24,9,0.22,5,0.12,3,0.07,66,1.59,64,1.54,50,1.21,69,1.67,61,1.47,47,1.13,59,1.42,177,4.27,25,0.6,8,0.19,4,0.1,5,0.12,9,0.22,10,0.24,5,0.12,47019
47,23,3586,42,1.17,38,1.06,20,0.56,34,0.95,253,7.06,253,7.06,257,7.17,257,7.17,252,7.03,238,6.64,229,6.39,218,6.08,11,0.31,6,0.17,7,0.2,4,0.11,5,0.14,56,1.56,54,1.51,52,1.45,58,1.62,53,1.48,47,1.31,57,1.59,141,3.93,18,0.5,5,0.14,6,0.17,11,0.31,6,0.17,6,0.17,3,0.08,47023
47,30,1884,29,1.54,24,1.27,25,1.33,30,1.59,115,6.1,111,5.89,112,5.94,110,5.84,106,5.63,103,5.47,95,5.04,87,4.62,5,0.27,6,0.32,7,0.37,3,0.16,2,0.11,31,1.65,38,2.02,26,1.38,35,1.86,26,1.38,24,1.27,24,1.27,93,4.94,20,1.06,4,0.21,4,0.21,10,0.53,6,0.32,11,0.58,6,0.32,47030
48,1,2904,28,0.96,23,0.79,14,0.48,28,0.96,221,7.61,219,7.54,222,7.64,216,7.44,208,7.16,209,7.2,200,6.89,190,6.54,12,0.41,8,0.28,7,0.24,6,0.21,2,0.07,43,1.48,47,1.62,42,1.45,54,1.86,49,1.69,39,1.34,48,1.65,100,3.44,8,0.28,1,0.03,7,0.24,5,0.17,7,0.24,8,0.28,2,0.07,48001
48,2,1367,20,1.46,19,1.39,14,1.02,26,1.9,54,3.95,51,3.73,53,3.88,49,3.58,49,3.58,45,3.29,40,2.93,41,3.0,2,0.15,3,0.22,5,0.37,3,0.22,3,0.22,16,1.17,13,0.95,16,1.17,18,1.32,19,1.39,26,1.9,19,1.39,102,7.46,16,1.17,0,0.0,3,0.22,5,0.37,7,0.51,10,0.73,0,0.0,48002
48,3,2893,34,1.18,34,1.18,22,0.76,42,1.45,194,6.71,186,6.43,200,6.91,191,6.6,183,6.33,176,6.08,180,6.22,168,5.81,10,0.35,6,0.21,9,0.31,4,0.14,7,0.24,31,1.07,34,1.18,31,1.07,34,1.18,31,1.07,31,1.07,36,1.24,139,4.8,8,0.28,3,0.1,6,0.21,9,0.31,9,0.31,10,0.35,7,0.24,48003
48,4,2650,24,0.91,19,0.72,26,0.98,26,0.98,170,6.42,167,6.3,170,6.42,174,6.57,163,6.15,160,6.04,153,5.77,151,5.7,7,0.26,4,0.15,5,0.19,3,0.11,2,0.08,33,1.25,41,1.55,29,1.09,34,1.28,26,0.98,26,0.98,28,1.06,141,5.32,8,0.3,2,0.08,7,0.26,11,0.42,8,0.3,6,0.23,4,0.15,48004
48,5,1606,32,1.99,26,1.62,13,0.81,23,1.43,52,3.24,54,3.36,51,3.18,49,3.05,44,2.74,45,2.8,51,3.18,47,2.93,5,0.31,3,0.19,5,0.31,4,0.25,5,0.31,20,1.25,20,1.25,19,1.18,19,1.18,17,1.06,18,1.12,24,1.49,134,8.34,28,1.74,2,0.12,1,0.06,5,0.31,3,0.19,2,0.12,2,0.12,48005
48,6,3045,37,1.22,23,0.76,27,0.89,35,1.15,216,7.09,208,6.83,204,6.7,205,6.73,195,6.4,190,6.24,190,6.24,177,5.81,5,0.16,3,0.1,5,0.16,4,0.13,4,0.13,40,1.31,46,1.51,41,1.35,42,1.38,45,1.48,35,1.15,48,1.58,131,4.3,13,0.43,0,0.0,4,0.13,9,0.3,12,0.39,5,0.16,4,0.13,48006
48,7,2835,41,1.45,33,1.16,19,0.67,27,0.95,157,5.54,153,5.4,156,5.5,154,5.43,146,5.15,147,5.19,138,4.87,130,4.59,11,0.39,4,0.14,9,0.32,1,0.04,3,0.11,45,1.59,51,1.8,35,1.23,56,1.98,50,1.76,36,1.27,36,1.27,165,5.82,25,0.88,3,0.11,3,0.11,10,0.35,3,0.11,3,0.11,5,0.18,48007
48,8,1258,19,1.51,13,1.03,11,0.87,8,0.64,54,4.29,54,4.29,52,4.13,53,4.21,50,3.97,51,4.05,48,3.82,46,3.66,5,0.4,3,0.24,5,0.4,3,0.24,4,0.32,11,0.87,9,0.72,7,0.56,11,0.87,14,1.11,11,0.87,12,0.95,98,7.79,16,1.27,3,0.24,3,0.24,4,0.32,6,0.48,7,0.56,2,0.16,48008
48,9,1651,27,1.64,19,1.15,12,0.73,24,1.45,70,4.24,66,4.0,68,4.12,67,4.06,68,4.12,65,3.94,69,4.18,60,3.63,9,0.55,5,0.3,7,0.42,4,0.24,4,0.24,21,1.27,16,0.97,18,1.09,22,1.33,19,1.15,14,0.85,16,0.97,118,7.15,25,1.51,5,0.3,6,0.36,7,0.42,11,0.67,11,0.67,5,0.3,48009
48,10,4211,53,1.26,45,1.07,40,0.95,60,1.42,253,6.01,239,5.68,255,6.06,249,5.91,243,5.77,238,5.65,232,5.51,220,5.22,12,0.28,8,0.19,16,0.38,9,0.21,14,0.33,73,1.73,71,1.69,65,1.54,72,1.71,65,1.54,56,1.33,66,1.57,203,4.82,39,0.93,4,0.09,3,0.07,10,0.24,11,0.26,16,0.38,6,0.14,48010
48,11,2530,19,0.75,21,0.83,8,0.32,16,0.63,134,5.3,138,5.45,144,5.69,136,5.38,133,5.26,135,5.34,125,4.94,118,4.66,4,0.16,5,0.2,5,0.2,2,0.08,1,0.04,31,1.23,34,1.34,22,0.87,32,1.26,27,1.07,34,1.34,37,1.46,169,6.68,29,1.15,1,0.04,3,0.12,9,0.36,5,0.2,8,0.32,0,0.0,48011
48,12,3458,33,0.95,32,0.93,27,0.78,42,1.21,228,6.59,218,6.3,229,6.62,232,6.71,225,6.51,218,6.3,210,6.07,206,5.96,6,0.17,4,0.12,12,0.35,4,0.12,5,0.14,46,1.33,51,1.47,37,1.07,41,1.19,41,1.19,35,1.01,47,1.36,175,5.06,22,0.64,4,0.12,8,0.23,11,0.32,7,0.2,9,0.26,5,0.14,48012
48,13,3059,48,1.57,31,1.01,26,0.85,44,1.44,143,4.67,137,4.48,139,4.54,134,4.38,125,4.09,121,3.96,128,4.18,114,3.73,12,0.39,11,0.36,12,0.39,5,0.16,10,0.33,32,1.05,36,1.18,32,1.05,38,1.24,39,1.27,34,1.11,35,1.14,213,6.96,32,1.05,5,0.16,9,0.29,13,0.42,11,0.36,18,0.59,8,0.26,48013
48,14,1098,16,1.46,17,1.55,10,0.91,11,1.0,45,4.1,43,3.92,46,4.19,49,4.46,44,4.01,41,3.73,44,4.01,38,3.46,3,0.27,2,0.18,3,0.27,2,0.18,3,0.27,5,0.46,11,1.0,5,0.46,9,0.82,9,0.82,9,0.82,8,0.73,87,7.92,17,1.55,0,0.0,2,0.18,0,0.0,1,0.09,1,0.09,0,0.0,48014
48,15,1467,13,0.89,7,0.48,9,0.61,15,1.02,86,5.86,80,5.45,88,6.0,81,5.52,86,5.86,82,5.59,82,5.59,73,4.98,3,0.2,4,0.27,2,0.14,1,0.07,2,0.14,20,1.36,19,1.3,14,0.95,16,1.09,18,1.23,14,0.95,18,1.23,86,5.86,8,0.55,1,0.07,2,0.14,4,0.27,5,0.34,3,0.2,1,0.07,48015
48,16,2580,32,1.24,23,0.89,19,0.74,23,0.89,201,7.79,188,7.29,200,7.75,193,7.48,195,7.56,190,7.36,185,7.17,176,6.82,13,0.5,5,0.19,9,0.35,4,0.16,5,0.19,29,1.12,30,1.16,30,1.16,33,1.28,35,1.36,26,1.01,28,1.09,98,3.8,7,0.27,2,0.08,4,0.16,4,0.16,8,0.31,5,0.19,6,0.23,48016
48,17,2178,30,1.38,19,0.87,19,0.87,22,1.01,120,5.51,113,5.19,110,5.05,119,5.46,111,5.1,110,5.05,109,5.0,104,4.78,9,0.41,2,0.09,12,0.55,7,0.32,4,0.18,26,1.19,27,1.24,16,0.73,20,0.92,19,0.87,17,0.78,25,1.15,145,6.66,19,0.87,4,0.18,3,0.14,6,0.28,4,0.18,4,0.18,7,0.32,48017
48,18,1470,16,1.09,9,0.61,10,0.68,20,1.36,93,6.33,86,5.85,88,5.99,80,5.44,75,5.1,77,5.24,74,5.03,66,4.49,5,0.34,3,0.2,5,0.34,6,0.41,4,0.27,12,0.82,14,0.95,21,1.43,17,1.16,16,1.09,16,1.09,13,0.88,88,5.99,11,0.75,5,0.34,6,0.41,6,0.41,4,0.27,5,0.34,2,0.14,48018
48,19,2143,23,1.07,14,0.65,17,0.79,20,0.93,122,5.69,120,5.6,114,5.32,117,5.46,114,5.32,112,5.23,112,5.23,101,4.71,3,0.14,5,0.23,4,0.19,3,0.14,2,0.09,24,1.12,29,1.35,18,0.84,24,1.12,19,0.89,21,0.98,22,1.03,140,6.53,22,1.03,2,0.09,4,0.19,1,0.05,4,0.19,5,0.23,1,0.05,48019
48,20,3352,29,0.87,31,0.92,21,0.63,35,1.04,244,7.28,234,6.98,231,6.89,233,6.95,226,6.74,223,6.65,213,6.35,203,6.06,7,0.21,5,0.15,10,0.3,6,0.18,5,0.15,44,1.31,56,1.67,50,1.49,62,1.85,61,1.82,49,1.46,59,1.76,135,4.03,21,0.63,5,0.15,2,0.06,15,0.45,9,0.27,6,0.18,2,0.06,48020
48,21,3044,43,1.41,43,1.41,18,0.59,32,1.05,202,6.64,194,6.37,201,6.6,191,6.27,193,6.34,184,6.04,180,5.91,167,5.49,10,0.33,8,0.26,12,0.39,8,0.26,11,0.36,45,1.48,54,1.77,36,1.18,41,1.35,47,1.54,36,1.18,38,1.25,138,4.53,13,0.43,4,0.13,10,0.33,7,0.23,5,0.16,7,0.23,5,0.16,48021
48,22,2165,37,1.71,36,1.66,25,1.15,42,1.94,84,3.88,73,3.37,82,3.79,75,3.46,74,3.42,72,3.33,76,3.51,62,2.86,9,0.42,3,0.14,8,0.37,4,0.18,7,0.32,18,0.83,23,1.06,17,0.79,16,0.74,13,0.6,17,0.79,25,1.15,185,8.55,24,1.11,7,0.32,6,0.28,9,0.42,12,0.55,13,0.6,3,0.14,48022
48,23,2454,31,1.26,17,0.69,12,0.49,20,0.81,109,4.44,99,4.03,103,4.2,99,4.03,93,3.79,89,3.63,90,3.67,86,3.5,6,0.24,5,0.2,5,0.2,3,0.12,5,0.2,24,0.98,26,1.06,23,0.94,23,0.94,30,1.22,25,1.02,28,1.14,193,7.86,43,1.75,9,0.37,8,0.33,19,0.77,13,0.53,12,0.49,2,0.08,48023
48,24,2401,40,1.67,26,1.08,24,1.0,39,1.62,146,6.08,136,5.66,137,5.71,136,5.66,125,5.21,125,5.21,129,5.37,120,5.0,10,0.42,11,0.46,10,0.42,7,0.29,9,0.37,27,1.12,23,0.96,19,0.79,27,1.12,28,1.17,28,1.17,32,1.33,132,5.5,24,1.0,4,0.17,5,0.21,7,0.29,3,0.12,3,0.12,1,0.04,48024
48,25,2544,35,1.38,32,1.26,19,0.75,28,1.1,145,5.7,141,5.54,145,5.7,142,5.58,140,5.5,137,5.39,134,5.27,128,5.03,9,0.35,4,0.16,8,0.31,3,0.12,6,0.24,43,1.69,43,1.69,33,1.3,35,1.38,35,1.38,31,1.22,40,1.57,137,5.39,21,0.83,1,0.04,4,0.16,4,0.16,2,0.08,12,0.47,3,0.12,48025
48,26,1030,6,0.58,5,0.49,4,0.39,7,0.68,63,6.12,60,5.83,65,6.31,63,6.12,62,6.02,64,6.21,62,6.02,57,5.53,2,0.19,5,0.49,3,0.29,1,0.1,4,0.39,11,1.07,12,1.17,10,0.97,10,0.97,11,1.07,9,0.87,13,1.26,58,5.63,8,0.78,5,0.49,3,0.29,4,0.39,5,0.49,4,0.39,3,0.29,48026
48,27,2477,20,0.81,16,0.65,11,0.44,21,0.85,201,8.11,193,7.79,196,7.91,191,7.71,192,7.75,181,7.31,176,7.11,165,6.66,10,0.4,10,0.4,12,0.48,8,0.32,6,0.24,24,0.97,30,1.21,24,0.97,34,1.37,31,1.25,24,0.97,28,1.13,91,3.67,18,0.73,0,0.0,0,0.0,3,0.12,5,0.2,6,0.24,2,0.08,48027
48,28,2291,31,1.35,26,1.13,14,0.61,26,1.13,157,6.85,143,6.24,142,6.2,145,6.33,143,6.24,144,6.29,143,6.24,137,5.98,7,0.31,6,0.26,7,0.31,4,0.17,7,0.31,12,0.52,19,0.83,16,0.7,21,0.92,28,1.22,17,0.74,17,0.74,115,5.02,15,0.65,5,0.22,7,0.31,3,0.13,5,0.22,1,0.04,5,0.22,48028
48,29,543,8,1.47,6,1.1,7,1.29,13,2.39,12,2.21,10,1.84,10,1.84,13,2.39,10,1.84,12,2.21,11,2.03,7,1.29,2,0.37,1,0.18,2,0.37,1,0.18,0,0.0,5,0.92,5,0.92,4,0.74,7,1.29,4,0.74,5,0.92,3,0.55,54,9.94,6,1.1,1,0.18,1,0.18,3,0.55,1,0.18,4,0.74,0,0.0,48029
48,30,2663,26,0.98,22,0.83,15,0.56,24,0.9,181,6.8,183,6.87,185,6.95,179,6.72,186,6.98,179,6.72,179,6.72,170,6.38,5,0.19,3,0.11,7,0.26,7,0.26,6,0.23,26,0.98,23,0.86,22,0.83,32,1.2,32,1.2,30,1.13,34,1.28,123,4.62,15,0.56,1,0.04,1,0.04,8,0.3,10,0.38,11,0.41,4,0.15,48030
48,31,2860,28,0.98,20,0.7,14,0.49,21,0.73,217,7.59,204,7.13,217,7.59,219,7.66,207,7.24,199,6.96,192,6.71,179,6.26,11,0.38,9,0.31,9,0.31,9,0.31,6,0.21,28,0.98,28,0.98,38,1.33,40,1.4,42,1.47,35,1.22,34,1.19,104,3.64,18,0.63,4,0.14,6,0.21,8,0.28,6,0.21,8,0.28,11,0.38,48031
48,32,2758,30,1.09,28,1.02,15,0.54,26,0.94,210,7.61,205,7.43,209,7.58,207,7.51,203,7.36,201,7.29,201,7.29,179,6.49,9,0.33,2,0.07,7,0.25,7,0.25,4,0.15,23,0.83,26,0.94,29,1.05,32,1.16,31,1.12,26,0.94,26,0.94,111,4.02,10,0.36,0,0.0,0,0.0,2,0.07,3,0.11,6,0.22,2,0.07,48032
48,33,1375,29,2.11,24,1.75,17,1.24,30,2.18,45,3.27,47,3.42,49,3.56,50,3.64,42,3.05,47,3.42,44,3.2,38,2.76,4,0.29,3,0.22,3,0.22,3,0.22,1,0.07,6,0.44,7,0.51,8,0.58,5,0.36,10,0.73,12,0.87,10,0.73,119,8.65,17,1.24,3,0.22,2,0.15,2,0.15,3,0.22,3,0.22,2,0.15,48033
48,34,2347,27,1.15,22,0.94,19,0.81,24,1.02,154,6.56,150,6.39,161,6.86,157,6.69,145,6.18,146,6.22,140,5.97,136,5.79,7,0.3,4,0.17,6,0.26,2,0.09,6,0.26,39,1.66,34,1.45,23,0.98,31,1.32,33,1.41,24,1.02,31,1.32,116,4.94,11,0.47,1,0.04,2,0.09,2,0.09,3,0.13,1,0.04,3,0.13,48034
