ward,precinct,total,Brandon Johnson (Elizabeth Warren),Brandon Johnson (Elizabeth Warren) Percent,Jamie Brown (Elizabeth Warren),Jamie Brown (Elizabeth Warren) Percent,Frederick ''Fritz'' Kaegi (Elizabeth W,Frederick ''Fritz'' Kaegi (Elizabeth W Percent,Mony Ruiz Velasco (Elizabeth Warren),Mony Ruiz Velasco (Elizabeth Warren) Percent,Marlon D. Harris (Elizabeth Warren),Marlon D. Harris (Elizabeth Warren) Percent,Harlene Ellin (Elizabeth Warren),Harlene Ellin (Elizabeth Warren) Percent,Mihir Garud (Elizabeth Warren),Mihir Garud (Elizabeth Warren) Percent,Benetta Mansfield (Elizabeth Warren),Benetta Mansfield (Elizabeth Warren) Percent,Mary Ann Abbott (Andrew Yang),Mary Ann Abbott (Andrew Yang) Percent,Elizabeth Henricks (Andrew Yang),Elizabeth Henricks (Andrew Yang) Percent,Steven Dyme (Andrew Yang),Steven Dyme (Andrew Yang) Percent,Yvonne O'Connor (Andrew Yang),Yvonne O'Connor (Andrew Yang) Percent,Peter Wojda IV (Andrew Yang),Peter Wojda IV (Andrew Yang) Percent,Rudyard ''Rudy'' Urian (Andrew Yang),Rudyard ''Rudy'' Urian (Andrew Yang) Percent,Marty Castro (Pete Buttigieg),Marty Castro (Pete Buttigieg) Percent,Eric Davis (Pete Buttigieg),Eric Davis (Pete Buttigieg) Percent,Thomas Gary (Pete Buttigieg),Thomas Gary (Pete Buttigieg) Percent,Marla Izbicky (Pete Buttigieg),Marla Izbicky (Pete Buttigieg) Percent,Amalia Mahoney (Pete Buttigieg),Amalia Mahoney (Pete Buttigieg) Percent,Cristal Thomas Gary (Pete Buttigieg),Cristal Thomas Gary (Pete Buttigieg) Percent,Claudia Moreno-Nunez (Bernie Sanders),Claudia Moreno-Nunez (Bernie Sanders) Percent,Julie Lehrman (Bernie Sanders),Julie Lehrman (Bernie Sanders) Percent,Martese Luzette Chism (Bernie Sanders),Martese Luzette Chism (Bernie Sanders) Percent,Ojus Khanolkar (Bernie Sanders),Ojus Khanolkar (Bernie Sanders) Percent,Dominique Coronel (Bernie Sanders),Dominique Coronel (Bernie Sanders) Percent,Miguel Bautista (Bernie Sanders),Miguel Bautista (Bernie Sanders) Percent,Ronald Lawless (Bernie Sanders),Ronald Lawless (Bernie Sanders) Percent,Tim Thomas (Bernie Sanders),Tim Thomas (Bernie Sanders) Percent,Barton Moy (Amy J. Klobuchar),Barton Moy (Amy J. Klobuchar) Percent,Gail M. Silver (Amy J. Klobuchar),Gail M. Silver (Amy J. Klobuchar) Percent,Joan L. Long (Amy J. Klobuchar),Joan L. Long (Amy J. Klobuchar) Percent,Addison Woodward (Amy J. Klobuchar),Addison Woodward (Amy J. Klobuchar) Percent,Ann Henstrand (Amy J. Klobuchar),Ann Henstrand (Amy J. Klobuchar) Percent,Jennifer Vincent (Amy J. Klobuchar),Jennifer Vincent (Amy J. Klobuchar) Percent,Markayle Tolliver (Amy J. Klobuchar),Markayle Tolliver (Amy J. Klobuchar) Percent,Thomas A. (Tom) Ciavarella (Amy J. Klo,Thomas A. (Tom) Ciavarella (Amy J. Klo Percent,precinct_id
3,17,2948,41,1.39,40,1.36,30,1.02,26,0.88,24,0.81,28,0.95,22,0.75,34,1.15,14,0.47,14,0.47,11,0.37,7,0.24,6,0.2,5,0.17,8,0.27,10,0.34,9,0.31,7,0.24,5,0.17,9,0.31,170,5.77,170,5.77,143,4.85,149,5.05,164,5.56,143,4.85,140,4.75,133,4.51,5,0.17,7,0.24,3,0.1,5,0.17,6,0.2,7,0.24,3,0.1,3,0.1,03017
3,18,1584,26,1.64,24,1.52,19,1.2,10,0.63,12,0.76,10,0.63,7,0.44,12,0.76,8,0.51,13,0.82,5,0.32,3,0.19,2,0.13,3,0.19,4,0.25,5,0.32,3,0.19,6,0.38,6,0.38,5,0.32,91,5.74,81,5.11,68,4.29,62,3.91,78,4.92,72,4.55,77,4.86,70,4.42,2,0.13,5,0.32,3,0.19,3,0.19,0,0.0,5,0.32,0,0.0,2,0.13,03018
3,19,2423,19,0.78,23,0.95,19,0.78,22,0.91,16,0.66,16,0.66,16,0.66,16,0.66,8,0.33,9,0.37,8,0.33,9,0.37,9,0.37,10,0.41,9,0.37,7,0.29,8,0.33,7,0.29,6,0.25,7,0.29,68,2.81,65,2.68,58,2.39,56,2.31,51,2.1,55,2.27,48,1.98,47,1.94,7,0.29,6,0.25,2,0.08,3,0.12,4,0.17,3,0.12,2,0.08,1,0.04,03019
3,20,2306,52,2.25,41,1.78,26,1.13,19,0.82,29,1.26,24,1.04,19,0.82,26,1.13,13,0.56,14,0.61,8,0.35,12,0.52,3,0.13,6,0.26,4,0.17,13,0.56,6,0.26,4,0.17,7,0.3,4,0.17,108,4.68,95,4.12,97,4.21,97,4.21,103,4.47,99,4.29,85,3.69,89,3.86,3,0.13,3,0.13,1,0.04,2,0.09,4,0.17,2,0.09,3,0.13,2,0.09,03020
3,21,2512,28,1.11,22,0.88,14,0.56,11,0.44,21,0.84,15,0.6,14,0.56,17,0.68,9,0.36,8,0.32,7,0.28,4,0.16,3,0.12,2,0.08,11,0.44,11,0.44,6,0.24,9,0.36,11,0.44,9,0.36,73,2.91,73,2.91,64,2.55,61,2.43,68,2.71,64,2.55,68,2.71,60,2.39,4,0.16,8,0.32,3,0.12,2,0.08,4,0.16,7,0.28,1,0.04,1,0.04,03021
3,22,2887,26,0.9,23,0.8,20,0.69,23,0.8,22,0.76,21,0.73,19,0.66,20,0.69,16,0.55,8,0.28,6,0.21,9,0.31,4,0.14,7,0.24,20,0.69,19,0.66,15,0.52,17,0.59,17,0.59,20,0.69,159,5.51,152,5.26,141,4.88,140,4.85,142,4.92,146,5.06,132,4.57,126,4.36,6,0.21,4,0.14,2,0.07,1,0.03,1,0.03,4,0.14,2,0.07,2,0.07,03022
3,23,979,13,1.33,8,0.82,8,0.82,6,0.61,15,1.53,4,0.41,3,0.31,6,0.61,7,0.72,4,0.41,5,0.51,5,0.51,2,0.2,5,0.51,1,0.1,1,0.1,1,0.1,1,0.1,3,0.31,2,0.2,45,4.6,44,4.49,35,3.58,34,3.47,39,3.98,39,3.98,34,3.47,38,3.88,0,0.0,1,0.1,3,0.31,2,0.2,2,0.2,5,0.51,0,0.0,0,0.0,03023
3,24,1490,29,1.95,22,1.48,15,1.01,14,0.94,27,1.81,13,0.87,13,0.87,14,0.94,12,0.81,8,0.54,11,0.74,5,0.34,6,0.4,10,0.67,3,0.2,9,0.6,3,0.2,3,0.2,3,0.2,3,0.2,64,4.3,63,4.23,51,3.42,46,3.09,60,4.03,52,3.49,51,3.42,52,3.49,5,0.34,2,0.13,3,0.2,1,0.07,2,0.13,6,0.4,3,0.2,3,0.2,03024
3,25,3823,31,0.81,25,0.65,26,0.68,26,0.68,22,0.58,21,0.55,22,0.58,19,0.5,13,0.34,9,0.24,3,0.08,6,0.16,2,0.05,3,0.08,24,0.63,18,0.47,16,0.42,20,0.52,17,0.44,14,0.37,116,3.03,112,2.93,104,2.72,105,2.75,103,2.69,107,2.8,102,2.67,98,2.56,14,0.37,17,0.44,12,0.31,10,0.26,7,0.18,10,0.26,5,0.13,5,0.13,03025
3,26,2819,26,0.92,23,0.82,23,0.82,16,0.57,20,0.71,25,0.89,23,0.82,24,0.85,11,0.39,10,0.35,5,0.18,7,0.25,7,0.25,8,0.28,9,0.32,10,0.35,9,0.32,12,0.43,15,0.53,13,0.46,84,2.98,80,2.84,70,2.48,67,2.38,73,2.59,71,2.52,62,2.2,68,2.41,8,0.28,11,0.39,8,0.28,5,0.18,9,0.32,8,0.28,7,0.25,7,0.25,03026
3,27,2678,27,1.01,22,0.82,20,0.75,19,0.71,18,0.67,22,0.82,20,0.75,25,0.93,8,0.3,6,0.22,4,0.15,6,0.22,4,0.15,5,0.19,19,0.71,15,0.56,12,0.45,18,0.67,21,0.78,13,0.49,114,4.26,103,3.85,97,3.62,89,3.32,105,3.92,98,3.66,87,3.25,83,3.1,3,0.11,7,0.26,6,0.22,3,0.11,6,0.22,6,0.22,4,0.15,1,0.04,03027
3,28,1268,21,1.66,20,1.58,11,0.87,9,0.71,10,0.79,15,1.18,6,0.47,11,0.87,10,0.79,7,0.55,6,0.47,11,0.87,4,0.32,5,0.39,4,0.32,5,0.39,3,0.24,3,0.24,2,0.16,3,0.24,37,2.92,27,2.13,19,1.5,21,1.66,21,1.66,24,1.89,24,1.89,20,1.58,4,0.32,2,0.16,5,0.39,2,0.16,1,0.08,5,0.39,2,0.16,1,0.08,03028
3,29,1614,26,1.61,25,1.55,12,0.74,10,0.62,18,1.12,14,0.87,12,0.74,17,1.05,11,0.68,5,0.31,7,0.43,6,0.37,2,0.12,0,0.0,4,0.25,5,0.31,9,0.56,2,0.12,7,0.43,5,0.31,78,4.83,71,4.4,60,3.72,55,3.41,68,4.21,63,3.9,57,3.53,59,3.66,2,0.12,3,0.19,2,0.12,1,0.06,1,0.06,2,0.12,1,0.06,2,0.12,03029
3,30,924,14,1.52,13,1.41,13,1.41,5,0.54,9,0.97,8,0.87,4,0.43,5,0.54,8,0.87,4,0.43,3,0.32,3,0.32,1,0.11,6,0.65,2,0.22,5,0.54,1,0.11,2,0.22,1,0.11,3,0.32,32,3.46,32,3.46,27,2.92,25,2.71,35,3.79,30,3.25,28,3.03,25,2.71,3,0.32,3,0.32,2,0.22,3,0.32,1,0.11,1,0.11,3,0.32,1,0.11,03030
3,31,2384,48,2.01,33,1.38,28,1.17,17,0.71,29,1.22,21,0.88,14,0.59,26,1.09,10,0.42,12,0.5,7,0.29,13,0.55,4,0.17,5,0.21,7,0.29,6,0.25,9,0.38,3,0.13,7,0.29,7,0.29,109,4.57,99,4.15,87,3.65,83,3.48,107,4.49,88,3.69,88,3.69,88,3.69,2,0.08,5,0.21,2,0.08,2,0.08,2,0.08,4,0.17,5,0.21,4,0.17,03031
3,32,2865,30,1.05,27,0.94,20,0.7,22,0.77,18,0.63,21,0.73,20,0.7,17,0.59,8,0.28,11,0.38,9,0.31,8,0.28,3,0.1,5,0.17,8,0.28,12,0.42,8,0.28,11,0.38,11,0.38,9,0.31,132,4.61,123,4.29,119,4.15,120,4.19,123,4.29,123,4.29,118,4.12,115,4.01,6,0.21,10,0.35,6,0.21,6,0.21,7,0.24,8,0.28,5,0.17,6,0.21,03032
3,33,2843,33,1.16,36,1.27,33,1.16,33,1.16,31,1.09,36,1.27,29,1.02,34,1.2,15,0.53,10,0.35,5,0.18,11,0.39,7,0.25,8,0.28,13,0.46,14,0.49,13,0.46,15,0.53,13,0.46,9,0.32,146,5.14,152,5.35,140,4.92,135,4.75,137,4.82,134,4.71,130,4.57,129,4.54,1,0.04,5,0.18,5,0.18,5,0.18,5,0.18,4,0.14,2,0.07,1,0.04,03033
3,34,2906,30,1.03,34,1.17,22,0.76,19,0.65,26,0.89,21,0.72,17,0.58,21,0.72,18,0.62,13,0.45,4,0.14,11,0.38,3,0.1,1,0.03,15,0.52,12,0.41,12,0.41,17,0.58,14,0.48,11,0.38,141,4.85,131,4.51,111,3.82,112,3.85,118,4.06,122,4.2,109,3.75,111,3.82,7,0.24,10,0.34,7,0.24,10,0.34,7,0.24,9,0.31,7,0.24,6,0.21,03034
3,35,222,5,2.25,6,2.7,2,0.9,0,0.0,0,0.0,2,0.9,2,0.9,2,0.9,1,0.45,2,0.9,1,0.45,0,0.0,0,0.0,1,0.45,0,0.0,2,0.9,0,0.0,0,0.0,1,0.45,0,0.0,16,7.21,15,6.76,16,7.21,14,6.31,15,6.76,13,5.86,13,5.86,11,4.95,0,0.0,0,0.0,1,0.45,1,0.45,0,0.0,0,0.0,0,0.0,0,0.0,03035
3,36,884,16,1.81,20,2.26,9,1.02,8,0.9,13,1.47,6,0.68,2,0.23,9,1.02,6,0.68,8,0.9,4,0.45,7,0.79,1,0.11,2,0.23,3,0.34,16,1.81,2,0.23,3,0.34,4,0.45,2,0.23,28,3.17,30,3.39,20,2.26,18,2.04,22,2.49,19,2.15,23,2.6,18,2.04,0,0.0,1,0.11,1,0.11,3,0.34,2,0.23,5,0.57,1,0.11,1,0.11,03036
3,37,1805,21,1.16,24,1.33,9,0.5,12,0.66,14,0.78,8,0.44,6,0.33,17,0.94,8,0.44,10,0.55,6,0.33,4,0.22,2,0.11,4,0.22,5,0.28,8,0.44,7,0.39,2,0.11,1,0.06,4,0.22,87,4.82,79,4.38,64,3.55,58,3.21,68,3.77,62,3.43,64,3.55,61,3.38,3,0.17,3,0.17,5,0.28,1,0.06,4,0.22,7,0.39,2,0.11,3,0.17,03037
3,39,3032,32,1.06,27,0.89,24,0.79,29,0.96,25,0.82,31,1.02,26,0.86,28,0.92,7,0.23,10,0.33,5,0.16,9,0.3,7,0.23,7,0.23,8,0.26,6,0.2,6,0.2,6,0.2,8,0.26,6,0.2,141,4.65,134,4.42,122,4.02,125,4.12,123,4.06,126,4.16,115,3.79,114,3.76,2,0.07,7,0.23,2,0.07,5,0.16,8,0.26,5,0.16,2,0.07,1,0.03,03039
3,40,1850,24,1.3,24,1.3,19,1.03,17,0.92,15,0.81,13,0.7,16,0.86,17,0.92,7,0.38,6,0.32,4,0.22,5,0.27,3,0.16,4,0.22,10,0.54,5,0.27,3,0.16,2,0.11,3,0.16,5,0.27,76,4.11,70,3.78,65,3.51,56,3.03,61,3.3,60,3.24,58,3.14,51,2.76,2,0.11,2,0.11,1,0.05,3,0.16,1,0.05,2,0.11,1,0.05,2,0.11,03040
4,2,3030,38,1.25,31,1.02,25,0.83,27,0.89,26,0.86,27,0.89,24,0.79,30,0.99,13,0.43,13,0.43,7,0.23,8,0.26,5,0.17,5,0.17,13,0.43,15,0.5,14,0.46,13,0.43,12,0.4,10,0.33,127,4.19,119,3.93,114,3.76,112,3.7,112,3.7,111,3.66,99,3.27,98,3.23,6,0.2,11,0.36,12,0.4,6,0.2,7,0.23,6,0.2,4,0.13,6,0.2,04002
4,4,2462,60,2.44,45,1.83,31,1.26,26,1.06,34,1.38,31,1.26,18,0.73,17,0.69,19,0.77,19,0.77,4,0.16,13,0.53,5,0.2,10,0.41,6,0.24,12,0.49,3,0.12,2,0.08,2,0.08,8,0.32,98,3.98,95,3.86,88,3.57,79,3.21,97,3.94,84,3.41,89,3.61,84,3.41,5,0.2,6,0.24,3,0.12,5,0.2,2,0.08,6,0.24,2,0.08,7,0.28,04004
4,5,2733,43,1.57,32,1.17,24,0.88,16,0.59,25,0.91,19,0.7,19,0.7,21,0.77,8,0.29,8,0.29,5,0.18,12,0.44,4,0.15,6,0.22,3,0.11,11,0.4,0,0.0,2,0.07,4,0.15,3,0.11,119,4.35,112,4.1,101,3.7,97,3.55,119,4.35,102,3.73,100,3.66,104,3.81,4,0.15,3,0.11,8,0.29,6,0.22,5,0.18,5,0.18,3,0.11,6,0.22,04005
4,6,2901,61,2.1,40,1.38,15,0.52,29,1.0,35,1.21,26,0.9,19,0.65,27,0.93,16,0.55,13,0.45,8,0.28,8,0.28,3,0.1,7,0.24,4,0.14,12,0.41,7,0.24,7,0.24,4,0.14,8,0.28,73,2.52,71,2.45,67,2.31,64,2.21,77,2.65,66,2.28,63,2.17,56,1.93,2,0.07,5,0.17,3,0.1,4,0.14,1,0.03,3,0.1,3,0.1,3,0.1,04006
4,7,2671,42,1.57,30,1.12,23,0.86,18,0.67,33,1.24,22,0.82,13,0.49,21,0.79,12,0.45,9,0.34,5,0.19,10,0.37,4,0.15,7,0.26,5,0.19,11,0.41,4,0.15,2,0.07,6,0.22,5,0.19,98,3.67,89,3.33,73,2.73,71,2.66,82,3.07,77,2.88,73,2.73,66,2.47,1,0.04,2,0.07,5,0.19,2,0.07,2,0.07,6,0.22,1,0.04,3,0.11,04007
4,8,340,2,0.59,2,0.59,2,0.59,1,0.29,2,0.59,0,0.0,1,0.29,1,0.29,0,0.0,1,0.29,0,0.0,0,0.0,0,0.0,0,0.0,1,0.29,1,0.29,0,0.0,0,0.0,0,0.0,0,0.0,13,3.82,13,3.82,11,3.24,11,3.24,12,3.53,12,3.53,12,3.53,11,3.24,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.29,0,0.0,0,0.0,04008
4,10,3127,56,1.79,46,1.47,30,0.96,27,0.86,29,0.93,29,0.93,26,0.83,32,1.02,9,0.29,15,0.48,4,0.13,4,0.13,4,0.13,5,0.16,0,0.0,8,0.26,7,0.22,5,0.16,5,0.16,5,0.16,123,3.93,114,3.65,106,3.39,93,2.97,110,3.52,102,3.26,96,3.07,79,2.53,3,0.1,3,0.1,4,0.13,4,0.13,2,0.06,3,0.1,2,0.06,2,0.06,04010
4,11,920,18,1.96,9,0.98,6,0.65,3,0.33,12,1.3,6,0.65,3,0.33,4,0.43,8,0.87,8,0.87,3,0.33,4,0.43,2,0.22,2,0.22,3,0.33,6,0.65,2,0.22,1,0.11,0,0.0,3,0.33,28,3.04,24,2.61,18,1.96,15,1.63,24,2.61,22,2.39,19,2.07,18,1.96,2,0.22,0,0.0,1,0.11,0,0.0,2,0.22,3,0.33,1,0.11,2,0.22,04011
4,13,2897,28,0.97,28,0.97,25,0.86,22,0.76,20,0.69,29,1.0,23,0.79,28,0.97,10,0.35,7,0.24,3,0.1,6,0.21,6,0.21,5,0.17,23,0.79,16,0.55,12,0.41,21,0.72,21,0.72,15,0.52,183,6.32,173,5.97,157,5.42,158,5.45,162,5.59,158,5.45,149,5.14,141,4.87,3,0.1,10,0.35,3,0.1,4,0.14,4,0.14,6,0.21,3,0.1,0,0.0,04013
4,14,331,3,0.91,4,1.21,1,0.3,1,0.3,3,0.91,1,0.3,1,0.3,3,0.91,1,0.3,1,0.3,4,1.21,3,0.91,2,0.6,4,1.21,0,0.0,0,0.0,0,0.0,0,0.0,1,0.3,0,0.0,11,3.32,12,3.63,10,3.02,10,3.02,11,3.32,12,3.63,12,3.63,12,3.63,1,0.3,0,0.0,0,0.0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,04014
4,15,858,10,1.17,7,0.82,4,0.47,5,0.58,9,1.05,7,0.82,5,0.58,6,0.7,9,1.05,3,0.35,0,0.0,2,0.23,2,0.23,1,0.12,3,0.35,3,0.35,2,0.23,2,0.23,2,0.23,4,0.47,33,3.85,31,3.61,29,3.38,27,3.15,28,3.26,27,3.15,25,2.91,22,2.56,1,0.12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.12,04015
4,16,3681,38,1.03,45,1.22,31,0.84,34,0.92,29,0.79,32,0.87,31,0.84,34,0.92,19,0.52,15,0.41,7,0.19,14,0.38,5,0.14,7,0.19,15,0.41,8,0.22,8,0.22,12,0.33,12,0.33,9,0.24,189,5.13,191,5.19,177,4.81,171,4.65,180,4.89,173,4.7,163,4.43,158,4.29,9,0.24,8,0.22,3,0.08,3,0.08,3,0.08,5,0.14,3,0.08,3,0.08,04016
4,17,2935,42,1.43,40,1.36,41,1.4,48,1.64,39,1.33,36,1.23,38,1.29,35,1.19,13,0.44,11,0.37,11,0.37,14,0.48,7,0.24,8,0.27,6,0.2,7,0.24,8,0.27,13,0.44,8,0.27,4,0.14,162,5.52,156,5.32,147,5.01,142,4.84,142,4.84,142,4.84,133,4.53,130,4.43,5,0.17,9,0.31,6,0.2,5,0.17,7,0.24,4,0.14,1,0.03,1,0.03,04017
4,20,2305,32,1.39,29,1.26,25,1.08,21,0.91,15,0.65,24,1.04,22,0.95,24,1.04,10,0.43,6,0.26,3,0.13,9,0.39,4,0.17,3,0.13,12,0.52,14,0.61,10,0.43,13,0.56,18,0.78,12,0.52,102,4.43,96,4.16,90,3.9,97,4.21,100,4.34,96,4.16,89,3.86,81,3.51,8,0.35,8,0.35,7,0.3,3,0.13,8,0.35,6,0.26,4,0.17,3,0.13,04020
4,21,2819,29,1.03,31,1.1,30,1.06,23,0.82,24,0.85,26,0.92,26,0.92,26,0.92,10,0.35,6,0.21,7,0.25,7,0.25,5,0.18,2,0.07,13,0.46,10,0.35,10,0.35,10,0.35,12,0.43,7,0.25,192,6.81,183,6.49,179,6.35,177,6.28,181,6.42,181,6.42,167,5.92,165,5.85,4,0.14,6,0.21,5,0.18,4,0.14,4,0.14,4,0.14,3,0.11,6,0.21,04021
4,22,32,1,3.13,2,6.25,0,0.0,0,0.0,2,6.25,0,0.0,0,0.0,0,0.0,0,0.0,1,3.13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,6.25,2,6.25,3,9.38,1,3.13,3,9.38,2,6.25,1,3.13,1,3.13,0,0.0,0,0.0,0,0.0,1,3.13,0,0.0,0,0.0,0,0.0,0,0.0,04022
4,25,2887,30,1.04,23,0.8,22,0.76,24,0.83,16,0.55,21,0.73,25,0.87,16,0.55,10,0.35,11,0.38,9,0.31,10,0.35,8,0.28,10,0.35,12,0.42,14,0.48,13,0.45,16,0.55,13,0.45,13,0.45,123,4.26,106,3.67,106,3.67,106,3.67,107,3.71,105,3.64,97,3.36,90,3.12,11,0.38,15,0.52,6,0.21,7,0.24,6,0.21,8,0.28,3,0.1,5,0.17,04025
4,28,1406,30,2.13,28,1.99,11,0.78,11,0.78,22,1.56,14,1.0,9,0.64,10,0.71,6,0.43,11,0.78,3,0.21,3,0.21,4,0.28,6,0.43,1,0.07,4,0.28,0,0.0,5,0.36,1,0.07,1,0.07,58,4.13,47,3.34,51,3.63,51,3.63,53,3.77,50,3.56,44,3.13,42,2.99,3,0.21,3,0.21,3,0.21,2,0.14,3,0.21,3,0.21,3,0.21,1,0.07,04028
4,29,652,13,1.99,7,1.07,3,0.46,4,0.61,11,1.69,5,0.77,4,0.61,5,0.77,1,0.15,1,0.15,5,0.77,0,0.0,0,0.0,2,0.31,0,0.0,1,0.15,1,0.15,0,0.0,1,0.15,0,0.0,23,3.53,26,3.99,28,4.29,20,3.07,24,3.68,24,3.68,22,3.37,24,3.68,2,0.31,0,0.0,1,0.15,0,0.0,0,0.0,2,0.31,1,0.15,1,0.15,04029
4,30,358,8,2.23,5,1.4,2,0.56,2,0.56,4,1.12,3,0.84,2,0.56,2,0.56,3,0.84,2,0.56,1,0.28,2,0.56,1,0.28,2,0.56,2,0.56,1,0.28,0,0.0,0,0.0,0,0.0,0,0.0,13,3.63,11,3.07,9,2.51,12,3.35,14,3.91,11,3.07,12,3.35,11,3.07,0,0.0,1,0.28,0,0.0,1,0.28,1,0.28,1,0.28,0,0.0,0,0.0,04030
4,34,1954,26,1.33,27,1.38,23,1.18,24,1.23,22,1.13,25,1.28,19,0.97,25,1.28,8,0.41,4,0.2,4,0.2,4,0.2,3,0.15,2,0.1,3,0.15,10,0.51,2,0.1,5,0.26,3,0.15,5,0.26,75,3.84,66,3.38,63,3.22,57,2.92,69,3.53,67,3.43,56,2.87,55,2.81,1,0.05,4,0.2,1,0.05,3,0.15,4,0.2,1,0.05,2,0.1,1,0.05,04034
4,35,2491,38,1.53,30,1.2,23,0.92,15,0.6,27,1.08,11,0.44,11,0.44,18,0.72,10,0.4,5,0.2,2,0.08,5,0.2,1,0.04,2,0.08,7,0.28,5,0.2,6,0.24,5,0.2,2,0.08,2,0.08,85,3.41,79,3.17,79,3.17,65,2.61,72,2.89,70,2.81,64,2.57,71,2.85,1,0.04,1,0.04,3,0.12,1,0.04,1,0.04,4,0.16,1,0.04,1,0.04,04035
4,36,1298,17,1.31,17,1.31,15,1.16,7,0.54,19,1.46,11,0.85,9,0.69,14,1.08,8,0.62,5,0.39,1,0.08,2,0.15,2,0.15,3,0.23,0,0.0,3,0.23,2,0.15,2,0.15,0,0.0,1,0.08,59,4.55,55,4.24,48,3.7,50,3.85,52,4.01,53,4.08,51,3.93,47,3.62,1,0.08,1,0.08,3,0.23,3,0.23,0,0.0,2,0.15,0,0.0,0,0.0,04036
4,37,3973,51,1.28,47,1.18,45,1.13,44,1.11,38,0.96,43,1.08,38,0.96,44,1.11,14,0.35,16,0.4,10,0.25,14,0.35,10,0.25,9,0.23,21,0.53,20,0.5,17,0.43,18,0.45,15,0.38,13,0.33,206,5.18,197,4.96,187,4.71,186,4.68,198,4.98,191,4.81,178,4.48,169,4.25,16,0.4,22,0.55,11,0.28,8,0.2,10,0.25,8,0.2,8,0.2,7,0.18,04037
6,21,583,10,1.72,19,3.26,6,1.03,5,0.86,8,1.37,7,1.2,5,0.86,5,0.86,7,1.2,3,0.51,2,0.34,2,0.34,0,0.0,5,0.86,1,0.17,4,0.69,2,0.34,1,0.17,2,0.34,2,0.34,17,2.92,20,3.43,20,3.43,20,3.43,21,3.6,17,2.92,23,3.95,15,2.57,0,0.0,2,0.34,1,0.17,0,0.0,0,0.0,2,0.34,0,0.0,4,0.69,06021
11,2,108,5,4.63,5,4.63,0,0.0,1,0.93,2,1.85,1,0.93,0,0.0,2,1.85,0,0.0,0,0.0,0,0.0,0,0.0,1,0.93,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,4.63,4,3.7,4,3.7,4,3.7,4,3.7,4,3.7,2,1.85,3,2.78,0,0.0,1,0.93,1,0.93,0,0.0,0,0.0,0,0.0,0,0.0,1,0.93,11002
11,6,2450,26,1.06,24,0.98,16,0.65,17,0.69,14,0.57,17,0.69,12,0.49,16,0.65,8,0.33,5,0.2,4,0.16,5,0.2,3,0.12,3,0.12,10,0.41,10,0.41,7,0.29,7,0.29,6,0.24,5,0.2,148,6.04,145,5.92,137,5.59,134,5.47,136,5.55,139,5.67,127,5.18,123,5.02,5,0.2,7,0.29,4,0.16,3,0.12,4,0.16,4,0.16,3,0.12,4,0.16,11006
11,7,2143,21,0.98,17,0.79,14,0.65,18,0.84,15,0.7,16,0.75,17,0.79,19,0.89,17,0.79,8,0.37,5,0.23,7,0.33,4,0.19,4,0.19,3,0.14,7,0.33,1,0.05,2,0.09,3,0.14,3,0.14,174,8.12,149,6.95,147,6.86,151,7.05,152,7.09,156,7.28,140,6.53,142,6.63,2,0.09,2,0.09,4,0.19,1,0.05,1,0.05,4,0.19,3,0.14,1,0.05,11007
11,14,787,6,0.76,12,1.52,6,0.76,7,0.89,6,0.76,7,0.89,4,0.51,5,0.64,10,1.27,13,1.65,10,1.27,12,1.52,6,0.76,10,1.27,4,0.51,2,0.25,3,0.38,5,0.64,5,0.64,3,0.38,54,6.86,49,6.23,46,5.84,45,5.72,46,5.84,50,6.35,41,5.21,42,5.34,11,1.4,3,0.38,2,0.25,1,0.13,2,0.25,2,0.25,1,0.13,3,0.38,11014
11,30,928,9,0.97,7,0.75,11,1.19,5,0.54,8,0.86,7,0.75,5,0.54,5,0.54,16,1.72,10,1.08,11,1.19,10,1.08,8,0.86,11,1.19,3,0.32,3,0.32,3,0.32,3,0.32,0,0.0,0,0.0,58,6.25,53,5.71,49,5.28,46,4.96,55,5.93,49,5.28,45,4.85,47,5.06,8,0.86,0,0.0,3,0.32,1,0.11,0,0.0,0,0.0,0,0.0,2,0.22,11030
11,33,2302,26,1.13,21,0.91,24,1.04,27,1.17,20,0.87,18,0.78,19,0.83,17,0.74,11,0.48,11,0.48,8,0.35,12,0.52,6,0.26,6,0.26,19,0.83,6,0.26,8,0.35,9,0.39,10,0.43,7,0.3,114,4.95,95,4.13,100,4.34,100,4.34,105,4.56,115,5.0,97,4.21,91,3.95,10,0.43,12,0.52,14,0.61,9,0.39,13,0.56,12,0.52,9,0.39,13,0.56,11033
