ward,precinct,total,Andr̩ J. Washington (Elizabeth Warren,Andr̩ J. Washington (Elizabeth Warren Percent,Hope Zawaski (Elizabeth Warren),Hope Zawaski (Elizabeth Warren) Percent,Al Riley (Elizabeth Warren),Al Riley (Elizabeth Warren) Percent,Cleopatra Watson (Elizabeth Warren),Cleopatra Watson (Elizabeth Warren) Percent,Jaylin McClinton (Elizabeth Warren),Jaylin McClinton (Elizabeth Warren) Percent,Amanda Jo Greep (Elizabeth Warren),Amanda Jo Greep (Elizabeth Warren) Percent,Aisha El-Amin (Bernie Sanders),Aisha El-Amin (Bernie Sanders) Percent,Maureen Forte (Bernie Sanders),Maureen Forte (Bernie Sanders) Percent,Sukari Campbell (Bernie Sanders),Sukari Campbell (Bernie Sanders) Percent,John Willard (Bernie Sanders),John Willard (Bernie Sanders) Percent,Kenneth Franklin (Bernie Sanders),Kenneth Franklin (Bernie Sanders) Percent,"Lyle C. Evans, Jr. (Bernie Sanders)","Lyle C. Evans, Jr. (Bernie Sanders) Percent",Kenneth Henderson (Andrew Yang),Kenneth Henderson (Andrew Yang) Percent,Sanovia Reynolds-Parks (Andrew Yang),Sanovia Reynolds-Parks (Andrew Yang) Percent,Juan Juarez (Andrew Yang),Juan Juarez (Andrew Yang) Percent,Paula Wilson (Andrew Yang),Paula Wilson (Andrew Yang) Percent,Reggie Greenwood (Andrew Yang),Reggie Greenwood (Andrew Yang) Percent,Monique Williams (Andrew Yang),Monique Williams (Andrew Yang) Percent,Kyle Summers (Andrew Yang),Kyle Summers (Andrew Yang) Percent,Emily Higgs (Pete Buttigieg),Emily Higgs (Pete Buttigieg) Percent,Randall Krause-Vinson (Pete Buttigieg),Randall Krause-Vinson (Pete Buttigieg) Percent,Sherry Newquist (Pete Buttigieg),Sherry Newquist (Pete Buttigieg) Percent,Alfred Saucedo (Pete Buttigieg),Alfred Saucedo (Pete Buttigieg) Percent,Micaela G. Smith (Amy J. Klobuchar),Micaela G. Smith (Amy J. Klobuchar) Percent,Kristal Hudson-Davis (Amy J. Klobuchar,Kristal Hudson-Davis (Amy J. Klobuchar Percent,precinct_id
7,43,1300,13,1.0,6,0.46,9,0.69,8,0.62,7,0.54,3,0.23,27,2.08,28,2.15,25,1.92,37,2.85,35,2.69,40,3.08,6,0.46,2,0.15,6,0.46,7,0.54,4,0.31,9,0.69,6,0.46,4,0.31,0,0.0,1,0.08,0,0.0,1,0.08,3,0.23,07043
7,44,1162,7,0.6,3,0.26,8,0.69,8,0.69,0,0.0,1,0.09,39,3.36,41,3.53,37,3.18,39,3.36,43,3.7,47,4.04,1,0.09,3,0.26,6,0.52,2,0.17,0,0.0,4,0.34,0,0.0,1,0.09,1,0.09,0,0.0,0,0.0,0,0.0,2,0.17,07044
7,45,1067,10,0.94,4,0.37,8,0.75,9,0.84,10,0.94,4,0.37,40,3.75,48,4.5,30,2.81,42,3.94,46,4.31,41,3.84,3,0.28,2,0.19,7,0.66,5,0.47,3,0.28,10,0.94,4,0.37,4,0.37,2,0.19,0,0.0,1,0.09,3,0.28,5,0.47,07045
7,46,596,4,0.67,3,0.5,4,0.67,5,0.84,4,0.67,1,0.17,14,2.35,13,2.18,14,2.35,14,2.35,17,2.85,13,2.18,4,0.67,3,0.5,2,0.34,1,0.17,3,0.5,2,0.34,1,0.17,1,0.17,0,0.0,1,0.17,0,0.0,0,0.0,1,0.17,07046
8,4,1184,5,0.42,3,0.25,3,0.25,3,0.25,3,0.25,3,0.25,29,2.45,24,2.03,23,1.94,26,2.2,30,2.53,31,2.62,3,0.25,2,0.17,6,0.51,2,0.17,1,0.08,5,0.42,2,0.17,1,0.08,2,0.17,2,0.17,2,0.17,0,0.0,0,0.0,08004
8,5,35,1,2.86,0,0.0,0,0.0,1,2.86,0,0.0,0,0.0,1,2.86,0,0.0,1,2.86,0,0.0,0,0.0,1,2.86,1,2.86,0,0.0,0,0.0,0,0.0,0,0.0,1,2.86,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08005
8,7,1870,17,0.91,9,0.48,9,0.48,19,1.02,7,0.37,6,0.32,50,2.67,44,2.35,40,2.14,43,2.3,50,2.67,49,2.62,6,0.32,7,0.37,9,0.48,5,0.27,6,0.32,7,0.37,3,0.16,3,0.16,2,0.11,2,0.11,0,0.0,3,0.16,5,0.27,08007
8,9,1073,8,0.75,3,0.28,6,0.56,8,0.75,5,0.47,4,0.37,35,3.26,32,2.98,27,2.52,29,2.7,30,2.8,26,2.42,2,0.19,3,0.28,5,0.47,5,0.47,2,0.19,6,0.56,3,0.28,2,0.19,1,0.09,1,0.09,1,0.09,0,0.0,2,0.19,08009
8,17,1345,13,0.97,5,0.37,9,0.67,5,0.37,6,0.45,6,0.45,31,2.3,33,2.45,35,2.6,35,2.6,38,2.83,38,2.83,6,0.45,3,0.22,4,0.3,6,0.45,2,0.15,7,0.52,1,0.07,2,0.15,0,0.0,4,0.3,1,0.07,3,0.22,4,0.3,08017
8,27,1421,13,0.91,8,0.56,9,0.63,13,0.91,11,0.77,10,0.7,44,3.1,42,2.96,44,3.1,42,2.96,42,2.96,44,3.1,5,0.35,1,0.07,1,0.07,7,0.49,7,0.49,6,0.42,1,0.07,4,0.28,0,0.0,1,0.07,1,0.07,3,0.21,4,0.28,08027
8,28,1441,17,1.18,9,0.62,8,0.56,11,0.76,2,0.14,5,0.35,45,3.12,44,3.05,38,2.64,45,3.12,54,3.75,49,3.4,3,0.21,2,0.14,5,0.35,7,0.49,3,0.21,6,0.42,2,0.14,3,0.21,4,0.28,0,0.0,1,0.07,6,0.42,4,0.28,08028
8,32,1234,7,0.57,7,0.57,6,0.49,7,0.57,7,0.57,1,0.08,29,2.35,31,2.51,29,2.35,36,2.92,43,3.48,41,3.32,4,0.32,0,0.0,6,0.49,6,0.49,4,0.32,8,0.65,4,0.32,4,0.32,4,0.32,4,0.32,1,0.08,0,0.0,2,0.16,08032
8,36,1514,13,0.86,10,0.66,9,0.59,17,1.12,10,0.66,3,0.2,39,2.58,27,1.78,26,1.72,31,2.05,29,1.92,30,1.98,4,0.26,4,0.26,4,0.26,5,0.33,7,0.46,7,0.46,2,0.13,8,0.53,0,0.0,2,0.13,0,0.0,1,0.07,4,0.26,08036
