ward,precinct,total,Sophia Olazaba (Elizabeth Warren),Sophia Olazaba (Elizabeth Warren) Percent,Will Guzzardi (Elizabeth Warren),Will Guzzardi (Elizabeth Warren) Percent,Venu Gupta (Elizabeth Warren),Venu Gupta (Elizabeth Warren) Percent,Omar Aquino (Elizabeth Warren),Omar Aquino (Elizabeth Warren) Percent,Abby Witt (Elizabeth Warren),Abby Witt (Elizabeth Warren) Percent,Alma Anaya (Bernie Sanders),Alma Anaya (Bernie Sanders) Percent,Melissa Rubio (Bernie Sanders),Melissa Rubio (Bernie Sanders) Percent,Shana East (Bernie Sanders),Shana East (Bernie Sanders) Percent,Byron Sigcho-Lopez (Bernie Sanders),Byron Sigcho-Lopez (Bernie Sanders) Percent,Colin Bird-Martinez (Bernie Sanders),Colin Bird-Martinez (Bernie Sanders) Percent,"Jesus Ayala, Jr. (Andrew Yang)","Jesus Ayala, Jr. (Andrew Yang) Percent",Melissa Strube (Andrew Yang),Melissa Strube (Andrew Yang) Percent,Peter Gariepy (Pete Buttigieg),Peter Gariepy (Pete Buttigieg) Percent,precinct_id
26,29,426,16,3.76,9,2.11,4,0.94,7,1.64,7,1.64,60,14.08,63,14.79,51,11.97,56,13.15,54,12.68,0,0.0,2,0.47,8,1.88,26029
26,30,820,16,1.95,12,1.46,8,0.98,19,2.32,10,1.22,121,14.76,115,14.02,106,12.93,103,12.56,102,12.44,9,1.1,7,0.85,14,1.71,26030
26,31,338,10,2.96,6,1.78,5,1.48,7,2.07,4,1.18,53,15.68,52,15.38,43,12.72,46,13.61,40,11.83,1,0.3,0,0.0,4,1.18,26031
26,33,115,2,1.74,2,1.74,1,0.87,1,0.87,3,2.61,21,18.26,19,16.52,18,15.65,17,14.78,17,14.78,1,0.87,0,0.0,1,0.87,26033
26,34,946,12,1.27,28,2.96,13,1.37,14,1.48,12,1.27,141,14.9,149,15.75,141,14.9,135,14.27,132,13.95,10,1.06,6,0.63,9,0.95,26034
26,35,804,15,1.87,12,1.49,6,0.75,25,3.11,9,1.12,125,15.55,123,15.3,109,13.56,116,14.43,108,13.43,8,1.0,3,0.37,3,0.37,26035
26,36,34,1,2.94,0,0.0,0,0.0,0,0.0,0,0.0,5,14.71,5,14.71,5,14.71,5,14.71,5,14.71,0,0.0,0,0.0,0,0.0,26036
26,37,899,24,2.67,21,2.34,13,1.45,21,2.34,18,2.0,132,14.68,144,16.02,112,12.46,112,12.46,109,12.12,9,1.0,7,0.78,10,1.11,26037
26,38,252,6,2.38,5,1.98,3,1.19,11,4.37,5,1.98,28,11.11,36,14.29,25,9.92,25,9.92,23,9.13,9,3.57,2,0.79,1,0.4,26038
26,39,445,12,2.7,9,2.02,8,1.8,12,2.7,10,2.25,63,14.16,59,13.26,56,12.58,53,11.91,50,11.24,5,1.12,0,0.0,2,0.45,26039
26,40,639,15,2.35,13,2.03,10,1.56,12,1.88,5,0.78,92,14.4,98,15.34,83,12.99,82,12.83,80,12.52,6,0.94,5,0.78,6,0.94,26040
26,41,939,14,1.49,5,0.53,7,0.75,13,1.38,9,0.96,150,15.97,158,16.83,143,15.23,132,14.06,122,12.99,10,1.06,7,0.75,7,0.75,26041
26,42,778,22,2.83,20,2.57,16,2.06,19,2.44,13,1.67,114,14.65,117,15.04,109,14.01,109,14.01,100,12.85,5,0.64,1,0.13,5,0.64,26042
26,43,445,8,1.8,4,0.9,2,0.45,18,4.04,2,0.45,63,14.16,59,13.26,47,10.56,42,9.44,39,8.76,11,2.47,1,0.22,6,1.35,26043
26,44,267,4,1.5,4,1.5,3,1.12,8,3.0,3,1.12,34,12.73,34,12.73,29,10.86,30,11.24,29,10.86,7,2.62,2,0.75,1,0.37,26044
26,45,65,2,3.08,2,3.08,1,1.54,2,3.08,1,1.54,9,13.85,11,16.92,6,9.23,7,10.77,6,9.23,3,4.62,2,3.08,0,0.0,26045
26,47,450,15,3.33,5,1.11,3,0.67,16,3.56,6,1.33,61,13.56,62,13.78,49,10.89,53,11.78,47,10.44,6,1.33,0,0.0,4,0.89,26047
26,48,894,26,2.91,18,2.01,16,1.79,24,2.68,26,2.91,134,14.99,126,14.09,115,12.86,108,12.08,100,11.19,7,0.78,3,0.34,12,1.34,26048
26,49,378,5,1.32,1,0.26,5,1.32,16,4.23,1,0.26,59,15.61,58,15.34,45,11.9,43,11.38,46,12.17,6,1.59,1,0.26,2,0.53,26049
28,19,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28019
29,1,78,2,2.56,0,0.0,0,0.0,0,0.0,1,1.28,9,11.54,9,11.54,6,7.69,8,10.26,7,8.97,0,0.0,0,0.0,1,1.28,29001
29,9,1141,24,2.1,16,1.4,12,1.05,18,1.58,26,2.28,92,8.06,90,7.89,84,7.36,80,7.01,67,5.87,16,1.4,10,0.88,23,2.02,29009
29,23,658,10,1.52,4,0.61,4,0.61,7,1.06,12,1.82,62,9.42,57,8.66,48,7.29,46,6.99,42,6.38,11,1.67,8,1.22,15,2.28,29023
29,30,1050,26,2.48,14,1.33,11,1.05,21,2.0,28,2.67,81,7.71,86,8.19,82,7.81,66,6.29,64,6.1,8,0.76,1,0.1,24,2.29,29030
29,38,854,21,2.46,5,0.59,5,0.59,15,1.76,15,1.76,99,11.59,101,11.83,86,10.07,85,9.95,80,9.37,15,1.76,4,0.47,16,1.87,29038
29,39,232,15,6.47,4,1.72,3,1.29,7,3.02,2,0.86,25,10.78,29,12.5,20,8.62,18,7.76,19,8.19,2,0.86,1,0.43,6,2.59,29039
29,43,519,8,1.54,4,0.77,7,1.35,3,0.58,12,2.31,41,7.9,42,8.09,38,7.32,34,6.55,27,5.2,2,0.39,1,0.19,8,1.54,29043
30,1,1056,35,3.31,47,4.45,15,1.42,19,1.8,31,2.94,110,10.42,118,11.17,92,8.71,91,8.62,85,8.05,21,1.99,11,1.04,20,1.89,30001
30,2,785,14,1.78,7,0.89,5,0.64,28,3.57,5,0.64,100,12.74,104,13.25,76,9.68,75,9.55,74,9.43,14,1.78,6,0.76,15,1.91,30002
30,3,950,27,2.84,22,2.32,19,2.0,16,1.68,26,2.74,111,11.68,113,11.89,99,10.42,97,10.21,103,10.84,10,1.05,1,0.11,17,1.79,30003
30,4,871,14,1.61,27,3.1,10,1.15,20,2.3,14,1.61,111,12.74,106,12.17,93,10.68,95,10.91,83,9.53,12,1.38,3,0.34,11,1.26,30004
30,5,622,16,2.57,7,1.13,4,0.64,23,3.7,7,1.13,85,13.67,88,14.15,61,9.81,67,10.77,59,9.49,12,1.93,2,0.32,7,1.13,30005
30,6,754,28,3.71,12,1.59,9,1.19,21,2.79,16,2.12,89,11.8,96,12.73,75,9.95,70,9.28,65,8.62,16,2.12,7,0.93,6,0.8,30006
30,7,1017,25,2.46,43,4.23,22,2.16,14,1.38,21,2.06,138,13.57,137,13.47,115,11.31,110,10.82,104,10.23,10,0.98,7,0.69,19,1.87,30007
30,8,1348,28,2.08,20,1.48,22,1.63,22,1.63,21,1.56,209,15.5,210,15.58,181,13.43,186,13.8,171,12.69,13,0.96,9,0.67,9,0.67,30008
30,9,694,17,2.45,17,2.45,8,1.15,13,1.87,10,1.44,74,10.66,74,10.66,55,7.93,57,8.21,58,8.36,13,1.87,4,0.58,12,1.73,30009
30,10,728,21,2.88,7,0.96,7,0.96,23,3.16,10,1.37,82,11.26,80,10.99,57,7.83,61,8.38,62,8.52,14,1.92,6,0.82,13,1.79,30010
30,11,742,18,2.43,9,1.21,5,0.67,26,3.5,3,0.4,107,14.42,102,13.75,71,9.57,72,9.7,69,9.3,15,2.02,4,0.54,7,0.94,30011
30,12,701,13,1.85,7,1.0,7,1.0,21,3.0,7,1.0,92,13.12,104,14.84,71,10.13,80,11.41,75,10.7,12,1.71,7,1.0,5,0.71,30012
30,13,776,12,1.55,8,1.03,9,1.16,26,3.35,10,1.29,78,10.05,79,10.18,59,7.6,64,8.25,54,6.96,11,1.42,7,0.9,14,1.8,30013
30,14,557,12,2.15,10,1.8,6,1.08,29,5.21,7,1.26,62,11.13,59,10.59,37,6.64,41,7.36,41,7.36,14,2.51,4,0.72,4,0.72,30014
30,15,327,8,2.45,7,2.14,6,1.83,6,1.83,7,2.14,35,10.7,42,12.84,38,11.62,33,10.09,31,9.48,2,0.61,1,0.31,7,2.14,30015
30,16,395,8,2.03,6,1.52,3,0.76,17,4.3,4,1.01,58,14.68,50,12.66,38,9.62,42,10.63,35,8.86,2,0.51,2,0.51,3,0.76,30016
30,17,361,10,2.77,19,5.26,8,2.22,6,1.66,8,2.22,35,9.7,37,10.25,27,7.48,30,8.31,28,7.76,2,0.55,3,0.83,7,1.94,30017
30,18,1370,24,1.75,35,2.55,15,1.09,14,1.02,18,1.31,206,15.04,210,15.33,180,13.14,186,13.58,168,12.26,15,1.09,3,0.22,10,0.73,30018
30,19,817,14,1.71,11,1.35,6,0.73,17,2.08,7,0.86,120,14.69,121,14.81,84,10.28,90,11.02,87,10.65,21,2.57,9,1.1,3,0.37,30019
30,20,1040,18,1.73,41,3.94,10,0.96,16,1.54,14,1.35,123,11.83,119,11.44,109,10.48,105,10.1,99,9.52,8,0.77,8,0.77,28,2.69,30020
30,22,1544,30,1.94,20,1.3,17,1.1,18,1.17,24,1.55,250,16.19,250,16.19,225,14.57,213,13.8,218,14.12,18,1.17,6,0.39,18,1.17,30022
30,23,1096,30,2.74,43,3.92,19,1.73,28,2.55,20,1.82,166,15.15,164,14.96,140,12.77,139,12.68,134,12.23,14,1.28,7,0.64,13,1.19,30023
30,24,1604,26,1.62,25,1.56,17,1.06,21,1.31,25,1.56,265,16.52,266,16.58,235,14.65,233,14.53,224,13.97,9,0.56,10,0.62,11,0.69,30024
30,25,1514,45,2.97,39,2.58,21,1.39,24,1.59,33,2.18,232,15.32,236,15.59,206,13.61,205,13.54,188,12.42,14,0.92,8,0.53,15,0.99,30025
30,26,556,21,3.78,22,3.96,13,2.34,17,3.06,15,2.7,67,12.05,59,10.61,57,10.25,55,9.89,57,10.25,9,1.62,5,0.9,4,0.72,30026
30,27,662,12,1.81,24,3.63,7,1.06,14,2.11,11,1.66,82,12.39,80,12.08,62,9.37,71,10.73,63,9.52,4,0.6,4,0.6,10,1.51,30027
30,28,1213,47,3.87,31,2.56,31,2.56,30,2.47,39,3.22,143,11.79,135,11.13,119,9.81,115,9.48,114,9.4,22,1.81,15,1.24,14,1.15,30028
30,29,477,5,1.05,8,1.68,4,0.84,10,2.1,7,1.47,71,14.88,70,14.68,54,11.32,57,11.95,54,11.32,9,1.89,5,1.05,6,1.26,30029
30,30,341,3,0.88,1,0.29,4,1.17,9,2.64,1,0.29,49,14.37,48,14.08,39,11.44,41,12.02,35,10.26,5,1.47,3,0.88,2,0.59,30030
30,31,638,16,2.51,26,4.08,11,1.72,14,2.19,9,1.41,63,9.87,59,9.25,55,8.62,52,8.15,51,7.99,11,1.72,6,0.94,13,2.04,30031
30,32,950,28,2.95,22,2.32,21,2.21,21,2.21,25,2.63,98,10.32,100,10.53,89,9.37,88,9.26,84,8.84,9,0.95,10,1.05,23,2.42,30032
31,1,452,10,2.21,21,4.65,5,1.11,14,3.1,5,1.11,51,11.28,49,10.84,36,7.96,42,9.29,48,10.62,12,2.65,0,0.0,1,0.22,31001
31,2,435,7,1.61,25,5.75,4,0.92,12,2.76,5,1.15,52,11.95,51,11.72,42,9.66,42,9.66,36,8.28,7,1.61,3,0.69,5,1.15,31002
31,3,519,15,2.89,7,1.35,6,1.16,19,3.66,8,1.54,68,13.1,62,11.95,46,8.86,48,9.25,41,7.9,11,2.12,5,0.96,6,1.16,31003
31,4,905,37,4.09,34,3.76,25,2.76,34,3.76,30,3.31,127,14.03,128,14.14,119,13.15,112,12.38,113,12.49,4,0.44,7,0.77,10,1.1,31004
31,5,646,14,2.17,23,3.56,8,1.24,10,1.55,7,1.08,70,10.84,80,12.38,64,9.91,66,10.22,67,10.37,7,1.08,4,0.62,14,2.17,31005
31,6,355,11,3.1,14,3.94,4,1.13,11,3.1,10,2.82,46,12.96,54,15.21,38,10.7,36,10.14,34,9.58,2,0.56,1,0.28,3,0.85,31006
31,7,1240,30,2.42,42,3.39,21,1.69,24,1.94,24,1.94,179,14.44,178,14.35,153,12.34,140,11.29,154,12.42,8,0.65,5,0.4,16,1.29,31007
31,8,432,9,2.08,14,3.24,4,0.93,7,1.62,7,1.62,56,12.96,58,13.43,41,9.49,48,11.11,44,10.19,6,1.39,3,0.69,6,1.39,31008
31,9,527,12,2.28,12,2.28,6,1.14,17,3.23,7,1.33,79,14.99,75,14.23,54,10.25,57,10.82,61,11.57,6,1.14,5,0.95,4,0.76,31009
31,10,724,15,2.07,23,3.18,6,0.83,15,2.07,6,0.83,106,14.64,107,14.78,83,11.46,88,12.15,83,11.46,13,1.8,4,0.55,8,1.1,31010
31,11,444,7,1.58,15,3.38,5,1.13,12,2.7,3,0.68,50,11.26,52,11.71,44,9.91,45,10.14,42,9.46,3,0.68,1,0.23,7,1.58,31011
31,12,512,11,2.15,18,3.52,5,0.98,11,2.15,8,1.56,59,11.52,59,11.52,46,8.98,43,8.4,47,9.18,7,1.37,3,0.59,10,1.95,31012
31,13,604,17,2.81,23,3.81,6,0.99,10,1.66,8,1.32,87,14.4,92,15.23,64,10.6,66,10.93,67,11.09,8,1.32,3,0.5,4,0.66,31013
31,14,527,14,2.66,15,2.85,8,1.52,11,2.09,8,1.52,59,11.2,58,11.01,48,9.11,46,8.73,46,8.73,9,1.71,8,1.52,8,1.52,31014
31,15,560,9,1.61,8,1.43,3,0.54,19,3.39,8,1.43,66,11.79,66,11.79,54,9.64,59,10.54,58,10.36,10,1.79,6,1.07,11,1.96,31015
31,16,1091,22,2.02,27,2.47,15,1.37,13,1.19,11,1.01,164,15.03,159,14.57,150,13.75,151,13.84,149,13.66,9,0.82,6,0.55,14,1.28,31016
31,17,475,11,2.32,17,3.58,8,1.68,14,2.95,13,2.74,62,13.05,60,12.63,48,10.11,49,10.32,54,11.37,6,1.26,1,0.21,3,0.63,31017
31,18,521,8,1.54,17,3.26,4,0.77,8,1.54,9,1.73,56,10.75,58,11.13,46,8.83,44,8.45,44,8.45,9,1.73,1,0.19,1,0.19,31018
31,19,569,8,1.41,12,2.11,6,1.05,11,1.93,9,1.58,85,14.94,81,14.24,62,10.9,65,11.42,65,11.42,8,1.41,4,0.7,4,0.7,31019
31,20,436,7,1.61,14,3.21,0,0.0,18,4.13,6,1.38,52,11.93,63,14.45,48,11.01,42,9.63,41,9.4,11,2.52,4,0.92,6,1.38,31020
31,21,442,15,3.39,10,2.26,5,1.13,16,3.62,9,2.04,54,12.22,50,11.31,37,8.37,36,8.14,32,7.24,12,2.71,1,0.23,8,1.81,31021
31,22,399,15,3.76,11,2.76,7,1.75,20,5.01,11,2.76,55,13.78,52,13.03,40,10.03,44,11.03,35,8.77,12,3.01,5,1.25,4,1.0,31022
31,23,599,15,2.5,20,3.34,2,0.33,9,1.5,4,0.67,81,13.52,84,14.02,68,11.35,70,11.69,71,11.85,7,1.17,8,1.34,10,1.67,31023
31,24,631,17,2.69,23,3.65,6,0.95,14,2.22,9,1.43,82,13.0,86,13.63,67,10.62,66,10.46,67,10.62,11,1.74,5,0.79,4,0.63,31024
31,25,605,16,2.64,7,1.16,4,0.66,17,2.81,7,1.16,91,15.04,84,13.88,68,11.24,67,11.07,68,11.24,3,0.5,1,0.17,4,0.66,31025
31,26,648,14,2.16,41,6.33,10,1.54,18,2.78,9,1.39,81,12.5,79,12.19,63,9.72,63,9.72,69,10.65,15,2.31,9,1.39,4,0.62,31026
31,27,584,11,1.88,21,3.6,3,0.51,14,2.4,6,1.03,76,13.01,87,14.9,64,10.96,65,11.13,64,10.96,8,1.37,2,0.34,2,0.34,31027
31,28,437,11,2.52,15,3.43,6,1.37,10,2.29,8,1.83,59,13.5,56,12.81,43,9.84,41,9.38,38,8.7,8,1.83,1,0.23,4,0.92,31028
31,29,452,9,1.99,13,2.88,7,1.55,7,1.55,11,2.43,53,11.73,57,12.61,44,9.73,46,10.18,46,10.18,6,1.33,4,0.88,7,1.55,31029
31,30,446,3,0.67,18,4.04,4,0.9,11,2.47,6,1.35,62,13.9,61,13.68,46,10.31,52,11.66,52,11.66,7,1.57,1,0.22,7,1.57,31030
31,31,442,16,3.62,8,1.81,6,1.36,14,3.17,8,1.81,52,11.76,50,11.31,42,9.5,48,10.86,42,9.5,5,1.13,4,0.9,9,2.04,31031
31,32,391,10,2.56,17,4.35,3,0.77,9,2.3,7,1.79,55,14.07,55,14.07,44,11.25,44,11.25,45,11.51,7,1.79,7,1.79,5,1.28,31032
31,33,548,14,2.55,14,2.55,4,0.73,8,1.46,12,2.19,57,10.4,63,11.5,44,8.03,45,8.21,47,8.58,10,1.82,5,0.91,7,1.28,31033
31,34,695,19,2.73,23,3.31,9,1.29,15,2.16,13,1.87,86,12.37,89,12.81,65,9.35,64,9.21,65,9.35,15,2.16,3,0.43,11,1.58,31034
31,35,668,20,2.99,23,3.44,9,1.35,13,1.95,14,2.1,93,13.92,86,12.87,69,10.33,66,9.88,73,10.93,13,1.95,5,0.75,6,0.9,31035
31,36,601,12,2.0,23,3.83,5,0.83,8,1.33,8,1.33,72,11.98,77,12.81,59,9.82,65,10.82,62,10.32,4,0.67,2,0.33,6,1.0,31036
31,37,549,12,2.19,19,3.46,4,0.73,12,2.19,7,1.28,57,10.38,69,12.57,47,8.56,55,10.02,52,9.47,10,1.82,6,1.09,7,1.28,31037
31,38,404,10,2.48,12,2.97,4,0.99,6,1.49,5,1.24,48,11.88,48,11.88,38,9.41,41,10.15,40,9.9,12,2.97,1,0.25,8,1.98,31038
31,39,727,21,2.89,18,2.48,8,1.1,13,1.79,6,0.83,114,15.68,116,15.96,103,14.17,88,12.1,98,13.48,10,1.38,3,0.41,7,0.96,31039
31,40,735,17,2.31,27,3.67,9,1.22,16,2.18,10,1.36,107,14.56,114,15.51,93,12.65,90,12.24,92,12.52,7,0.95,4,0.54,8,1.09,31040
31,41,459,9,1.96,18,3.92,5,1.09,10,2.18,7,1.53,63,13.73,65,14.16,50,10.89,52,11.33,56,12.2,5,1.09,2,0.44,7,1.53,31041
32,1,23,0,0.0,0,0.0,0,0.0,0,0.0,1,4.35,3,13.04,5,21.74,3,13.04,3,13.04,3,13.04,0,0.0,0,0.0,0,0.0,32001
32,3,1711,53,3.1,59,3.45,31,1.81,32,1.87,36,2.1,208,12.16,204,11.92,187,10.93,179,10.46,159,9.29,13,0.76,5,0.29,39,2.28,32003
32,11,1411,42,2.98,67,4.75,29,2.06,29,2.06,39,2.76,189,13.39,184,13.04,168,11.91,169,11.98,155,10.99,10,0.71,4,0.28,21,1.49,32011
32,12,1187,21,1.77,37,3.12,18,1.52,19,1.6,12,1.01,179,15.08,177,14.91,165,13.9,164,13.82,150,12.64,3,0.25,5,0.42,12,1.01,32012
32,14,1553,41,2.64,51,3.28,26,1.67,30,1.93,39,2.51,206,13.26,212,13.65,191,12.3,182,11.72,172,11.08,9,0.58,8,0.52,22,1.42,32014
32,16,72,2,2.78,1,1.39,1,1.39,2,2.78,2,2.78,8,11.11,6,8.33,6,8.33,6,8.33,4,5.56,2,2.78,0,0.0,3,4.17,32016
32,17,1717,49,2.85,31,1.81,28,1.63,17,0.99,29,1.69,240,13.98,243,14.15,231,13.45,220,12.81,216,12.58,12,0.7,8,0.47,27,1.57,32017
32,20,1636,54,3.3,55,3.36,29,1.77,31,1.89,36,2.2,225,13.75,227,13.88,214,13.08,198,12.1,187,11.43,13,0.79,16,0.98,27,1.65,32020
32,22,1757,54,3.07,56,3.19,37,2.11,39,2.22,45,2.56,234,13.32,237,13.49,219,12.46,202,11.5,199,11.33,11,0.63,7,0.4,31,1.76,32022
32,26,1716,47,2.74,57,3.32,24,1.4,26,1.52,35,2.04,211,12.3,202,11.77,190,11.07,182,10.61,172,10.02,10,0.58,10,0.58,26,1.52,32026
32,28,1620,44,2.72,57,3.52,34,2.1,35,2.16,40,2.47,196,12.1,202,12.47,189,11.67,181,11.17,167,10.31,13,0.8,7,0.43,27,1.67,32028
32,43,1532,56,3.66,47,3.07,33,2.15,30,1.96,43,2.81,185,12.08,176,11.49,169,11.03,163,10.64,149,9.73,5,0.33,4,0.26,35,2.28,32043
33,1,1636,44,2.69,27,1.65,25,1.53,32,1.96,36,2.2,226,13.81,226,13.81,191,11.67,188,11.49,183,11.19,19,1.16,10,0.61,21,1.28,33001
33,3,2138,77,3.6,35,1.64,40,1.87,41,1.92,52,2.43,274,12.82,278,13.0,249,11.65,238,11.13,228,10.66,16,0.75,8,0.37,48,2.25,33003
33,4,2062,41,1.99,24,1.16,22,1.07,31,1.5,31,1.5,279,13.53,286,13.87,238,11.54,234,11.35,225,10.91,32,1.55,11,0.53,45,2.18,33004
33,6,1257,35,2.78,20,1.59,13,1.03,24,1.91,19,1.51,163,12.97,170,13.52,144,11.46,147,11.69,137,10.9,15,1.19,5,0.4,13,1.03,33006
33,7,552,16,2.9,7,1.27,12,2.17,6,1.09,7,1.27,77,13.95,76,13.77,67,12.14,67,12.14,65,11.78,9,1.63,3,0.54,11,1.99,33007
33,8,893,37,4.14,26,2.91,24,2.69,21,2.35,36,4.03,105,11.76,102,11.42,102,11.42,92,10.3,85,9.52,6,0.67,5,0.56,15,1.68,33008
33,9,1569,37,2.36,26,1.66,20,1.27,29,1.85,39,2.49,174,11.09,176,11.22,157,10.01,154,9.82,152,9.69,18,1.15,14,0.89,34,2.17,33009
33,10,1174,28,2.39,19,1.62,17,1.45,20,1.7,28,2.39,117,9.97,116,9.88,108,9.2,108,9.2,103,8.77,14,1.19,5,0.43,29,2.47,33010
33,11,1442,33,2.29,23,1.6,23,1.6,26,1.8,29,2.01,175,12.14,180,12.48,170,11.79,164,11.37,156,10.82,16,1.11,7,0.49,29,2.01,33011
33,12,1281,27,2.11,16,1.25,14,1.09,20,1.56,24,1.87,167,13.04,166,12.96,144,11.24,141,11.01,138,10.77,13,1.01,6,0.47,19,1.48,33012
33,13,1423,26,1.83,21,1.48,17,1.19,20,1.41,20,1.41,217,15.25,211,14.83,198,13.91,198,13.91,188,13.21,9,0.63,7,0.49,18,1.26,33013
33,14,661,14,2.12,13,1.97,7,1.06,6,0.91,6,0.91,94,14.22,94,14.22,86,13.01,85,12.86,79,11.95,5,0.76,5,0.76,11,1.66,33014
33,15,1425,41,2.88,32,2.25,31,2.18,34,2.39,36,2.53,186,13.05,195,13.68,167,11.72,156,10.95,154,10.81,16,1.12,5,0.35,20,1.4,33015
33,16,1900,54,2.84,26,1.37,32,1.68,36,1.89,41,2.16,238,12.53,237,12.47,203,10.68,203,10.68,189,9.95,20,1.05,16,0.84,25,1.32,33016
33,17,1510,43,2.85,23,1.52,24,1.59,26,1.72,52,3.44,187,12.38,185,12.25,170,11.26,161,10.66,151,10.0,16,1.06,6,0.4,26,1.72,33017
33,19,826,18,2.18,11,1.33,9,1.09,15,1.82,14,1.69,105,12.71,104,12.59,91,11.02,92,11.14,89,10.77,10,1.21,4,0.48,20,2.42,33019
33,20,1935,59,3.05,44,2.27,43,2.22,46,2.38,55,2.84,238,12.3,241,12.45,218,11.27,207,10.7,204,10.54,15,0.78,10,0.52,37,1.91,33020
33,21,1607,56,3.48,34,2.12,42,2.61,40,2.49,48,2.99,190,11.82,187,11.64,163,10.14,155,9.65,146,9.09,11,0.68,9,0.56,30,1.87,33021
33,22,1452,39,2.69,30,2.07,25,1.72,25,1.72,35,2.41,155,10.67,150,10.33,129,8.88,136,9.37,134,9.23,23,1.58,6,0.41,37,2.55,33022
33,23,1588,49,3.09,35,2.2,31,1.95,31,1.95,56,3.53,187,11.78,169,10.64,167,10.52,155,9.76,154,9.7,5,0.31,6,0.38,36,2.27,33023
33,25,1919,51,2.66,30,1.56,34,1.77,38,1.98,49,2.55,223,11.62,215,11.2,197,10.27,194,10.11,185,9.64,14,0.73,12,0.63,35,1.82,33025
33,26,1180,30,2.54,28,2.37,18,1.53,24,2.03,20,1.69,182,15.42,176,14.92,162,13.73,162,13.73,155,13.14,10,0.85,8,0.68,14,1.19,33026
33,27,1708,58,3.4,33,1.93,38,2.22,43,2.52,40,2.34,223,13.06,223,13.06,210,12.3,197,11.53,195,11.42,12,0.7,6,0.35,25,1.46,33027
33,28,1507,37,2.46,29,1.92,22,1.46,20,1.33,25,1.66,237,15.73,229,15.2,208,13.8,203,13.47,197,13.07,11,0.73,6,0.4,19,1.26,33028
35,1,1306,29,2.22,23,1.76,16,1.23,14,1.07,22,1.68,196,15.01,198,15.16,172,13.17,167,12.79,166,12.71,11,0.84,4,0.31,17,1.3,35001
35,2,1568,37,2.36,54,3.44,24,1.53,45,2.87,30,1.91,175,11.16,186,11.86,169,10.78,171,10.91,167,10.65,16,1.02,4,0.26,27,1.72,35002
35,3,1125,26,2.31,24,2.13,16,1.42,26,2.31,21,1.87,175,15.56,178,15.82,149,13.24,154,13.69,139,12.36,16,1.42,5,0.44,7,0.62,35003
35,4,1226,32,2.61,23,1.88,21,1.71,32,2.61,25,2.04,152,12.4,163,13.3,131,10.69,131,10.69,128,10.44,12,0.98,5,0.41,26,2.12,35004
35,5,1076,40,3.72,24,2.23,16,1.49,22,2.04,16,1.49,163,15.15,167,15.52,134,12.45,137,12.73,132,12.27,13,1.21,3,0.28,11,1.02,35005
35,6,1299,39,3.0,31,2.39,21,1.62,29,2.23,30,2.31,192,14.78,190,14.63,176,13.55,169,13.01,163,12.55,11,0.85,5,0.38,15,1.15,35006
35,7,1405,28,1.99,32,2.28,14,1.0,25,1.78,18,1.28,224,15.94,227,16.16,199,14.16,193,13.74,181,12.88,8,0.57,6,0.43,15,1.07,35007
35,8,1251,37,2.96,22,1.76,13,1.04,35,2.8,17,1.36,187,14.95,181,14.47,164,13.11,159,12.71,151,12.07,13,1.04,7,0.56,7,0.56,35008
35,9,955,28,2.93,19,1.99,20,2.09,25,2.62,24,2.51,117,12.25,121,12.67,94,9.84,92,9.63,90,9.42,15,1.57,9,0.94,23,2.41,35009
35,10,2002,46,2.3,69,3.45,32,1.6,34,1.7,39,1.95,319,15.93,313,15.63,291,14.54,282,14.09,271,13.54,14,0.7,8,0.4,15,0.75,35010
35,11,1478,38,2.57,51,3.45,26,1.76,30,2.03,33,2.23,223,15.09,218,14.75,198,13.4,194,13.13,185,12.52,14,0.95,8,0.54,13,0.88,35011
35,12,648,10,1.54,3,0.46,3,0.46,20,3.09,5,0.77,103,15.9,101,15.59,84,12.96,82,12.65,81,12.5,14,2.16,6,0.93,2,0.31,35012
35,13,592,14,2.36,3,0.51,5,0.84,17,2.87,4,0.68,91,15.37,100,16.89,80,13.51,81,13.68,73,12.33,12,2.03,2,0.34,5,0.84,35013
35,14,836,9,1.08,11,1.32,8,0.96,20,2.39,13,1.56,131,15.67,131,15.67,105,12.56,112,13.4,106,12.68,10,1.2,3,0.36,4,0.48,35014
35,15,1546,26,1.68,39,2.52,15,0.97,18,1.16,21,1.36,250,16.17,249,16.11,221,14.29,219,14.17,208,13.45,14,0.91,9,0.58,9,0.58,35015
35,16,517,14,2.71,7,1.35,4,0.77,22,4.26,5,0.97,79,15.28,73,14.12,52,10.06,58,11.22,55,10.64,5,0.97,0,0.0,3,0.58,35016
35,17,1452,38,2.62,47,3.24,25,1.72,21,1.45,31,2.13,211,14.53,208,14.33,198,13.64,187,12.88,181,12.47,11,0.76,5,0.34,19,1.31,35017
35,18,804,13,1.62,11,1.37,9,1.12,29,3.61,7,0.87,120,14.93,119,14.8,85,10.57,88,10.95,93,11.57,19,2.36,3,0.37,6,0.75,35018
