ward,precinct,total,Amalia Dejesus (Bernie Sanders),Amalia Dejesus (Bernie Sanders) Percent,Deliah Odeh (Bernie Sanders),Deliah Odeh (Bernie Sanders) Percent,Maureen Sullivan (Bernie Sanders),Maureen Sullivan (Bernie Sanders) Percent,Daniel Guzman (Bernie Sanders),Daniel Guzman (Bernie Sanders) Percent,Jose Requena (Bernie Sanders),Jose Requena (Bernie Sanders) Percent,Kyle Killacky (Bernie Sanders),Kyle Killacky (Bernie Sanders) Percent,Neel Jhobalia (Andrew Yang),Neel Jhobalia (Andrew Yang) Percent,Brian Pioppo (Andrew Yang),Brian Pioppo (Andrew Yang) Percent,Kate Wu (Andrew Yang),Kate Wu (Andrew Yang) Percent,Kathleen ''Kathy'' Shaevel (Elizabeth,Kathleen ''Kathy'' Shaevel (Elizabeth Percent,Adam Flores (Elizabeth Warren),Adam Flores (Elizabeth Warren) Percent,Angela Robertson (Elizabeth Warren),Angela Robertson (Elizabeth Warren) Percent,Jose Luis Torrez (Elizabeth Warren),Jose Luis Torrez (Elizabeth Warren) Percent,Tammy Georgiou (Elizabeth Warren),Tammy Georgiou (Elizabeth Warren) Percent,Christian D. Perry (Elizabeth Warren),Christian D. Perry (Elizabeth Warren) Percent,precinct_id
19,12,958,51,5.32,48,5.01,58,6.05,47,4.91,48,5.01,45,4.7,7,0.73,10,1.04,14,1.46,10,1.04,9,0.94,8,0.84,7,0.73,8,0.84,5,0.52,19012
19,15,1227,68,5.54,67,5.46,92,7.5,73,5.95,62,5.05,77,6.28,12,0.98,21,1.71,18,1.47,10,0.81,7,0.57,14,1.14,5,0.41,9,0.73,12,0.98,19015
19,16,1138,49,4.31,52,4.57,76,6.68,54,4.75,48,4.22,58,5.1,13,1.14,16,1.41,15,1.32,19,1.67,18,1.58,15,1.32,10,0.88,18,1.58,10,0.88,19016
19,17,1049,47,4.48,41,3.91,59,5.62,44,4.19,42,4.0,44,4.19,7,0.67,8,0.76,11,1.05,10,0.95,7,0.67,6,0.57,7,0.67,9,0.86,8,0.76,19017
19,18,1704,92,5.4,87,5.11,100,5.87,92,5.4,86,5.05,84,4.93,8,0.47,8,0.47,12,0.7,13,0.76,14,0.82,17,1.0,12,0.7,13,0.76,14,0.82,19018
19,19,2278,119,5.22,111,4.87,120,5.27,107,4.7,99,4.35,104,4.57,14,0.61,13,0.57,16,0.7,31,1.36,27,1.19,29,1.27,23,1.01,30,1.32,23,1.01,19019
19,21,1158,66,5.7,66,5.7,79,6.82,63,5.44,61,5.27,71,6.13,11,0.95,9,0.78,10,0.86,16,1.38,11,0.95,12,1.04,10,0.86,10,0.86,11,0.95,19021
19,22,1707,86,5.04,87,5.1,98,5.74,82,4.8,72,4.22,73,4.28,9,0.53,12,0.7,10,0.59,17,1.0,15,0.88,22,1.29,15,0.88,15,0.88,15,0.88,19022
19,23,1451,76,5.24,70,4.82,82,5.65,73,5.03,62,4.27,68,4.69,6,0.41,10,0.69,10,0.69,10,0.69,8,0.55,12,0.83,13,0.9,7,0.48,11,0.76,19023
19,24,959,41,4.28,40,4.17,57,5.94,40,4.17,38,3.96,35,3.65,9,0.94,11,1.15,11,1.15,7,0.73,9,0.94,8,0.83,3,0.31,3,0.31,5,0.52,19024
19,25,1157,49,4.24,51,4.41,53,4.58,55,4.75,48,4.15,42,3.63,10,0.86,10,0.86,10,0.86,9,0.78,6,0.52,8,0.69,7,0.61,9,0.78,7,0.61,19025
19,26,1640,70,4.27,73,4.45,84,5.12,74,4.51,65,3.96,67,4.09,6,0.37,8,0.49,7,0.43,15,0.91,12,0.73,15,0.91,14,0.85,12,0.73,13,0.79,19026
19,29,1088,56,5.15,56,5.15,74,6.8,57,5.24,50,4.6,50,4.6,14,1.29,13,1.19,19,1.75,13,1.19,13,1.19,17,1.56,14,1.29,16,1.47,10,0.92,19029
19,30,1060,33,3.11,34,3.21,60,5.66,38,3.58,30,2.83,31,2.92,16,1.51,15,1.42,16,1.51,13,1.23,9,0.85,9,0.85,11,1.04,8,0.75,11,1.04,19030
19,32,1229,64,5.21,60,4.88,84,6.83,63,5.13,55,4.48,66,5.37,9,0.73,13,1.06,21,1.71,10,0.81,10,0.81,15,1.22,12,0.98,12,0.98,7,0.57,19032
19,33,1256,72,5.73,62,4.94,87,6.93,66,5.25,59,4.7,65,5.18,16,1.27,17,1.35,22,1.75,10,0.8,10,0.8,11,0.88,14,1.11,15,1.19,15,1.19,19033
19,34,1513,72,4.76,69,4.56,82,5.42,69,4.56,63,4.16,66,4.36,6,0.4,12,0.79,11,0.73,11,0.73,12,0.79,11,0.73,12,0.79,7,0.46,9,0.59,19034
19,35,1551,67,4.32,67,4.32,79,5.09,63,4.06,57,3.68,61,3.93,10,0.64,10,0.64,12,0.77,15,0.97,8,0.52,14,0.9,6,0.39,7,0.45,5,0.32,19035
19,41,908,43,4.74,40,4.41,47,5.18,44,4.85,37,4.07,35,3.85,11,1.21,13,1.43,11,1.21,15,1.65,9,0.99,15,1.65,4,0.44,9,0.99,5,0.55,19041
19,44,1222,41,3.36,41,3.36,67,5.48,57,4.66,46,3.76,47,3.85,24,1.96,25,2.05,28,2.29,8,0.65,8,0.65,5,0.41,9,0.74,7,0.57,8,0.65,19044
19,45,1187,57,4.8,50,4.21,72,6.07,52,4.38,49,4.13,51,4.3,13,1.1,13,1.1,13,1.1,14,1.18,15,1.26,8,0.67,9,0.76,11,0.93,10,0.84,19045
19,46,1378,57,4.14,50,3.63,71,5.15,53,3.85,50,3.63,52,3.77,9,0.65,11,0.8,9,0.65,16,1.16,13,0.94,16,1.16,11,0.8,11,0.8,10,0.73,19046
19,50,1160,49,4.22,46,3.97,57,4.91,51,4.4,45,3.88,47,4.05,6,0.52,5,0.43,11,0.95,9,0.78,10,0.86,11,0.95,11,0.95,13,1.12,8,0.69,19050
19,51,1527,66,4.32,67,4.39,77,5.04,59,3.86,50,3.27,54,3.54,9,0.59,10,0.65,13,0.85,18,1.18,9,0.59,10,0.65,9,0.59,14,0.92,7,0.46,19051
19,52,1326,70,5.28,62,4.68,82,6.18,69,5.2,61,4.6,69,5.2,17,1.28,21,1.58,18,1.36,14,1.06,14,1.06,9,0.68,11,0.83,14,1.06,13,0.98,19052
19,53,1252,53,4.23,49,3.91,68,5.43,58,4.63,46,3.67,49,3.91,5,0.4,4,0.32,9,0.72,8,0.64,10,0.8,9,0.72,4,0.32,7,0.56,2,0.16,19053
19,54,907,57,6.28,53,5.84,65,7.17,59,6.5,55,6.06,52,5.73,14,1.54,14,1.54,12,1.32,12,1.32,14,1.54,14,1.54,12,1.32,8,0.88,10,1.1,19054
19,55,845,41,4.85,38,4.5,56,6.63,41,4.85,33,3.91,40,4.73,11,1.3,12,1.42,13,1.54,6,0.71,7,0.83,5,0.59,5,0.59,7,0.83,6,0.71,19055
19,56,1759,69,3.92,66,3.75,77,4.38,64,3.64,59,3.35,53,3.01,9,0.51,6,0.34,12,0.68,13,0.74,10,0.57,20,1.14,12,0.68,14,0.8,12,0.68,19056
19,57,1518,81,5.34,81,5.34,94,6.19,83,5.47,77,5.07,71,4.68,3,0.2,4,0.26,3,0.2,19,1.25,26,1.71,24,1.58,24,1.58,22,1.45,19,1.25,19057
20,4,265,22,8.3,19,7.17,20,7.55,22,8.3,20,7.55,17,6.42,1,0.38,0,0.0,4,1.51,1,0.38,4,1.51,2,0.75,4,1.51,0,0.0,5,1.89,20004
20,15,403,55,13.65,46,11.41,44,10.92,53,13.15,47,11.66,37,9.18,0,0.0,1,0.25,0,0.0,0,0.0,6,1.49,0,0.0,12,2.98,0,0.0,0,0.0,20015
20,20,191,28,14.66,21,10.99,23,12.04,30,15.71,26,13.61,20,10.47,0,0.0,0,0.0,1,0.52,0,0.0,3,1.57,0,0.0,2,1.05,0,0.0,1,0.52,20020
22,1,591,28,4.74,28,4.74,30,5.08,31,5.25,25,4.23,28,4.74,3,0.51,1,0.17,2,0.34,3,0.51,1,0.17,6,1.02,5,0.85,2,0.34,5,0.85,22001
22,2,1177,111,9.43,77,6.54,79,6.71,102,8.67,89,7.56,68,5.78,6,0.51,9,0.76,9,0.76,8,0.68,18,1.53,12,1.02,22,1.87,7,0.59,9,0.76,22002
22,8,1342,134,9.99,110,8.2,122,9.09,129,9.61,104,7.75,105,7.82,9,0.67,11,0.82,15,1.12,10,0.75,13,0.97,18,1.34,15,1.12,5,0.37,9,0.67,22008
22,12,789,78,9.89,65,8.24,74,9.38,83,10.52,65,8.24,58,7.35,5,0.63,5,0.63,7,0.89,5,0.63,13,1.65,7,0.89,11,1.39,7,0.89,5,0.63,22012
22,23,1290,60,4.65,50,3.88,58,4.5,60,4.65,52,4.03,54,4.19,6,0.47,7,0.54,7,0.54,4,0.31,5,0.39,9,0.7,5,0.39,3,0.23,7,0.54,22023
23,1,907,40,4.41,36,3.97,54,5.95,42,4.63,39,4.3,44,4.85,5,0.55,5,0.55,11,1.21,17,1.87,11,1.21,7,0.77,10,1.1,7,0.77,7,0.77,23001
23,2,958,72,7.52,62,6.47,73,7.62,71,7.41,60,6.26,54,5.64,7,0.73,9,0.94,8,0.84,5,0.52,8,0.84,6,0.63,10,1.04,4,0.42,5,0.52,23002
23,3,818,53,6.48,50,6.11,60,7.33,63,7.7,51,6.23,50,6.11,12,1.47,12,1.47,16,1.96,13,1.59,9,1.1,8,0.98,9,1.1,6,0.73,4,0.49,23003
23,4,1095,76,6.94,68,6.21,78,7.12,79,7.21,72,6.58,58,5.3,9,0.82,12,1.1,13,1.19,13,1.19,9,0.82,7,0.64,18,1.64,3,0.27,4,0.37,23004
23,5,1096,124,11.31,102,9.31,108,9.85,134,12.23,118,10.77,95,8.67,3,0.27,4,0.36,6,0.55,7,0.64,19,1.73,9,0.82,25,2.28,6,0.55,5,0.46,23005
23,6,497,54,10.87,44,8.85,49,9.86,53,10.66,51,10.26,41,8.25,2,0.4,2,0.4,3,0.6,0,0.0,7,1.41,1,0.2,5,1.01,2,0.4,0,0.0,23006
23,7,866,109,12.59,87,10.05,99,11.43,111,12.82,96,11.09,84,9.7,2,0.23,3,0.35,3,0.35,5,0.58,10,1.15,5,0.58,19,2.19,0,0.0,3,0.35,23007
23,8,1101,114,10.35,95,8.63,105,9.54,113,10.26,97,8.81,91,8.27,5,0.45,4,0.36,4,0.36,9,0.82,13,1.18,7,0.64,13,1.18,8,0.73,8,0.73,23008
23,9,400,41,10.25,34,8.5,35,8.75,42,10.5,36,9.0,30,7.5,2,0.5,4,1.0,1,0.25,3,0.75,7,1.75,2,0.5,9,2.25,1,0.25,2,0.5,23009
23,10,1099,114,10.37,87,7.92,95,8.64,113,10.28,99,9.01,81,7.37,6,0.55,5,0.45,9,0.82,8,0.73,20,1.82,10,0.91,32,2.91,6,0.55,8,0.73,23010
23,11,1054,113,10.72,99,9.39,99,9.39,126,11.95,105,9.96,88,8.35,7,0.66,5,0.47,3,0.28,14,1.33,17,1.61,14,1.33,33,3.13,12,1.14,10,0.95,23011
23,12,980,63,6.43,58,5.92,62,6.33,62,6.33,54,5.51,51,5.2,16,1.63,17,1.73,19,1.94,5,0.51,5,0.51,5,0.51,9,0.92,5,0.51,3,0.31,23012
23,14,939,69,7.35,51,5.43,66,7.03,64,6.82,57,6.07,50,5.32,5,0.53,10,1.06,9,0.96,8,0.85,11,1.17,7,0.75,19,2.02,10,1.06,7,0.75,23014
23,15,370,48,12.97,43,11.62,37,10.0,48,12.97,42,11.35,38,10.27,3,0.81,2,0.54,4,1.08,2,0.54,4,1.08,3,0.81,6,1.62,1,0.27,0,0.0,23015
23,16,1005,66,6.57,58,5.77,63,6.27,70,6.97,56,5.57,52,5.17,8,0.8,9,0.9,11,1.09,11,1.09,11,1.09,9,0.9,13,1.29,8,0.8,9,0.9,23016
23,17,355,47,13.24,39,10.99,42,11.83,44,12.39,39,10.99,34,9.58,1,0.28,0,0.0,3,0.85,4,1.13,3,0.85,3,0.85,6,1.69,2,0.56,3,0.85,23017
23,18,827,60,7.26,52,6.29,55,6.65,60,7.26,53,6.41,51,6.17,8,0.97,11,1.33,10,1.21,9,1.09,9,1.09,8,0.97,10,1.21,7,0.85,7,0.85,23018
23,19,534,67,12.55,54,10.11,52,9.74,65,12.17,60,11.24,45,8.43,0,0.0,0,0.0,2,0.37,2,0.37,9,1.69,2,0.37,11,2.06,1,0.19,1,0.19,23019
23,20,546,67,12.27,55,10.07,57,10.44,66,12.09,57,10.44,45,8.24,2,0.37,2,0.37,1,0.18,3,0.55,5,0.92,2,0.37,12,2.2,2,0.37,0,0.0,23020
23,21,1144,69,6.03,50,4.37,58,5.07,60,5.24,56,4.9,50,4.37,7,0.61,9,0.79,13,1.14,18,1.57,16,1.4,16,1.4,12,1.05,12,1.05,7,0.61,23021
23,22,951,68,7.15,62,6.52,73,7.68,73,7.68,62,6.52,59,6.2,6,0.63,9,0.95,9,0.95,9,0.95,9,0.95,7,0.74,21,2.21,6,0.63,6,0.63,23022
23,23,995,58,5.83,51,5.13,61,6.13,64,6.43,53,5.33,57,5.73,10,1.01,15,1.51,13,1.31,10,1.01,13,1.31,12,1.21,17,1.71,8,0.8,9,0.9,23023
23,25,911,109,11.96,90,9.88,101,11.09,106,11.64,95,10.43,84,9.22,5,0.55,5,0.55,9,0.99,9,0.99,14,1.54,10,1.1,14,1.54,10,1.1,5,0.55,23025
23,26,614,78,12.7,67,10.91,74,12.05,79,12.87,70,11.4,66,10.75,3,0.49,4,0.65,3,0.49,4,0.65,4,0.65,1,0.16,6,0.98,2,0.33,1,0.16,23026
23,27,1015,67,6.6,55,5.42,69,6.8,67,6.6,59,5.81,52,5.12,11,1.08,12,1.18,16,1.58,8,0.79,16,1.58,10,0.99,16,1.58,8,0.79,4,0.39,23027
23,28,989,77,7.79,60,6.07,75,7.58,80,8.09,64,6.47,61,6.17,10,1.01,9,0.91,13,1.31,14,1.42,15,1.52,10,1.01,18,1.82,9,0.91,8,0.81,23028
23,29,911,68,7.46,60,6.59,70,7.68,77,8.45,60,6.59,57,6.26,7,0.77,7,0.77,8,0.88,13,1.43,28,3.07,14,1.54,21,2.31,18,1.98,12,1.32,23029
23,30,1182,130,11.0,109,9.22,112,9.48,134,11.34,117,9.9,101,8.54,4,0.34,5,0.42,7,0.59,8,0.68,17,1.44,12,1.02,16,1.35,7,0.59,7,0.59,23030
23,31,644,92,14.29,69,10.71,73,11.34,86,13.35,77,11.96,64,9.94,7,1.09,8,1.24,5,0.78,0,0.0,9,1.4,2,0.31,11,1.71,1,0.16,3,0.47,23031
23,32,889,98,11.02,77,8.66,75,8.44,91,10.24,78,8.77,77,8.66,3,0.34,7,0.79,9,1.01,6,0.67,7,0.79,4,0.45,8,0.9,5,0.56,2,0.22,23032
23,33,932,116,12.45,86,9.23,97,10.41,113,12.12,96,10.3,79,8.48,5,0.54,9,0.97,12,1.29,9,0.97,17,1.82,10,1.07,21,2.25,3,0.32,8,0.86,23033
23,34,643,71,11.04,61,9.49,58,9.02,74,11.51,63,9.8,53,8.24,5,0.78,1,0.16,2,0.31,3,0.47,10,1.56,8,1.24,11,1.71,1,0.16,2,0.31,23034
23,35,771,56,7.26,42,5.45,48,6.23,59,7.65,53,6.87,48,6.23,12,1.56,11,1.43,14,1.82,7,0.91,12,1.56,5,0.65,10,1.3,4,0.52,3,0.39,23035
23,36,872,53,6.08,50,5.73,55,6.31,57,6.54,50,5.73,46,5.28,10,1.15,7,0.8,9,1.03,16,1.83,13,1.49,8,0.92,12,1.38,5,0.57,8,0.92,23036
23,37,991,70,7.06,61,6.16,64,6.46,71,7.16,63,6.36,47,4.74,6,0.61,9,0.91,10,1.01,3,0.3,15,1.51,4,0.4,15,1.51,4,0.4,4,0.4,23037
23,38,906,74,8.17,64,7.06,66,7.28,71,7.84,62,6.84,58,6.4,11,1.21,9,0.99,12,1.32,13,1.43,19,2.1,16,1.77,20,2.21,14,1.55,15,1.66,23038
23,39,270,33,12.22,34,12.59,28,10.37,37,13.7,34,12.59,29,10.74,0,0.0,0,0.0,1,0.37,0,0.0,5,1.85,2,0.74,5,1.85,1,0.37,1,0.37,23039
