ward,precinct,total,Lorraine Mary Murphy,Lorraine Mary Murphy Percent,James Patrick Crawley,James Patrick Crawley Percent,Araceli Reyes De La Cruz,Araceli Reyes De La Cruz Percent,precinct_id
6,10,130,54,41.54,34,26.15,42,32.31,06010
6,11,181,91,50.28,33,18.23,57,31.49,06011
6,12,142,64,45.07,32,22.54,46,32.39,06012
6,13,168,79,47.02,36,21.43,53,31.55,06013
6,14,201,93,46.27,42,20.9,66,32.84,06014
6,15,164,91,55.49,46,28.05,27,16.46,06015
6,16,278,125,44.96,47,16.91,106,38.13,06016
6,17,125,56,44.8,35,28.0,34,27.2,06017
6,18,167,73,43.71,66,39.52,28,16.77,06018
6,19,161,80,49.69,29,18.01,52,32.3,06019
6,20,119,61,51.26,29,24.37,29,24.37,06020
6,21,98,56,57.14,29,29.59,13,13.27,06021
6,22,123,60,48.78,30,24.39,33,26.83,06022
6,23,81,34,41.98,26,32.1,21,25.93,06023
6,24,105,47,44.76,37,35.24,21,20.0,06024
6,25,92,45,48.91,19,20.65,28,30.43,06025
6,26,125,66,52.8,21,16.8,38,30.4,06026
6,27,104,61,58.65,21,20.19,22,21.15,06027
6,28,86,39,45.35,30,34.88,17,19.77,06028
6,29,233,82,35.19,42,18.03,109,46.78,06029
6,30,165,73,44.24,41,24.85,51,30.91,06030
6,31,244,97,39.75,33,13.52,114,46.72,06031
6,32,198,75,37.88,31,15.66,92,46.46,06032
6,33,209,92,44.02,38,18.18,79,37.8,06033
6,34,228,95,41.67,43,18.86,90,39.47,06034
6,35,225,97,43.11,42,18.67,86,38.22,06035
6,36,264,108,40.91,52,19.7,104,39.39,06036
6,37,265,87,32.83,46,17.36,132,49.81,06037
6,38,242,100,41.32,35,14.46,107,44.21,06038
6,39,159,64,40.25,29,18.24,66,41.51,06039
6,40,188,75,39.89,35,18.62,78,41.49,06040
6,41,233,102,43.78,48,20.6,83,35.62,06041
6,42,191,98,51.31,38,19.9,55,28.8,06042
6,43,185,89,48.11,31,16.76,65,35.14,06043
6,44,223,107,47.98,39,17.49,77,34.53,06044
6,45,259,105,40.54,40,15.44,114,44.02,06045
6,46,145,63,43.45,32,22.07,50,34.48,06046
6,47,159,84,52.83,32,20.13,43,27.04,06047
6,48,195,85,43.59,52,26.67,58,29.74,06048
7,1,189,91,48.15,34,17.99,64,33.86,07001
7,2,173,87,50.29,38,21.97,48,27.75,07002
7,3,221,94,42.53,42,19.0,85,38.46,07003
7,4,195,79,40.51,44,22.56,72,36.92,07004
7,5,185,68,36.76,56,30.27,61,32.97,07005
7,6,261,116,44.44,45,17.24,100,38.31,07006
7,7,174,71,40.8,50,28.74,53,30.46,07007
7,8,113,52,46.02,22,19.47,39,34.51,07008
7,9,336,152,45.24,58,17.26,126,37.5,07009
7,10,234,100,42.74,42,17.95,92,39.32,07010
7,11,195,102,52.31,30,15.38,63,32.31,07011
7,12,167,74,44.31,40,23.95,53,31.74,07012
7,13,125,65,52.0,20,16.0,40,32.0,07013
7,14,181,92,50.83,38,20.99,51,28.18,07014
7,15,195,75,38.46,34,17.44,86,44.1,07015
7,16,141,62,43.97,30,21.28,49,34.75,07016
7,17,166,63,37.95,51,30.72,52,31.33,07017
7,18,140,72,51.43,36,25.71,32,22.86,07018
7,19,166,71,42.77,37,22.29,58,34.94,07019
7,20,139,61,43.88,38,27.34,40,28.78,07020
7,21,125,66,52.8,24,19.2,35,28.0,07021
7,22,161,69,42.86,28,17.39,64,39.75,07022
