ward,precinct,total,Jacqueline Marie Griffin,Jacqueline Marie Griffin Percent,Daniel L. Collins,Daniel L. Collins Percent,Mary Therese Quinn,Mary Therese Quinn Percent,Celestia L. Mays,Celestia L. Mays Percent,precinct_id
10,7,104,39,37.5,18,17.31,30,28.85,17,16.35,10007
10,8,82,31,37.8,20,24.39,21,25.61,10,12.2,10008
10,9,134,43,32.09,21,15.67,45,33.58,25,18.66,10009
10,10,162,43,26.54,33,20.37,52,32.1,34,20.99,10010
10,11,212,69,32.55,49,23.11,58,27.36,36,16.98,10011
10,12,105,36,34.29,23,21.9,30,28.57,16,15.24,10012
10,13,166,52,31.33,42,25.3,34,20.48,38,22.89,10013
10,14,210,68,32.38,38,18.1,58,27.62,46,21.9,10014
10,15,379,151,39.84,76,20.05,57,15.04,95,25.07,10015
10,16,96,19,19.79,20,20.83,26,27.08,31,32.29,10016
10,17,232,71,30.6,37,15.95,73,31.47,51,21.98,10017
10,18,90,36,40.0,16,17.78,21,23.33,17,18.89,10018
10,19,179,51,28.49,26,14.53,63,35.2,39,21.79,10019
10,20,184,54,29.35,37,20.11,55,29.89,38,20.65,10020
10,21,170,53,31.18,38,22.35,52,30.59,27,15.88,10021
10,22,107,35,32.71,19,17.76,28,26.17,25,23.36,10022
10,23,140,50,35.71,27,19.29,42,30.0,21,15.0,10023
10,24,136,37,27.21,21,15.44,41,30.15,37,27.21,10024
10,25,48,19,39.58,16,33.33,6,12.5,7,14.58,10025
10,26,121,44,36.36,25,20.66,35,28.93,17,14.05,10026
10,27,139,55,39.57,31,22.3,21,15.11,32,23.02,10027
10,28,192,59,30.73,40,20.83,52,27.08,41,21.35,10028
10,29,183,58,31.69,36,19.67,51,27.87,38,20.77,10029
10,30,149,46,30.87,28,18.79,41,27.52,34,22.82,10030
10,31,129,38,29.46,31,24.03,33,25.58,27,20.93,10031
10,32,160,44,27.5,23,14.38,43,26.88,50,31.25,10032
10,33,128,40,31.25,23,17.97,28,21.88,37,28.91,10033
10,34,112,41,36.61,24,21.43,27,24.11,20,17.86,10034
10,35,187,42,22.46,35,18.72,64,34.22,46,24.6,10035
10,36,42,13,30.95,8,19.05,11,26.19,10,23.81,10036
11,1,246,71,28.86,49,19.92,64,26.02,62,25.2,11001
11,2,15,4,26.67,6,40.0,3,20.0,2,13.33,11002
11,3,214,43,20.09,25,11.68,44,20.56,102,47.66,11003
11,4,174,57,32.76,25,14.37,45,25.86,47,27.01,11004
11,5,314,85,27.07,34,10.83,74,23.57,121,38.54,11005
11,6,271,63,23.25,38,14.02,52,19.19,118,43.54,11006
11,7,239,82,34.31,41,17.15,35,14.64,81,33.89,11007
11,8,207,54,26.09,30,14.49,59,28.5,64,30.92,11008
11,9,201,52,25.87,25,12.44,65,32.34,59,29.35,11009
11,10,199,56,28.14,22,11.06,64,32.16,57,28.64,11010
11,11,208,53,25.48,20,9.62,52,25.0,83,39.9,11011
11,12,322,162,50.31,45,13.98,92,28.57,23,7.14,11012
11,13,275,135,49.09,46,16.73,60,21.82,34,12.36,11013
11,14,103,39,37.86,16,15.53,23,22.33,25,24.27,11014
11,15,77,26,33.77,8,10.39,20,25.97,23,29.87,11015
11,16,150,60,40.0,19,12.67,39,26.0,32,21.33,11016
11,17,323,78,24.15,45,13.93,93,28.79,107,33.13,11017
11,18,188,69,36.7,27,14.36,53,28.19,39,20.74,11018
11,19,299,75,25.08,27,9.03,73,24.41,124,41.47,11019
11,20,154,57,37.01,22,14.29,47,30.52,28,18.18,11020
11,21,353,212,60.06,27,7.65,53,15.01,61,17.28,11021
11,22,284,97,34.15,44,15.49,57,20.07,86,30.28,11022
11,23,156,67,42.95,16,10.26,40,25.64,33,21.15,11023
11,24,384,272,70.83,24,6.25,39,10.16,49,12.76,11024
11,25,278,86,30.94,32,11.51,74,26.62,86,30.94,11025
11,26,283,134,47.35,26,9.19,55,19.43,68,24.03,11026
11,27,81,21,25.93,11,13.58,24,29.63,25,30.86,11027
11,28,92,37,40.22,17,18.48,29,31.52,9,9.78,11028
11,29,287,162,56.45,26,9.06,45,15.68,54,18.82,11029
11,30,104,24,23.08,20,19.23,28,26.92,32,30.77,11030
11,31,218,114,52.29,25,11.47,48,22.02,31,14.22,11031
11,32,97,39,40.21,19,19.59,25,25.77,14,14.43,11032
11,33,260,57,21.92,40,15.38,49,18.85,114,43.85,11033
11,34,73,23,31.51,11,15.07,16,21.92,23,31.51,11034
11,35,31,12,38.71,7,22.58,5,16.13,7,22.58,11035
11,36,69,16,23.19,5,7.25,20,28.99,28,40.58,11036
11,37,54,15,27.78,8,14.81,12,22.22,19,35.19,11037
11,38,108,28,25.93,12,11.11,28,25.93,40,37.04,11038
12,1,246,71,28.86,41,16.67,72,29.27,62,25.2,12001
12,2,172,38,22.09,42,24.42,47,27.33,45,26.16,12002
12,3,305,76,24.92,44,14.43,80,26.23,105,34.43,12003
12,4,258,64,24.81,42,16.28,67,25.97,85,32.95,12004
12,5,172,41,23.84,21,12.21,69,40.12,41,23.84,12005
12,6,220,57,25.91,43,19.55,67,30.45,53,24.09,12006
12,7,206,46,22.33,51,24.76,43,20.87,66,32.04,12007
12,8,224,65,29.02,41,18.3,63,28.13,55,24.55,12008
12,9,182,58,31.87,28,15.38,42,23.08,54,29.67,12009
12,10,276,73,26.45,57,20.65,59,21.38,87,31.52,12010
12,11,219,65,29.68,58,26.48,49,22.37,47,21.46,12011
12,12,199,64,32.16,46,23.12,39,19.6,50,25.13,12012
12,13,204,55,26.96,39,19.12,59,28.92,51,25.0,12013
12,14,185,67,36.22,39,21.08,35,18.92,44,23.78,12014
12,15,174,57,32.76,38,21.84,46,26.44,33,18.97,12015
12,16,156,53,33.97,42,26.92,30,19.23,31,19.87,12016
12,17,203,61,30.05,36,17.73,61,30.05,45,22.17,12017
12,18,135,36,26.67,20,14.81,26,19.26,53,39.26,12018
12,19,203,55,27.09,32,15.76,52,25.62,64,31.53,12019
12,20,213,51,23.94,45,21.13,49,23.0,68,31.92,12020
12,21,194,57,29.38,30,15.46,43,22.16,64,32.99,12021
12,22,208,60,28.85,38,18.27,40,19.23,70,33.65,12022
12,23,230,72,31.3,34,14.78,63,27.39,61,26.52,12023
13,1,158,45,28.48,28,17.72,55,34.81,30,18.99,13001
13,2,144,42,29.17,33,22.92,47,32.64,22,15.28,13002
13,3,168,52,30.95,43,25.6,35,20.83,38,22.62,13003
13,4,176,45,25.57,37,21.02,57,32.39,37,21.02,13004
13,5,218,66,30.28,43,19.72,65,29.82,44,20.18,13005
13,6,199,57,28.64,47,23.62,63,31.66,32,16.08,13006
13,7,142,50,35.21,27,19.01,40,28.17,25,17.61,13007
13,8,134,35,26.12,26,19.4,42,31.34,31,23.13,13008
13,9,183,51,27.87,34,18.58,58,31.69,40,21.86,13009
13,10,170,46,27.06,43,25.29,57,33.53,24,14.12,13010
13,11,221,70,31.67,31,14.03,80,36.2,40,18.1,13011
13,12,175,46,26.29,27,15.43,61,34.86,41,23.43,13012
13,13,194,62,31.96,36,18.56,70,36.08,26,13.4,13013
13,14,169,48,28.4,37,21.89,49,28.99,35,20.71,13014
13,15,276,76,27.54,54,19.57,97,35.14,49,17.75,13015
13,16,129,36,27.91,31,24.03,34,26.36,28,21.71,13016
13,17,139,49,35.25,34,24.46,35,25.18,21,15.11,13017
13,18,141,35,24.82,37,26.24,52,36.88,17,12.06,13018
13,19,240,76,31.67,50,20.83,67,27.92,47,19.58,13019
13,20,120,32,26.67,19,15.83,48,40.0,21,17.5,13020
13,21,191,53,27.75,40,20.94,73,38.22,25,13.09,13021
13,22,170,47,27.65,33,19.41,56,32.94,34,20.0,13022
13,23,127,44,34.65,25,19.69,35,27.56,23,18.11,13023
13,24,165,40,24.24,41,24.85,49,29.7,35,21.21,13024
13,25,191,48,25.13,28,14.66,58,30.37,57,29.84,13025
13,26,156,59,37.82,32,20.51,41,26.28,24,15.38,13026
13,27,177,48,27.12,36,20.34,59,33.33,34,19.21,13027
13,28,153,46,30.07,31,20.26,50,32.68,26,16.99,13028
13,29,150,38,25.33,34,22.67,50,33.33,28,18.67,13029
13,30,159,52,32.7,31,19.5,47,29.56,29,18.24,13030
13,31,174,47,27.01,37,21.26,66,37.93,24,13.79,13031
13,32,156,45,28.85,21,13.46,65,41.67,25,16.03,13032
13,33,180,58,32.22,27,15.0,69,38.33,26,14.44,13033
13,34,236,84,35.59,33,13.98,67,28.39,52,22.03,13034
13,35,201,63,31.34,42,20.9,65,32.34,31,15.42,13035
13,36,117,45,38.46,23,19.66,36,30.77,13,11.11,13036
13,37,184,54,29.35,40,21.74,56,30.43,34,18.48,13037
13,38,161,55,34.16,25,15.53,52,32.3,29,18.01,13038
13,39,170,59,34.71,25,14.71,53,31.18,33,19.41,13039
13,40,167,57,34.13,37,22.16,44,26.35,29,17.37,13040
13,41,227,79,34.8,41,18.06,67,29.52,40,17.62,13041
13,42,184,56,30.43,32,17.39,66,35.87,30,16.3,13042
13,43,184,57,30.98,34,18.48,59,32.07,34,18.48,13043
13,44,178,52,29.21,36,20.22,52,29.21,38,21.35,13044
13,45,230,84,36.52,44,19.13,72,31.3,30,13.04,13045
13,46,205,60,29.27,41,20.0,67,32.68,37,18.05,13046
13,47,209,74,35.41,38,18.18,58,27.75,39,18.66,13047
13,48,159,44,27.67,28,17.61,59,37.11,28,17.61,13048
14,1,213,73,34.27,45,21.13,72,33.8,23,10.8,14001
14,2,263,65,24.71,59,22.43,81,30.8,58,22.05,14002
14,3,169,53,31.36,34,20.12,41,24.26,41,24.26,14003
14,4,172,48,27.91,43,25.0,58,33.72,23,13.37,14004
14,5,252,86,34.13,63,25.0,51,20.24,52,20.63,14005
14,6,103,32,31.07,33,32.04,15,14.56,23,22.33,14006
14,7,243,91,37.45,56,23.05,54,22.22,42,17.28,14007
14,8,205,66,32.2,55,26.83,45,21.95,39,19.02,14008
14,9,248,84,33.87,51,20.56,73,29.44,40,16.13,14009
14,10,126,42,33.33,25,19.84,35,27.78,24,19.05,14010
14,11,115,36,31.3,21,18.26,31,26.96,27,23.48,14011
14,12,178,51,28.65,52,29.21,36,20.22,39,21.91,14012
14,13,180,64,35.56,39,21.67,47,26.11,30,16.67,14013
14,14,206,65,31.55,55,26.7,47,22.82,39,18.93,14014
14,15,203,64,31.53,44,21.67,42,20.69,53,26.11,14015
14,16,154,47,30.52,23,14.94,51,33.12,33,21.43,14016
14,17,184,57,30.98,39,21.2,41,22.28,47,25.54,14017
14,18,94,31,32.98,24,25.53,20,21.28,19,20.21,14018
14,19,154,48,31.17,38,24.68,41,26.62,27,17.53,14019
14,20,142,36,25.35,38,26.76,36,25.35,32,22.54,14020
14,21,138,49,35.51,31,22.46,26,18.84,32,23.19,14021
14,22,252,80,31.75,49,19.44,67,26.59,56,22.22,14022
14,23,153,49,32.03,33,21.57,38,24.84,33,21.57,14023
14,24,226,73,32.3,45,19.91,66,29.2,42,18.58,14024
14,25,109,35,32.11,30,27.52,22,20.18,22,20.18,14025
14,26,153,44,28.76,46,30.07,36,23.53,27,17.65,14026
14,27,210,72,34.29,51,24.29,42,20.0,45,21.43,14027
14,28,144,42,29.17,32,22.22,36,25.0,34,23.61,14028
14,29,164,61,37.2,43,26.22,32,19.51,28,17.07,14029
14,30,108,37,34.26,30,27.78,21,19.44,20,18.52,14030
14,31,118,40,33.9,35,29.66,23,19.49,20,16.95,14031
15,1,172,58,33.72,30,17.44,50,29.07,34,19.77,15001
15,2,105,37,35.24,26,24.76,20,19.05,22,20.95,15002
15,3,129,45,34.88,29,22.48,22,17.05,33,25.58,15003
15,4,196,54,27.55,54,27.55,50,25.51,38,19.39,15004
15,5,146,46,31.51,32,21.92,46,31.51,22,15.07,15005
15,6,171,44,25.73,34,19.88,43,25.15,50,29.24,15006
15,7,93,35,37.63,19,20.43,18,19.35,21,22.58,15007
15,8,175,50,28.57,41,23.43,46,26.29,38,21.71,15008
15,9,212,75,35.38,47,22.17,53,25.0,37,17.45,15009
15,10,244,59,24.18,71,29.1,62,25.41,52,21.31,15010
15,11,199,76,38.19,48,24.12,34,17.09,41,20.6,15011
15,12,215,62,28.84,63,29.3,57,26.51,33,15.35,15012
15,13,185,61,32.97,49,26.49,43,23.24,32,17.3,15013
15,14,159,45,28.3,35,22.01,35,22.01,44,27.67,15014
15,15,148,47,31.76,28,18.92,41,27.7,32,21.62,15015
15,16,214,63,29.44,56,26.17,45,21.03,50,23.36,15016
15,17,128,49,38.28,35,27.34,18,14.06,26,20.31,15017
15,18,85,35,41.18,18,21.18,12,14.12,20,23.53,15018
15,19,155,51,32.9,30,19.35,35,22.58,39,25.16,15019
15,20,118,46,38.98,26,22.03,21,17.8,25,21.19,15020
15,21,114,41,35.96,23,20.18,23,20.18,27,23.68,15021
15,22,117,49,41.88,29,24.79,19,16.24,20,17.09,15022
15,23,115,47,40.87,24,20.87,16,13.91,28,24.35,15023
15,24,99,32,32.32,25,25.25,18,18.18,24,24.24,15024
16,1,176,62,35.23,40,22.73,38,21.59,36,20.45,16001
16,2,148,55,37.16,34,22.97,27,18.24,32,21.62,16002
16,3,111,43,38.74,19,17.12,22,19.82,27,24.32,16003
16,4,133,46,34.59,25,18.8,18,13.53,44,33.08,16004
16,5,91,30,32.97,19,20.88,17,18.68,25,27.47,16005
16,6,144,51,35.42,42,29.17,18,12.5,33,22.92,16006
16,7,132,41,31.06,25,18.94,25,18.94,41,31.06,16007
16,8,78,30,38.46,22,28.21,11,14.1,15,19.23,16008
16,9,136,46,33.82,18,13.24,22,16.18,50,36.76,16009
16,10,123,37,30.08,31,25.2,25,20.33,30,24.39,16010
16,11,133,43,32.33,30,22.56,25,18.8,35,26.32,16011
16,12,111,39,35.14,32,28.83,10,9.01,30,27.03,16012
16,13,133,49,36.84,34,25.56,23,17.29,27,20.3,16013
16,14,102,38,37.25,26,25.49,7,6.86,31,30.39,16014
16,15,142,49,34.51,35,24.65,20,14.08,38,26.76,16015
16,16,130,47,36.15,24,18.46,17,13.08,42,32.31,16016
16,17,145,46,31.72,39,26.9,23,15.86,37,25.52,16017
16,18,102,35,34.31,25,24.51,16,15.69,26,25.49,16018
16,19,146,57,39.04,35,23.97,18,12.33,36,24.66,16019
16,20,105,38,36.19,20,19.05,20,19.05,27,25.71,16020
16,21,114,39,34.21,38,33.33,22,19.3,15,13.16,16021
16,22,108,45,41.67,25,23.15,15,13.89,23,21.3,16022
16,23,136,60,44.12,34,25.0,16,11.76,26,19.12,16023
16,24,76,34,44.74,18,23.68,7,9.21,17,22.37,16024
16,25,156,50,32.05,35,22.44,28,17.95,43,27.56,16025
16,26,113,39,34.51,21,18.58,21,18.58,32,28.32,16026
16,27,105,30,28.57,19,18.1,16,15.24,40,38.1,16027
16,28,132,43,32.58,30,22.73,25,18.94,34,25.76,16028
16,29,97,35,36.08,23,23.71,18,18.56,21,21.65,16029
16,30,85,31,36.47,20,23.53,13,15.29,21,24.71,16030
16,31,162,48,29.63,49,30.25,24,14.81,41,25.31,16031
16,32,161,52,32.3,33,20.5,30,18.63,46,28.57,16032
16,33,94,31,32.98,22,23.4,11,11.7,30,31.91,16033
16,34,135,46,34.07,38,28.15,25,18.52,26,19.26,16034
16,35,193,64,33.16,44,22.8,40,20.73,45,23.32,16035
16,36,97,35,36.08,21,21.65,20,20.62,21,21.65,16036
17,1,201,83,41.29,32,15.92,33,16.42,53,26.37,17001
17,2,166,60,36.14,23,13.86,22,13.25,61,36.75,17002
17,3,169,49,28.99,43,25.44,30,17.75,47,27.81,17003
17,4,236,85,36.02,43,18.22,29,12.29,79,33.47,17004
17,5,126,39,30.95,27,21.43,22,17.46,38,30.16,17005
17,6,154,38,24.68,29,18.83,25,16.23,62,40.26,17006
17,7,163,55,33.74,53,32.52,22,13.5,33,20.25,17007
17,8,139,52,37.41,30,21.58,26,18.71,31,22.3,17008
17,9,142,47,33.1,25,17.61,21,14.79,49,34.51,17009
17,10,231,87,37.66,32,13.85,43,18.61,69,29.87,17010
17,11,139,49,35.25,41,29.5,20,14.39,29,20.86,17011
17,12,226,62,27.43,52,23.01,46,20.35,66,29.2,17012
17,13,129,44,34.11,31,24.03,20,15.5,34,26.36,17013
17,14,140,48,34.29,29,20.71,31,22.14,32,22.86,17014
17,15,186,62,33.33,37,19.89,33,17.74,54,29.03,17015
17,16,177,60,33.9,40,22.6,35,19.77,42,23.73,17016
17,17,173,63,36.42,39,22.54,24,13.87,47,27.17,17017
17,18,229,73,31.88,50,21.83,27,11.79,79,34.5,17018
17,19,107,45,42.06,31,28.97,17,15.89,14,13.08,17019
17,20,258,73,28.29,41,15.89,39,15.12,105,40.7,17020
17,21,270,87,32.22,50,18.52,31,11.48,102,37.78,17021
17,22,149,53,35.57,23,15.44,23,15.44,50,33.56,17022
17,23,122,47,38.52,23,18.85,17,13.93,35,28.69,17023
17,24,205,58,28.29,58,28.29,40,19.51,49,23.9,17024
17,25,134,55,41.04,31,23.13,12,8.96,36,26.87,17025
17,26,201,87,43.28,29,14.43,31,15.42,54,26.87,17026
17,27,179,48,26.82,38,21.23,39,21.79,54,30.17,17027
17,28,137,39,28.47,29,21.17,20,14.6,49,35.77,17028
17,29,138,50,36.23,22,15.94,23,16.67,43,31.16,17029
17,30,131,43,32.82,32,24.43,20,15.27,36,27.48,17030
17,31,107,35,32.71,24,22.43,13,12.15,35,32.71,17031
17,32,145,45,31.03,35,24.14,29,20.0,36,24.83,17032
17,33,82,30,36.59,21,25.61,8,9.76,23,28.05,17033
17,34,106,35,33.02,17,16.04,17,16.04,37,34.91,17034
17,35,97,33,34.02,13,13.4,17,17.53,34,35.05,17035
17,36,167,53,31.74,39,23.35,21,12.57,54,32.34,17036
17,37,173,55,31.79,36,20.81,22,12.72,60,34.68,17037
17,38,188,70,37.23,41,21.81,26,13.83,51,27.13,17038
17,39,194,68,35.05,39,20.1,24,12.37,63,32.47,17039
17,40,220,55,25.0,28,12.73,36,16.36,101,45.91,17040
17,41,253,78,30.83,51,20.16,35,13.83,89,35.18,17041
18,1,189,68,35.98,44,23.28,24,12.7,53,28.04,18001
18,2,178,57,32.02,38,21.35,33,18.54,50,28.09,18002
18,3,150,42,28.0,25,16.67,42,28.0,41,27.33,18003
18,4,247,68,27.53,32,12.96,32,12.96,115,46.56,18004
18,5,128,50,39.06,32,25.0,9,7.03,37,28.91,18005
18,6,180,54,30.0,35,19.44,42,23.33,49,27.22,18006
18,7,180,64,35.56,30,16.67,28,15.56,58,32.22,18007
18,8,229,92,40.17,25,10.92,21,9.17,91,39.74,18008
18,9,228,77,33.77,43,18.86,30,13.16,78,34.21,18009
18,10,327,101,30.89,50,15.29,36,11.01,140,42.81,18010
18,11,164,49,29.88,32,19.51,36,21.95,47,28.66,18011
18,12,185,49,26.49,30,16.22,27,14.59,79,42.7,18012
18,13,236,77,32.63,38,16.1,32,13.56,89,37.71,18013
18,14,231,83,35.93,35,15.15,27,11.69,86,37.23,18014
18,15,224,69,30.8,30,13.39,52,23.21,73,32.59,18015
18,16,204,72,35.29,24,11.76,29,14.22,79,38.73,18016
18,17,212,64,30.19,37,17.45,28,13.21,83,39.15,18017
18,18,193,73,37.82,31,16.06,23,11.92,66,34.2,18018
18,19,195,58,29.74,34,17.44,31,15.9,72,36.92,18019
18,20,161,48,29.81,20,12.42,19,11.8,74,45.96,18020
18,21,259,90,34.75,48,18.53,37,14.29,84,32.43,18021
18,22,278,96,34.53,51,18.35,37,13.31,94,33.81,18022
18,23,179,56,31.28,41,22.91,27,15.08,55,30.73,18023
18,24,160,49,30.63,31,19.38,46,28.75,34,21.25,18024
18,25,182,50,27.47,43,23.63,45,24.73,44,24.18,18025
18,26,287,81,28.22,54,18.82,31,10.8,121,42.16,18026
18,27,181,67,37.02,29,16.02,32,17.68,53,29.28,18027
18,28,178,48,26.97,36,20.22,48,26.97,46,25.84,18028
18,29,226,84,37.17,34,15.04,40,17.7,68,30.09,18029
18,30,219,56,25.57,47,21.46,63,28.77,53,24.2,18030
18,31,241,77,31.95,51,21.16,29,12.03,84,34.85,18031
18,32,241,76,31.54,39,16.18,33,13.69,93,38.59,18032
18,33,158,65,41.14,26,16.46,24,15.19,43,27.22,18033
18,34,294,70,23.81,34,11.56,32,10.88,158,53.74,18034
18,35,270,87,32.22,43,15.93,39,14.44,101,37.41,18035
18,36,202,62,30.69,31,15.35,35,17.33,74,36.63,18036
18,37,279,77,27.6,42,15.05,23,8.24,137,49.1,18037
18,38,203,65,32.02,33,16.26,33,16.26,72,35.47,18038
18,39,150,43,28.67,37,24.67,33,22.0,37,24.67,18039
18,40,219,81,36.99,43,19.63,35,15.98,60,27.4,18040
18,41,281,108,38.43,45,16.01,32,11.39,96,34.16,18041
18,42,169,65,38.46,32,18.93,25,14.79,47,27.81,18042
18,43,135,45,33.33,27,20.0,35,25.93,28,20.74,18043
18,44,169,49,28.99,28,16.57,44,26.04,48,28.4,18044
18,45,171,49,28.65,34,19.88,27,15.79,61,35.67,18045
18,46,210,57,27.14,37,17.62,58,27.62,58,27.62,18046
18,47,142,51,35.92,32,22.54,19,13.38,40,28.17,18047
18,48,141,40,28.37,33,23.4,18,12.77,50,35.46,18048
18,49,119,34,28.57,20,16.81,18,15.13,47,39.5,18049
18,50,133,50,37.59,31,23.31,22,16.54,30,22.56,18050
19,1,212,55,25.94,39,18.4,71,33.49,47,22.17,19001
19,2,370,82,22.16,35,9.46,62,16.76,191,51.62,19002
19,3,165,51,30.91,25,15.15,55,33.33,34,20.61,19003
19,4,253,78,30.83,47,18.58,89,35.18,39,15.42,19004
19,5,329,75,22.8,58,17.63,58,17.63,138,41.95,19005
19,6,197,53,26.9,28,14.21,71,36.04,45,22.84,19006
19,7,218,52,23.85,38,17.43,73,33.49,55,25.23,19007
19,8,213,56,26.29,39,18.31,80,37.56,38,17.84,19008
19,9,189,68,35.98,40,21.16,50,26.46,31,16.4,19009
19,10,340,62,18.24,32,9.41,102,30.0,144,42.35,19010
19,11,208,59,28.37,39,18.75,74,35.58,36,17.31,19011
19,12,192,60,31.25,29,15.1,70,36.46,33,17.19,19012
19,13,317,87,27.44,39,12.3,42,13.25,149,47.0,19013
19,14,262,66,25.19,47,17.94,62,23.66,87,33.21,19014
19,15,228,56,24.56,46,20.18,85,37.28,41,17.98,19015
19,16,231,69,29.87,39,16.88,81,35.06,42,18.18,19016
19,17,210,50,23.81,53,25.24,64,30.48,43,20.48,19017
19,18,289,71,24.57,32,11.07,67,23.18,119,41.18,19018
19,19,371,100,26.95,57,15.36,72,19.41,142,38.27,19019
19,20,281,81,28.83,51,18.15,49,17.44,100,35.59,19020
19,21,193,63,32.64,32,16.58,61,31.61,37,19.17,19021
19,22,312,58,18.59,67,21.47,71,22.76,116,37.18,19022
19,23,270,59,21.85,57,21.11,97,35.93,57,21.11,19023
19,24,180,58,32.22,31,17.22,59,32.78,32,17.78,19024
19,25,267,46,17.23,56,20.97,73,27.34,92,34.46,19025
19,26,264,48,18.18,39,14.77,84,31.82,93,35.23,19026
19,27,272,71,26.1,29,10.66,54,19.85,118,43.38,19027
19,28,285,74,25.96,40,14.04,42,14.74,129,45.26,19028
19,29,205,54,26.34,40,19.51,67,32.68,44,21.46,19029
19,30,195,48,24.62,37,18.97,77,39.49,33,16.92,19030
19,31,240,46,19.17,36,15.0,71,29.58,87,36.25,19031
19,32,218,55,25.23,33,15.14,81,37.16,49,22.48,19032
19,33,235,67,28.51,26,11.06,101,42.98,41,17.45,19033
19,34,262,52,19.85,31,11.83,74,28.24,105,40.08,19034
19,35,264,55,20.83,40,15.15,75,28.41,94,35.61,19035
19,36,324,100,30.86,49,15.12,46,14.2,129,39.81,19036
19,37,291,56,19.24,44,15.12,50,17.18,141,48.45,19037
19,38,234,55,23.5,31,13.25,46,19.66,102,43.59,19038
19,39,83,29,34.94,19,22.89,13,15.66,22,26.51,19039
19,40,276,57,20.65,31,11.23,73,26.45,115,41.67,19040
19,41,189,76,40.21,33,17.46,52,27.51,28,14.81,19041
19,42,213,55,25.82,27,12.68,32,15.02,99,46.48,19042
19,43,351,105,29.91,40,11.4,46,13.11,160,45.58,19043
19,44,241,73,30.29,46,19.09,81,33.61,41,17.01,19044
19,45,220,62,28.18,35,15.91,55,25.0,68,30.91,19045
19,46,242,61,25.21,34,14.05,97,40.08,50,20.66,19046
19,47,403,120,29.78,58,14.39,71,17.62,154,38.21,19047
19,48,275,86,31.27,49,17.82,35,12.73,105,38.18,19048
19,49,332,99,29.82,38,11.45,42,12.65,153,46.08,19049
19,50,204,51,25.0,27,13.24,72,35.29,54,26.47,19050
19,51,283,59,20.85,52,18.37,97,34.28,75,26.5,19051
19,52,229,56,24.45,49,21.4,77,33.62,47,20.52,19052
19,53,214,48,22.43,40,18.69,69,32.24,57,26.64,19053
19,54,161,45,27.95,19,11.8,68,42.24,29,18.01,19054
19,55,176,55,31.25,38,21.59,55,31.25,28,15.91,19055
19,56,309,53,17.15,44,14.24,63,20.39,149,48.22,19056
19,57,269,52,19.33,33,12.27,67,24.91,117,43.49,19057
20,1,215,80,37.21,47,21.86,32,14.88,56,26.05,20001
20,2,56,15,26.79,9,16.07,12,21.43,20,35.71,20002
20,3,166,62,37.35,31,18.67,18,10.84,55,33.13,20003
20,4,81,23,28.4,19,23.46,14,17.28,25,30.86,20004
20,5,235,83,35.32,36,15.32,26,11.06,90,38.3,20005
20,6,79,27,34.18,11,13.92,15,18.99,26,32.91,20006
20,7,190,69,36.32,27,14.21,30,15.79,64,33.68,20007
20,8,183,54,29.51,37,20.22,24,13.11,68,37.16,20008
20,9,314,97,30.89,53,16.88,38,12.1,126,40.13,20009
20,10,122,40,32.79,23,18.85,22,18.03,37,30.33,20010
20,11,254,96,37.8,46,18.11,42,16.54,70,27.56,20011
20,12,147,44,29.93,28,19.05,35,23.81,40,27.21,20012
20,13,215,86,40.0,41,19.07,43,20.0,45,20.93,20013
20,14,118,43,36.44,17,14.41,17,14.41,41,34.75,20014
20,15,165,55,33.33,33,20.0,41,24.85,36,21.82,20015
20,16,270,81,30.0,45,16.67,38,14.07,106,39.26,20016
20,17,116,28,24.14,33,28.45,19,16.38,36,31.03,20017
20,18,129,41,31.78,22,17.05,22,17.05,44,34.11,20018
20,19,198,57,28.79,27,13.64,42,21.21,72,36.36,20019
20,20,125,37,29.6,24,19.2,32,25.6,32,25.6,20020
20,21,130,45,34.62,31,23.85,31,23.85,23,17.69,20021
20,22,261,65,24.9,39,14.94,21,8.05,136,52.11,20022
20,23,172,48,27.91,33,19.19,36,20.93,55,31.98,20023
20,24,229,60,26.2,35,15.28,24,10.48,110,48.03,20024
20,25,122,44,36.07,23,18.85,20,16.39,35,28.69,20025
20,26,207,59,28.5,35,16.91,28,13.53,85,41.06,20026
20,27,103,38,36.89,24,23.3,13,12.62,28,27.18,20027
20,28,111,39,35.14,25,22.52,16,14.41,31,27.93,20028
20,29,211,81,38.39,47,22.27,33,15.64,50,23.7,20029
20,30,92,34,36.96,14,15.22,13,14.13,31,33.7,20030
20,31,235,86,36.6,44,18.72,38,16.17,67,28.51,20031
20,32,156,46,29.49,32,20.51,29,18.59,49,31.41,20032
20,33,129,44,34.11,26,20.16,13,10.08,46,35.66,20033
20,34,283,71,25.09,36,12.72,32,11.31,144,50.88,20034
20,35,131,51,38.93,34,25.95,28,21.37,18,13.74,20035
20,36,51,13,25.49,14,27.45,9,17.65,15,29.41,20036
20,37,51,19,37.25,7,13.73,4,7.84,21,41.18,20037
20,38,59,20,33.9,14,23.73,17,28.81,8,13.56,20038
20,39,13,5,38.46,1,7.69,3,23.08,4,30.77,20039
21,1,236,70,29.66,29,12.29,33,13.98,104,44.07,21001
21,2,165,58,35.15,33,20.0,27,16.36,47,28.48,21002
21,3,241,78,32.37,41,17.01,32,13.28,90,37.34,21003
