ward,precinct,total,Casandra Lewis,Casandra Lewis Percent,Michael James Murphy,Michael James Murphy Percent,Deborah Mary Dooling,Deborah Mary Dooling Percent,Kathleen G. Kennedy,Kathleen G. Kennedy Percent,Christine Patricia Curran,Christine Patricia Curran Percent,precinct_id
4,53,152,90,59.21,34,22.37,7,4.61,17,11.18,4,2.63,04053
4,54,85,32,37.65,27,31.76,6,7.06,12,14.12,8,9.41,04054
4,55,88,10,11.36,42,47.73,14,15.91,18,20.45,4,4.55,04055
5,1,161,96,59.63,31,19.25,16,9.94,11,6.83,7,4.35,05001
5,2,135,53,39.26,48,35.56,12,8.89,15,11.11,7,5.19,05002
5,3,81,30,37.04,24,29.63,11,13.58,10,12.35,6,7.41,05003
5,4,123,64,52.03,30,24.39,7,5.69,13,10.57,9,7.32,05004
5,5,142,69,48.59,34,23.94,11,7.75,13,9.15,15,10.56,05005
5,6,186,102,54.84,30,16.13,17,9.14,21,11.29,16,8.6,05006
5,7,170,86,50.59,43,25.29,12,7.06,18,10.59,11,6.47,05007
5,8,183,23,12.57,43,23.5,28,15.3,79,43.17,10,5.46,05008
5,9,157,83,52.87,46,29.3,11,7.01,12,7.64,5,3.18,05009
5,10,144,70,48.61,45,31.25,9,6.25,11,7.64,9,6.25,05010
5,11,147,47,31.97,41,27.89,17,11.56,32,21.77,10,6.8,05011
5,12,110,42,38.18,37,33.64,10,9.09,16,14.55,5,4.55,05012
5,13,139,83,59.71,29,20.86,6,4.32,13,9.35,8,5.76,05013
5,14,199,77,38.69,57,28.64,22,11.06,29,14.57,14,7.04,05014
5,15,123,61,49.59,19,15.45,11,8.94,25,20.33,7,5.69,05015
5,16,118,67,56.78,30,25.42,7,5.93,9,7.63,5,4.24,05016
5,17,170,86,50.59,38,22.35,17,10.0,15,8.82,14,8.24,05017
5,18,164,75,45.73,55,33.54,6,3.66,21,12.8,7,4.27,05018
5,19,77,42,54.55,23,29.87,6,7.79,2,2.6,4,5.19,05019
5,20,84,41,48.81,23,27.38,6,7.14,10,11.9,4,4.76,05020
5,21,208,116,55.77,36,17.31,20,9.62,17,8.17,19,9.13,05021
5,22,155,85,54.84,35,22.58,10,6.45,13,8.39,12,7.74,05022
5,23,116,57,49.14,34,29.31,10,8.62,13,11.21,2,1.72,05023
5,24,159,60,37.74,45,28.3,11,6.92,27,16.98,16,10.06,05024
5,25,172,83,48.26,39,22.67,12,6.98,26,15.12,12,6.98,05025
5,26,194,110,56.7,54,27.84,8,4.12,12,6.19,10,5.15,05026
5,27,140,23,16.43,40,28.57,20,14.29,50,35.71,7,5.0,05027
5,28,179,87,48.6,54,30.17,8,4.47,26,14.53,4,2.23,05028
5,29,170,95,55.88,36,21.18,8,4.71,18,10.59,13,7.65,05029
5,30,140,19,13.57,36,25.71,14,10.0,67,47.86,4,2.86,05030
5,31,133,63,47.37,36,27.07,8,6.02,15,11.28,11,8.27,05031
5,32,270,161,59.63,51,18.89,14,5.19,27,10.0,17,6.3,05032
5,33,134,62,46.27,28,20.9,10,7.46,21,15.67,13,9.7,05033
5,34,169,88,52.07,39,23.08,9,5.33,19,11.24,14,8.28,05034
5,35,125,41,32.8,33,26.4,9,7.2,25,20.0,17,13.6,05035
5,36,86,39,45.35,25,29.07,6,6.98,10,11.63,6,6.98,05036
5,37,131,49,37.4,27,20.61,12,9.16,34,25.95,9,6.87,05037
5,38,167,36,21.56,51,30.54,27,16.17,47,28.14,6,3.59,05038
5,39,177,20,11.3,45,25.42,43,24.29,56,31.64,13,7.34,05039
