ward,precinct,total,"Michael J. Howlett, Jr.","Michael J. Howlett, Jr. Percent",Margaret Ann (Meg) Carey,Margaret Ann (Meg) Carey Percent,precinct_id
23,25,108,70,64.81,38,35.19,23025
23,26,171,113,66.08,58,33.92,23026
23,27,116,67,57.76,49,42.24,23027
23,28,173,106,61.27,67,38.73,23028
23,29,134,77,57.46,57,42.54,23029
23,30,179,104,58.1,75,41.9,23030
23,31,149,79,53.02,70,46.98,23031
23,32,206,133,64.56,73,35.44,23032
23,33,172,96,55.81,76,44.19,23033
23,34,113,65,57.52,48,42.48,23034
23,35,132,89,67.42,43,32.58,23035
23,36,240,137,57.08,103,42.92,23036
23,37,121,73,60.33,48,39.67,23037
23,38,126,61,48.41,65,51.59,23038
23,39,126,77,61.11,49,38.89,23039
23,40,163,101,61.96,62,38.04,23040
23,41,134,84,62.69,50,37.31,23041
23,42,164,87,53.05,77,46.95,23042
23,43,180,110,61.11,70,38.89,23043
23,44,174,108,62.07,66,37.93,23044
23,45,190,112,58.95,78,41.05,23045
23,46,221,132,59.73,89,40.27,23046
23,47,204,120,58.82,84,41.18,23047
23,48,124,94,75.81,30,24.19,23048
23,49,208,110,52.88,98,47.12,23049
23,50,107,65,60.75,42,39.25,23050
23,51,177,103,58.19,74,41.81,23051
23,52,197,125,63.45,72,36.55,23052
23,53,112,66,58.93,46,41.07,23053
23,54,192,121,63.02,71,36.98,23054
23,55,186,107,57.53,79,42.47,23055
23,56,124,74,59.68,50,40.32,23056
24,1,88,63,71.59,25,28.41,24001
24,2,77,49,63.64,28,36.36,24002
24,3,91,62,68.13,29,31.87,24003
24,4,114,79,69.3,35,30.7,24004
24,5,110,88,80.0,22,20.0,24005
24,6,122,82,67.21,40,32.79,24006
24,7,113,69,61.06,44,38.94,24007
24,8,81,50,61.73,31,38.27,24008
24,9,92,59,64.13,33,35.87,24009
24,10,111,76,68.47,35,31.53,24010
24,11,52,34,65.38,18,34.62,24011
24,12,70,39,55.71,31,44.29,24012
24,13,101,68,67.33,33,32.67,24013
24,14,159,99,62.26,60,37.74,24014
24,15,89,47,52.81,42,47.19,24015
24,16,79,49,62.03,30,37.97,24016
24,17,92,55,59.78,37,40.22,24017
24,18,59,37,62.71,22,37.29,24018
24,19,86,60,69.77,26,30.23,24019
24,20,116,67,57.76,49,42.24,24020
24,21,68,41,60.29,27,39.71,24021
24,22,92,64,69.57,28,30.43,24022
24,23,87,55,63.22,32,36.78,24023
24,24,81,48,59.26,33,40.74,24024
24,25,94,57,60.64,37,39.36,24025
24,26,100,55,55.0,45,45.0,24026
24,27,67,41,61.19,26,38.81,24027
24,28,119,78,65.55,41,34.45,24028
24,29,119,84,70.59,35,29.41,24029
24,30,84,52,61.9,32,38.1,24030
24,31,92,57,61.96,35,38.04,24031
24,32,106,69,65.09,37,34.91,24032
24,33,87,48,55.17,39,44.83,24033
24,34,110,70,63.64,40,36.36,24034
24,35,101,66,65.35,35,34.65,24035
24,36,83,51,61.45,32,38.55,24036
24,37,115,71,61.74,44,38.26,24037
24,38,113,74,65.49,39,34.51,24038
24,39,97,69,71.13,28,28.87,24039
24,40,131,84,64.12,47,35.88,24040
24,41,103,67,65.05,36,34.95,24041
24,42,88,49,55.68,39,44.32,24042
24,43,124,77,62.1,47,37.9,24043
24,44,41,33,80.49,8,19.51,24044
