ward,precinct,total,Eileen Mary Brewer,Eileen Mary Brewer Percent,Joy Virginia Cunningham,Joy Virginia Cunningham Percent,James Michael Bailey,James Michael Bailey Percent,Barbara Ann Riley,Barbara Ann Riley Percent,precinct_id
36,55,207,22,10.63,34,16.43,28,13.53,22,10.63,36055
37,1,77,7,9.09,16,20.78,10,12.99,19,24.68,37001
37,2,116,17,14.66,36,31.03,14,12.07,17,14.66,37002
37,3,64,5,7.81,13,20.31,14,21.88,15,23.44,37003
37,4,131,12,9.16,33,25.19,22,16.79,27,20.61,37004
37,5,186,15,8.06,56,30.11,15,8.06,9,4.84,37005
37,6,164,23,14.02,69,42.07,19,11.59,15,9.15,37006
37,7,164,12,7.32,42,25.61,14,8.54,20,12.2,37007
37,8,103,18,17.48,28,27.18,16,15.53,21,20.39,37008
37,9,149,18,12.08,42,28.19,32,21.48,22,14.77,37009
37,10,155,19,12.26,45,29.03,14,9.03,17,10.97,37010
37,11,37,0,,11,,3,,10,,37011
37,12,76,7,9.21,16,21.05,13,17.11,14,18.42,37012
37,13,130,15,11.54,38,29.23,21,16.15,17,13.08,37013
37,14,204,34,16.67,66,32.35,35,17.16,28,13.73,37014
37,15,163,24,14.72,45,27.61,24,14.72,31,19.02,37015
37,16,152,27,17.76,61,40.13,14,9.21,19,12.5,37016
37,17,128,19,14.84,33,25.78,17,13.28,13,10.16,37017
37,18,165,18,10.91,55,33.33,10,6.06,15,9.09,37018
37,19,96,14,14.58,17,17.71,11,11.46,22,22.92,37019
37,20,140,18,12.86,36,25.71,19,13.57,28,20.0,37020
37,21,164,29,17.68,52,31.71,17,10.37,21,12.8,37021
37,22,86,11,12.79,21,24.42,4,4.65,10,11.63,37022
37,23,107,9,8.41,39,36.45,13,12.15,18,16.82,37023
37,24,143,18,12.59,44,30.77,20,13.99,25,17.48,37024
37,25,168,24,14.29,54,32.14,25,14.88,32,19.05,37025
37,26,159,19,11.95,61,38.36,18,11.32,23,14.47,37026
37,27,181,16,8.84,41,22.65,25,13.81,34,18.78,37027
37,28,155,26,16.77,53,34.19,20,12.9,17,10.97,37028
37,29,161,11,6.83,56,34.78,9,5.59,17,10.56,37029
37,30,113,15,13.27,32,28.32,17,15.04,23,20.35,37030
37,31,181,25,13.81,57,31.49,23,12.71,23,12.71,37031
37,32,148,20,13.51,64,43.24,20,13.51,20,13.51,37032
37,33,124,18,14.52,40,32.26,23,18.55,21,16.94,37033
37,34,154,18,11.69,58,37.66,22,14.29,23,14.94,37034
37,35,153,15,9.8,33,21.57,8,5.23,16,10.46,37035
37,36,160,30,18.75,52,32.5,24,15.0,30,18.75,37036
37,37,159,18,11.32,50,31.45,22,13.84,19,11.95,37037
37,38,170,18,10.59,73,42.94,15,8.82,29,17.06,37038
37,39,128,11,8.59,13,10.16,20,15.63,34,26.56,37039
37,40,147,25,17.01,66,44.9,11,7.48,14,9.52,37040
37,41,179,27,15.08,71,39.66,25,13.97,20,11.17,37041
37,42,75,16,21.33,13,17.33,11,14.67,9,12.0,37042
37,43,137,18,13.14,65,47.45,16,11.68,15,10.95,37043
38,1,100,19,19.0,15,15.0,14,14.0,19,19.0,38001
38,2,84,17,20.24,15,17.86,7,8.33,18,21.43,38002
38,3,79,10,12.66,19,24.05,15,18.99,9,11.39,38003
38,4,53,3,5.66,8,15.09,15,28.3,11,20.75,38004
38,5,168,33,19.64,53,31.55,20,11.9,24,14.29,38005
38,6,98,14,14.29,26,26.53,10,10.2,15,15.31,38006
38,7,94,16,17.02,22,23.4,14,14.89,18,19.15,38007
38,8,75,15,20.0,8,10.67,13,17.33,21,28.0,38008
38,9,83,13,15.66,19,22.89,11,13.25,17,20.48,38009
38,10,126,16,12.7,32,25.4,17,13.49,19,15.08,38010
38,11,69,11,15.94,13,18.84,14,20.29,18,26.09,38011
38,12,120,22,18.33,27,22.5,21,17.5,14,11.67,38012
38,13,77,12,15.58,13,16.88,10,12.99,14,18.18,38013
38,14,88,9,10.23,18,20.45,15,17.05,21,23.86,38014
38,15,85,17,20.0,19,22.35,19,22.35,15,17.65,38015
38,16,112,18,16.07,21,18.75,13,11.61,29,25.89,38016
38,17,94,18,19.15,19,20.21,16,17.02,17,18.09,38017
38,18,117,20,17.09,24,20.51,9,7.69,26,22.22,38018
38,19,133,23,17.29,27,20.3,17,12.78,24,18.05,38019
38,20,122,22,18.03,25,20.49,13,10.66,25,20.49,38020
38,21,99,11,11.11,20,20.2,13,13.13,21,21.21,38021
38,22,102,16,15.69,13,12.75,21,20.59,18,17.65,38022
38,23,69,12,17.39,14,20.29,4,5.8,16,23.19,38023
38,24,60,8,13.33,10,16.67,10,16.67,12,20.0,38024
38,25,101,3,2.97,21,20.79,17,16.83,17,16.83,38025
38,26,68,8,11.76,12,17.65,11,16.18,18,26.47,38026
38,27,67,13,19.4,12,17.91,10,14.93,10,14.93,38027
38,28,84,14,16.67,14,16.67,12,14.29,18,21.43,38028
38,29,92,17,18.48,16,17.39,11,11.96,18,19.57,38029
38,30,87,15,17.24,14,16.09,20,22.99,20,22.99,38030
38,31,119,16,13.45,17,14.29,15,12.61,27,22.69,38031
38,32,109,20,18.35,24,22.02,14,12.84,20,18.35,38032
38,33,84,9,10.71,17,20.24,13,15.48,19,22.62,38033
38,34,73,7,9.59,7,9.59,13,17.81,15,20.55,38034
38,35,115,30,26.09,19,16.52,18,15.65,13,11.3,38035
38,36,97,12,12.37,21,21.65,17,17.53,25,25.77,38036
38,37,97,21,21.65,15,15.46,17,17.53,12,12.37,38037
38,38,131,17,12.98,27,20.61,19,14.5,29,22.14,38038
38,39,98,14,14.29,23,23.47,9,9.18,24,24.49,38039
38,40,92,16,17.39,14,15.22,14,15.22,14,15.22,38040
38,41,141,19,13.48,30,21.28,24,17.02,22,15.6,38041
38,42,131,16,12.21,19,14.5,30,22.9,30,22.9,38042
38,43,115,15,13.04,21,18.26,27,23.48,24,20.87,38043
38,44,98,20,20.41,19,19.39,14,14.29,16,16.33,38044
38,45,104,17,16.35,17,16.35,12,11.54,25,24.04,38045
38,46,92,8,8.7,15,16.3,19,20.65,25,27.17,38046
38,47,94,19,20.21,20,21.28,18,19.15,16,17.02,38047
38,48,109,22,20.18,22,20.18,14,12.84,22,20.18,38048
38,49,81,6,7.41,16,19.75,10,12.35,19,23.46,38049
38,50,112,20,17.86,26,23.21,19,16.96,19,16.96,38050
38,51,68,13,19.12,11,16.18,15,22.06,14,20.59,38051
38,52,113,15,13.27,20,17.7,15,13.27,30,26.55,38052
38,53,24,5,20.83,4,16.67,3,12.5,4,16.67,38053
