ward,precinct,total,Marguerite Anne Quinn,Marguerite Anne Quinn Percent,Martha A. Mills,Martha A. Mills Percent,Patrick W. ''Pat'' O'Brien,Patrick W. ''Pat'' O'Brien Percent,Thomas ''TJ'' Loftus,Thomas ''TJ'' Loftus Percent,Susan Mary Matyus,Susan Mary Matyus Percent,John Martin Stalmack,John Martin Stalmack Percent,Phyllis F. Ringer-Taylor,Phyllis F. Ringer-Taylor Percent,precinct_id
12,24,119,20,16.81,20,16.81,34,28.57,6,5.04,20,16.81,17,14.29,2,1.68,12024
13,1,162,24,14.81,8,4.94,31,19.14,2,1.23,3,1.85,89,54.94,5,3.09,13001
13,2,153,20,13.07,6,3.92,13,8.5,5,3.27,8,5.23,94,61.44,7,4.58,13002
13,3,193,45,23.32,17,8.81,32,16.58,9,4.66,22,11.4,61,31.61,7,3.63,13003
13,4,248,35,14.11,16,6.45,59,23.79,5,2.02,15,6.05,111,44.76,7,2.82,13004
13,5,185,24,12.97,10,5.41,35,18.92,4,2.16,11,5.95,97,52.43,4,2.16,13005
13,6,173,27,15.61,11,6.36,29,16.76,10,5.78,13,7.51,81,46.82,2,1.16,13006
13,7,191,23,12.04,8,4.19,28,14.66,5,2.62,10,5.24,113,59.16,4,2.09,13007
13,8,211,24,11.37,4,1.9,32,15.17,8,3.79,9,4.27,131,62.09,3,1.42,13008
13,9,197,19,9.64,7,3.55,61,30.96,4,2.03,9,4.57,93,47.21,4,2.03,13009
13,10,186,22,11.83,9,4.84,44,23.66,5,2.69,5,2.69,94,50.54,7,3.76,13010
13,11,211,25,11.85,20,9.48,35,16.59,8,3.79,6,2.84,107,50.71,10,4.74,13011
13,12,171,40,23.39,12,7.02,34,19.88,11,6.43,5,2.92,66,38.6,3,1.75,13012
13,13,201,17,8.46,6,2.99,23,11.44,3,1.49,11,5.47,134,66.67,7,3.48,13013
13,14,133,30,22.56,6,4.51,18,13.53,4,3.01,6,4.51,65,48.87,4,3.01,13014
13,15,292,35,11.99,11,3.77,33,11.3,5,1.71,13,4.45,191,65.41,4,1.37,13015
13,16,152,34,22.37,13,8.55,30,19.74,4,2.63,11,7.24,54,35.53,6,3.95,13016
13,17,204,32,15.69,13,6.37,53,25.98,7,3.43,12,5.88,85,41.67,2,0.98,13017
13,18,140,22,15.71,8,5.71,40,28.57,9,6.43,12,8.57,47,33.57,2,1.43,13018
13,19,163,11,6.75,15,9.2,20,12.27,3,1.84,3,1.84,102,62.58,9,5.52,13019
13,20,172,24,13.95,16,9.3,43,25.0,6,3.49,11,6.4,71,41.28,1,0.58,13020
13,21,230,23,10.0,19,8.26,47,20.43,3,1.3,12,5.22,102,44.35,24,10.43,13021
13,22,212,12,5.66,10,4.72,28,13.21,4,1.89,2,0.94,153,72.17,3,1.42,13022
13,23,152,18,11.84,6,3.95,18,11.84,2,1.32,10,6.58,96,63.16,2,1.32,13023
13,24,194,12,6.19,8,4.12,24,12.37,5,2.58,10,5.15,130,67.01,5,2.58,13024
13,25,140,25,17.86,13,9.29,43,30.71,8,5.71,15,10.71,33,23.57,3,2.14,13025
13,26,128,18,14.06,8,6.25,23,17.97,4,3.13,3,2.34,68,53.13,4,3.13,13026
13,27,213,25,11.74,5,2.35,62,29.11,4,1.88,4,1.88,103,48.36,10,4.69,13027
13,28,125,24,19.2,12,9.6,16,12.8,9,7.2,5,4.0,55,44.0,4,3.2,13028
13,29,157,26,,10,,39,,4,,3,,75,,0,,13029
13,30,193,17,8.81,12,6.22,37,19.17,4,2.07,12,6.22,108,55.96,3,1.55,13030
13,31,210,20,9.52,14,6.67,41,19.52,4,1.9,8,3.81,121,57.62,2,0.95,13031
13,32,182,28,15.38,19,10.44,29,15.93,14,7.69,12,6.59,51,28.02,29,15.93,13032
13,33,163,25,15.34,6,3.68,32,19.63,6,3.68,11,6.75,80,49.08,3,1.84,13033
13,34,172,17,9.88,7,4.07,45,26.16,5,2.91,7,4.07,90,52.33,1,0.58,13034
13,35,224,11,4.91,8,3.57,19,8.48,6,2.68,7,3.13,172,76.79,1,0.45,13035
13,36,109,17,,8,,32,,6,,6,,40,,0,,13036
13,37,126,14,11.11,8,6.35,23,18.25,1,0.79,8,6.35,68,53.97,4,3.17,13037
13,38,201,32,15.92,14,6.97,32,15.92,4,1.99,7,3.48,108,53.73,4,1.99,13038
13,39,170,18,10.59,9,5.29,28,16.47,8,4.71,5,2.94,99,58.24,3,1.76,13039
13,40,198,40,20.2,14,7.07,49,24.75,7,3.54,7,3.54,77,38.89,4,2.02,13040
13,41,193,23,11.92,9,4.66,20,10.36,1,0.52,8,4.15,129,66.84,3,1.55,13041
13,42,218,27,12.39,14,6.42,37,16.97,5,2.29,5,2.29,125,57.34,5,2.29,13042
13,43,151,24,15.89,8,5.3,17,11.26,2,1.32,6,3.97,90,59.6,4,2.65,13043
13,44,316,5,1.58,3,0.95,17,5.38,1,0.32,5,1.58,283,89.56,2,0.63,13044
13,45,284,21,7.39,10,3.52,48,16.9,7,2.46,8,2.82,184,64.79,6,2.11,13045
13,46,179,17,9.5,4,2.23,26,14.53,5,2.79,7,3.91,118,65.92,2,1.12,13046
13,47,159,15,9.43,10,6.29,28,17.61,4,2.52,5,3.14,91,57.23,6,3.77,13047
13,48,220,30,13.64,13,5.91,45,20.45,3,1.36,11,5.0,116,52.73,2,0.91,13048
13,49,240,17,7.08,4,1.67,34,14.17,5,2.08,5,2.08,171,71.25,4,1.67,13049
13,50,295,20,6.78,12,4.07,28,9.49,5,1.69,5,1.69,222,75.25,3,1.02,13050
14,1,105,15,,7,,21,,1,,4,,57,,0,,14001
14,2,120,29,24.17,14,11.67,31,25.83,4,3.33,5,4.17,33,27.5,4,3.33,14002
14,3,167,23,13.77,21,12.57,34,20.36,4,2.4,8,4.79,74,44.31,3,1.8,14003
14,4,106,9,8.49,13,12.26,31,29.25,2,1.89,5,4.72,45,42.45,1,0.94,14004
14,5,176,19,10.8,14,7.95,30,17.05,4,2.27,9,5.11,98,55.68,2,1.14,14005
14,6,116,24,20.69,6,5.17,30,25.86,6,5.17,6,5.17,41,35.34,3,2.59,14006
14,7,114,14,12.28,9,7.89,19,16.67,2,1.75,7,6.14,61,53.51,2,1.75,14007
14,8,90,11,12.22,1,1.11,28,31.11,4,4.44,6,6.67,38,42.22,2,2.22,14008
14,9,150,21,14.0,13,8.67,28,18.67,9,6.0,12,8.0,60,40.0,7,4.67,14009
14,10,120,20,16.67,10,8.33,26,21.67,4,3.33,5,4.17,52,43.33,3,2.5,14010
14,11,110,6,5.45,7,6.36,19,17.27,3,2.73,5,4.55,68,61.82,2,1.82,14011
14,12,116,10,8.62,6,5.17,19,16.38,4,3.45,6,5.17,68,58.62,3,2.59,14012
14,13,182,22,12.09,21,11.54,30,16.48,9,4.95,17,9.34,80,43.96,3,1.65,14013
14,14,97,16,16.49,6,6.19,21,21.65,4,4.12,3,3.09,46,47.42,1,1.03,14014
14,15,147,20,13.61,10,6.8,29,19.73,2,1.36,8,5.44,74,50.34,4,2.72,14015
14,16,114,19,16.67,8,7.02,26,22.81,5,4.39,14,12.28,40,35.09,2,1.75,14016
14,17,133,11,8.27,8,6.02,12,9.02,2,1.5,4,3.01,93,69.92,3,2.26,14017
14,18,112,22,19.64,19,16.96,32,28.57,10,8.93,9,8.04,16,14.29,4,3.57,14018
14,19,176,26,14.77,17,9.66,26,14.77,4,2.27,10,5.68,88,50.0,5,2.84,14019
14,20,102,14,,13,,17,,2,,8,,48,,0,,14020
14,21,148,7,4.73,5,3.38,21,14.19,5,3.38,3,2.03,106,71.62,1,0.68,14021
14,22,151,18,11.92,12,7.95,21,13.91,3,1.99,12,7.95,79,52.32,6,3.97,14022
14,23,140,13,9.29,5,3.57,33,23.57,6,4.29,8,5.71,70,50.0,5,3.57,14023
14,24,74,6,8.11,6,8.11,14,18.92,2,2.7,2,2.7,43,58.11,1,1.35,14024
14,25,145,23,15.86,16,11.03,31,21.38,9,6.21,8,5.52,57,39.31,1,0.69,14025
14,26,153,26,16.99,20,13.07,39,25.49,11,7.19,20,13.07,36,23.53,1,0.65,14026
14,27,151,23,15.23,11,7.28,55,36.42,8,5.3,8,5.3,43,28.48,3,1.99,14027
14,28,131,22,16.79,8,6.11,31,23.66,10,7.63,7,5.34,49,37.4,4,3.05,14028
14,29,150,13,8.67,12,8.0,25,16.67,5,3.33,7,4.67,78,52.0,10,6.67,14029
14,30,103,10,9.71,8,7.77,23,22.33,2,1.94,8,7.77,49,47.57,3,2.91,14030
14,31,126,10,,5,,12,,0,,4,,93,,2,,14031
14,32,103,18,17.48,9,8.74,19,18.45,5,4.85,2,1.94,48,46.6,2,1.94,14032
14,33,105,10,9.52,4,3.81,16,15.24,1,0.95,6,5.71,67,63.81,1,0.95,14033
14,34,128,13,10.16,4,3.13,10,7.81,4,3.13,5,3.91,88,68.75,4,3.13,14034
14,35,97,16,16.49,6,6.19,10,10.31,3,3.09,7,7.22,54,55.67,1,1.03,14035
15,1,74,19,25.68,14,18.92,17,22.97,3,4.05,1,1.35,12,16.22,8,10.81,15001
15,2,97,23,23.71,6,6.19,23,23.71,8,8.25,5,5.15,6,6.19,26,26.8,15002
15,3,84,15,17.86,13,15.48,20,23.81,6,7.14,4,4.76,5,5.95,21,25.0,15003
15,4,89,27,30.34,9,10.11,15,16.85,7,7.87,4,4.49,8,8.99,19,21.35,15004
15,5,86,20,23.26,11,12.79,14,16.28,6,6.98,3,3.49,6,6.98,26,30.23,15005
15,6,81,17,20.99,9,11.11,23,28.4,4,4.94,5,6.17,7,8.64,16,19.75,15006
15,7,92,22,23.91,16,17.39,21,22.83,4,4.35,2,2.17,8,8.7,19,20.65,15007
15,8,130,22,16.92,19,14.62,33,25.38,7,5.38,7,5.38,18,13.85,24,18.46,15008
15,9,112,25,22.32,16,14.29,22,19.64,7,6.25,6,5.36,16,14.29,20,17.86,15009
15,10,82,21,25.61,15,18.29,26,31.71,5,6.1,4,4.88,5,6.1,6,7.32,15010
15,11,95,21,22.11,15,15.79,21,22.11,9,9.47,5,5.26,5,5.26,19,20.0,15011
15,12,51,8,15.69,5,9.8,9,17.65,3,5.88,2,3.92,6,11.76,18,35.29,15012
15,13,53,12,22.64,8,15.09,13,24.53,4,7.55,5,9.43,6,11.32,5,9.43,15013
15,14,125,23,18.4,34,27.2,30,24.0,7,5.6,10,8.0,18,14.4,3,2.4,15014
15,15,68,14,20.59,12,17.65,14,20.59,7,10.29,5,7.35,5,7.35,11,16.18,15015
15,16,60,15,25.0,5,8.33,19,31.67,5,8.33,6,10.0,7,11.67,3,5.0,15016
15,17,109,22,20.18,8,7.34,16,14.68,9,8.26,5,4.59,10,9.17,39,35.78,15017
15,18,68,17,25.0,7,10.29,12,17.65,8,11.76,3,4.41,4,5.88,17,25.0,15018
15,19,99,29,29.29,13,13.13,25,25.25,7,7.07,4,4.04,4,4.04,17,17.17,15019
15,20,92,22,23.91,8,8.7,21,22.83,4,4.35,2,2.17,6,6.52,29,31.52,15020
15,21,111,23,20.72,19,17.12,19,17.12,12,10.81,4,3.6,9,8.11,25,22.52,15021
15,22,109,27,24.77,15,13.76,30,27.52,7,6.42,3,2.75,7,6.42,20,18.35,15022
15,23,74,9,12.16,10,13.51,10,13.51,3,4.05,4,5.41,7,9.46,31,41.89,15023
15,24,117,27,23.08,17,14.53,30,25.64,4,3.42,3,2.56,12,10.26,24,20.51,15024
15,25,62,12,19.35,14,22.58,15,24.19,5,8.06,5,8.06,4,6.45,7,11.29,15025
15,26,90,15,16.67,7,7.78,16,17.78,9,10.0,3,3.33,7,7.78,33,36.67,15026
15,27,78,21,26.92,12,15.38,19,24.36,3,3.85,2,2.56,8,10.26,13,16.67,15027
15,28,91,24,26.37,11,12.09,30,32.97,5,5.49,3,3.3,11,12.09,7,7.69,15028
15,29,46,10,21.74,7,15.22,11,23.91,3,6.52,1,2.17,2,4.35,12,26.09,15029
15,30,82,24,29.27,12,14.63,15,18.29,6,7.32,2,2.44,3,3.66,20,24.39,15030
15,31,96,14,14.58,13,13.54,25,26.04,3,3.13,2,2.08,7,7.29,32,33.33,15031
15,32,82,16,19.51,16,19.51,17,20.73,6,7.32,8,9.76,6,7.32,13,15.85,15032
15,33,70,15,21.43,8,11.43,9,12.86,4,5.71,3,4.29,10,14.29,21,30.0,15033
15,34,79,15,18.99,10,12.66,22,27.85,2,2.53,6,7.59,3,3.8,21,26.58,15034
15,35,107,19,17.76,23,21.5,27,25.23,6,5.61,4,3.74,4,3.74,24,22.43,15035
15,36,85,17,20.0,12,14.12,13,15.29,4,4.71,2,2.35,8,9.41,29,34.12,15036
15,37,91,15,16.48,13,14.29,18,19.78,6,6.59,2,2.2,6,6.59,31,34.07,15037
15,38,87,18,20.69,10,11.49,23,26.44,5,5.75,5,5.75,5,5.75,21,24.14,15038
15,39,119,15,12.61,11,9.24,21,17.65,8,6.72,4,3.36,13,10.92,47,39.5,15039
15,40,110,20,18.18,16,14.55,28,25.45,3,2.73,3,2.73,8,7.27,32,29.09,15040
15,41,127,26,20.47,16,12.6,30,23.62,10,7.87,6,4.72,15,11.81,24,18.9,15041
15,42,61,9,,14,,11,,4,,0,,7,,16,,15042
15,43,97,10,10.31,9,9.28,20,20.62,4,4.12,7,7.22,10,10.31,37,38.14,15043
15,44,84,14,16.67,14,16.67,27,32.14,5,5.95,5,5.95,9,10.71,10,11.9,15044
15,45,50,17,34.0,4,8.0,12,24.0,5,10.0,2,4.0,2,4.0,8,16.0,15045
15,46,74,17,22.97,5,6.76,20,27.03,3,4.05,3,4.05,7,9.46,19,25.68,15046
15,47,109,21,19.27,6,5.5,30,27.52,7,6.42,10,9.17,10,9.17,25,22.94,15047
15,48,73,18,24.66,8,10.96,15,20.55,4,5.48,3,4.11,9,12.33,16,21.92,15048
15,49,59,5,8.47,13,22.03,13,22.03,2,3.39,2,3.39,7,11.86,17,28.81,15049
15,50,91,15,16.48,8,8.79,17,18.68,4,4.4,3,3.3,19,20.88,25,27.47,15050
15,51,68,13,19.12,8,11.76,15,22.06,6,8.82,1,1.47,4,5.88,21,30.88,15051
15,52,65,11,16.92,10,15.38,8,12.31,4,6.15,3,4.62,2,3.08,27,41.54,15052
16,1,57,9,15.79,8,14.04,12,21.05,1,1.75,2,3.51,7,12.28,18,31.58,16001
16,2,74,19,25.68,4,5.41,15,20.27,4,5.41,1,1.35,10,13.51,21,28.38,16002
16,3,109,15,13.76,17,15.6,16,14.68,6,5.5,3,2.75,11,10.09,41,37.61,16003
16,4,63,11,17.46,10,15.87,19,30.16,3,4.76,3,4.76,2,3.17,15,23.81,16004
16,5,105,18,17.14,15,14.29,15,14.29,5,4.76,5,4.76,16,15.24,31,29.52,16005
16,6,44,8,18.18,10,22.73,7,15.91,3,6.82,4,9.09,4,9.09,8,18.18,16006
16,7,83,19,22.89,10,12.05,8,9.64,4,4.82,2,2.41,7,8.43,33,39.76,16007
16,8,97,13,13.4,22,22.68,23,23.71,5,5.15,4,4.12,13,13.4,17,17.53,16008
16,9,160,28,17.5,20,12.5,29,18.13,7,4.38,1,0.63,17,10.63,58,36.25,16009
16,10,75,7,9.33,14,18.67,18,24.0,7,9.33,3,4.0,14,18.67,12,16.0,16010
16,11,91,13,14.29,11,12.09,23,25.27,2,2.2,2,2.2,14,15.38,26,28.57,16011
16,12,78,15,19.23,10,12.82,18,23.08,3,3.85,4,5.13,6,7.69,22,28.21,16012
16,13,69,14,20.29,12,17.39,16,23.19,2,2.9,11,15.94,4,5.8,10,14.49,16013
16,14,113,27,23.89,14,12.39,20,17.7,3,2.65,2,1.77,7,6.19,40,35.4,16014
16,15,128,24,18.75,10,7.81,35,27.34,11,8.59,2,1.56,15,11.72,31,24.22,16015
16,16,129,13,10.08,19,14.73,30,23.26,6,4.65,6,4.65,17,13.18,38,29.46,16016
16,17,101,23,22.77,16,15.84,28,27.72,6,5.94,8,7.92,16,15.84,4,3.96,16017
16,18,95,20,21.05,16,16.84,18,18.95,2,2.11,3,3.16,14,14.74,22,23.16,16018
16,19,82,16,,6,,23,,9,,0,,9,,19,,16019
16,20,111,16,14.41,11,9.91,19,17.12,6,5.41,3,2.7,15,13.51,41,36.94,16020
16,21,70,17,24.29,12,17.14,16,22.86,5,7.14,13,18.57,5,7.14,2,2.86,16021
16,22,89,18,20.22,12,13.48,18,20.22,4,4.49,5,5.62,4,4.49,28,31.46,16022
16,23,70,16,22.86,7,10.0,14,20.0,8,11.43,5,7.14,8,11.43,12,17.14,16023
16,24,63,15,23.81,10,15.87,9,14.29,4,6.35,2,3.17,5,7.94,18,28.57,16024
16,25,88,17,19.32,11,12.5,18,20.45,4,4.55,3,3.41,23,26.14,12,13.64,16025
16,26,90,20,22.22,11,12.22,16,17.78,5,5.56,3,3.33,14,15.56,21,23.33,16026
16,27,159,33,20.75,20,12.58,23,14.47,7,4.4,6,3.77,14,8.81,56,35.22,16027
16,28,134,28,20.9,19,14.18,22,16.42,5,3.73,3,2.24,12,8.96,45,33.58,16028
16,29,70,17,24.29,8,11.43,17,24.29,6,8.57,1,1.43,3,4.29,18,25.71,16029
16,30,67,12,17.91,9,13.43,13,19.4,2,2.99,4,5.97,13,19.4,14,20.9,16030
16,31,120,18,15.0,15,12.5,13,10.83,8,6.67,1,0.83,35,29.17,30,25.0,16031
16,32,99,27,27.27,17,17.17,26,26.26,5,5.05,8,8.08,11,11.11,5,5.05,16032
16,33,94,20,21.28,7,7.45,13,13.83,5,5.32,5,5.32,15,15.96,29,30.85,16033
16,34,96,19,19.79,14,14.58,19,19.79,6,6.25,4,4.17,5,5.21,29,30.21,16034
16,35,70,13,18.57,9,12.86,16,22.86,2,2.86,7,10.0,11,15.71,12,17.14,16035
16,36,115,31,26.96,8,6.96,29,25.22,7,6.09,1,0.87,4,3.48,35,30.43,16036
16,37,71,12,16.9,7,9.86,15,21.13,6,8.45,4,5.63,8,11.27,19,26.76,16037
16,38,122,25,20.49,15,12.3,26,21.31,7,5.74,3,2.46,17,13.93,29,23.77,16038
16,39,73,14,19.18,12,16.44,23,31.51,3,4.11,7,9.59,10,13.7,4,5.48,16039
16,40,133,22,16.54,16,12.03,20,15.04,6,4.51,8,6.02,13,9.77,48,36.09,16040
16,41,52,14,,10,,16,,2,,0,,4,,6,,16041
16,42,83,14,16.87,8,9.64,27,32.53,4,4.82,9,10.84,16,19.28,5,6.02,16042
16,43,141,28,19.86,13,9.22,18,12.77,8,5.67,2,1.42,15,10.64,57,40.43,16043
16,44,93,14,15.05,10,10.75,24,25.81,2,2.15,6,6.45,11,11.83,26,27.96,16044
16,45,71,12,16.9,9,12.68,12,16.9,5,7.04,2,2.82,5,7.04,26,36.62,16045
16,46,33,6,18.18,3,9.09,10,30.3,2,6.06,1,3.03,2,6.06,9,27.27,16046
17,1,74,13,17.57,12,16.22,21,28.38,3,4.05,1,1.35,8,10.81,16,21.62,17001
17,2,101,10,9.9,10,9.9,14,13.86,8,7.92,4,3.96,13,12.87,42,41.58,17002
17,3,84,17,20.24,12,14.29,21,25.0,6,7.14,8,9.52,4,4.76,16,19.05,17003
17,4,202,35,17.33,34,16.83,45,22.28,11,5.45,6,2.97,19,9.41,52,25.74,17004
17,5,98,17,17.35,16,16.33,24,24.49,5,5.1,2,2.04,8,8.16,26,26.53,17005
17,6,97,17,17.53,14,14.43,24,24.74,6,6.19,4,4.12,5,5.15,27,27.84,17006
17,7,159,17,10.69,26,16.35,22,13.84,9,5.66,6,3.77,12,7.55,67,42.14,17007
17,8,114,36,31.58,14,12.28,28,24.56,5,4.39,4,3.51,8,7.02,19,16.67,17008
17,9,92,21,22.83,11,11.96,18,19.57,6,6.52,3,3.26,10,10.87,23,25.0,17009
17,10,134,20,14.93,17,12.69,19,14.18,10,7.46,6,4.48,7,5.22,55,41.04,17010
17,11,128,32,25.0,23,17.97,26,20.31,7,5.47,3,2.34,15,11.72,22,17.19,17011
17,12,162,25,15.43,16,9.88,22,13.58,9,5.56,5,3.09,9,5.56,76,46.91,17012
17,13,75,17,,9,,15,,0,,4,,11,,19,,17013
17,14,114,35,30.7,14,12.28,27,23.68,7,6.14,5,4.39,5,4.39,21,18.42,17014
17,15,104,16,15.38,13,12.5,23,22.12,9,8.65,7,6.73,9,8.65,27,25.96,17015
17,16,101,23,22.77,17,16.83,24,23.76,4,3.96,5,4.95,5,4.95,23,22.77,17016
17,17,71,11,15.49,12,16.9,10,14.08,7,9.86,3,4.23,4,5.63,24,33.8,17017
17,18,151,26,17.22,19,12.58,20,13.25,9,5.96,6,3.97,16,10.6,55,36.42,17018
17,19,39,5,12.82,4,10.26,15,38.46,2,5.13,2,5.13,5,12.82,6,15.38,17019
17,20,101,23,22.77,10,9.9,18,17.82,8,7.92,6,5.94,11,10.89,25,24.75,17020
17,21,192,26,13.54,32,16.67,33,17.19,18,9.38,6,3.13,13,6.77,64,33.33,17021
17,22,131,23,17.56,22,16.79,28,21.37,7,5.34,3,2.29,15,11.45,33,25.19,17022
17,23,104,16,15.38,10,9.62,22,21.15,8,7.69,3,2.88,8,7.69,37,35.58,17023
17,24,123,24,19.51,17,13.82,22,17.89,9,7.32,7,5.69,8,6.5,36,29.27,17024
17,25,73,10,13.7,8,10.96,11,15.07,5,6.85,3,4.11,4,5.48,32,43.84,17025
17,26,159,29,18.24,17,10.69,39,24.53,14,8.81,11,6.92,21,13.21,28,17.61,17026
17,27,170,51,30.0,18,10.59,51,30.0,12,7.06,6,3.53,9,5.29,23,13.53,17027
17,28,99,24,24.24,9,9.09,27,27.27,11,11.11,2,2.02,7,7.07,19,19.19,17028
17,29,146,29,19.86,28,19.18,27,18.49,11,7.53,6,4.11,17,11.64,28,19.18,17029
17,30,141,20,14.18,20,14.18,24,17.02,7,4.96,1,0.71,7,4.96,62,43.97,17030
17,31,115,26,22.61,20,17.39,25,21.74,3,2.61,6,5.22,7,6.09,28,24.35,17031
17,32,130,30,23.08,16,12.31,39,30.0,8,6.15,2,1.54,11,8.46,24,18.46,17032
17,33,107,26,24.3,13,12.15,28,26.17,8,7.48,3,2.8,14,13.08,15,14.02,17033
17,34,82,18,21.95,13,15.85,17,20.73,8,9.76,4,4.88,2,2.44,20,24.39,17034
17,35,80,16,20.0,8,10.0,12,15.0,3,3.75,4,5.0,14,17.5,23,28.75,17035
17,36,74,9,12.16,6,8.11,19,25.68,5,6.76,4,5.41,7,9.46,24,32.43,17036
17,37,85,21,24.71,9,10.59,18,21.18,3,3.53,1,1.18,5,5.88,28,32.94,17037
17,38,132,20,15.15,15,11.36,30,22.73,5,3.79,1,0.76,6,4.55,55,41.67,17038
17,39,76,17,22.37,15,19.74,17,22.37,3,3.95,4,5.26,8,10.53,12,15.79,17039
17,40,97,21,21.65,15,15.46,22,22.68,8,8.25,1,1.03,11,11.34,19,19.59,17040
17,41,109,32,29.36,15,13.76,20,18.35,9,8.26,2,1.83,6,5.5,25,22.94,17041
17,42,102,18,17.65,9,8.82,18,17.65,4,3.92,4,3.92,11,10.78,38,37.25,17042
17,43,96,17,17.71,14,14.58,12,12.5,11,11.46,4,4.17,9,9.38,29,30.21,17043
17,44,85,16,,6,,18,,4,,0,,11,,30,,17044
17,45,73,11,15.07,8,10.96,24,32.88,5,6.85,7,9.59,4,5.48,14,19.18,17045
17,46,128,30,23.44,17,13.28,20,15.63,12,9.38,5,3.91,4,3.13,40,31.25,17046
17,47,68,15,22.06,7,10.29,17,25.0,4,5.88,2,2.94,6,8.82,17,25.0,17047
17,48,140,20,14.29,18,12.86,32,22.86,4,2.86,2,1.43,11,7.86,53,37.86,17048
17,49,93,23,24.73,12,12.9,27,29.03,2,2.15,2,2.15,7,7.53,20,21.51,17049
17,50,100,26,26.0,11,11.0,20,20.0,6,6.0,4,4.0,4,4.0,29,29.0,17050
17,51,145,32,22.07,15,10.34,33,22.76,6,4.14,4,2.76,8,5.52,47,32.41,17051
17,52,158,33,20.89,22,13.92,29,18.35,11,6.96,4,2.53,12,7.59,47,29.75,17052
17,53,107,19,17.76,15,14.02,24,22.43,7,6.54,4,3.74,10,9.35,28,26.17,17053
17,54,143,21,14.69,17,11.89,19,13.29,8,5.59,3,2.1,9,6.29,66,46.15,17054
17,55,111,16,,17,,37,,9,,0,,8,,24,,17055
17,56,122,21,17.21,20,16.39,19,15.57,10,8.2,6,4.92,12,9.84,34,27.87,17056
17,57,135,25,18.52,27,20.0,33,24.44,7,5.19,3,2.22,14,10.37,26,19.26,17057
17,58,98,14,14.29,13,13.27,26,26.53,6,6.12,6,6.12,17,17.35,16,16.33,17058
17,59,41,9,,7,,9,,2,,0,,4,,10,,17059
17,60,182,37,20.33,25,13.74,27,14.84,4,2.2,5,2.75,18,9.89,66,36.26,17060
17,61,107,21,19.63,17,15.89,29,27.1,4,3.74,4,3.74,8,7.48,24,22.43,17061
17,62,100,27,27.0,17,17.0,18,18.0,7,7.0,3,3.0,11,11.0,17,17.0,17062
17,63,65,12,18.46,13,20.0,14,21.54,1,1.54,5,7.69,9,13.85,11,16.92,17063
17,64,76,20,26.32,11,14.47,28,36.84,5,6.58,1,1.32,1,1.32,10,13.16,17064
18,1,85,18,21.18,10,11.76,22,25.88,5,5.88,4,4.71,11,12.94,15,17.65,18001
18,2,155,32,20.65,30,19.35,38,24.52,6,3.87,6,3.87,13,8.39,30,19.35,18002
18,3,127,32,25.2,7,5.51,42,33.07,9,7.09,7,5.51,23,18.11,7,5.51,18003
18,4,200,29,14.5,24,12.0,43,21.5,13,6.5,4,2.0,49,24.5,38,19.0,18004
18,5,155,26,16.77,14,9.03,32,20.65,6,3.87,4,2.58,38,24.52,35,22.58,18005
18,6,137,18,13.14,10,7.3,40,29.2,13,9.49,7,5.11,39,28.47,10,7.3,18006
18,7,113,27,23.89,10,8.85,32,28.32,3,2.65,8,7.08,22,19.47,11,9.73,18007
18,8,64,8,12.5,11,17.19,14,21.88,5,7.81,1,1.56,15,23.44,10,15.63,18008
18,9,189,36,19.05,26,13.76,30,15.87,14,7.41,5,2.65,32,16.93,46,24.34,18009
18,10,262,31,11.83,38,14.5,42,16.03,19,7.25,9,3.44,51,19.47,72,27.48,18010
18,11,153,26,16.99,14,9.15,25,16.34,9,5.88,3,1.96,55,35.95,21,13.73,18011
18,12,209,37,17.7,19,9.09,39,18.66,10,4.78,2,0.96,39,18.66,63,30.14,18012
18,13,188,40,21.28,22,11.7,32,17.02,11,5.85,5,2.66,44,23.4,34,18.09,18013
18,14,211,32,15.17,32,15.17,37,17.54,7,3.32,5,2.37,46,21.8,52,24.64,18014
18,15,83,12,14.46,6,7.23,18,21.69,10,12.05,9,10.84,15,18.07,13,15.66,18015
18,16,185,32,17.3,16,8.65,32,17.3,12,6.49,3,1.62,52,28.11,38,20.54,18016
18,17,136,22,16.18,13,9.56,40,29.41,4,2.94,4,2.94,39,28.68,14,10.29,18017
18,18,196,37,18.88,32,16.33,36,18.37,14,7.14,5,2.55,25,12.76,47,23.98,18018
18,19,215,36,16.74,28,13.02,28,13.02,13,6.05,2,0.93,58,26.98,50,23.26,18019
18,20,178,31,17.42,27,15.17,40,22.47,9,5.06,7,3.93,25,14.04,39,21.91,18020
18,21,237,38,16.03,37,15.61,30,12.66,22,9.28,9,3.8,53,22.36,48,20.25,18021
18,22,187,33,17.65,19,10.16,38,20.32,10,5.35,2,1.07,38,20.32,47,25.13,18022
18,23,147,18,12.24,21,14.29,29,19.73,13,8.84,7,4.76,30,20.41,29,19.73,18023
18,24,215,44,20.47,38,17.67,41,19.07,17,7.91,3,1.4,17,7.91,55,25.58,18024
18,25,65,10,15.38,10,15.38,14,21.54,2,3.08,1,1.54,9,13.85,19,29.23,18025
18,26,148,19,12.84,21,14.19,23,15.54,5,3.38,1,0.68,35,23.65,44,29.73,18026
18,27,124,23,18.55,25,20.16,20,16.13,4,3.23,4,3.23,28,22.58,20,16.13,18027
