ward,precinct,total,Alexander Giannoulias,Alexander Giannoulias Percent,Paul L. Mangieri,Paul L. Mangieri Percent,precinct_id
40,10,150,96,64.0,54,36.0,40010
40,11,102,78,76.47,24,23.53,40011
40,12,97,55,56.7,42,43.3,40012
40,13,124,91,73.39,33,26.61,40013
40,14,77,58,75.32,19,24.68,40014
40,15,129,95,73.64,34,26.36,40015
40,16,177,79,44.63,98,55.37,40016
40,17,75,48,64.0,27,36.0,40017
40,18,111,70,63.06,41,36.94,40018
40,19,103,60,58.25,43,41.75,40019
40,20,113,64,56.64,49,43.36,40020
40,21,119,82,68.91,37,31.09,40021
40,22,39,26,66.67,13,33.33,40022
40,23,118,85,72.03,33,27.97,40023
40,24,83,62,74.7,21,25.3,40024
40,25,94,56,59.57,38,40.43,40025
40,26,150,104,69.33,46,30.67,40026
40,27,111,73,65.77,38,34.23,40027
40,28,110,71,64.55,39,35.45,40028
40,29,158,95,60.13,63,39.87,40029
40,30,175,92,52.57,83,47.43,40030
40,31,117,74,63.25,43,36.75,40031
40,32,62,41,66.13,21,33.87,40032
40,33,102,70,68.63,32,31.37,40033
40,34,97,57,58.76,40,41.24,40034
40,35,131,68,51.91,63,48.09,40035
40,36,148,98,66.22,50,33.78,40036
40,37,94,64,68.09,30,31.91,40037
40,38,70,37,52.86,33,47.14,40038
40,39,103,73,70.87,30,29.13,40039
40,40,79,54,68.35,25,31.65,40040
40,41,128,78,60.94,50,39.06,40041
40,42,120,75,62.5,45,37.5,40042
40,43,115,89,77.39,26,22.61,40043
40,44,84,63,75.0,21,25.0,40044
40,45,149,102,68.46,47,31.54,40045
40,46,146,88,60.27,58,39.73,40046
40,47,119,85,71.43,34,28.57,40047
40,48,95,62,65.26,33,34.74,40048
40,49,66,38,57.58,28,42.42,40049
41,1,167,79,47.31,88,52.69,41001
41,2,219,86,39.27,133,60.73,41002
41,3,154,90,58.44,64,41.56,41003
41,4,184,110,59.78,74,40.22,41004
41,5,149,81,54.36,68,45.64,41005
41,6,164,86,52.44,78,47.56,41006
41,7,179,114,63.69,65,36.31,41007
41,8,152,99,65.13,53,34.87,41008
41,9,151,101,66.89,50,33.11,41009
41,10,157,80,50.96,77,49.04,41010
41,11,162,96,59.26,66,40.74,41011
41,12,176,99,56.25,77,43.75,41012
41,13,88,46,52.27,42,47.73,41013
41,14,230,99,43.04,131,56.96,41014
41,15,141,84,59.57,57,40.43,41015
41,16,159,83,52.2,76,47.8,41016
41,17,169,85,50.3,84,49.7,41017
41,18,148,96,64.86,52,35.14,41018
41,19,231,113,48.92,118,51.08,41019
41,20,205,100,48.78,105,51.22,41020
41,21,166,94,56.63,72,43.37,41021
41,22,148,84,56.76,64,43.24,41022
41,23,145,80,55.17,65,44.83,41023
41,24,158,79,50.0,79,50.0,41024
41,25,50,32,64.0,18,36.0,41025
41,26,77,33,42.86,44,57.14,41026
41,27,44,29,65.91,15,34.09,41027
41,28,126,81,64.29,45,35.71,41028
41,29,53,34,64.15,19,35.85,41029
41,30,179,113,63.13,66,36.87,41030
41,31,161,95,59.01,66,40.99,41031
41,32,112,65,58.04,47,41.96,41032
41,33,95,50,52.63,45,47.37,41033
41,34,110,58,52.73,52,47.27,41034
41,35,190,121,63.68,69,36.32,41035
41,36,173,90,52.02,83,47.98,41036
41,37,148,89,60.14,59,39.86,41037
41,38,148,97,65.54,51,34.46,41038
41,39,136,76,55.88,60,44.12,41039
