ward,precinct,total,Rahm Emanuel,Rahm Emanuel Percent,Kevin Edward White,Kevin Edward White Percent,precinct_id
45,23,299,225,75.25,74,24.75,45023
45,24,391,277,70.84,114,29.16,45024
45,25,283,209,73.85,74,26.15,45025
45,26,298,239,80.2,59,19.8,45026
45,27,263,197,74.9,66,25.1,45027
45,28,244,201,82.38,43,17.62,45028
45,29,279,215,77.06,64,22.94,45029
45,30,296,207,69.93,89,30.07,45030
45,31,278,220,79.14,58,20.86,45031
45,32,181,133,73.48,48,26.52,45032
45,33,279,203,72.76,76,27.24,45033
45,34,214,151,70.56,63,29.44,45034
45,35,300,222,74.0,78,26.0,45035
45,36,281,201,71.53,80,28.47,45036
45,37,291,237,81.44,54,18.56,45037
45,38,316,249,78.8,67,21.2,45038
45,39,321,234,72.9,87,27.1,45039
45,40,306,243,79.41,63,20.59,45040
45,41,193,137,70.98,56,29.02,45041
45,42,263,215,81.75,48,18.25,45042
45,43,254,205,80.71,49,19.29,45043
45,44,297,217,73.06,80,26.94,45044
45,45,249,189,75.9,60,24.1,45045
45,46,272,217,79.78,55,20.22,45046
45,47,302,226,74.83,76,25.17,45047
45,48,279,237,84.95,42,15.05,45048
45,49,306,223,72.88,83,27.12,45049
45,50,271,187,69.0,84,31.0,45050
45,51,276,209,75.72,67,24.28,45051
45,52,303,227,74.92,76,25.08,45052
45,53,220,167,75.91,53,24.09,45053
46,3,335,310,92.54,25,7.46,46003
46,5,223,184,82.51,39,17.49,46005
46,13,302,229,75.83,73,24.17,46013
46,17,433,365,84.3,68,15.7,46017
46,18,358,285,79.61,73,20.39,46018
46,24,276,225,81.52,51,18.48,46024
46,29,310,267,86.13,43,13.87,46029
46,31,361,309,85.6,52,14.4,46031
46,36,330,273,82.73,57,17.27,46036
46,37,234,199,85.04,35,14.96,46037
46,43,381,325,85.3,56,14.7,46043
46,44,209,189,90.43,20,9.57,46044
47,1,360,323,89.72,37,10.28,47001
47,2,256,205,80.08,51,19.92,47002
47,3,247,203,82.19,44,17.81,47003
47,4,338,283,83.73,55,16.27,47004
47,5,338,277,81.95,61,18.05,47005
47,6,361,305,84.49,56,15.51,47006
47,7,323,271,83.9,52,16.1,47007
47,8,384,334,86.98,50,13.02,47008
47,9,231,199,86.15,32,13.85,47009
47,10,247,217,87.85,30,12.15,47010
47,11,493,457,92.7,36,7.3,47011
47,12,297,255,85.86,42,14.14,47012
47,13,445,382,85.84,63,14.16,47013
47,14,239,206,86.19,33,13.81,47014
47,15,344,314,91.28,30,8.72,47015
47,16,295,251,85.08,44,14.92,47016
47,17,291,252,86.6,39,13.4,47017
47,18,346,303,87.57,43,12.43,47018
47,19,344,300,87.21,44,12.79,47019
47,20,305,251,82.3,54,17.7,47020
47,21,351,292,83.19,59,16.81,47021
