ward,precinct,total,Richard J. Durbin,Richard J. Durbin Percent,James D. ''Jim'' Oberweis,James D. ''Jim'' Oberweis Percent,Sharon Hansen,Sharon Hansen Percent,precinct_id
41,17,413,227,54.96,164,39.71,22,5.33,41017
41,18,348,194,55.75,141,40.52,13,3.74,41018
41,19,482,252,52.28,212,43.98,18,3.73,41019
41,20,334,186,55.69,134,40.12,14,4.19,41020
41,21,409,237,57.95,158,38.63,14,3.42,41021
41,22,440,223,50.68,200,45.45,17,3.86,41022
41,23,396,175,44.19,204,51.52,17,4.29,41023
41,24,340,165,48.53,164,48.24,11,3.24,41024
41,25,223,125,56.05,85,38.12,13,5.83,41025
41,26,418,229,54.78,179,42.82,10,2.39,41026
41,27,308,172,55.84,128,41.56,8,2.6,41027
41,28,339,222,65.49,105,30.97,12,3.54,41028
41,29,236,145,61.44,87,36.86,4,1.69,41029
41,30,409,232,56.72,159,38.88,18,4.4,41030
41,31,447,259,57.94,169,37.81,19,4.25,41031
41,32,308,177,57.47,120,38.96,11,3.57,41032
41,33,375,201,53.6,159,42.4,15,4.0,41033
41,34,362,200,55.25,148,40.88,14,3.87,41034
41,35,473,247,52.22,208,43.97,18,3.81,41035
41,36,412,220,53.4,173,41.99,19,4.61,41036
41,37,427,236,55.27,177,41.45,14,3.28,41037
41,38,338,199,58.88,121,35.8,18,5.33,41038
41,39,408,217,53.19,180,44.12,11,2.7,41039
41,40,479,241,50.31,216,45.09,22,4.59,41040
41,41,393,211,53.69,168,42.75,14,3.56,41041
41,42,405,219,54.07,166,40.99,20,4.94,41042
41,43,368,199,54.08,160,43.48,9,2.45,41043
41,44,430,216,50.23,203,47.21,11,2.56,41044
41,45,343,205,59.77,129,37.61,9,2.62,41045
41,46,422,239,56.64,165,39.1,18,4.27,41046
41,47,426,251,58.92,160,37.56,15,3.52,41047
42,1,465,300,64.52,155,33.33,10,2.15,42001
42,2,372,233,62.63,122,32.8,17,4.57,42002
42,3,314,228,72.61,77,24.52,9,2.87,42003
42,4,509,342,67.19,158,31.04,9,1.77,42004
