ward,precinct,total,Mitt Romney & Paul Ryan,Mitt Romney & Paul Ryan Percent,Gary Johnson & James P. Gray,Gary Johnson & James P. Gray Percent,Jill Stein & Howie Hawkins,Jill Stein & Howie Hawkins Percent,precinct_id
13,12,314,62,19.75,3,0.96,1,0.32,13012
13,13,382,69,18.06,2,0.52,0,0.0,13013
13,14,342,89,26.02,2,0.58,2,0.58,13014
13,15,494,101,20.45,3,0.61,4,0.81,13015
13,16,275,44,16.0,3,1.09,1,0.36,13016
13,17,335,127,37.91,5,1.49,2,0.6,13017
13,18,307,108,35.18,4,1.3,1,0.33,13018
13,19,402,47,11.69,1,0.25,3,0.75,13019
13,20,258,130,50.39,2,0.78,1,0.39,13020
13,21,448,202,45.09,3,0.67,7,1.56,13021
13,22,397,161,40.55,5,1.26,2,0.5,13022
13,23,300,50,16.67,0,0.0,1,0.33,13023
13,24,323,87,26.93,4,1.24,1,0.31,13024
13,25,351,103,29.34,3,0.85,2,0.57,13025
13,26,339,90,26.55,3,0.88,1,0.29,13026
13,27,337,94,27.89,3,0.89,3,0.89,13027
13,28,271,52,19.19,1,0.37,1,0.37,13028
13,29,303,79,26.07,3,0.99,2,0.66,13029
13,30,203,26,12.81,0,0.0,1,0.49,13030
13,31,390,145,37.18,4,1.03,1,0.26,13031
13,32,318,140,44.03,6,1.89,2,0.63,13032
13,33,338,135,39.94,6,1.78,3,0.89,13033
13,34,385,57,14.81,0,0.0,0,0.0,13034
13,35,301,56,18.6,3,1.0,1,0.33,13035
13,36,218,31,14.22,2,0.92,0,0.0,13036
13,37,369,57,15.45,0,0.0,0,0.0,13037
13,38,313,137,43.77,2,0.64,1,0.32,13038
13,39,356,64,17.98,3,0.84,0,0.0,13039
13,40,306,68,22.22,5,1.63,0,0.0,13040
13,41,358,45,12.57,4,1.12,2,0.56,13041
13,42,360,164,45.56,4,1.11,2,0.56,13042
13,43,360,85,23.61,8,2.22,2,0.56,13043
13,44,423,61,14.42,2,0.47,1,0.24,13044
13,45,387,124,32.04,5,1.29,5,1.29,13045
13,46,407,81,19.9,3,0.74,5,1.23,13046
13,47,374,60,16.04,3,0.8,2,0.53,13047
13,48,284,103,36.27,4,1.41,4,1.41,13048
14,1,501,217,43.31,12,2.4,2,0.4,14001
14,2,512,106,20.7,2,0.39,8,1.56,14002
14,3,358,33,9.22,0,0.0,0,0.0,14003
14,4,418,187,44.74,6,1.44,3,0.72,14004
14,5,521,36,6.91,3,0.58,2,0.38,14005
14,6,153,17,11.11,0,0.0,1,0.65,14006
14,7,427,61,14.29,3,0.7,5,1.17,14007
14,8,403,67,16.63,1,0.25,1,0.25,14008
14,9,491,158,32.18,1,0.2,6,1.22,14009
14,10,296,49,16.55,3,1.01,4,1.35,14010
14,11,223,17,7.62,0,0.0,3,1.35,14011
14,12,380,88,23.16,2,0.53,4,1.05,14012
14,13,280,40,14.29,3,1.07,3,1.07,14013
14,14,343,43,12.54,1,0.29,2,0.58,14014
14,15,372,39,10.48,3,0.81,3,0.81,14015
14,16,299,51,17.06,0,0.0,1,0.33,14016
14,17,319,32,10.03,2,0.63,1,0.31,14017
14,18,166,43,25.9,2,1.2,0,0.0,14018
14,19,337,49,14.54,2,0.59,2,0.59,14019
14,20,249,38,15.26,2,0.8,0,0.0,14020
14,21,345,29,8.41,4,1.16,3,0.87,14021
14,22,440,110,25.0,5,1.14,3,0.68,14022
14,23,323,87,26.93,4,1.24,2,0.62,14023
14,24,492,184,37.4,5,1.02,2,0.41,14024
14,25,233,30,12.88,1,0.43,1,0.43,14025
14,26,248,28,11.29,2,0.81,1,0.4,14026
14,27,388,81,20.88,4,1.03,1,0.26,14027
14,28,304,64,21.05,0,0.0,2,0.66,14028
14,29,364,25,6.87,2,0.55,3,0.82,14029
14,30,200,15,7.5,2,1.0,2,1.0,14030
14,31,208,22,10.58,0,0.0,4,1.92,14031
15,1,353,42,11.9,3,0.85,1,0.28,15001
15,2,451,1,0.22,0,0.0,0,0.0,15002
15,3,446,2,0.45,0,0.0,0,0.0,15003
15,4,341,29,8.5,8,2.35,5,1.47,15004
15,5,353,24,6.8,0,0.0,3,0.85,15005
15,6,384,57,14.84,2,0.52,6,1.56,15006
15,7,478,0,0.0,0,0.0,0,0.0,15007
15,8,331,36,10.88,2,0.6,1,0.3,15008
15,9,453,56,12.36,3,0.66,3,0.66,15009
15,10,484,84,17.36,5,1.03,4,0.83,15010
15,11,419,51,12.17,1,0.24,3,0.72,15011
15,12,394,51,12.94,0,0.0,2,0.51,15012
15,13,353,38,10.76,0,0.0,1,0.28,15013
15,14,297,23,7.74,2,0.67,3,1.01,15014
15,15,332,30,9.04,1,0.3,1,0.3,15015
15,16,367,29,7.9,1,0.27,1,0.27,15016
15,17,406,4,0.99,0,0.0,0,0.0,15017
15,18,493,0,0.0,1,0.2,0,0.0,15018
15,19,389,32,8.23,1,0.26,1,0.26,15019
15,20,465,1,0.22,0,0.0,0,0.0,15020
15,21,404,0,0.0,0,0.0,1,0.25,15021
15,22,512,3,0.59,3,0.59,0,0.0,15022
15,23,508,0,0.0,0,0.0,0,0.0,15023
15,24,465,0,0.0,0,0.0,0,0.0,15024
16,1,432,43,9.95,3,0.69,5,1.16,16001
16,2,444,11,2.48,0,0.0,0,0.0,16002
16,3,480,0,0.0,0,0.0,0,0.0,16003
16,4,502,3,0.6,0,0.0,0,0.0,16004
16,5,505,1,0.2,0,0.0,0,0.0,16005
16,6,499,1,0.2,1,0.2,0,0.0,16006
16,7,480,8,1.67,0,0.0,2,0.42,16007
16,8,439,1,0.23,0,0.0,1,0.23,16008
16,9,570,6,1.05,0,0.0,0,0.0,16009
16,10,487,2,0.41,0,0.0,0,0.0,16010
16,11,514,9,1.75,3,0.58,0,0.0,16011
16,12,416,5,1.2,0,0.0,1,0.24,16012
16,13,427,9,2.11,2,0.47,0,0.0,16013
16,14,516,3,0.58,0,0.0,0,0.0,16014
16,15,530,0,0.0,0,0.0,1,0.19,16015
16,16,503,1,0.2,0,0.0,0,0.0,16016
16,17,457,29,6.35,0,0.0,0,0.0,16017
16,18,503,14,2.78,2,0.4,2,0.4,16018
16,19,478,6,1.26,0,0.0,1,0.21,16019
16,20,481,1,0.21,0,0.0,0,0.0,16020
16,21,487,3,0.62,0,0.0,0,0.0,16021
16,22,494,5,1.01,0,0.0,4,0.81,16022
16,23,322,17,5.28,0,0.0,1,0.31,16023
16,24,383,2,0.52,1,0.26,0,0.0,16024
16,25,490,2,0.41,1,0.2,0,0.0,16025
16,26,498,0,0.0,0,0.0,0,0.0,16026
16,27,489,2,0.41,0,0.0,0,0.0,16027
16,28,506,1,0.2,1,0.2,0,0.0,16028
16,29,456,2,0.44,0,0.0,0,0.0,16029
16,30,516,2,0.39,0,0.0,0,0.0,16030
16,31,486,2,0.41,0,0.0,0,0.0,16031
16,32,416,26,6.25,3,0.72,4,0.96,16032
16,33,506,2,0.4,1,0.2,2,0.4,16033
16,34,542,2,0.37,0,0.0,1,0.18,16034
16,35,466,21,4.51,3,0.64,1,0.21,16035
16,36,435,3,0.69,0,0.0,1,0.23,16036
17,1,431,37,8.58,3,0.7,5,1.16,17001
17,2,604,3,0.5,1,0.17,0,0.0,17002
17,3,586,3,0.51,2,0.34,0,0.0,17003
17,4,641,1,0.16,0,0.0,0,0.0,17004
17,5,463,9,1.94,0,0.0,0,0.0,17005
17,6,453,8,1.77,0,0.0,2,0.44,17006
17,7,372,15,4.03,1,0.27,2,0.54,17007
17,8,538,2,0.37,0,0.0,0,0.0,17008
17,9,576,4,0.69,1,0.17,1,0.17,17009
17,10,566,5,0.88,0,0.0,0,0.0,17010
17,11,525,4,0.76,0,0.0,0,0.0,17011
17,12,559,29,5.19,2,0.36,0,0.0,17012
17,13,549,4,0.73,1,0.18,0,0.0,17013
17,14,518,18,3.47,0,0.0,3,0.58,17014
17,15,596,2,0.34,0,0.0,1,0.17,17015
17,16,508,19,3.74,1,0.2,2,0.39,17016
17,17,529,24,4.54,0,0.0,0,0.0,17017
17,18,533,5,0.94,2,0.38,1,0.19,17018
17,19,436,2,0.46,0,0.0,0,0.0,17019
17,20,593,2,0.34,0,0.0,0,0.0,17020
17,21,650,6,0.92,0,0.0,0,0.0,17021
17,22,506,3,0.59,0,0.0,0,0.0,17022
17,23,479,2,0.42,0,0.0,2,0.42,17023
17,24,590,3,0.51,1,0.17,2,0.34,17024
17,25,515,39,7.57,0,0.0,1,0.19,17025
17,26,568,3,0.53,1,0.18,0,0.0,17026
17,27,555,5,0.9,0,0.0,0,0.0,17027
17,28,548,0,0.0,1,0.18,1,0.18,17028
17,29,584,6,1.03,0,0.0,0,0.0,17029
17,30,398,39,9.8,5,1.26,0,0.0,17030
17,31,481,1,0.21,0,0.0,0,0.0,17031
17,32,504,2,0.4,0,0.0,0,0.0,17032
17,33,443,0,0.0,1,0.23,0,0.0,17033
17,34,454,1,0.22,0,0.0,1,0.22,17034
17,35,487,0,0.0,0,0.0,0,0.0,17035
17,36,537,2,0.37,1,0.19,1,0.19,17036
17,37,453,0,0.0,1,0.22,0,0.0,17037
17,38,590,0,0.0,1,0.17,0,0.0,17038
17,39,513,2,0.39,1,0.19,0,0.0,17039
17,40,525,6,1.14,0,0.0,0,0.0,17040
17,41,577,0,0.0,0,0.0,1,0.17,17041
18,1,416,19,4.57,2,0.48,0,0.0,18001
18,2,414,65,15.7,0,0.0,0,0.0,18002
18,3,382,114,29.84,3,0.79,1,0.26,18003
18,4,493,15,3.04,0,0.0,1,0.2,18004
18,5,411,3,0.73,0,0.0,0,0.0,18005
18,6,386,125,32.38,5,1.3,2,0.52,18006
18,7,468,44,9.4,0,0.0,1,0.21,18007
18,8,494,22,4.45,0,0.0,0,0.0,18008
18,9,460,20,4.35,1,0.22,1,0.22,18009
18,10,540,14,2.59,0,0.0,0,0.0,18010
18,11,393,44,11.2,0,0.0,2,0.51,18011
18,12,495,12,2.42,1,0.2,0,0.0,18012
18,13,522,16,3.07,1,0.19,0,0.0,18013
18,14,498,8,1.61,0,0.0,0,0.0,18014
18,15,411,41,9.98,0,0.0,2,0.49,18015
18,16,500,13,2.6,0,0.0,1,0.2,18016
18,17,455,25,5.49,1,0.22,1,0.22,18017
18,18,435,5,1.15,0,0.0,0,0.0,18018
18,19,493,6,1.22,0,0.0,0,0.0,18019
18,20,469,5,1.07,0,0.0,0,0.0,18020
18,21,571,23,4.03,1,0.18,2,0.35,18021
18,22,574,10,1.74,0,0.0,1,0.17,18022
18,23,490,15,3.06,1,0.2,4,0.82,18023
18,24,398,95,23.87,3,0.75,2,0.5,18024
18,25,430,99,23.02,2,0.47,3,0.7,18025
18,26,536,13,2.43,1,0.19,0,0.0,18026
18,27,435,16,3.68,0,0.0,0,0.0,18027
18,28,398,130,32.66,0,0.0,3,0.75,18028
18,29,452,63,13.94,3,0.66,2,0.44,18029
18,30,431,128,29.7,5,1.16,1,0.23,18030
18,31,498,18,3.61,0,0.0,4,0.8,18031
18,32,502,4,0.8,2,0.4,0,0.0,18032
18,33,469,3,0.64,0,0.0,0,0.0,18033
18,34,542,29,5.35,1,0.18,1,0.18,18034
18,35,499,19,3.81,1,0.2,1,0.2,18035
18,36,407,57,14.0,1,0.25,1,0.25,18036
18,37,504,13,2.58,0,0.0,0,0.0,18037
18,38,461,2,0.43,0,0.0,2,0.43,18038
18,39,426,12,2.82,0,0.0,1,0.23,18039
18,40,516,91,17.64,0,0.0,1,0.19,18040
18,41,530,15,2.83,4,0.75,0,0.0,18041
18,42,447,25,5.59,2,0.45,0,0.0,18042
18,43,470,98,20.85,1,0.21,2,0.43,18043
18,44,388,134,34.54,0,0.0,3,0.77,18044
18,45,402,40,9.95,2,0.5,0,0.0,18045
18,46,466,99,21.24,3,0.64,2,0.43,18046
18,47,392,12,3.06,0,0.0,1,0.26,18047
18,48,423,3,0.71,0,0.0,0,0.0,18048
18,49,390,8,2.05,0,0.0,1,0.26,18049
18,50,474,15,3.16,0,0.0,0,0.0,18050
19,1,453,220,48.57,1,0.22,1,0.22,19001
19,2,513,86,16.76,0,0.0,9,1.75,19002
19,3,404,276,68.32,2,0.5,3,0.74,19003
19,4,568,305,53.7,4,0.7,5,0.88,19004
19,5,502,93,18.53,8,1.59,3,0.6,19005
19,6,409,213,52.08,4,0.98,4,0.98,19006
19,7,491,191,38.9,5,1.02,3,0.61,19007
19,8,553,304,54.97,7,1.27,3,0.54,19008
19,9,316,183,57.91,2,0.63,2,0.63,19009
19,10,578,154,26.64,4,0.69,0,0.0,19010
19,11,491,316,64.36,3,0.61,2,0.41,19011
19,12,423,260,61.47,6,1.42,1,0.24,19012
19,13,630,28,4.44,2,0.32,2,0.32,19013
19,14,583,144,24.7,6,1.03,2,0.34,19014
19,15,417,228,54.68,2,0.48,5,1.2,19015
19,16,525,293,55.81,4,0.76,4,0.76,19016
19,17,454,215,47.36,6,1.32,5,1.1,19017
19,18,534,177,33.15,9,1.69,5,0.94,19018
19,19,530,153,28.87,7,1.32,6,1.13,19019
19,20,433,58,13.39,1,0.23,4,0.92,19020
19,21,488,264,54.1,5,1.02,7,1.43,19021
19,22,524,166,31.68,5,0.95,6,1.15,19022
19,23,521,236,45.3,5,0.96,4,0.77,19023
19,24,371,217,58.49,2,0.54,1,0.27,19024
19,25,495,195,39.39,6,1.21,3,0.61,19025
19,26,515,177,34.37,7,1.36,1,0.19,19026
19,27,489,49,10.02,4,0.82,4,0.82,19027
19,28,650,21,3.23,0,0.0,1,0.15,19028
19,29,435,230,52.87,1,0.23,3,0.69,19029
19,30,491,260,52.95,11,2.24,2,0.41,19030
19,31,436,160,36.7,5,1.15,3,0.69,19031
19,32,474,202,42.62,7,1.48,4,0.84,19032
19,33,508,281,55.31,5,0.98,1,0.2,19033
19,34,460,154,33.48,2,0.43,1,0.22,19034
19,35,425,130,30.59,0,0.0,3,0.71,19035
19,36,718,77,10.72,6,0.84,5,0.7,19036
19,37,484,60,12.4,5,1.03,3,0.62,19037
19,38,457,51,11.16,1,0.22,4,0.88,19038
19,39,248,8,3.23,1,0.4,1,0.4,19039
19,40,526,137,26.05,7,1.33,5,0.95,19040
19,41,515,257,49.9,5,0.97,2,0.39,19041
19,42,435,77,17.7,1,0.23,7,1.61,19042
19,43,751,14,1.86,1,0.13,1,0.13,19043
19,44,584,340,58.22,10,1.71,6,1.03,19044
19,45,462,224,48.48,6,1.3,1,0.22,19045
19,46,546,301,55.13,4,0.73,2,0.37,19046
19,47,658,94,14.29,5,0.76,3,0.46,19047
19,48,764,12,1.57,1,0.13,0,0.0,19048
19,49,595,47,7.9,4,0.67,3,0.5,19049
19,50,423,143,33.81,12,2.84,3,0.71,19050
19,51,559,238,42.58,8,1.43,4,0.72,19051
19,52,367,182,49.59,8,2.18,4,1.09,19052
19,53,442,169,38.24,7,1.58,3,0.68,19053
19,54,430,235,54.65,4,0.93,1,0.23,19054
19,55,503,256,50.89,10,1.99,2,0.4,19055
19,56,528,153,28.98,2,0.38,0,0.0,19056
19,57,566,139,24.56,1,0.18,7,1.24,19057
19,58,466,280,60.09,2,0.43,1,0.21,19058
20,1,530,1,0.19,0,0.0,3,0.57,20001
20,2,477,2,0.42,0,0.0,2,0.42,20002
20,3,467,2,0.43,0,0.0,0,0.0,20003
20,4,347,16,4.61,0,0.0,1,0.29,20004
20,5,545,9,1.65,0,0.0,0,0.0,20005
20,6,559,0,0.0,2,0.36,0,0.0,20006
20,7,507,3,0.59,0,0.0,1,0.2,20007
20,8,519,2,0.39,0,0.0,1,0.19,20008
20,9,566,3,0.53,2,0.35,0,0.0,20009
20,10,512,5,0.98,0,0.0,0,0.0,20010
20,11,674,0,0.0,2,0.3,0,0.0,20011
20,12,449,3,0.67,0,0.0,0,0.0,20012
20,13,679,2,0.29,0,0.0,1,0.15,20013
20,14,447,0,0.0,1,0.22,0,0.0,20014
20,15,316,29,9.18,2,0.63,1,0.32,20015
20,16,522,13,2.49,0,0.0,7,1.34,20016
20,17,344,15,4.36,2,0.58,1,0.29,20017
20,18,466,1,0.21,1,0.21,0,0.0,20018
20,19,533,1,0.19,1,0.19,1,0.19,20019
20,20,312,25,8.01,0,0.0,1,0.32,20020
20,21,591,3,0.51,0,0.0,1,0.17,20021
20,22,625,8,1.28,2,0.32,3,0.48,20022
20,23,646,2,0.31,0,0.0,0,0.0,20023
20,24,544,9,1.65,5,0.92,0,0.0,20024
20,25,512,3,0.59,1,0.2,0,0.0,20025
20,26,501,9,1.8,1,0.2,7,1.4,20026
20,27,414,3,0.72,0,0.0,0,0.0,20027
20,28,387,2,0.52,0,0.0,0,0.0,20028
20,29,678,5,0.74,0,0.0,0,0.0,20029
20,30,305,1,0.33,0,0.0,0,0.0,20030
20,31,657,2,0.3,0,0.0,0,0.0,20031
20,32,621,6,0.97,0,0.0,0,0.0,20032
20,33,391,2,0.51,2,0.51,0,0.0,20033
20,34,561,16,2.85,8,1.43,6,1.07,20034
20,35,701,3,0.43,2,0.29,0,0.0,20035
20,36,331,1,0.3,0,0.0,0,0.0,20036
20,37,238,1,0.42,0,0.0,0,0.0,20037
21,1,563,2,0.36,1,0.18,0,0.0,21001
21,2,498,1,0.2,0,0.0,0,0.0,21002
21,3,518,2,0.39,1,0.19,1,0.19,21003
21,4,597,3,0.5,0,0.0,0,0.0,21004
21,5,513,7,1.36,0,0.0,0,0.0,21005
21,6,534,2,0.37,1,0.19,1,0.19,21006
21,7,539,1,0.19,0,0.0,0,0.0,21007
21,8,548,1,0.18,1,0.18,1,0.18,21008
21,9,552,1,0.18,0,0.0,0,0.0,21009
21,10,526,5,0.95,0,0.0,2,0.38,21010
21,11,553,2,0.36,0,0.0,1,0.18,21011
21,12,541,2,0.37,0,0.0,0,0.0,21012
21,13,561,8,1.43,0,0.0,0,0.0,21013
21,14,618,6,0.97,1,0.16,2,0.32,21014
21,15,528,4,0.76,0,0.0,1,0.19,21015
21,16,552,0,0.0,1,0.18,0,0.0,21016
21,17,495,3,0.61,1,0.2,1,0.2,21017
21,18,629,2,0.32,1,0.16,1,0.16,21018
21,19,541,3,0.55,1,0.18,0,0.0,21019
21,20,506,1,0.2,1,0.2,1,0.2,21020
21,21,504,1,0.2,0,0.0,1,0.2,21021
21,22,507,8,1.58,1,0.2,0,0.0,21022
21,23,513,1,0.19,0,0.0,1,0.19,21023
21,24,538,0,0.0,0,0.0,0,0.0,21024
21,25,507,0,0.0,0,0.0,1,0.2,21025
21,26,559,4,0.72,0,0.0,0,0.0,21026
21,27,548,2,0.36,1,0.18,0,0.0,21027
21,28,550,1,0.18,0,0.0,1,0.18,21028
21,29,554,0,0.0,2,0.36,0,0.0,21029
21,30,523,1,0.19,0,0.0,0,0.0,21030
21,31,354,2,0.56,0,0.0,0,0.0,21031
21,32,506,6,1.19,2,0.4,0,0.0,21032
21,33,530,3,0.57,0,0.0,2,0.38,21033
21,34,586,2,0.34,0,0.0,0,0.0,21034
21,35,524,4,0.76,2,0.38,0,0.0,21035
21,36,577,6,1.04,0,0.0,2,0.35,21036
21,37,462,5,1.08,0,0.0,2,0.43,21037
21,38,620,3,0.48,0,0.0,0,0.0,21038
21,39,526,1,0.19,0,0.0,1,0.19,21039
21,40,571,3,0.53,1,0.18,1,0.18,21040
21,41,538,7,1.3,0,0.0,1,0.19,21041
21,42,578,6,1.04,0,0.0,0,0.0,21042
21,43,572,3,0.52,0,0.0,0,0.0,21043
21,44,532,2,0.38,0,0.0,0,0.0,21044
21,45,580,4,0.69,0,0.0,0,0.0,21045
21,46,546,5,0.92,0,0.0,1,0.18,21046
21,47,522,4,0.77,0,0.0,0,0.0,21047
21,48,515,1,0.19,0,0.0,0,0.0,21048
21,49,480,2,0.42,0,0.0,1,0.21,21049
21,50,473,3,0.63,0,0.0,0,0.0,21050
21,51,552,1,0.18,0,0.0,0,0.0,21051
21,52,602,2,0.33,0,0.0,0,0.0,21052
21,53,435,5,1.15,1,0.23,2,0.46,21053
21,54,533,4,0.75,0,0.0,0,0.0,21054
22,1,531,1,0.19,0,0.0,1,0.19,22001
22,2,496,136,27.42,4,0.81,8,1.61,22002
22,3,359,28,7.8,0,0.0,0,0.0,22003
22,4,380,22,5.79,5,1.32,2,0.53,22004
22,5,387,29,7.49,2,0.52,4,1.03,22005
22,6,358,43,12.01,2,0.56,2,0.56,22006
22,7,393,34,8.65,2,0.51,5,1.27,22007
22,8,511,85,16.63,3,0.59,2,0.39,22008
22,9,367,27,7.36,2,0.54,4,1.09,22009
22,10,424,31,7.31,4,0.94,1,0.24,22010
22,11,312,22,7.05,2,0.64,1,0.32,22011
22,12,386,54,13.99,2,0.52,5,1.3,22012
22,13,354,26,7.34,2,0.56,3,0.85,22013
22,14,385,29,7.53,5,1.3,3,0.78,22014
22,15,345,25,7.25,2,0.58,0,0.0,22015
22,16,393,27,6.87,2,0.51,1,0.25,22016
22,17,349,30,8.6,1,0.29,1,0.29,22017
22,18,359,21,5.85,0,0.0,1,0.28,22018
22,19,297,3,1.01,0,0.0,0,0.0,22019
22,20,335,34,10.15,4,1.19,1,0.3,22020
22,21,632,2,0.32,1,0.16,1,0.16,22021
22,22,338,18,5.33,2,0.59,4,1.18,22022
22,23,488,4,0.82,0,0.0,0,0.0,22023
22,24,373,19,5.09,3,0.8,1,0.27,22024
22,25,357,21,5.88,0,0.0,4,1.12,22025
23,1,405,176,43.46,2,0.49,4,0.99,23001
23,2,415,170,40.96,2,0.48,3,0.72,23002
23,3,395,175,44.3,4,1.01,2,0.51,23003
23,4,410,167,40.73,2,0.49,6,1.46,23004
23,5,331,43,12.99,2,0.6,6,1.81,23005
23,6,376,78,20.74,2,0.53,1,0.27,23006
23,7,353,51,14.45,2,0.57,4,1.13,23007
23,8,422,140,33.18,1,0.24,1,0.24,23008
23,9,326,39,11.96,4,1.23,2,0.61,23009
23,10,410,93,22.68,2,0.49,2,0.49,23010
23,11,428,60,14.02,2,0.47,2,0.47,23011
23,12,379,181,47.76,2,0.53,3,0.79,23012
23,13,302,31,10.26,1,0.33,0,0.0,23013
23,14,332,139,41.87,5,1.51,2,0.6,23014
23,15,335,34,10.15,2,0.6,2,0.6,23015
23,16,387,160,41.34,4,1.03,3,0.78,23016
23,17,275,40,14.55,2,0.73,1,0.36,23017
23,18,404,178,44.06,2,0.5,0,0.0,23018
23,19,347,34,9.8,0,0.0,2,0.58,23019
23,20,255,46,18.04,3,1.18,2,0.78,23020
23,21,418,201,48.09,1,0.24,0,0.0,23021
23,22,391,123,31.46,1,0.26,4,1.02,23022
23,23,378,167,44.18,3,0.79,0,0.0,23023
23,24,338,64,18.93,0,0.0,1,0.3,23024
23,25,360,75,20.83,3,0.83,4,1.11,23025
23,26,354,87,24.58,2,0.56,1,0.28,23026
23,27,376,172,45.74,9,2.39,4,1.06,23027
23,28,411,157,38.2,3,0.73,3,0.73,23028
23,29,319,127,39.81,3,0.94,2,0.63,23029
23,30,382,66,17.28,5,1.31,5,1.31,23030
23,31,283,52,18.37,1,0.35,0,0.0,23031
23,32,377,52,13.79,1,0.27,0,0.0,23032
23,33,380,64,16.84,4,1.05,2,0.53,23033
23,34,342,52,15.2,3,0.88,2,0.58,23034
23,35,303,142,46.86,7,2.31,0,0.0,23035
23,36,382,157,41.1,1,0.26,2,0.52,23036
23,37,369,179,48.51,3,0.81,0,0.0,23037
23,38,358,149,41.62,4,1.12,5,1.4,23038
23,39,330,49,14.85,1,0.3,2,0.61,23039
24,1,484,2,0.41,1,0.21,0,0.0,24001
24,2,573,3,0.52,0,0.0,0,0.0,24002
24,3,576,4,0.69,0,0.0,0,0.0,24003
24,4,422,0,0.0,0,0.0,0,0.0,24004
24,5,322,4,1.24,0,0.0,0,0.0,24005
24,6,515,2,0.39,1,0.19,1,0.19,24006
24,7,242,8,3.31,2,0.83,1,0.41,24007
24,8,304,0,0.0,0,0.0,0,0.0,24008
24,9,554,3,0.54,1,0.18,3,0.54,24009
24,10,294,2,0.68,1,0.34,1,0.34,24010
24,11,597,3,0.5,0,0.0,0,0.0,24011
24,12,416,7,1.68,0,0.0,0,0.0,24012
24,13,351,3,0.85,0,0.0,0,0.0,24013
24,14,526,3,0.57,1,0.19,1,0.19,24014
24,15,338,1,0.3,0,0.0,0,0.0,24015
24,16,395,21,5.32,2,0.51,4,1.01,24016
24,17,454,1,0.22,0,0.0,0,0.0,24017
24,18,599,2,0.33,0,0.0,0,0.0,24018
24,19,605,2,0.33,0,0.0,2,0.33,24019
24,20,447,1,0.22,0,0.0,0,0.0,24020
24,21,266,1,0.38,0,0.0,2,0.75,24021
24,22,683,2,0.29,0,0.0,0,0.0,24022
24,23,492,6,1.22,2,0.41,1,0.2,24023
24,24,720,2,0.28,0,0.0,0,0.0,24024
24,25,485,1,0.21,1,0.21,0,0.0,24025
24,26,613,2,0.33,0,0.0,0,0.0,24026
24,27,559,4,0.72,1,0.18,2,0.36,24027
24,28,417,0,0.0,0,0.0,1,0.24,24028
24,29,357,4,1.12,0,0.0,0,0.0,24029
24,30,324,3,0.93,0,0.0,0,0.0,24030
24,31,590,4,0.68,2,0.34,3,0.51,24031
24,32,317,3,0.95,0,0.0,0,0.0,24032
24,33,336,0,0.0,0,0.0,0,0.0,24033
24,34,451,3,0.67,0,0.0,0,0.0,24034
24,35,551,0,0.0,0,0.0,0,0.0,24035
24,36,631,4,0.63,2,0.32,1,0.16,24036
24,37,326,2,0.61,0,0.0,1,0.31,24037
24,38,403,2,0.5,2,0.5,2,0.5,24038
24,39,512,7,1.37,0,0.0,1,0.2,24039
24,40,505,4,0.79,0,0.0,0,0.0,24040
24,41,387,1,0.26,0,0.0,1,0.26,24041
25,1,361,34,9.42,1,0.28,5,1.39,25001
25,2,415,30,7.23,4,0.96,17,4.1,25002
25,3,643,184,28.62,15,2.33,2,0.31,25003
25,4,524,37,7.06,2,0.38,0,0.0,25004
25,5,421,59,14.01,1,0.24,3,0.71,25005
25,6,249,44,17.67,2,0.8,1,0.4,25006
25,7,393,28,7.12,5,1.27,8,2.04,25007
25,8,436,39,8.94,2,0.46,12,2.75,25008
25,9,474,36,7.59,4,0.84,10,2.11,25009
25,10,599,192,32.05,5,0.83,2,0.33,25010
25,11,465,48,10.32,3,0.65,13,2.8,25011
25,12,303,25,8.25,4,1.32,7,2.31,25012
25,13,473,28,5.92,3,0.63,7,1.48,25013
25,14,413,69,16.71,2,0.48,3,0.73,25014
25,15,395,46,11.65,3,0.76,6,1.52,25015
25,16,634,211,33.28,10,1.58,5,0.79,25016
25,17,537,44,8.19,5,0.93,15,2.79,25017
25,18,477,61,12.79,1,0.21,1,0.21,25018
25,19,462,35,7.58,8,1.73,8,1.73,25019
25,20,542,8,1.48,1,0.18,1,0.18,25020
25,21,818,181,22.13,11,1.34,4,0.49,25021
25,22,379,24,6.33,3,0.79,8,2.11,25022
25,23,551,36,6.53,1,0.18,3,0.54,25023
25,24,406,41,10.1,2,0.49,10,2.46,25024
25,25,466,129,27.68,8,1.72,11,2.36,25025
25,26,424,42,9.91,3,0.71,9,2.12,25026
25,27,549,137,24.95,18,3.28,3,0.55,25027
25,28,502,40,7.97,3,0.6,8,1.59,25028
25,29,540,32,5.93,4,0.74,1,0.19,25029
25,30,419,30,7.16,3,0.72,15,3.58,25030
25,31,584,192,32.88,8,1.37,3,0.51,25031
25,32,388,49,12.63,2,0.52,2,0.52,25032
26,1,452,37,8.19,2,0.44,8,1.77,26001
26,2,465,26,5.59,4,0.86,5,1.08,26002
26,3,500,80,16.0,15,3.0,10,2.0,26003
26,4,428,23,5.37,0,0.0,2,0.47,26004
26,5,446,24,5.38,4,0.9,5,1.12,26005
26,6,318,14,4.4,1,0.31,0,0.0,26006
26,7,411,30,7.3,4,0.97,15,3.65,26007
26,8,343,16,4.66,6,1.75,1,0.29,26008
26,9,375,23,6.13,6,1.6,3,0.8,26009
