ward,precinct,total,Charles J. Wheelan,Charles J. Wheelan Percent,Sara Feigenholtz,Sara Feigenholtz Percent,John A. Fritchey,John A. Fritchey Percent,Victor A. Forys,Victor A. Forys Percent,Jan H. Donatelli,Jan H. Donatelli Percent,Frank Annunzio,Frank Annunzio Percent,Carlos A. Monteagudo,Carlos A. Monteagudo Percent,Paul J. Bryar,Paul J. Bryar Percent,Tom Geoghegan,Tom Geoghegan Percent,Cary Capparelli,Cary Capparelli Percent,Mike Quigley,Mike Quigley Percent,Patrick J. O'Connor,Patrick J. O'Connor Percent,precinct_id
38,1,99,3,3.03,8,8.08,19,19.19,18,18.18,1,1.01,2,2.02,2,2.02,9,9.09,8,8.08,3,3.03,15,15.15,11,11.11,38001
38,2,104,4,3.85,6,5.77,15,14.42,63,60.58,2,1.92,0,0.0,2,1.92,2,1.92,2,1.92,1,0.96,6,5.77,1,0.96,38002
38,3,75,0,0.0,10,13.33,14,18.67,34,45.33,1,1.33,1,1.33,3,4.0,0,0.0,2,2.67,0,0.0,3,4.0,7,9.33,38003
38,4,54,2,3.7,10,18.52,12,22.22,7,12.96,0,0.0,2,3.7,1,1.85,0,0.0,1,1.85,2,3.7,12,22.22,5,9.26,38004
38,5,163,9,5.52,28,17.18,22,13.5,5,3.07,5,3.07,2,1.23,5,3.07,10,6.13,30,18.4,1,0.61,33,20.25,13,7.98,38005
38,6,125,2,1.6,8,6.4,16,12.8,74,59.2,1,0.8,0,0.0,0,0.0,1,0.8,4,3.2,0,0.0,14,11.2,5,4.0,38006
38,7,107,11,10.28,9,8.41,9,8.41,2,1.87,2,1.87,3,2.8,2,1.87,9,8.41,12,11.21,1,0.93,25,23.36,22,20.56,38007
38,8,72,2,2.78,4,5.56,13,18.06,30,41.67,0,0.0,2,2.78,1,1.39,4,5.56,2,2.78,3,4.17,7,9.72,4,5.56,38008
38,9,78,7,8.97,13,16.67,7,8.97,6,7.69,1,1.28,1,1.28,0,0.0,2,2.56,12,15.38,0,0.0,27,34.62,2,2.56,38009
38,10,126,9,7.14,13,10.32,7,5.56,5,3.97,2,1.59,0,0.0,0,0.0,9,7.14,15,11.9,1,0.79,51,40.48,14,11.11,38010
