ward,precinct,total,YES,YES Percent,NO,NO Percent,precinct_id
6,49,136,103,75.74,33,24.26,06049
6,50,185,144,77.84,41,22.16,06050
6,51,126,96,76.19,30,23.81,06051
6,52,160,123,76.88,37,23.13,06052
6,53,171,140,81.87,31,18.13,06053
6,54,130,112,86.15,18,13.85,06054
6,55,134,101,75.37,33,24.63,06055
6,56,129,101,78.29,28,21.71,06056
6,57,106,76,71.7,30,28.3,06057
6,58,143,115,80.42,28,19.58,06058
6,59,143,116,81.12,27,18.88,06059
6,60,109,83,76.15,26,23.85,06060
6,61,135,109,80.74,26,19.26,06061
6,62,185,138,74.59,47,25.41,06062
6,63,134,104,77.61,30,22.39,06063
6,64,204,165,80.88,39,19.12,06064
7,1,183,128,69.95,55,30.05,07001
7,2,185,150,81.08,35,18.92,07002
7,3,153,112,73.2,41,26.8,07003
7,4,151,119,78.81,32,21.19,07004
7,5,152,116,76.32,36,23.68,07005
7,6,139,97,69.78,42,30.22,07006
7,7,170,114,67.06,56,32.94,07007
7,8,192,141,73.44,51,26.56,07008
7,9,135,91,67.41,44,32.59,07009
7,10,248,182,73.39,66,26.61,07010
7,11,137,96,70.07,41,29.93,07011
7,12,180,134,74.44,46,25.56,07012
7,13,75,57,76.0,18,24.0,07013
7,14,172,123,71.51,49,28.49,07014
7,15,228,163,71.49,65,28.51,07015
7,16,153,118,77.12,35,22.88,07016
7,17,136,97,71.32,39,28.68,07017
7,18,174,142,81.61,32,18.39,07018
7,19,170,108,63.53,62,36.47,07019
7,20,64,47,73.44,17,26.56,07020
7,21,167,121,72.46,46,27.54,07021
7,22,150,118,78.67,32,21.33,07022
7,23,182,137,75.27,45,24.73,07023
7,24,199,147,73.87,52,26.13,07024
7,25,134,94,70.15,40,29.85,07025
7,26,185,143,77.3,42,22.7,07026
7,27,173,134,77.46,39,22.54,07027
7,28,146,104,71.23,42,28.77,07028
7,29,62,47,75.81,15,24.19,07029
7,30,163,118,72.39,45,27.61,07030
7,31,169,118,69.82,51,30.18,07031
7,32,195,144,73.85,51,26.15,07032
7,33,186,131,70.43,55,29.57,07033
7,34,133,106,79.7,27,20.3,07034
7,35,199,138,69.35,61,30.65,07035
7,36,226,168,74.34,58,25.66,07036
7,37,185,134,72.43,51,27.57,07037
7,38,181,132,72.93,49,27.07,07038
7,39,212,155,73.11,57,26.89,07039
7,40,108,74,68.52,34,31.48,07040
7,41,197,152,77.16,45,22.84,07041
7,42,197,151,76.65,46,23.35,07042
7,43,168,115,68.45,53,31.55,07043
7,44,193,140,72.54,53,27.46,07044
