ward,precinct,total,John Kerry and John Edwards,John Kerry and John Edwards Percent,George Bush and Dick Cheney,George Bush and Dick Cheney Percent,M. Badnarik and R. Campagna,M. Badnarik and R. Campagna Percent,precinct_id
9,36,268,266,99.25,2,0.75,0,0.0,09036
9,37,405,334,82.47,68,16.79,3,0.74,09037
9,38,490,478,97.55,12,2.45,0,0.0,09038
9,39,440,432,98.18,8,1.82,0,0.0,09039
9,40,470,452,96.17,17,3.62,1,0.21,09040
9,41,538,525,97.58,11,2.04,2,0.37,09041
9,42,447,443,99.11,4,0.89,0,0.0,09042
9,43,375,362,96.53,10,2.67,3,0.8,09043
9,44,421,411,97.62,7,1.66,3,0.71,09044
9,45,476,468,98.32,8,1.68,0,0.0,09045
9,46,402,391,97.26,9,2.24,2,0.5,09046
9,47,307,290,94.46,16,5.21,1,0.33,09047
9,48,420,410,97.62,10,2.38,0,0.0,09048
9,49,279,270,96.77,9,3.23,0,0.0,09049
9,50,192,186,96.88,6,3.13,0,0.0,09050
9,51,311,303,97.43,8,2.57,0,0.0,09051
9,52,412,404,98.06,7,1.7,1,0.24,09052
9,53,354,347,98.02,7,1.98,0,0.0,09053
9,54,371,353,95.15,18,4.85,0,0.0,09054
9,55,232,219,94.4,10,4.31,3,1.29,09055
9,56,263,255,96.96,8,3.04,0,0.0,09056
9,57,309,228,73.79,78,25.24,3,0.97,09057
9,58,343,333,97.08,9,2.62,1,0.29,09058
10,1,400,372,93.0,28,7.0,0,0.0,10001
10,2,285,203,71.23,79,27.72,3,1.05,10002
10,3,357,216,60.5,135,37.82,6,1.68,10003
10,4,367,330,89.92,35,9.54,2,0.54,10004
10,5,329,233,70.82,93,28.27,3,0.91,10005
10,6,334,325,97.31,9,2.69,0,0.0,10006
10,7,114,103,90.35,8,7.02,3,2.63,10007
10,8,349,211,60.46,134,38.4,4,1.15,10008
10,9,346,198,57.23,147,42.49,1,0.29,10009
10,10,363,224,61.71,139,38.29,0,0.0,10010
10,11,367,262,71.39,102,27.79,3,0.82,10011
10,12,339,242,71.39,97,28.61,0,0.0,10012
10,13,278,199,71.58,76,27.34,3,1.08,10013
10,14,382,231,60.47,147,38.48,4,1.05,10014
10,15,181,121,66.85,60,33.15,0,0.0,10015
10,16,351,205,58.4,140,39.89,6,1.71,10016
10,17,292,201,68.84,89,30.48,2,0.68,10017
10,18,398,358,89.95,38,9.55,2,0.5,10018
10,19,424,279,65.8,142,33.49,3,0.71,10019
10,20,299,200,66.89,98,32.78,1,0.33,10020
10,21,292,172,58.9,116,39.73,4,1.37,10021
10,22,111,78,70.27,31,27.93,2,1.8,10022
10,23,332,270,81.33,60,18.07,2,0.6,10023
10,24,309,176,56.96,131,42.39,2,0.65,10024
10,25,468,425,90.81,39,8.33,4,0.85,10025
10,26,337,251,74.48,85,25.22,1,0.3,10026
10,27,407,279,68.55,127,31.2,1,0.25,10027
10,28,320,302,94.38,17,5.31,1,0.31,10028
10,29,343,331,96.5,11,3.21,1,0.29,10029
10,30,397,322,81.11,71,17.88,4,1.01,10030
10,31,395,302,76.46,93,23.54,0,0.0,10031
10,32,410,284,69.27,122,29.76,4,0.98,10032
10,33,374,289,77.27,83,22.19,2,0.53,10033
10,34,360,304,84.44,52,14.44,4,1.11,10034
10,35,362,289,79.83,70,19.34,3,0.83,10035
10,36,399,366,91.73,33,8.27,0,0.0,10036
10,37,370,348,94.05,20,5.41,2,0.54,10037
10,38,421,287,68.17,133,31.59,1,0.24,10038
10,39,332,258,77.71,71,21.39,3,0.9,10039
10,40,287,259,90.24,28,9.76,0,0.0,10040
10,41,408,249,61.03,159,38.97,0,0.0,10041
10,42,348,206,59.2,139,39.94,3,0.86,10042
10,43,240,221,92.08,16,6.67,3,1.25,10043
10,44,370,310,83.78,55,14.86,5,1.35,10044
10,45,235,193,82.13,40,17.02,2,0.85,10045
10,46,370,291,78.65,78,21.08,1,0.27,10046
10,47,307,226,73.62,81,26.38,0,0.0,10047
10,48,339,315,92.92,22,6.49,2,0.59,10048
10,49,305,286,93.77,18,5.9,1,0.33,10049
11,1,411,253,61.56,156,37.96,2,0.49,11001
11,2,373,281,75.34,91,24.4,1,0.27,11002
11,3,299,228,76.25,71,23.75,0,0.0,11003
11,4,452,332,73.45,117,25.88,3,0.66,11004
11,5,298,233,78.19,63,21.14,2,0.67,11005
11,6,473,358,75.69,109,23.04,6,1.27,11006
11,7,319,227,71.16,91,28.53,1,0.31,11007
11,8,383,267,69.71,114,29.77,2,0.52,11008
11,9,317,228,71.92,88,27.76,1,0.32,11009
11,10,223,168,75.34,54,24.22,1,0.45,11010
11,11,509,353,69.35,151,29.67,5,0.98,11011
11,12,377,257,68.17,119,31.56,1,0.27,11012
11,13,396,284,71.72,111,28.03,1,0.25,11013
11,14,359,263,73.26,95,26.46,1,0.28,11014
11,15,315,186,59.05,123,39.05,6,1.9,11015
11,16,418,317,75.84,98,23.44,3,0.72,11016
11,17,473,341,72.09,129,27.27,3,0.63,11017
11,18,249,172,69.08,77,30.92,0,0.0,11018
11,19,370,282,76.22,86,23.24,2,0.54,11019
11,20,252,165,65.48,84,33.33,3,1.19,11020
11,21,342,224,65.5,115,33.63,3,0.88,11021
11,22,267,196,73.41,70,26.22,1,0.37,11022
11,23,280,218,77.86,62,22.14,0,0.0,11023
11,24,584,388,66.44,192,32.88,4,0.68,11024
11,25,282,193,68.44,85,30.14,4,1.42,11025
11,26,489,373,76.28,113,23.11,3,0.61,11026
11,27,409,287,70.17,120,29.34,2,0.49,11027
11,28,317,222,70.03,93,29.34,2,0.63,11028
11,29,430,359,83.49,70,16.28,1,0.23,11029
11,30,372,290,77.96,80,21.51,2,0.54,11030
11,31,269,141,52.42,127,47.21,1,0.37,11031
11,32,295,197,66.78,95,32.2,3,1.02,11032
11,33,262,176,67.18,85,32.44,1,0.38,11033
11,34,237,168,70.89,69,29.11,0,0.0,11034
11,35,480,314,65.42,163,33.96,3,0.63,11035
11,36,127,81,63.78,45,35.43,1,0.79,11036
11,37,382,262,68.59,120,31.41,0,0.0,11037
11,38,507,345,68.05,161,31.76,1,0.2,11038
11,39,465,302,64.95,161,34.62,2,0.43,11039
11,40,246,165,67.07,79,32.11,2,0.81,11040
11,41,238,180,75.63,51,21.43,7,2.94,11041
11,42,274,194,70.8,76,27.74,4,1.46,11042
11,43,478,345,72.18,133,27.82,0,0.0,11043
11,44,379,260,68.6,118,31.13,1,0.26,11044
11,45,218,132,60.55,85,38.99,1,0.46,11045
11,46,203,166,81.77,36,17.73,1,0.49,11046
11,47,339,236,69.62,102,30.09,1,0.29,11047
11,48,159,86,54.09,73,45.91,0,0.0,11048
11,49,308,202,65.58,104,33.77,2,0.65,11049
11,50,272,198,72.79,71,26.1,3,1.1,11050
12,1,165,137,83.03,28,16.97,0,0.0,12001
12,2,229,191,83.41,38,16.59,0,0.0,12002
12,3,226,186,82.3,38,16.81,2,0.88,12003
12,4,207,171,82.61,35,16.91,1,0.48,12004
12,5,265,211,79.62,52,19.62,2,0.75,12005
12,6,216,177,81.94,34,15.74,5,2.31,12006
12,7,104,93,89.42,11,10.58,0,0.0,12007
12,8,450,331,73.56,118,26.22,1,0.22,12008
12,9,231,183,79.22,46,19.91,2,0.87,12009
12,10,140,107,76.43,32,22.86,1,0.71,12010
12,11,211,175,82.94,34,16.11,2,0.95,12011
12,12,225,168,74.67,53,23.56,4,1.78,12012
12,13,191,139,72.77,50,26.18,2,1.05,12013
12,14,186,154,82.8,32,17.2,0,0.0,12014
12,15,221,199,90.05,21,9.5,1,0.45,12015
12,16,203,177,87.19,26,12.81,0,0.0,12016
12,17,240,192,80.0,43,17.92,5,2.08,12017
12,18,292,252,86.3,38,13.01,2,0.68,12018
12,19,211,157,74.41,54,25.59,0,0.0,12019
12,20,252,190,75.4,59,23.41,3,1.19,12020
12,21,304,227,74.67,76,25.0,1,0.33,12021
12,22,202,162,80.2,37,18.32,3,1.49,12022
12,23,182,140,76.92,41,22.53,1,0.55,12023
12,24,372,292,78.49,79,21.24,1,0.27,12024
12,25,220,174,79.09,45,20.45,1,0.45,12025
12,26,223,180,80.72,40,17.94,3,1.35,12026
12,27,160,105,65.63,55,34.38,0,0.0,12027
12,28,275,211,76.73,64,23.27,0,0.0,12028
12,29,281,212,75.44,66,23.49,3,1.07,12029
13,1,372,225,60.48,146,39.25,1,0.27,13001
13,2,279,193,69.18,85,30.47,1,0.36,13002
13,3,469,323,68.87,143,30.49,3,0.64,13003
13,4,558,327,58.6,225,40.32,6,1.08,13004
13,5,301,228,75.75,73,24.25,0,0.0,13005
13,6,316,213,67.41,101,31.96,2,0.63,13006
13,7,328,225,68.6,98,29.88,5,1.52,13007
13,8,392,230,58.67,158,40.31,4,1.02,13008
13,9,314,215,68.47,96,30.57,3,0.96,13009
13,10,298,190,63.76,107,35.91,1,0.34,13010
13,11,284,205,72.18,79,27.82,0,0.0,13011
13,12,397,274,69.02,120,30.23,3,0.76,13012
13,13,379,265,69.92,109,28.76,5,1.32,13013
13,14,303,200,66.01,102,33.66,1,0.33,13014
13,15,375,254,67.73,120,32.0,1,0.27,13015
13,16,268,181,67.54,87,32.46,0,0.0,13016
13,17,369,240,65.04,127,34.42,2,0.54,13017
13,18,332,236,71.08,92,27.71,4,1.2,13018
13,19,332,267,80.42,63,18.98,2,0.6,13019
13,20,333,253,75.98,79,23.72,1,0.3,13020
13,21,269,181,67.29,87,32.34,1,0.37,13021
13,22,371,316,85.18,55,14.82,0,0.0,13022
13,23,283,204,72.08,78,27.56,1,0.35,13023
13,24,363,242,66.67,120,33.06,1,0.28,13024
13,25,349,229,65.62,117,33.52,3,0.86,13025
13,26,278,209,75.18,65,23.38,4,1.44,13026
13,27,415,268,64.58,141,33.98,6,1.45,13027
13,28,280,210,75.0,66,23.57,4,1.43,13028
13,29,317,204,64.35,111,35.02,2,0.63,13029
13,30,379,290,76.52,85,22.43,4,1.06,13030
13,31,378,294,77.78,82,21.69,2,0.53,13031
13,32,397,341,85.89,55,13.85,1,0.25,13032
13,33,314,231,73.57,79,25.16,4,1.27,13033
13,34,317,199,62.78,117,36.91,1,0.32,13034
13,35,388,267,68.81,116,29.9,5,1.29,13035
13,36,241,163,67.63,78,32.37,0,0.0,13036
13,37,247,182,73.68,65,26.32,0,0.0,13037
13,38,420,258,61.43,158,37.62,4,0.95,13038
13,39,348,234,67.24,112,32.18,2,0.57,13039
13,40,327,237,72.48,84,25.69,6,1.83,13040
13,41,325,261,80.31,61,18.77,3,0.92,13041
13,42,339,236,69.62,100,29.5,3,0.88,13042
13,43,258,207,80.23,51,19.77,0,0.0,13043
13,44,375,304,81.07,69,18.4,2,0.53,13044
13,45,500,312,62.4,186,37.2,2,0.4,13045
13,46,310,235,75.81,75,24.19,0,0.0,13046
13,47,348,257,73.85,90,25.86,1,0.29,13047
13,48,382,275,71.99,104,27.23,3,0.79,13048
13,49,402,264,65.67,138,34.33,0,0.0,13049
13,50,405,312,77.04,91,22.47,2,0.49,13050
13,51,266,196,73.68,70,26.32,0,0.0,13051
13,52,405,270,66.67,134,33.09,1,0.25,13052
13,53,447,331,74.05,112,25.06,4,0.89,13053
13,54,369,255,69.11,113,30.62,1,0.27,13054
14,1,213,171,80.28,42,19.72,0,0.0,14001
14,2,265,184,69.43,80,30.19,1,0.38,14002
14,3,341,280,82.11,57,16.72,4,1.17,14003
14,4,272,215,79.04,57,20.96,0,0.0,14004
14,5,366,303,82.79,63,17.21,0,0.0,14005
14,6,270,208,77.04,61,22.59,1,0.37,14006
14,7,264,205,77.65,58,21.97,1,0.38,14007
14,8,203,160,78.82,43,21.18,0,0.0,14008
14,9,321,254,79.13,66,20.56,1,0.31,14009
14,10,311,239,76.85,71,22.83,1,0.32,14010
14,11,254,210,82.68,44,17.32,0,0.0,14011
14,12,211,158,74.88,53,25.12,0,0.0,14012
14,13,333,244,73.27,88,26.43,1,0.3,14013
14,14,219,178,81.28,40,18.26,1,0.46,14014
14,15,290,249,85.86,41,14.14,0,0.0,14015
14,16,318,230,72.33,86,27.04,2,0.63,14016
14,17,293,227,77.47,64,21.84,2,0.68,14017
14,18,272,220,80.88,50,18.38,2,0.74,14018
14,19,342,274,80.12,65,19.01,3,0.88,14019
14,20,270,198,73.33,69,25.56,3,1.11,14020
14,21,265,225,84.91,39,14.72,1,0.38,14021
14,22,267,202,75.66,65,24.34,0,0.0,14022
14,23,232,181,78.02,49,21.12,2,0.86,14023
14,24,192,159,82.81,32,16.67,1,0.52,14024
14,25,289,194,67.13,95,32.87,0,0.0,14025
14,26,204,171,83.82,32,15.69,1,0.49,14026
14,27,205,144,70.24,61,29.76,0,0.0,14027
14,28,293,198,67.58,95,32.42,0,0.0,14028
14,29,316,245,77.53,70,22.15,1,0.32,14029
14,30,228,168,73.68,60,26.32,0,0.0,14030
14,31,259,228,88.03,30,11.58,1,0.39,14031
14,32,230,203,88.26,27,11.74,0,0.0,14032
14,33,215,169,78.6,45,20.93,1,0.47,14033
14,34,255,200,78.43,55,21.57,0,0.0,14034
14,35,152,99,65.13,53,34.87,0,0.0,14035
14,36,316,256,81.01,60,18.99,0,0.0,14036
14,37,284,245,86.27,38,13.38,1,0.35,14037
15,1,234,194,82.91,40,17.09,0,0.0,15001
15,2,303,292,96.37,11,3.63,0,0.0,15002
15,3,322,312,96.89,10,3.11,0,0.0,15003
15,4,355,344,96.9,9,2.54,2,0.56,15004
15,5,343,332,96.79,11,3.21,0,0.0,15005
15,6,359,329,91.64,30,8.36,0,0.0,15006
15,7,334,330,98.8,3,0.9,1,0.3,15007
15,8,512,494,96.48,16,3.13,2,0.39,15008
15,9,366,338,92.35,27,7.38,1,0.27,15009
15,10,270,206,76.3,62,22.96,2,0.74,15010
15,11,384,368,95.83,16,4.17,0,0.0,15011
15,12,251,246,98.01,4,1.59,1,0.4,15012
15,13,250,222,88.8,27,10.8,1,0.4,15013
15,14,384,312,81.25,69,17.97,3,0.78,15014
15,15,370,330,89.19,39,10.54,1,0.27,15015
15,16,256,190,74.22,64,25.0,2,0.78,15016
15,17,360,350,97.22,8,2.22,2,0.56,15017
15,18,286,279,97.55,7,2.45,0,0.0,15018
15,19,324,317,97.84,6,1.85,1,0.31,15019
15,20,330,317,96.06,11,3.33,2,0.61,15020
15,21,337,329,97.63,7,2.08,1,0.3,15021
15,22,401,380,94.76,19,4.74,2,0.5,15022
15,23,281,274,97.51,7,2.49,0,0.0,15023
15,24,365,339,92.88,25,6.85,1,0.27,15024
15,25,380,342,90.0,37,9.74,1,0.26,15025
15,26,293,281,95.9,11,3.75,1,0.34,15026
15,27,277,259,93.5,17,6.14,1,0.36,15027
15,28,323,241,74.61,77,23.84,5,1.55,15028
15,29,213,201,94.37,12,5.63,0,0.0,15029
15,30,438,420,95.89,17,3.88,1,0.23,15030
15,31,277,271,97.83,5,1.81,1,0.36,15031
15,32,399,370,92.73,29,7.27,0,0.0,15032
15,33,298,291,97.65,6,2.01,1,0.34,15033
15,34,303,300,99.01,3,0.99,0,0.0,15034
15,35,327,321,98.17,5,1.53,1,0.31,15035
15,36,307,298,97.07,6,1.95,3,0.98,15036
15,37,287,279,97.21,5,1.74,3,1.05,15037
15,38,350,325,92.86,24,6.86,1,0.29,15038
15,39,357,352,98.6,5,1.4,0,0.0,15039
15,40,363,356,98.07,5,1.38,2,0.55,15040
15,41,463,394,85.1,68,14.69,1,0.22,15041
15,42,232,225,96.98,7,3.02,0,0.0,15042
15,43,321,313,97.51,5,1.56,3,0.93,15043
15,44,357,316,88.52,41,11.48,0,0.0,15044
15,45,179,168,93.85,11,6.15,0,0.0,15045
15,46,269,259,96.28,10,3.72,0,0.0,15046
15,47,375,372,99.2,2,0.53,1,0.27,15047
15,48,313,297,94.89,13,4.15,3,0.96,15048
15,49,291,261,89.69,30,10.31,0,0.0,15049
15,50,358,343,95.81,14,3.91,1,0.28,15050
15,51,256,248,96.88,6,2.34,2,0.78,15051
15,52,219,210,95.89,9,4.11,0,0.0,15052
16,1,204,191,93.63,12,5.88,1,0.49,16001
16,2,276,263,95.29,12,4.35,1,0.36,16002
16,3,348,335,96.26,12,3.45,1,0.29,16003
16,4,349,318,91.12,31,8.88,0,0.0,16004
16,5,370,359,97.03,8,2.16,3,0.81,16005
16,6,113,100,88.5,13,11.5,0,0.0,16006
16,7,326,308,94.48,18,5.52,0,0.0,16007
16,8,284,268,94.37,14,4.93,2,0.7,16008
16,9,388,379,97.68,5,1.29,4,1.03,16009
16,10,280,273,97.5,5,1.79,2,0.71,16010
16,11,404,387,95.79,16,3.96,1,0.25,16011
16,12,288,280,97.22,8,2.78,0,0.0,16012
16,13,260,220,84.62,38,14.62,2,0.77,16013
16,14,374,369,98.66,3,0.8,2,0.53,16014
16,15,367,352,95.91,14,3.81,1,0.27,16015
16,16,342,334,97.66,6,1.75,2,0.58,16016
16,17,392,299,76.28,91,23.21,2,0.51,16017
16,18,374,370,98.93,4,1.07,0,0.0,16018
16,19,274,259,94.53,15,5.47,0,0.0,16019
16,20,331,329,99.4,2,0.6,0,0.0,16020
16,21,292,235,80.48,55,18.84,2,0.68,16021
16,22,306,299,97.71,6,1.96,1,0.33,16022
16,23,340,288,84.71,51,15.0,1,0.29,16023
16,24,212,205,96.7,5,2.36,2,0.94,16024
16,25,275,267,97.09,8,2.91,0,0.0,16025
16,26,358,354,98.88,4,1.12,0,0.0,16026
16,27,359,350,97.49,9,2.51,0,0.0,16027
16,28,397,391,98.49,5,1.26,1,0.25,16028
16,29,223,216,96.86,7,3.14,0,0.0,16029
16,30,258,252,97.67,5,1.94,1,0.39,16030
16,31,377,367,97.35,10,2.65,0,0.0,16031
16,32,294,238,80.95,54,18.37,2,0.68,16032
16,33,293,286,97.61,7,2.39,0,0.0,16033
16,34,343,336,97.96,6,1.75,1,0.29,16034
16,35,335,294,87.76,40,11.94,1,0.3,16035
16,36,369,361,97.83,8,2.17,0,0.0,16036
16,37,337,330,97.92,6,1.78,1,0.3,16037
16,38,371,361,97.3,9,2.43,1,0.27,16038
16,39,185,149,80.54,35,18.92,1,0.54,16039
16,40,397,392,98.74,5,1.26,0,0.0,16040
16,41,182,178,97.8,4,2.2,0,0.0,16041
16,42,220,187,85.0,32,14.55,1,0.45,16042
16,43,328,316,96.34,12,3.66,0,0.0,16043
16,44,411,377,91.73,32,7.79,2,0.49,16044
16,45,237,226,95.36,8,3.38,3,1.27,16045
16,46,63,63,100.0,0,0.0,0,0.0,16046
16,47,213,202,94.84,10,4.69,1,0.47,16047
17,1,281,273,97.15,4,1.42,4,1.42,17001
17,2,374,358,95.72,14,3.74,2,0.53,17002
17,3,340,334,98.24,6,1.76,0,0.0,17003
17,4,504,493,97.82,11,2.18,0,0.0,17004
17,5,360,348,96.67,11,3.06,1,0.28,17005
17,6,330,324,98.18,5,1.52,1,0.3,17006
17,7,518,509,98.26,8,1.54,1,0.19,17007
17,8,345,340,98.55,5,1.45,0,0.0,17008
17,9,272,263,96.69,8,2.94,1,0.37,17009
17,10,364,348,95.6,15,4.12,1,0.27,17010
17,11,398,384,96.48,13,3.27,1,0.25,17011
17,12,413,399,96.61,13,3.15,1,0.24,17012
17,13,291,283,97.25,7,2.41,1,0.34,17013
17,14,403,386,95.78,14,3.47,3,0.74,17014
17,15,368,357,97.01,9,2.45,2,0.54,17015
17,16,348,344,98.85,4,1.15,0,0.0,17016
17,17,336,328,97.62,7,2.08,1,0.3,17017
17,18,433,420,97.0,12,2.77,1,0.23,17018
17,19,200,196,98.0,4,2.0,0,0.0,17019
17,20,408,395,96.81,12,2.94,1,0.25,17020
17,21,458,443,96.72,15,3.28,0,0.0,17021
17,22,385,376,97.66,9,2.34,0,0.0,17022
17,23,313,307,98.08,5,1.6,1,0.32,17023
17,24,478,462,96.65,16,3.35,0,0.0,17024
17,25,279,272,97.49,6,2.15,1,0.36,17025
17,26,468,454,97.01,14,2.99,0,0.0,17026
17,27,477,464,97.27,12,2.52,1,0.21,17027
17,28,347,334,96.25,12,3.46,1,0.29,17028
17,29,425,409,96.24,16,3.76,0,0.0,17029
17,30,443,428,96.61,12,2.71,3,0.68,17030
17,31,388,376,96.91,9,2.32,3,0.77,17031
17,32,427,418,97.89,9,2.11,0,0.0,17032
17,33,305,296,97.05,8,2.62,1,0.33,17033
17,34,346,337,97.4,8,2.31,1,0.29,17034
17,35,235,225,95.74,7,2.98,3,1.28,17035
17,36,274,266,97.08,7,2.55,1,0.36,17036
17,37,378,373,98.68,4,1.06,1,0.26,17037
17,38,385,375,97.4,9,2.34,1,0.26,17038
17,39,340,333,97.94,6,1.76,1,0.29,17039
17,40,308,304,98.7,3,0.97,1,0.32,17040
17,41,304,295,97.04,7,2.3,2,0.66,17041
17,42,341,333,97.65,5,1.47,3,0.88,17042
17,43,300,291,97.0,8,2.67,1,0.33,17043
17,44,334,327,97.9,7,2.1,0,0.0,17044
17,45,275,269,97.82,6,2.18,0,0.0,17045
17,46,403,399,99.01,4,0.99,0,0.0,17046
17,47,245,243,99.18,1,0.41,1,0.41,17047
17,48,442,428,96.83,13,2.94,1,0.23,17048
17,49,335,334,99.7,1,0.3,0,0.0,17049
17,50,412,400,97.09,11,2.67,1,0.24,17050
17,51,464,450,96.98,14,3.02,0,0.0,17051
17,52,476,470,98.74,6,1.26,0,0.0,17052
17,53,343,333,97.08,10,2.92,0,0.0,17053
17,54,391,389,99.49,2,0.51,0,0.0,17054
17,55,355,350,98.59,4,1.13,1,0.28,17055
17,56,397,388,97.73,7,1.76,2,0.5,17056
17,57,425,420,98.82,5,1.18,0,0.0,17057
17,58,298,288,96.64,7,2.35,3,1.01,17058
17,59,227,222,97.8,5,2.2,0,0.0,17059
17,60,463,451,97.41,10,2.16,2,0.43,17060
17,61,343,335,97.67,8,2.33,0,0.0,17061
17,62,342,337,98.54,5,1.46,0,0.0,17062
17,63,414,409,98.79,4,0.97,1,0.24,17063
17,64,317,305,96.21,10,3.15,2,0.63,17064
18,1,261,234,89.66,26,9.96,1,0.38,18001
18,2,408,365,89.46,43,10.54,0,0.0,18002
18,3,340,166,48.82,170,50.0,4,1.18,18003
18,4,406,371,91.38,34,8.37,1,0.25,18004
18,5,451,435,96.45,14,3.1,2,0.44,18005
18,6,360,201,55.83,157,43.61,2,0.56,18006
18,7,393,303,77.1,86,21.88,4,1.02,18007
18,8,210,195,92.86,15,7.14,0,0.0,18008
18,9,407,356,87.47,49,12.04,2,0.49,18009
18,10,539,479,88.87,60,11.13,0,0.0,18010
18,11,412,316,76.7,94,22.82,2,0.49,18011
18,12,475,421,88.63,54,11.37,0,0.0,18012
18,13,486,423,87.04,61,12.55,2,0.41,18013
18,14,481,450,93.56,30,6.24,1,0.21,18014
18,15,279,213,76.34,64,22.94,2,0.72,18015
18,16,479,455,94.99,24,5.01,0,0.0,18016
18,17,366,301,82.24,63,17.21,2,0.55,18017
18,18,397,377,94.96,17,4.28,3,0.76,18018
18,19,310,300,96.77,10,3.23,0,0.0,18019
18,20,433,424,97.92,9,2.08,0,0.0,18020
18,21,555,489,88.11,65,11.71,1,0.18,18021
18,22,491,455,92.67,36,7.33,0,0.0,18022
18,23,413,372,90.07,40,9.69,1,0.24,18023
18,24,467,454,97.22,13,2.78,0,0.0,18024
18,25,449,432,96.21,17,3.79,0,0.0,18025
18,26,315,292,92.7,23,7.3,0,0.0,18026
18,27,467,411,88.01,53,11.35,3,0.64,18027
18,28,414,226,54.59,185,44.69,3,0.72,18028
18,29,467,369,79.01,96,20.56,2,0.43,18029
18,30,336,328,97.62,8,2.38,0,0.0,18030
18,31,411,371,90.27,39,9.49,1,0.24,18031
18,32,445,431,96.85,12,2.7,2,0.45,18032
18,33,364,352,96.7,11,3.02,1,0.27,18033
18,34,495,447,90.3,46,9.29,2,0.4,18034
18,35,507,447,88.17,57,11.24,3,0.59,18035
18,36,332,271,81.63,60,18.07,1,0.3,18036
18,37,321,287,89.41,31,9.66,3,0.93,18037
18,38,474,460,97.05,11,2.32,3,0.63,18038
18,39,459,415,90.41,42,9.15,2,0.44,18039
18,40,464,426,91.81,38,8.19,0,0.0,18040
18,41,416,249,59.86,166,39.9,1,0.24,18041
18,42,339,293,86.43,46,13.57,0,0.0,18042
18,43,355,280,78.87,75,21.13,0,0.0,18043
18,44,276,241,87.32,34,12.32,1,0.36,18044
18,45,406,386,95.07,18,4.43,2,0.49,18045
18,46,453,447,98.68,6,1.32,0,0.0,18046
18,47,464,431,92.89,33,7.11,0,0.0,18047
18,48,293,190,64.85,103,35.15,0,0.0,18048
18,49,347,325,93.66,21,6.05,1,0.29,18049
18,50,479,440,91.86,37,7.72,2,0.42,18050
18,51,283,278,98.23,3,1.06,2,0.71,18051
18,52,335,324,96.72,10,2.99,1,0.3,18052
18,53,378,362,95.77,15,3.97,1,0.26,18053
18,54,450,416,92.44,32,7.11,2,0.44,18054
18,55,393,201,51.15,188,47.84,4,1.02,18055
18,56,416,328,78.85,86,20.67,2,0.48,18056
18,57,367,298,81.2,67,18.26,2,0.54,18057
18,58,423,400,94.56,22,5.2,1,0.24,18058
18,59,327,316,96.64,9,2.75,2,0.61,18059
18,60,516,510,98.84,6,1.16,0,0.0,18060
18,61,415,406,97.83,7,1.69,2,0.48,18061
18,62,282,270,95.74,11,3.9,1,0.35,18062
18,63,427,416,97.42,10,2.34,1,0.23,18063
18,64,376,296,78.72,80,21.28,0,0.0,18064
19,1,482,260,53.94,219,45.44,3,0.62,19001
19,2,414,324,78.26,90,21.74,0,0.0,19002
19,3,415,174,41.93,239,57.59,2,0.48,19003
19,4,432,201,46.53,231,53.47,0,0.0,19004
19,5,468,335,71.58,130,27.78,3,0.64,19005
19,6,458,250,54.59,208,45.41,0,0.0,19006
19,7,436,271,62.16,165,37.84,0,0.0,19007
19,8,402,169,42.04,231,57.46,2,0.5,19008
19,9,369,157,42.55,211,57.18,1,0.27,19009
19,10,589,406,68.93,176,29.88,7,1.19,19010
19,11,502,196,39.04,304,60.56,2,0.4,19011
19,12,472,211,44.7,258,54.66,3,0.64,19012
19,13,370,349,94.32,20,5.41,1,0.27,19013
19,14,310,149,48.06,159,51.29,2,0.65,19014
19,15,303,162,53.47,138,45.54,3,0.99,19015
19,16,525,246,46.86,277,52.76,2,0.38,19016
19,17,466,249,53.43,216,46.35,1,0.21,19017
19,18,514,325,63.23,185,35.99,4,0.78,19018
19,19,495,343,69.29,152,30.71,0,0.0,19019
19,20,418,330,78.95,83,19.86,5,1.2,19020
19,21,379,200,52.77,178,46.97,1,0.26,19021
19,22,536,329,61.38,203,37.87,4,0.75,19022
19,23,529,274,51.8,252,47.64,3,0.57,19023
19,24,373,142,38.07,230,61.66,1,0.27,19024
19,25,514,314,61.09,197,38.33,3,0.58,19025
19,26,509,300,58.94,207,40.67,2,0.39,19026
19,27,332,280,84.34,51,15.36,1,0.3,19027
19,28,529,477,90.17,46,8.7,6,1.13,19028
19,29,408,197,48.28,206,50.49,5,1.23,19029
19,30,458,210,45.85,248,54.15,0,0.0,19030
19,31,440,254,57.73,183,41.59,3,0.68,19031
19,32,540,291,53.89,246,45.56,3,0.56,19032
19,33,526,231,43.92,294,55.89,1,0.19,19033
19,34,475,319,67.16,150,31.58,6,1.26,19034
19,35,409,274,66.99,132,32.27,3,0.73,19035
19,36,641,542,84.56,95,14.82,4,0.62,19036
19,37,390,299,76.67,89,22.82,2,0.51,19037
19,38,575,467,81.22,107,18.61,1,0.17,19038
19,39,296,268,90.54,27,9.12,1,0.34,19039
19,40,426,295,69.25,125,29.34,6,1.41,19040
19,41,514,245,47.67,266,51.75,3,0.58,19041
19,42,407,323,79.36,82,20.15,2,0.49,19042
19,43,576,538,93.4,37,6.42,1,0.17,19043
19,44,407,194,47.67,212,52.09,1,0.25,19044
19,45,514,249,48.44,263,51.17,2,0.39,19045
