ward,precinct,total,Danny K. Davis,Danny K. Davis Percent,Antonio Davis-Fairman,Antonio Davis-Fairman Percent,precinct_id
43,46,494,311,62.96,183,37.04,43046
43,47,399,274,68.67,125,31.33,43047
43,49,331,221,66.77,110,33.23,43049
43,51,545,425,77.98,120,22.02,43051
43,52,655,427,65.19,228,34.81,43052
43,54,370,265,71.62,105,28.38,43054
43,55,296,263,88.85,33,11.15,43055
43,60,414,271,65.46,143,34.54,43060
43,61,300,206,68.67,94,31.33,43061
43,62,503,329,65.41,174,34.59,43062
43,63,376,256,68.09,120,31.91,43063
43,64,269,183,68.03,86,31.97,43064
43,65,265,153,57.74,112,42.26,43065
43,66,206,136,66.02,70,33.98,43066
43,67,306,198,64.71,108,35.29,43067
